po_id,rfq_id,vendor_id,vendor_name,po_date,po_value_usd,promised_delivery,payment_terms,status
PO-RFQ-0008-V013,RFQ-0008,V013,Vantage Sensors GmbH,2026-04-16,38001.96,2026-05-12,Net30,pending
PO-RFQ-0008-V002,RFQ-0008,V002,Tanaka Electrical KK,2026-04-03,36616.68,2026-05-12,Net60,in_transit
PO-RFQ-0009-V018,RFQ-0009,V018,Guangzhou Mech & Elec Co.,2025-08-18,7333.26,2025-09-09,Net45,in_transit
PO-RFQ-0009-V013,RFQ-0009,V013,Vantage Sensors GmbH,2026-01-22,8111.85,2026-02-26,Net45,delivered
PO-RFQ-0009-V011,RFQ-0009,V011,Solaris Power Components,2026-02-01,8007.3,2026-03-14,Net45,in_transit
PO-RFQ-0009-V016,RFQ-0009,V016,Precision Arc Systems,2025-12-10,8890.44,2026-01-30,Net45,pending
PO-RFQ-0010-V018,RFQ-0010,V018,Guangzhou Mech & Elec Co.,2025-09-22,3909.6,2025-10-07,Net45,delivered
PO-RFQ-0010-V002,RFQ-0010,V002,Tanaka Electrical KK,2025-12-22,4211.2,2026-01-07,Net45,cancelled
PO-RFQ-0010-V016,RFQ-0010,V016,Precision Arc Systems,2026-04-26,3914.4,2026-05-29,Net45,cancelled
PO-RFQ-0010-V011,RFQ-0010,V011,Solaris Power Components,2026-03-05,4817.6,2026-04-19,Net30,pending
PO-RFQ-0010-V006,RFQ-0010,V006,Bright Spark Electronics Ltd,2026-04-06,4825.6,2026-05-29,Net30,cancelled
PO-RFQ-0011-V006,RFQ-0011,V006,Bright Spark Electronics Ltd,2025-10-10,40157.94,2025-10-22,Net45,delivered
PO-RFQ-0011-V011,RFQ-0011,V011,Solaris Power Components,2026-04-03,31259.19,2026-05-04,Net45,delivered
PO-RFQ-0011-V018,RFQ-0011,V018,Guangzhou Mech & Elec Co.,2025-07-28,32991.48,2025-09-17,Net45,delivered
PO-RFQ-0011-V002,RFQ-0011,V002,Tanaka Electrical KK,2025-09-04,36310.29,2025-10-06,Net60,in_transit
PO-RFQ-0012-V011,RFQ-0012,V011,Solaris Power Components,2026-02-13,41207.04,2026-03-04,Net60,pending
PO-RFQ-0012-V018,RFQ-0012,V018,Guangzhou Mech & Elec Co.,2026-03-30,42634.92,2026-04-18,Net45,pending
PO-RFQ-0012-V016,RFQ-0012,V016,Precision Arc Systems,2025-10-25,38990.76,2025-11-17,Net30,pending
PO-RFQ-0012-V013,RFQ-0012,V013,Vantage Sensors GmbH,2026-04-21,48228.18,2026-05-17,Net60,delivered
PO-RFQ-0012-V002,RFQ-0012,V002,Tanaka Electrical KK,2025-07-28,46178.34,2025-09-09,Net45,delivered
PO-RFQ-0013-V018,RFQ-0013,V018,Guangzhou Mech & Elec Co.,2025-11-14,105194.43,2026-01-08,Net45,delivered
PO-RFQ-0014-V013,RFQ-0014,V013,Vantage Sensors GmbH,2026-03-22,14815.07,2026-04-01,Net45,cancelled
PO-RFQ-0014-V016,RFQ-0014,V016,Precision Arc Systems,2025-12-27,11990.28,2026-01-11,Net45,cancelled
PO-RFQ-0014-V018,RFQ-0014,V018,Guangzhou Mech & Elec Co.,2025-11-03,12774.31,2025-12-21,Net30,delivered
PO-RFQ-0014-V006,RFQ-0014,V006,Bright Spark Electronics Ltd,2025-10-18,14727.05,2025-11-29,Net30,cancelled
PO-RFQ-0014-V011,RFQ-0014,V011,Solaris Power Components,2025-09-09,16109.29,2025-11-01,Net30,delivered
PO-RFQ-0015-V007,RFQ-0015,V007,Nakamura Tooling Co.,2025-12-15,99398.4,2025-12-25,Net30,in_transit
PO-RFQ-0015-V001,RFQ-0015,V001,Kovacs Precision GmbH,2026-05-03,94721.28,2026-05-30,Net60,pending
PO-RFQ-0015-V009,RFQ-0015,V009,Fischer & Söhne KG,2025-11-27,97827.84,2026-01-07,Net45,delivered
PO-RFQ-0015-V010,RFQ-0015,V010,Adriatic Fastenings d.o.o.,2025-08-06,90789.12,2025-09-30,Net45,delivered
PO-RFQ-0015-V019,RFQ-0015,V019,Emerald Isle Castings Ltd,2026-01-02,104336.64,2026-02-13,Net60,in_transit
PO-RFQ-0016-V018,RFQ-0016,V018,Guangzhou Mech & Elec Co.,2026-02-07,139800.64,2026-02-20,Net30,delivered
PO-RFQ-0016-V006,RFQ-0016,V006,Bright Spark Electronics Ltd,2026-01-22,133557.76,2026-03-01,Net60,cancelled
PO-RFQ-0016-V013,RFQ-0016,V013,Vantage Sensors GmbH,2025-10-20,149647.68,2025-11-26,Net30,delivered
PO-RFQ-0016-V002,RFQ-0016,V002,Tanaka Electrical KK,2026-01-07,152066.88,2026-02-22,Net60,pending
PO-RFQ-0017-V002,RFQ-0017,V002,Tanaka Electrical KK,2025-08-04,162028.02,2025-08-16,Net60,cancelled
PO-RFQ-0017-V018,RFQ-0017,V018,Guangzhou Mech & Elec Co.,2025-12-18,139447.77,2026-01-04,Net60,delivered
PO-RFQ-0017-V006,RFQ-0017,V006,Bright Spark Electronics Ltd,2025-09-24,132661.2,2025-10-18,Net60,delivered
PO-RFQ-0017-V016,RFQ-0017,V016,Precision Arc Systems,2026-02-21,171549.21,2026-03-15,Net45,pending
PO-RFQ-0017-V011,RFQ-0017,V011,Solaris Power Components,2026-02-18,148447.74,2026-04-06,Net60,pending
PO-RFQ-0018-V017,RFQ-0018,V017,Türk Makina A.Ş.,2026-03-24,47637.6,2026-04-15,Net45,pending
PO-RFQ-0018-V001,RFQ-0018,V001,Kovacs Precision GmbH,2025-09-28,50638.8,2025-10-25,Net60,in_transit
PO-RFQ-0018-V004,RFQ-0018,V004,Strömberg Hydraulics AB,2026-01-25,53466.0,2026-02-16,Net60,in_transit
PO-RFQ-0018-V009,RFQ-0018,V009,Fischer & Söhne KG,2025-11-15,49660.8,2026-01-05,Net60,cancelled
PO-RFQ-0018-V019,RFQ-0018,V019,Emerald Isle Castings Ltd,2026-03-03,52794.0,2026-04-15,Net30,delivered
PO-RFQ-0019-V018,RFQ-0019,V018,Guangzhou Mech & Elec Co.,2026-02-01,128503.35,2026-03-12,Net60,cancelled
PO-RFQ-0019-V011,RFQ-0019,V011,Solaris Power Components,2025-12-07,119788.56,2026-01-28,Net45,delivered
PO-RFQ-0019-V002,RFQ-0019,V002,Tanaka Electrical KK,2025-08-25,139457.52,2025-09-29,Net60,delivered
PO-RFQ-0020-V008,RFQ-0020,V008,Delta Composites Inc.,2025-09-30,72504.6,2025-10-15,Net45,delivered
PO-RFQ-0020-V015,RFQ-0020,V015,Nordic Steel AS,2025-08-24,77403.33,2025-09-07,Net60,cancelled
PO-RFQ-0020-V012,RFQ-0020,V012,Indra Copper Works,2026-04-18,78399.49,2026-05-11,Net60,in_transit
PO-RFQ-0020-V003,RFQ-0020,V003,Patel Alloys Pvt Ltd,2026-04-18,75634.58,2026-06-03,Net60,delivered
PO-RFQ-0020-V014,RFQ-0020,V014,Coastal Alloys Pty Ltd,2026-03-23,79469.23,2026-05-01,Net60,pending
PO-RFQ-0021-V006,RFQ-0021,V006,Bright Spark Electronics Ltd,2026-01-16,128079.2,2026-02-01,Net30,delivered
PO-RFQ-0021-V016,RFQ-0021,V016,Precision Arc Systems,2026-01-27,128208.7,2026-02-24,Net60,in_transit
PO-RFQ-0021-V011,RFQ-0021,V011,Solaris Power Components,2025-10-22,157608.9,2025-11-14,Net45,delivered
PO-RFQ-0021-V002,RFQ-0021,V002,Tanaka Electrical KK,2026-03-21,147800.2,2026-04-12,Net45,pending
PO-RFQ-0021-V018,RFQ-0021,V018,Guangzhou Mech & Elec Co.,2025-07-30,137092.4,2025-08-29,Net45,delivered
PO-RFQ-0022-V005,RFQ-0022,V005,Cerro Negro Metals SA,2025-11-15,41313.8,2025-12-04,Net30,cancelled
PO-RFQ-0022-V008,RFQ-0022,V008,Delta Composites Inc.,2026-01-06,39528.74,2026-02-03,Net30,delivered
PO-RFQ-0022-V015,RFQ-0022,V015,Nordic Steel AS,2026-03-13,43172.71,2026-04-06,Net60,cancelled
PO-RFQ-0022-V003,RFQ-0022,V003,Patel Alloys Pvt Ltd,2026-04-23,43444.9,2026-05-17,Net45,cancelled
PO-RFQ-0022-V014,RFQ-0022,V014,Coastal Alloys Pty Ltd,2026-02-17,44442.93,2026-04-01,Net30,delivered
PO-RFQ-0023-V013,RFQ-0023,V013,Vantage Sensors GmbH,2025-11-30,7301.94,2025-12-19,Net30,cancelled
PO-RFQ-0023-V006,RFQ-0023,V006,Bright Spark Electronics Ltd,2026-05-06,6277.52,2026-06-07,Net45,cancelled
PO-RFQ-0023-V018,RFQ-0023,V018,Guangzhou Mech & Elec Co.,2025-12-21,6260.49,2026-02-13,Net45,pending
PO-RFQ-0023-V002,RFQ-0023,V002,Tanaka Electrical KK,2025-12-09,7484.03,2026-01-19,Net45,delivered
PO-RFQ-0023-V021,RFQ-0023,V021,Helios Micro Systems,2025-08-10,7174.87,2025-09-27,Net60,in_transit
PO-RFQ-0024-V011,RFQ-0024,V011,Solaris Power Components,2026-01-29,26802.1,2026-02-10,Net30,cancelled
PO-RFQ-0024-V013,RFQ-0024,V013,Vantage Sensors GmbH,2026-04-07,24860.99,2026-04-22,Net45,cancelled
PO-RFQ-0024-V018,RFQ-0024,V018,Guangzhou Mech & Elec Co.,2026-04-02,21589.5,2026-04-27,Net60,pending
PO-RFQ-0024-V006,RFQ-0024,V006,Bright Spark Electronics Ltd,2026-01-05,22460.86,2026-02-15,Net60,pending
PO-RFQ-0024-V016,RFQ-0024,V016,Precision Arc Systems,2025-10-06,26899.35,2025-11-04,Net45,cancelled
PO-RFQ-0025-V016,RFQ-0025,V016,Precision Arc Systems,2025-10-13,1752.0,2025-11-04,Net30,cancelled
PO-RFQ-0025-V011,RFQ-0025,V011,Solaris Power Components,2026-02-06,1654.5,2026-03-10,Net30,pending
PO-RFQ-0026-V009,RFQ-0026,V009,Fischer & Söhne KG,2025-10-29,22853.6,2025-11-17,Net30,pending
PO-RFQ-0026-V001,RFQ-0026,V001,Kovacs Precision GmbH,2026-01-11,23067.0,2026-02-08,Net30,in_transit
PO-RFQ-0026-V010,RFQ-0026,V010,Adriatic Fastenings d.o.o.,2025-10-25,20473.2,2025-11-27,Net30,pending
PO-RFQ-0026-V004,RFQ-0026,V004,Strömberg Hydraulics AB,2026-05-01,22809.6,2026-06-01,Net30,pending
PO-RFQ-0026-V007,RFQ-0026,V007,Nakamura Tooling Co.,2025-09-03,23007.6,2025-10-20,Net60,cancelled
PO-RFQ-0027-V002,RFQ-0027,V002,Tanaka Electrical KK,2026-05-06,29768.67,2026-05-25,Net30,cancelled
PO-RFQ-0027-V006,RFQ-0027,V006,Bright Spark Electronics Ltd,2025-08-18,27379.06,2025-10-02,Net45,delivered
PO-RFQ-0027-V011,RFQ-0027,V011,Solaris Power Components,2025-11-21,34216.93,2026-01-02,Net30,cancelled
PO-RFQ-0028-V016,RFQ-0028,V016,Precision Arc Systems,2026-01-08,173565.52,2026-01-20,Net30,cancelled
PO-RFQ-0028-V002,RFQ-0028,V002,Tanaka Electrical KK,2025-10-19,170081.68,2025-10-31,Net30,cancelled
PO-RFQ-0028-V018,RFQ-0028,V018,Guangzhou Mech & Elec Co.,2026-05-05,155466.36,2026-05-22,Net45,delivered
PO-RFQ-0028-V011,RFQ-0028,V011,Solaris Power Components,2026-03-04,135938.52,2026-04-16,Net60,delivered
PO-RFQ-0028-V013,RFQ-0028,V013,Vantage Sensors GmbH,2025-10-02,173557.88,2025-10-25,Net45,delivered
PO-RFQ-0029-V018,RFQ-0029,V018,Guangzhou Mech & Elec Co.,2025-08-03,161162.8,2025-09-20,Net60,delivered
PO-RFQ-0029-V021,RFQ-0029,V021,Helios Micro Systems,2026-05-04,180715.7,2026-05-14,Net30,delivered
PO-RFQ-0029-V013,RFQ-0029,V013,Vantage Sensors GmbH,2026-03-10,186381.9,2026-04-22,Net30,delivered
PO-RFQ-0029-V002,RFQ-0029,V002,Tanaka Electrical KK,2026-01-08,181519.3,2026-02-21,Net60,delivered
PO-RFQ-0029-V016,RFQ-0029,V016,Precision Arc Systems,2026-02-25,202900.8,2026-04-16,Net45,in_transit
PO-RFQ-0030-V011,RFQ-0030,V011,Solaris Power Components,2026-04-28,46821.67,2026-05-13,Net60,pending
PO-RFQ-0030-V013,RFQ-0030,V013,Vantage Sensors GmbH,2025-11-17,46439.81,2025-12-20,Net30,in_transit
PO-RFQ-0030-V016,RFQ-0030,V016,Precision Arc Systems,2025-09-16,52095.72,2025-10-13,Net45,cancelled
PO-RFQ-0030-V002,RFQ-0030,V002,Tanaka Electrical KK,2025-11-03,46446.07,2025-12-08,Net30,delivered
PO-RFQ-0030-V021,RFQ-0030,V021,Helios Micro Systems,2026-02-03,47259.87,2026-03-18,Net45,delivered
PO-RFQ-0031-V019,RFQ-0031,V019,Emerald Isle Castings Ltd,2026-04-14,54691.13,2026-05-06,Net60,cancelled
PO-RFQ-0031-V001,RFQ-0031,V001,Kovacs Precision GmbH,2026-04-17,53532.63,2026-05-21,Net30,cancelled
PO-RFQ-0031-V010,RFQ-0031,V010,Adriatic Fastenings d.o.o.,2025-11-12,51046.82,2025-12-21,Net45,pending
PO-RFQ-0031-V022,RFQ-0031,V022,Andean Precision SRL,2025-11-26,46988.76,2025-12-13,Net45,pending
PO-RFQ-0031-V024,RFQ-0031,V024,BalticTech UAB,2026-02-28,53439.95,2026-03-15,Net30,pending
PO-RFQ-0032-V018,RFQ-0032,V018,Guangzhou Mech & Elec Co.,2025-12-14,196157.85,2026-01-16,Net60,pending
PO-RFQ-0032-V002,RFQ-0032,V002,Tanaka Electrical KK,2025-12-14,216297.51,2026-01-20,Net45,in_transit
PO-RFQ-0032-V016,RFQ-0032,V016,Precision Arc Systems,2025-08-19,244510.56,2025-09-29,Net30,delivered
PO-RFQ-0032-V021,RFQ-0032,V021,Helios Micro Systems,2025-07-28,224271.84,2025-09-13,Net30,delivered
PO-RFQ-0033-V010,RFQ-0033,V010,Adriatic Fastenings d.o.o.,2025-08-02,41058.16,2025-08-22,Net60,cancelled
PO-RFQ-0033-V001,RFQ-0033,V001,Kovacs Precision GmbH,2025-11-12,44895.48,2025-12-09,Net60,pending
PO-RFQ-0033-V017,RFQ-0033,V017,Türk Makina A.Ş.,2025-08-11,38741.8,2025-09-19,Net30,pending
PO-RFQ-0033-V004,RFQ-0033,V004,Strömberg Hydraulics AB,2025-12-16,42986.52,2026-01-30,Net45,cancelled
PO-RFQ-0033-V019,RFQ-0033,V019,Emerald Isle Castings Ltd,2025-10-14,44651.04,2025-12-08,Net30,in_transit
PO-RFQ-0034-V016,RFQ-0034,V016,Precision Arc Systems,2025-11-01,132568.86,2025-11-17,Net30,delivered
PO-RFQ-0034-V002,RFQ-0034,V002,Tanaka Electrical KK,2025-08-30,145305.66,2025-09-21,Net60,cancelled
PO-RFQ-0034-V018,RFQ-0034,V018,Guangzhou Mech & Elec Co.,2026-04-13,139069.02,2026-05-21,Net45,cancelled
PO-RFQ-0034-V021,RFQ-0034,V021,Helios Micro Systems,2025-10-27,153269.82,2025-11-06,Net30,in_transit
PO-RFQ-0035-V006,RFQ-0035,V006,Bright Spark Electronics Ltd,2025-10-12,8671.25,2025-11-05,Net30,cancelled
PO-RFQ-0035-V013,RFQ-0035,V013,Vantage Sensors GmbH,2026-02-27,8966.25,2026-04-20,Net45,cancelled
PO-RFQ-0035-V021,RFQ-0035,V021,Helios Micro Systems,2026-04-24,9096.25,2026-05-18,Net45,delivered
PO-RFQ-0036-V002,RFQ-0036,V002,Tanaka Electrical KK,2025-12-09,63942.84,2025-12-27,Net45,in_transit
PO-RFQ-0036-V016,RFQ-0036,V016,Precision Arc Systems,2025-10-06,52628.16,2025-11-12,Net45,delivered
PO-RFQ-0036-V011,RFQ-0036,V011,Solaris Power Components,2026-03-03,57465.72,2026-04-18,Net30,pending
PO-RFQ-0036-V018,RFQ-0036,V018,Guangzhou Mech & Elec Co.,2026-04-07,57623.28,2026-05-31,Net45,pending
PO-RFQ-0037-V006,RFQ-0037,V006,Bright Spark Electronics Ltd,2026-04-26,46659.18,2026-05-13,Net30,pending
PO-RFQ-0037-V013,RFQ-0037,V013,Vantage Sensors GmbH,2026-01-28,48504.24,2026-02-24,Net60,delivered
PO-RFQ-0037-V016,RFQ-0037,V016,Precision Arc Systems,2026-04-05,42688.92,2026-05-23,Net45,in_transit
PO-RFQ-0037-V018,RFQ-0037,V018,Guangzhou Mech & Elec Co.,2026-03-24,44471.88,2026-05-05,Net45,cancelled
PO-RFQ-0037-V021,RFQ-0037,V021,Helios Micro Systems,2026-03-22,48857.52,2026-05-06,Net45,cancelled
PO-RFQ-0038-V001,RFQ-0038,V001,Kovacs Precision GmbH,2026-04-12,8190.09,2026-04-28,Net45,cancelled
PO-RFQ-0038-V019,RFQ-0038,V019,Emerald Isle Castings Ltd,2026-04-08,8792.05,2026-04-23,Net45,in_transit
PO-RFQ-0038-V010,RFQ-0038,V010,Adriatic Fastenings d.o.o.,2026-02-07,7596.21,2026-03-11,Net45,pending
PO-RFQ-0038-V017,RFQ-0038,V017,Türk Makina A.Ş.,2026-04-01,7656.81,2026-04-29,Net30,in_transit
PO-RFQ-0038-V007,RFQ-0038,V007,Nakamura Tooling Co.,2025-11-23,8503.19,2025-12-24,Net45,cancelled
PO-RFQ-0039-V002,RFQ-0039,V002,Tanaka Electrical KK,2025-07-23,3773.25,2025-08-04,Net45,delivered
PO-RFQ-0039-V006,RFQ-0039,V006,Bright Spark Electronics Ltd,2025-10-29,3146.65,2025-11-24,Net45,pending
PO-RFQ-0039-V011,RFQ-0039,V011,Solaris Power Components,2026-01-20,3135.6,2026-02-18,Net30,pending
PO-RFQ-0039-V016,RFQ-0039,V016,Precision Arc Systems,2025-09-12,3843.45,2025-10-04,Net60,delivered
PO-RFQ-0039-V018,RFQ-0039,V018,Guangzhou Mech & Elec Co.,2025-11-27,3589.3,2025-12-23,Net60,cancelled
PO-RFQ-0040-V011,RFQ-0040,V011,Solaris Power Components,2026-03-07,38423.56,2026-04-29,Net60,delivered
PO-RFQ-0040-V018,RFQ-0040,V018,Guangzhou Mech & Elec Co.,2025-08-14,37470.72,2025-10-05,Net60,cancelled
PO-RFQ-0040-V013,RFQ-0040,V013,Vantage Sensors GmbH,2025-09-29,40920.46,2025-11-17,Net60,pending
PO-RFQ-0040-V021,RFQ-0040,V021,Helios Micro Systems,2025-10-14,43457.54,2025-10-31,Net60,in_transit
PO-RFQ-0041-V017,RFQ-0041,V017,Türk Makina A.Ş.,2025-10-02,193357.28,2025-10-16,Net45,cancelled
PO-RFQ-0041-V010,RFQ-0041,V010,Adriatic Fastenings d.o.o.,2026-03-07,198170.72,2026-03-23,Net60,in_transit
PO-RFQ-0041-V004,RFQ-0041,V004,Strömberg Hydraulics AB,2026-01-30,215684.84,2026-03-02,Net45,cancelled
PO-RFQ-0041-V019,RFQ-0041,V019,Emerald Isle Castings Ltd,2025-12-25,215200.88,2026-02-10,Net60,cancelled
PO-RFQ-0041-V007,RFQ-0041,V007,Nakamura Tooling Co.,2025-10-19,222673.92,2025-12-01,Net60,delivered
PO-RFQ-0042-V013,RFQ-0042,V013,Vantage Sensors GmbH,2025-10-30,18812.31,2025-11-29,Net60,cancelled
PO-RFQ-0042-V011,RFQ-0042,V011,Solaris Power Components,2026-04-14,17817.14,2026-05-27,Net30,in_transit
PO-RFQ-0042-V002,RFQ-0042,V002,Tanaka Electrical KK,2025-09-07,18997.61,2025-10-05,Net45,delivered
PO-RFQ-0042-V018,RFQ-0042,V018,Guangzhou Mech & Elec Co.,2025-08-05,16821.97,2025-09-22,Net45,in_transit
PO-RFQ-0042-V021,RFQ-0042,V021,Helios Micro Systems,2026-05-06,18944.2,2026-05-22,Net60,delivered
PO-RFQ-0043-V001,RFQ-0043,V001,Kovacs Precision GmbH,2025-07-25,79843.34,2025-08-06,Net30,in_transit
PO-RFQ-0043-V017,RFQ-0043,V017,Türk Makina A.Ş.,2026-04-26,70587.2,2026-05-09,Net60,pending
PO-RFQ-0043-V010,RFQ-0043,V010,Adriatic Fastenings d.o.o.,2025-09-30,69255.26,2025-10-31,Net45,in_transit
PO-RFQ-0043-V004,RFQ-0043,V004,Strömberg Hydraulics AB,2026-01-18,80337.9,2026-02-19,Net30,in_transit
PO-RFQ-0043-V007,RFQ-0043,V007,Nakamura Tooling Co.,2025-09-06,79882.68,2025-10-12,Net30,in_transit
PO-RFQ-0044-V017,RFQ-0044,V017,Türk Makina A.Ş.,2026-01-22,8782.32,2026-02-03,Net60,cancelled
PO-RFQ-0044-V004,RFQ-0044,V004,Strömberg Hydraulics AB,2025-12-12,9173.19,2025-12-30,Net45,delivered
PO-RFQ-0044-V009,RFQ-0044,V009,Fischer & Söhne KG,2026-02-03,9320.25,2026-03-07,Net60,in_transit
PO-RFQ-0044-V007,RFQ-0044,V007,Nakamura Tooling Co.,2025-11-26,9969.12,2025-12-19,Net30,in_transit
PO-RFQ-0044-V019,RFQ-0044,V019,Emerald Isle Castings Ltd,2025-10-19,10033.62,2025-12-12,Net45,cancelled
PO-RFQ-0045-V009,RFQ-0045,V009,Fischer & Söhne KG,2026-02-03,17037.0,2026-02-14,Net45,in_transit
PO-RFQ-0045-V019,RFQ-0045,V019,Emerald Isle Castings Ltd,2025-09-27,18726.0,2025-10-16,Net45,in_transit
PO-RFQ-0045-V010,RFQ-0045,V010,Adriatic Fastenings d.o.o.,2026-02-17,15253.0,2026-03-18,Net30,pending
PO-RFQ-0045-V001,RFQ-0045,V001,Kovacs Precision GmbH,2026-02-26,17092.0,2026-04-21,Net30,in_transit
PO-RFQ-0045-V004,RFQ-0045,V004,Strömberg Hydraulics AB,2026-01-07,17783.0,2026-02-14,Net60,in_transit
PO-RFQ-0046-V019,RFQ-0046,V019,Emerald Isle Castings Ltd,2026-04-28,1252.12,2026-05-11,Net60,delivered
PO-RFQ-0046-V010,RFQ-0046,V010,Adriatic Fastenings d.o.o.,2026-01-01,1115.96,2026-01-16,Net60,delivered
PO-RFQ-0046-V001,RFQ-0046,V001,Kovacs Precision GmbH,2026-04-06,1212.56,2026-04-22,Net45,in_transit
PO-RFQ-0046-V009,RFQ-0046,V009,Fischer & Söhne KG,2026-01-13,1179.44,2026-03-08,Net30,pending
PO-RFQ-0046-V017,RFQ-0046,V017,Türk Makina A.Ş.,2025-12-10,1045.12,2026-01-28,Net30,in_transit
PO-RFQ-0047-V015,RFQ-0047,V015,Nordic Steel AS,2025-12-08,39062.43,2026-01-19,Net45,delivered
PO-RFQ-0047-V014,RFQ-0047,V014,Coastal Alloys Pty Ltd,2025-08-14,40874.46,2025-10-02,Net30,delivered
PO-RFQ-0047-V003,RFQ-0047,V003,Patel Alloys Pvt Ltd,2025-09-04,39537.41,2025-10-26,Net45,pending
PO-RFQ-0047-V020,RFQ-0047,V020,Rajasthan Rare Earths Ltd,2026-03-27,40092.8,2026-05-18,Net45,pending
PO-RFQ-0047-V023,RFQ-0047,V023,Sahara Industrial FZE,2025-11-15,35148.52,2025-12-20,Net30,cancelled
PO-RFQ-0048-V018,RFQ-0048,V018,Guangzhou Mech & Elec Co.,2026-04-10,155019.7,2026-04-26,Net45,pending
PO-RFQ-0048-V002,RFQ-0048,V002,Tanaka Electrical KK,2025-09-28,182587.65,2025-11-01,Net60,delivered
PO-RFQ-0048-V021,RFQ-0048,V021,Helios Micro Systems,2026-01-26,181214.95,2026-02-10,Net60,in_transit
PO-RFQ-0048-V013,RFQ-0048,V013,Vantage Sensors GmbH,2026-03-07,182921.55,2026-04-27,Net30,delivered
