wo_item_id,work_order_id,material_code,description,category,quantity,unit,target_unit_price_usd,required_by_date,preferred_vendor_category
WO-2024-0006-I05,WO-2024-0006,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,117,pcs,15.61,2024-06-26,Electrical Components
WO-2024-0006-I06,WO-2024-0006,ELEC-3305,Power Supply 24VDC 20A DIN,Electrical Components,51,pcs,121.92,2024-06-18,Electrical Components
WO-2024-0007-I01,WO-2024-0007,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,14,pcs,1695.32,2024-03-28,Electrical Components
WO-2024-0007-I02,WO-2024-0007,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,62,pcs,357.46,2024-03-24,Electrical Components
WO-2024-0007-I03,WO-2024-0007,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,40,kg,4.12,2024-03-24,Mechanical Parts
WO-2024-0008-I01,WO-2024-0008,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,106,pcs,107.23,2024-03-21,Electrical Components
WO-2024-0008-I02,WO-2024-0008,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,76,pcs,1911.08,2024-03-23,Electrical Components
WO-2024-0009-I01,WO-2024-0009,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,71,pcs,360.74,2024-11-15,Mechanical Parts
WO-2024-0009-I02,WO-2024-0009,RAW-4405,HDPE Rod 50mm dia,Raw Materials,82,m,15.58,2024-11-12,Raw Materials
WO-2024-0009-I03,WO-2024-0009,RAW-4404,Stainless 316L Sheet 2mm,Raw Materials,22,kg,4.05,2024-11-04,Raw Materials
WO-2024-0009-I04,WO-2024-0009,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,83,pcs,31.75,2024-11-14,Mechanical Parts
WO-2024-0009-I05,WO-2024-0009,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,55,pcs,1770.92,2024-11-09,Electrical Components
WO-2024-0009-I06,WO-2024-0009,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,99,pcs,18.55,2024-11-14,Electrical Components
WO-2024-0010-I01,WO-2024-0010,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,52,pcs,16.45,2025-04-24,Electrical Components
WO-2024-0010-I02,WO-2024-0010,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,19,kg,3.73,2025-05-01,Raw Materials
WO-2024-0010-I03,WO-2024-0010,ELEC-3305,Power Supply 24VDC 20A DIN,Electrical Components,79,pcs,94.62,2025-04-23,Electrical Components
WO-2024-0010-I04,WO-2024-0010,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,120,kg,3.93,2025-04-22,Mechanical Parts
WO-2024-0010-I05,WO-2024-0010,RAW-4405,HDPE Rod 50mm dia,Raw Materials,93,m,15.94,2025-04-26,Raw Materials
WO-2024-0010-I06,WO-2024-0010,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,81,pcs,368.38,2025-04-29,Mechanical Parts
WO-2024-0011-I01,WO-2024-0011,ELEC-3305,Power Supply 24VDC 20A DIN,Electrical Components,26,pcs,113.05,2025-02-28,Electrical Components
WO-2024-0011-I02,WO-2024-0011,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,97,pcs,16.78,2025-02-23,Electrical Components
WO-2024-0012-I01,WO-2024-0012,ELEC-3305,Power Supply 24VDC 20A DIN,Electrical Components,19,pcs,101.88,2025-02-03,Electrical Components
WO-2024-0012-I02,WO-2024-0012,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,61,kg,3.04,2025-02-05,Raw Materials
WO-2024-0013-I01,WO-2024-0013,RAW-4403,Copper Busbar 40×4mm,Raw Materials,71,m,18.95,2024-06-02,Raw Materials
WO-2024-0013-I02,WO-2024-0013,ELEC-3305,Power Supply 24VDC 20A DIN,Electrical Components,46,pcs,127.96,2024-06-03,Electrical Components
WO-2024-0013-I03,WO-2024-0013,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,66,pcs,17.12,2024-06-02,Electrical Components
WO-2024-0013-I04,WO-2024-0013,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,45,kg,3.65,2024-06-08,Raw Materials
WO-2024-0013-I05,WO-2024-0013,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,63,pcs,419.5,2024-06-05,Mechanical Parts
WO-2024-0013-I06,WO-2024-0013,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,48,pcs,34.07,2024-06-11,Mechanical Parts
WO-2024-0014-I01,WO-2024-0014,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,33,pcs,19.86,2025-02-03,Electrical Components
WO-2024-0014-I02,WO-2024-0014,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,43,pcs,236.94,2025-02-01,Mechanical Parts
WO-2024-0014-I03,WO-2024-0014,RAW-4404,Stainless 316L Sheet 2mm,Raw Materials,95,kg,3.74,2025-01-27,Raw Materials
WO-2024-0014-I04,WO-2024-0014,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,95,kg,3.8,2025-01-23,Mechanical Parts
WO-2024-0014-I05,WO-2024-0014,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,66,pcs,371.25,2025-01-27,Electrical Components
WO-2024-0014-I06,WO-2024-0014,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,106,kg,3.27,2025-01-28,Raw Materials
WO-2024-0015-I01,WO-2024-0015,RAW-4405,HDPE Rod 50mm dia,Raw Materials,10,m,13.14,2025-02-10,Raw Materials
WO-2024-0015-I02,WO-2024-0015,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,96,pcs,84.51,2025-02-05,Electrical Components
WO-2024-0015-I03,WO-2024-0015,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,61,pcs,1738.19,2025-02-10,Electrical Components
WO-2024-0015-I04,WO-2024-0015,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,100,pcs,31.34,2025-02-02,Mechanical Parts
WO-2024-0015-I05,WO-2024-0015,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,30,kg,4.39,2025-02-07,Mechanical Parts
WO-2024-0016-I01,WO-2024-0016,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,80,pcs,146.06,2024-12-25,Mechanical Parts
WO-2024-0016-I02,WO-2024-0016,ELEC-3305,Power Supply 24VDC 20A DIN,Electrical Components,11,pcs,117.62,2024-12-24,Electrical Components
WO-2024-0016-I03,WO-2024-0016,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,72,kg,2.85,2024-12-24,Raw Materials
WO-2024-0017-I01,WO-2024-0017,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,75,pcs,159.44,2024-09-24,Mechanical Parts
WO-2024-0017-I02,WO-2024-0017,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,25,MT,668.89,2024-09-16,Raw Materials
WO-2024-0017-I03,WO-2024-0017,RAW-4403,Copper Busbar 40×4mm,Raw Materials,117,m,23.62,2024-09-19,Raw Materials
WO-2024-0017-I04,WO-2024-0017,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,66,pcs,34.07,2024-09-17,Mechanical Parts
WO-2024-0017-I05,WO-2024-0017,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,101,pcs,397.16,2024-09-21,Mechanical Parts
WO-2024-0020-I01,WO-2024-0020,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,106,pcs,351.64,2024-12-19,Mechanical Parts
WO-2024-0020-I02,WO-2024-0020,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,91,kg,3.51,2024-12-23,Raw Materials
WO-2024-0020-I03,WO-2024-0020,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,27,pcs,1636.45,2024-12-26,Electrical Components
WO-2024-0021-I01,WO-2024-0021,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,22,pcs,1778.76,2025-03-12,Electrical Components
WO-2024-0021-I02,WO-2024-0021,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,36,pcs,137.24,2025-03-17,Mechanical Parts
WO-2024-0021-I03,WO-2024-0021,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,54,pcs,87.4,2025-03-15,Electrical Components
WO-2024-0021-I04,WO-2024-0021,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,101,MT,633.95,2025-03-11,Raw Materials
WO-2024-0021-I05,WO-2024-0021,RAW-4404,Stainless 316L Sheet 2mm,Raw Materials,47,kg,3.68,2025-03-10,Raw Materials
WO-2024-0021-I06,WO-2024-0021,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,97,pcs,32.61,2025-03-13,Mechanical Parts
WO-2024-0022-I01,WO-2024-0022,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,64,MT,703.3,2025-01-11,Raw Materials
WO-2024-0022-I02,WO-2024-0022,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,56,pcs,166.98,2025-01-10,Mechanical Parts
WO-2024-0023-I01,WO-2024-0023,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,22,pcs,1771.82,2025-01-06,Electrical Components
WO-2024-0023-I02,WO-2024-0023,ELEC-3305,Power Supply 24VDC 20A DIN,Electrical Components,63,pcs,117.93,2025-01-11,Electrical Components
WO-2024-0023-I03,WO-2024-0023,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,82,pcs,216.38,2025-01-04,Mechanical Parts
WO-2024-0023-I04,WO-2024-0023,RAW-4403,Copper Busbar 40×4mm,Raw Materials,94,m,22.72,2025-01-09,Raw Materials
WO-2024-0024-I01,WO-2024-0024,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,116,MT,728.1,2025-03-13,Raw Materials
WO-2024-0024-I02,WO-2024-0024,RAW-4403,Copper Busbar 40×4mm,Raw Materials,72,m,19.75,2025-03-04,Raw Materials
WO-2024-0024-I03,WO-2024-0024,ELEC-3305,Power Supply 24VDC 20A DIN,Electrical Components,95,pcs,99.24,2025-03-09,Electrical Components
WO-2024-0025-I01,WO-2024-0025,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,114,pcs,215.49,2025-04-26,Mechanical Parts
WO-2024-0025-I02,WO-2024-0025,ELEC-3305,Power Supply 24VDC 20A DIN,Electrical Components,19,pcs,109.95,2025-04-30,Electrical Components
WO-2024-0025-I03,WO-2024-0025,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,96,pcs,383.25,2025-04-23,Electrical Components
WO-2024-0025-I04,WO-2024-0025,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,16,pcs,36.39,2025-04-29,Mechanical Parts
WO-2024-0025-I05,WO-2024-0025,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,62,kg,3.2,2025-05-02,Raw Materials
WO-2024-0025-I06,WO-2024-0025,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,63,pcs,1624.28,2025-04-21,Electrical Components
WO-2024-0026-I01,WO-2024-0026,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,55,MT,636.28,2024-03-31,Raw Materials
WO-2024-0026-I02,WO-2024-0026,RAW-4403,Copper Busbar 40×4mm,Raw Materials,5,m,22.77,2024-03-23,Raw Materials
WO-2024-0026-I03,WO-2024-0026,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,79,kg,3.21,2024-03-23,Mechanical Parts
WO-2024-0026-I04,WO-2024-0026,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,59,kg,2.85,2024-03-28,Raw Materials
WO-2024-0026-I05,WO-2024-0026,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,13,pcs,389.7,2024-03-22,Mechanical Parts
WO-2024-0027-I01,WO-2024-0027,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,28,kg,4.09,2024-02-14,Mechanical Parts
WO-2024-0027-I02,WO-2024-0027,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,103,pcs,104.31,2024-02-17,Electrical Components
WO-2024-0028-I01,WO-2024-0028,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,92,pcs,20.25,2024-08-23,Electrical Components
WO-2024-0028-I02,WO-2024-0028,RAW-4404,Stainless 316L Sheet 2mm,Raw Materials,116,kg,3.95,2024-09-03,Raw Materials
WO-2024-0028-I03,WO-2024-0028,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,88,pcs,105.44,2024-08-27,Electrical Components
WO-2024-0028-I04,WO-2024-0028,RAW-4403,Copper Busbar 40×4mm,Raw Materials,20,m,18.62,2024-08-26,Raw Materials
WO-2024-0028-I05,WO-2024-0028,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,73,pcs,155.2,2024-08-31,Mechanical Parts
WO-2024-0029-I01,WO-2024-0029,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,91,kg,4.11,2024-05-08,Mechanical Parts
WO-2024-0029-I02,WO-2024-0029,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,59,pcs,18.41,2024-05-09,Electrical Components
WO-2024-0030-I01,WO-2024-0030,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,9,pcs,249.15,2024-08-12,Mechanical Parts
WO-2024-0030-I02,WO-2024-0030,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,58,kg,3.21,2024-08-20,Raw Materials
WO-2024-0030-I03,WO-2024-0030,RAW-4403,Copper Busbar 40×4mm,Raw Materials,118,m,24.82,2024-08-12,Raw Materials
WO-2024-0030-I04,WO-2024-0030,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,35,pcs,142.02,2024-08-18,Mechanical Parts
WO-2024-0031-I01,WO-2024-0031,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,61,kg,2.84,2024-08-30,Raw Materials
WO-2024-0031-I02,WO-2024-0031,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,32,pcs,364.6,2024-09-02,Mechanical Parts
WO-2024-0031-I03,WO-2024-0031,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,104,pcs,89.04,2024-09-07,Electrical Components
WO-2024-0032-I01,WO-2024-0032,ELEC-3305,Power Supply 24VDC 20A DIN,Electrical Components,117,pcs,91.97,2024-05-08,Electrical Components
WO-2024-0032-I02,WO-2024-0032,RAW-4403,Copper Busbar 40×4mm,Raw Materials,89,m,21.5,2024-05-13,Raw Materials
WO-2024-0032-I03,WO-2024-0032,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,57,MT,640.67,2024-05-04,Raw Materials
WO-2024-0032-I04,WO-2024-0032,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,12,pcs,1615.94,2024-05-12,Electrical Components
WO-2024-0032-I05,WO-2024-0032,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,80,pcs,229.86,2024-05-14,Mechanical Parts
WO-2024-0032-I06,WO-2024-0032,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,27,kg,3.81,2024-05-07,Mechanical Parts
WO-2024-0033-I01,WO-2024-0033,RAW-4403,Copper Busbar 40×4mm,Raw Materials,57,m,17.93,2024-02-19,Raw Materials
WO-2024-0033-I02,WO-2024-0033,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,53,pcs,338.26,2024-02-15,Electrical Components
WO-2024-0033-I03,WO-2024-0033,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,73,pcs,1725.11,2024-02-26,Electrical Components
WO-2024-0033-I04,WO-2024-0033,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,113,kg,2.89,2024-02-17,Raw Materials
WO-2024-0033-I05,WO-2024-0033,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,114,pcs,105.01,2024-02-26,Electrical Components
WO-2024-0034-I01,WO-2024-0034,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,37,pcs,355.02,2024-10-23,Electrical Components
WO-2024-0034-I02,WO-2024-0034,RAW-4405,HDPE Rod 50mm dia,Raw Materials,87,m,12.37,2024-10-30,Raw Materials
WO-2024-0034-I03,WO-2024-0034,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,62,pcs,37.09,2024-10-19,Mechanical Parts
WO-2024-0034-I04,WO-2024-0034,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,16,pcs,103.62,2024-10-24,Electrical Components
WO-2024-0034-I05,WO-2024-0034,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,111,pcs,218.44,2024-10-19,Mechanical Parts
WO-2024-0036-I01,WO-2024-0036,RAW-4405,HDPE Rod 50mm dia,Raw Materials,99,m,12.66,2025-06-05,Raw Materials
WO-2024-0036-I02,WO-2024-0036,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,101,pcs,404.05,2025-05-29,Mechanical Parts
WO-2024-0036-I03,WO-2024-0036,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,36,pcs,218.73,2025-05-26,Mechanical Parts
WO-2024-0036-I04,WO-2024-0036,RAW-4403,Copper Busbar 40×4mm,Raw Materials,95,m,17.92,2025-05-31,Raw Materials
WO-2024-0037-I01,WO-2024-0037,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,38,pcs,17.09,2025-02-23,Electrical Components
WO-2024-0037-I02,WO-2024-0037,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,117,pcs,374.04,2025-02-25,Electrical Components
WO-2024-0037-I03,WO-2024-0037,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,17,MT,750.4,2025-02-21,Raw Materials
WO-2024-0037-I04,WO-2024-0037,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,97,pcs,1720.5,2025-02-21,Electrical Components
WO-2024-0037-I05,WO-2024-0037,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,112,kg,3.5,2025-02-21,Mechanical Parts
WO-2024-0038-I01,WO-2024-0038,RAW-4404,Stainless 316L Sheet 2mm,Raw Materials,75,kg,4.62,2024-09-11,Raw Materials
WO-2024-0038-I02,WO-2024-0038,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,79,pcs,228.1,2024-09-17,Mechanical Parts
WO-2024-0038-I03,WO-2024-0038,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,42,kg,2.9,2024-09-10,Raw Materials
WO-2024-0038-I04,WO-2024-0038,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,47,pcs,29.41,2024-09-14,Mechanical Parts
WO-2024-0038-I05,WO-2024-0038,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,77,pcs,415.95,2024-09-11,Mechanical Parts
WO-2024-0038-I06,WO-2024-0038,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,68,kg,4.16,2024-09-14,Mechanical Parts
WO-2024-0039-I01,WO-2024-0039,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,22,pcs,18.28,2025-03-24,Electrical Components
WO-2024-0039-I02,WO-2024-0039,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,67,pcs,29.32,2025-03-24,Mechanical Parts
WO-2024-0039-I03,WO-2024-0039,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,118,kg,3.16,2025-03-19,Raw Materials
WO-2024-0039-I04,WO-2024-0039,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,87,pcs,1955.88,2025-03-23,Electrical Components
WO-2024-0039-I05,WO-2024-0039,RAW-4404,Stainless 316L Sheet 2mm,Raw Materials,72,kg,3.57,2025-03-20,Raw Materials
WO-2024-0040-I01,WO-2024-0040,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,112,pcs,106.88,2024-12-07,Electrical Components
WO-2024-0040-I02,WO-2024-0040,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,13,pcs,33.44,2024-12-14,Mechanical Parts
WO-2024-0041-I01,WO-2024-0041,ELEC-3305,Power Supply 24VDC 20A DIN,Electrical Components,90,pcs,116.33,2024-10-13,Electrical Components
WO-2024-0041-I02,WO-2024-0041,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,66,MT,661.7,2024-10-07,Raw Materials
WO-2024-0042-I01,WO-2024-0042,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,97,pcs,394.75,2024-12-07,Mechanical Parts
WO-2024-0042-I02,WO-2024-0042,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,41,pcs,304.91,2024-12-02,Electrical Components
WO-2024-0043-I01,WO-2024-0043,RAW-4405,HDPE Rod 50mm dia,Raw Materials,72,m,12.39,2025-03-10,Raw Materials
WO-2024-0043-I02,WO-2024-0043,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,29,pcs,152.67,2025-03-09,Mechanical Parts
WO-2024-0045-I01,WO-2024-0045,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,53,pcs,101.99,2024-03-03,Electrical Components
WO-2024-0045-I02,WO-2024-0045,RAW-4405,HDPE Rod 50mm dia,Raw Materials,12,m,15.0,2024-02-23,Raw Materials
WO-2024-0046-I01,WO-2024-0046,ELEC-3305,Power Supply 24VDC 20A DIN,Electrical Components,10,pcs,91.21,2024-11-03,Electrical Components
WO-2024-0046-I02,WO-2024-0046,RAW-4404,Stainless 316L Sheet 2mm,Raw Materials,120,kg,4.43,2024-11-12,Raw Materials
WO-2024-0046-I03,WO-2024-0046,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,118,pcs,166.33,2024-11-07,Mechanical Parts
WO-2024-0046-I04,WO-2024-0046,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,39,pcs,319.22,2024-11-06,Electrical Components
WO-2024-0047-I01,WO-2024-0047,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,80,MT,702.23,2024-06-27,Raw Materials
WO-2024-0047-I02,WO-2024-0047,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,110,pcs,395.74,2024-06-17,Mechanical Parts
WO-2024-0047-I03,WO-2024-0047,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,55,pcs,38.28,2024-06-23,Mechanical Parts
WO-2024-0047-I04,WO-2024-0047,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,43,pcs,1619.6,2024-06-22,Electrical Components
WO-2024-0047-I05,WO-2024-0047,RAW-4404,Stainless 316L Sheet 2mm,Raw Materials,35,kg,4.22,2024-06-25,Raw Materials
WO-2024-0047-I06,WO-2024-0047,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,113,pcs,212.42,2024-06-16,Mechanical Parts
WO-2024-0048-I01,WO-2024-0048,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,49,pcs,339.27,2025-03-08,Electrical Components
WO-2024-0048-I02,WO-2024-0048,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,60,kg,2.96,2025-03-14,Raw Materials
WO-2024-0049-I01,WO-2024-0049,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,67,pcs,346.93,2025-03-19,Mechanical Parts
WO-2024-0049-I02,WO-2024-0049,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,75,MT,762.57,2025-03-20,Raw Materials
WO-2024-0049-I03,WO-2024-0049,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,60,kg,3.28,2025-03-27,Mechanical Parts
WO-2024-0049-I04,WO-2024-0049,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,79,pcs,18.05,2025-03-22,Electrical Components
WO-2024-0050-I01,WO-2024-0050,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,24,pcs,143.69,2024-06-22,Mechanical Parts
WO-2024-0050-I02,WO-2024-0050,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,105,kg,4.09,2024-06-25,Mechanical Parts
WO-2024-0051-I01,WO-2024-0051,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,61,pcs,351.03,2024-08-20,Mechanical Parts
WO-2024-0051-I02,WO-2024-0051,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,39,kg,3.11,2024-08-17,Mechanical Parts
WO-2024-0053-I01,WO-2024-0053,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,39,pcs,32.28,2024-04-20,Mechanical Parts
WO-2024-0053-I02,WO-2024-0053,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,13,kg,3.37,2024-04-25,Mechanical Parts
WO-2024-0053-I03,WO-2024-0053,RAW-4404,Stainless 316L Sheet 2mm,Raw Materials,40,kg,3.85,2024-04-24,Raw Materials
WO-2024-0054-I01,WO-2024-0054,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,81,kg,3.07,2024-07-29,Raw Materials
WO-2024-0054-I02,WO-2024-0054,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,63,MT,635.23,2024-07-27,Raw Materials
WO-2024-0054-I03,WO-2024-0054,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,43,pcs,12.67,2024-07-21,Electrical Components
WO-2024-0055-I01,WO-2024-0055,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,81,pcs,14.59,2025-01-11,Electrical Components
WO-2024-0055-I02,WO-2024-0055,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,46,pcs,1833.94,2025-01-09,Electrical Components
WO-2024-0055-I03,WO-2024-0055,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,93,pcs,82.39,2025-01-02,Electrical Components
WO-2024-0055-I04,WO-2024-0055,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,45,MT,700.77,2025-01-09,Raw Materials
