bid_id,rfq_id,vendor_id,vendor_name,bid_date,bid_unit_price,bid_total_usd,delivery_days,validity_days,price_delta_pct,archetype
BID-RFQ-0006-V006,RFQ-0006,V006,Bright Spark Electronics Ltd,2024-03-18,1143.89,208187.98,50,30,13.35,volatile
BID-RFQ-0007-V002,RFQ-0007,V002,Tanaka Electrical KK,2024-09-30,384.42,158381.04,28,30,4.77,conservative
BID-RFQ-0007-V006,RFQ-0007,V006,Bright Spark Electronics Ltd,2024-10-02,364.58,150206.96,14,30,-0.64,volatile
BID-RFQ-0007-V018,RFQ-0007,V018,Guangzhou Mech & Elec Co.,2024-10-03,324.95,133879.4,16,30,-11.44,aggressive_bidder
BID-RFQ-0007-V021,RFQ-0007,V021,Helios Micro Systems,2024-09-30,387.63,159703.56,51,30,5.64,conservative
BID-RFQ-0007-V016,RFQ-0007,V016,Precision Arc Systems,2024-10-03,373.81,154009.72,25,30,1.88,volatile
BID-RFQ-0007-V011,RFQ-0007,V011,Solaris Power Components,2024-10-02,353.24,145534.88,53,30,-3.73,volatile
BID-RFQ-0007-V013,RFQ-0007,V013,Vantage Sensors GmbH,2024-10-02,385.58,158858.96,37,30,5.08,conservative
BID-RFQ-0008-V018,RFQ-0008,V018,Guangzhou Mech & Elec Co.,2025-03-20,74.3,32989.2,18,30,-11.38,aggressive_bidder
BID-RFQ-0008-V013,RFQ-0008,V013,Vantage Sensors GmbH,2025-03-20,85.59,38001.96,26,30,2.09,conservative
BID-RFQ-0008-V002,RFQ-0008,V002,Tanaka Electrical KK,2025-03-19,82.47,36616.68,39,30,-1.64,conservative
BID-RFQ-0008-V006,RFQ-0008,V006,Bright Spark Electronics Ltd,2025-03-18,83.54,37091.76,20,30,-0.37,volatile
BID-RFQ-0009-V018,RFQ-0009,V018,Guangzhou Mech & Elec Co.,2025-02-18,59.62,7333.26,22,30,-8.16,aggressive_bidder
BID-RFQ-0009-V013,RFQ-0009,V013,Vantage Sensors GmbH,2025-02-18,65.95,8111.85,35,30,1.6,conservative
BID-RFQ-0009-V011,RFQ-0009,V011,Solaris Power Components,2025-02-18,65.1,8007.3,41,30,0.29,volatile
BID-RFQ-0009-V016,RFQ-0009,V016,Precision Arc Systems,2025-02-21,72.28,8890.44,51,30,11.34,volatile
BID-RFQ-0010-V018,RFQ-0010,V018,Guangzhou Mech & Elec Co.,2024-12-30,48.87,3909.6,15,30,-6.84,aggressive_bidder
BID-RFQ-0010-V006,RFQ-0010,V006,Bright Spark Electronics Ltd,2024-12-30,60.32,4825.6,53,30,14.98,volatile
BID-RFQ-0010-V011,RFQ-0010,V011,Solaris Power Components,2025-01-01,60.22,4817.6,45,30,14.79,volatile
BID-RFQ-0010-V021,RFQ-0010,V021,Helios Micro Systems,2024-12-29,55.45,4436.0,49,30,5.7,conservative
BID-RFQ-0010-V002,RFQ-0010,V002,Tanaka Electrical KK,2024-12-30,52.64,4211.2,16,30,0.34,conservative
BID-RFQ-0010-V016,RFQ-0010,V016,Precision Arc Systems,2025-01-01,48.93,3914.4,33,30,-6.74,volatile
BID-RFQ-0011-V006,RFQ-0011,V006,Bright Spark Electronics Ltd,2024-05-01,118.46,40157.94,12,30,14.4,volatile
BID-RFQ-0011-V002,RFQ-0011,V002,Tanaka Electrical KK,2024-04-28,107.11,36310.29,32,30,3.45,conservative
BID-RFQ-0011-V018,RFQ-0011,V018,Guangzhou Mech & Elec Co.,2024-04-30,97.32,32991.48,51,30,-6.01,aggressive_bidder
BID-RFQ-0011-V011,RFQ-0011,V011,Solaris Power Components,2024-04-30,92.21,31259.19,31,30,-10.95,volatile
BID-RFQ-0012-V006,RFQ-0012,V006,Bright Spark Electronics Ltd,2025-01-22,115.61,50637.18,50,30,8.58,volatile
BID-RFQ-0012-V011,RFQ-0012,V011,Solaris Power Components,2025-01-21,94.08,41207.04,19,30,-11.65,volatile
BID-RFQ-0012-V013,RFQ-0012,V013,Vantage Sensors GmbH,2025-01-19,110.11,48228.18,26,30,3.41,conservative
BID-RFQ-0012-V002,RFQ-0012,V002,Tanaka Electrical KK,2025-01-21,105.43,46178.34,43,30,-0.98,conservative
BID-RFQ-0012-V018,RFQ-0012,V018,Guangzhou Mech & Elec Co.,2025-01-22,97.34,42634.92,19,30,-8.59,aggressive_bidder
BID-RFQ-0012-V016,RFQ-0012,V016,Precision Arc Systems,2025-01-21,89.02,38990.76,23,30,-16.39,volatile
BID-RFQ-0013-V018,RFQ-0013,V018,Guangzhou Mech & Elec Co.,2025-01-01,354.19,105194.43,55,30,-5.38,aggressive_bidder
BID-RFQ-0014-V018,RFQ-0014,V018,Guangzhou Mech & Elec Co.,2025-01-05,78.37,12774.31,48,30,-11.79,aggressive_bidder
BID-RFQ-0014-V016,RFQ-0014,V016,Precision Arc Systems,2025-01-06,73.56,11990.28,15,30,-17.21,volatile
BID-RFQ-0014-V002,RFQ-0014,V002,Tanaka Electrical KK,2025-01-04,91.89,14978.07,55,30,3.43,conservative
BID-RFQ-0014-V006,RFQ-0014,V006,Bright Spark Electronics Ltd,2025-01-06,90.35,14727.05,42,30,1.7,volatile
BID-RFQ-0014-V011,RFQ-0014,V011,Solaris Power Components,2025-01-06,98.83,16109.29,53,30,11.24,volatile
BID-RFQ-0014-V013,RFQ-0014,V013,Vantage Sensors GmbH,2025-01-05,90.89,14815.07,10,30,2.3,conservative
BID-RFQ-0015-V001,RFQ-0015,V001,Kovacs Precision GmbH,2024-08-15,246.67,94721.28,27,30,-3.88,reliable
BID-RFQ-0015-V024,RFQ-0015,V024,BalticTech UAB,2024-08-13,249.41,95773.44,30,30,-2.82,reliable
BID-RFQ-0015-V009,RFQ-0015,V009,Fischer & Söhne KG,2024-08-12,254.76,97827.84,41,30,-0.73,relationship_focused
BID-RFQ-0015-V007,RFQ-0015,V007,Nakamura Tooling Co.,2024-08-12,258.85,99398.4,10,30,0.86,conservative
BID-RFQ-0015-V010,RFQ-0015,V010,Adriatic Fastenings d.o.o.,2024-08-13,236.43,90789.12,55,30,-7.88,aggressive_bidder
BID-RFQ-0015-V019,RFQ-0015,V019,Emerald Isle Castings Ltd,2024-08-14,271.71,104336.64,42,30,5.87,conservative
BID-RFQ-0015-V004,RFQ-0015,V004,Strömberg Hydraulics AB,2024-08-13,258.77,99367.68,53,30,0.83,reliable
BID-RFQ-0016-V002,RFQ-0016,V002,Tanaka Electrical KK,2024-12-17,678.87,152066.88,46,30,2.26,conservative
BID-RFQ-0016-V013,RFQ-0016,V013,Vantage Sensors GmbH,2024-12-18,668.07,149647.68,37,30,0.63,conservative
BID-RFQ-0016-V006,RFQ-0016,V006,Bright Spark Electronics Ltd,2024-12-19,596.24,133557.76,38,30,-10.19,volatile
BID-RFQ-0016-V018,RFQ-0016,V018,Guangzhou Mech & Elec Co.,2024-12-17,624.11,139800.64,13,30,-5.99,aggressive_bidder
BID-RFQ-0017-V016,RFQ-0017,V016,Precision Arc Systems,2025-03-11,480.53,171549.21,22,30,7.84,volatile
BID-RFQ-0017-V002,RFQ-0017,V002,Tanaka Electrical KK,2025-03-09,453.86,162028.02,12,30,1.85,conservative
BID-RFQ-0017-V011,RFQ-0017,V011,Solaris Power Components,2025-03-10,415.82,148447.74,47,30,-6.68,volatile
BID-RFQ-0017-V013,RFQ-0017,V013,Vantage Sensors GmbH,2025-03-10,448.87,160246.59,48,30,0.73,conservative
BID-RFQ-0017-V006,RFQ-0017,V006,Bright Spark Electronics Ltd,2025-03-11,371.6,132661.2,24,30,-16.61,volatile
BID-RFQ-0017-V018,RFQ-0017,V018,Guangzhou Mech & Elec Co.,2025-03-08,390.61,139447.77,17,30,-12.34,aggressive_bidder
BID-RFQ-0017-V021,RFQ-0017,V021,Helios Micro Systems,2025-03-09,468.26,167168.82,21,30,5.08,conservative
BID-RFQ-0018-V004,RFQ-0018,V004,Strömberg Hydraulics AB,2025-01-03,445.55,53466.0,22,30,2.39,reliable
BID-RFQ-0018-V001,RFQ-0018,V001,Kovacs Precision GmbH,2025-01-05,421.99,50638.8,27,30,-3.02,reliable
BID-RFQ-0018-V019,RFQ-0018,V019,Emerald Isle Castings Ltd,2025-01-06,439.95,52794.0,43,30,1.1,conservative
BID-RFQ-0018-V017,RFQ-0018,V017,Türk Makina A.Ş.,2025-01-04,396.98,47637.6,22,30,-8.77,aggressive_bidder
BID-RFQ-0018-V024,RFQ-0018,V024,BalticTech UAB,2025-01-04,423.65,50838.0,24,30,-2.64,reliable
BID-RFQ-0018-V009,RFQ-0018,V009,Fischer & Söhne KG,2025-01-04,413.84,49660.8,51,30,-4.9,relationship_focused
BID-RFQ-0019-V002,RFQ-0019,V002,Tanaka Electrical KK,2025-01-04,534.32,139457.52,35,30,0.4,conservative
BID-RFQ-0019-V018,RFQ-0019,V018,Guangzhou Mech & Elec Co.,2025-01-05,492.35,128503.35,39,30,-7.49,aggressive_bidder
BID-RFQ-0019-V011,RFQ-0019,V011,Solaris Power Components,2025-01-06,458.96,119788.56,52,30,-13.76,volatile
BID-RFQ-0020-V020,RFQ-0020,V020,Rajasthan Rare Earths Ltd,2025-03-04,287.04,81232.32,50,30,1.66,relationship_focused
BID-RFQ-0020-V015,RFQ-0020,V015,Nordic Steel AS,2025-03-06,273.51,77403.33,14,30,-3.14,reliable
BID-RFQ-0020-V012,RFQ-0020,V012,Indra Copper Works,2025-03-07,277.03,78399.49,23,30,-1.89,reliable
BID-RFQ-0020-V014,RFQ-0020,V014,Coastal Alloys Pty Ltd,2025-03-04,280.81,79469.23,39,30,-0.55,relationship_focused
BID-RFQ-0020-V008,RFQ-0020,V008,Delta Composites Inc.,2025-03-06,256.2,72504.6,15,30,-9.27,aggressive_bidder
BID-RFQ-0020-V003,RFQ-0020,V003,Patel Alloys Pvt Ltd,2025-03-06,267.26,75634.58,46,30,-5.35,relationship_focused
BID-RFQ-0021-V011,RFQ-0021,V011,Solaris Power Components,2025-03-17,425.97,157608.9,23,30,7.72,volatile
BID-RFQ-0021-V018,RFQ-0021,V018,Guangzhou Mech & Elec Co.,2025-03-14,370.52,137092.4,30,30,-6.3,aggressive_bidder
BID-RFQ-0021-V016,RFQ-0021,V016,Precision Arc Systems,2025-03-14,346.51,128208.7,28,30,-12.37,volatile
BID-RFQ-0021-V013,RFQ-0021,V013,Vantage Sensors GmbH,2025-03-16,388.61,143785.7,50,30,-1.72,conservative
BID-RFQ-0021-V002,RFQ-0021,V002,Tanaka Electrical KK,2025-03-17,399.46,147800.2,22,30,1.02,conservative
BID-RFQ-0021-V006,RFQ-0021,V006,Bright Spark Electronics Ltd,2025-03-17,346.16,128079.2,16,30,-12.46,volatile
BID-RFQ-0022-V020,RFQ-0022,V020,Rajasthan Rare Earths Ltd,2024-02-16,213.01,44945.11,36,30,0.97,relationship_focused
BID-RFQ-0022-V012,RFQ-0022,V012,Indra Copper Works,2024-02-15,211.06,44533.66,54,30,0.05,reliable
BID-RFQ-0022-V003,RFQ-0022,V003,Patel Alloys Pvt Ltd,2024-02-13,205.9,43444.9,24,30,-2.4,relationship_focused
BID-RFQ-0022-V005,RFQ-0022,V005,Cerro Negro Metals SA,2024-02-13,195.8,41313.8,19,30,-7.18,aggressive_bidder
BID-RFQ-0022-V014,RFQ-0022,V014,Coastal Alloys Pty Ltd,2024-02-13,210.63,44442.93,43,30,-0.16,relationship_focused
BID-RFQ-0022-V015,RFQ-0022,V015,Nordic Steel AS,2024-02-15,204.61,43172.71,24,30,-3.01,reliable
BID-RFQ-0022-V023,RFQ-0022,V023,Sahara Industrial FZE,2024-02-13,217.15,45818.65,15,30,2.93,volatile
BID-RFQ-0022-V008,RFQ-0022,V008,Delta Composites Inc.,2024-02-13,187.34,39528.74,28,30,-11.2,aggressive_bidder
BID-RFQ-0023-V021,RFQ-0023,V021,Helios Micro Systems,2024-02-19,54.77,7174.87,48,30,1.05,conservative
BID-RFQ-0023-V013,RFQ-0023,V013,Vantage Sensors GmbH,2024-02-20,55.74,7301.94,19,30,2.85,conservative
BID-RFQ-0023-V002,RFQ-0023,V002,Tanaka Electrical KK,2024-02-20,57.13,7484.03,41,30,5.41,conservative
BID-RFQ-0023-V006,RFQ-0023,V006,Bright Spark Electronics Ltd,2024-02-22,47.92,6277.52,32,30,-11.59,volatile
BID-RFQ-0023-V018,RFQ-0023,V018,Guangzhou Mech & Elec Co.,2024-02-21,47.79,6260.49,54,30,-11.82,aggressive_bidder
BID-RFQ-0024-V016,RFQ-0024,V016,Precision Arc Systems,2024-08-18,69.15,26899.35,29,30,13.93,volatile
BID-RFQ-0024-V006,RFQ-0024,V006,Bright Spark Electronics Ltd,2024-08-19,57.74,22460.86,41,30,-4.87,volatile
BID-RFQ-0024-V002,RFQ-0024,V002,Tanaka Electrical KK,2024-08-20,62.9,24468.1,38,30,3.63,conservative
BID-RFQ-0024-V013,RFQ-0024,V013,Vantage Sensors GmbH,2024-08-18,63.91,24860.99,15,30,5.3,conservative
BID-RFQ-0024-V011,RFQ-0024,V011,Solaris Power Components,2024-08-21,68.9,26802.1,12,30,13.52,volatile
BID-RFQ-0024-V018,RFQ-0024,V018,Guangzhou Mech & Elec Co.,2024-08-19,55.5,21589.5,25,30,-8.56,aggressive_bidder
BID-RFQ-0025-V016,RFQ-0025,V016,Precision Arc Systems,2024-05-15,11.68,1752.0,22,30,3.74,volatile
BID-RFQ-0025-V011,RFQ-0025,V011,Solaris Power Components,2024-05-14,11.03,1654.5,32,30,-2.01,volatile
BID-RFQ-0026-V022,RFQ-0026,V022,Andean Precision SRL,2024-07-08,99.5,21890.0,27,30,-5.06,aggressive_bidder
BID-RFQ-0026-V004,RFQ-0026,V004,Strömberg Hydraulics AB,2024-07-11,103.68,22809.6,31,30,-1.06,reliable
BID-RFQ-0026-V007,RFQ-0026,V007,Nakamura Tooling Co.,2024-07-08,104.58,23007.6,47,30,-0.21,conservative
BID-RFQ-0026-V010,RFQ-0026,V010,Adriatic Fastenings d.o.o.,2024-07-11,93.06,20473.2,33,30,-11.2,aggressive_bidder
BID-RFQ-0026-V009,RFQ-0026,V009,Fischer & Söhne KG,2024-07-08,103.88,22853.6,19,30,-0.88,relationship_focused
BID-RFQ-0026-V001,RFQ-0026,V001,Kovacs Precision GmbH,2024-07-11,104.85,23067.0,28,30,0.05,reliable
BID-RFQ-0027-V006,RFQ-0027,V006,Bright Spark Electronics Ltd,2024-08-31,138.98,27379.06,45,30,-8.66,volatile
BID-RFQ-0027-V002,RFQ-0027,V002,Tanaka Electrical KK,2024-09-01,151.11,29768.67,19,30,-0.69,conservative
BID-RFQ-0027-V011,RFQ-0027,V011,Solaris Power Components,2024-09-02,173.69,34216.93,42,30,14.15,volatile
BID-RFQ-0028-V018,RFQ-0028,V018,Guangzhou Mech & Elec Co.,2024-05-13,406.98,155466.36,17,30,-6.22,aggressive_bidder
BID-RFQ-0028-V021,RFQ-0028,V021,Helios Micro Systems,2024-05-16,431.57,164859.74,46,30,-0.55,conservative
BID-RFQ-0028-V013,RFQ-0028,V013,Vantage Sensors GmbH,2024-05-13,454.34,173557.88,23,30,4.7,conservative
BID-RFQ-0028-V002,RFQ-0028,V002,Tanaka Electrical KK,2024-05-16,445.24,170081.68,12,30,2.6,conservative
BID-RFQ-0028-V011,RFQ-0028,V011,Solaris Power Components,2024-05-15,355.86,135938.52,43,30,-18.0,volatile
BID-RFQ-0028-V016,RFQ-0028,V016,Precision Arc Systems,2024-05-14,454.36,173565.52,12,30,4.7,volatile
BID-RFQ-0029-V016,RFQ-0029,V016,Precision Arc Systems,2024-02-09,494.88,202900.8,50,30,13.03,volatile
BID-RFQ-0029-V018,RFQ-0029,V018,Guangzhou Mech & Elec Co.,2024-02-08,393.08,161162.8,48,30,-10.22,aggressive_bidder
BID-RFQ-0029-V021,RFQ-0029,V021,Helios Micro Systems,2024-02-09,440.77,180715.7,10,30,0.67,conservative
BID-RFQ-0029-V013,RFQ-0029,V013,Vantage Sensors GmbH,2024-02-09,454.59,186381.9,43,30,3.83,conservative
BID-RFQ-0029-V002,RFQ-0029,V002,Tanaka Electrical KK,2024-02-07,442.73,181519.3,44,30,1.12,conservative
BID-RFQ-0030-V016,RFQ-0030,V016,Precision Arc Systems,2024-11-03,166.44,52095.72,27,30,14.55,volatile
BID-RFQ-0030-V011,RFQ-0030,V011,Solaris Power Components,2024-11-03,149.59,46821.67,15,30,2.94,volatile
BID-RFQ-0030-V002,RFQ-0030,V002,Tanaka Electrical KK,2024-11-05,148.39,46446.07,35,30,2.12,conservative
BID-RFQ-0030-V021,RFQ-0030,V021,Helios Micro Systems,2024-11-04,150.99,47259.87,43,30,3.91,conservative
BID-RFQ-0030-V013,RFQ-0030,V013,Vantage Sensors GmbH,2024-11-04,148.37,46439.81,33,30,2.11,conservative
BID-RFQ-0031-V010,RFQ-0031,V010,Adriatic Fastenings d.o.o.,2025-04-28,154.22,51046.82,39,30,-5.58,aggressive_bidder
BID-RFQ-0031-V022,RFQ-0031,V022,Andean Precision SRL,2025-04-28,141.96,46988.76,17,30,-13.09,aggressive_bidder
BID-RFQ-0031-V007,RFQ-0031,V007,Nakamura Tooling Co.,2025-04-26,162.45,53770.95,38,30,-0.54,conservative
BID-RFQ-0031-V019,RFQ-0031,V019,Emerald Isle Castings Ltd,2025-04-26,165.23,54691.13,22,30,1.16,conservative
BID-RFQ-0031-V001,RFQ-0031,V001,Kovacs Precision GmbH,2025-04-27,161.73,53532.63,34,30,-0.99,reliable
BID-RFQ-0031-V024,RFQ-0031,V024,BalticTech UAB,2025-04-26,161.45,53439.95,15,30,-1.16,reliable
BID-RFQ-0032-V002,RFQ-0032,V002,Tanaka Electrical KK,2025-02-17,567.71,216297.51,37,30,-0.94,conservative
BID-RFQ-0032-V018,RFQ-0032,V018,Guangzhou Mech & Elec Co.,2025-02-16,514.85,196157.85,33,30,-10.17,aggressive_bidder
BID-RFQ-0032-V016,RFQ-0032,V016,Precision Arc Systems,2025-02-16,641.76,244510.56,41,30,11.98,volatile
BID-RFQ-0032-V021,RFQ-0032,V021,Helios Micro Systems,2025-02-16,588.64,224271.84,47,30,2.71,conservative
BID-RFQ-0033-V004,RFQ-0033,V004,Strömberg Hydraulics AB,2024-08-13,110.79,42986.52,45,30,-2.98,reliable
BID-RFQ-0033-V001,RFQ-0033,V001,Kovacs Precision GmbH,2024-08-14,115.71,44895.48,27,30,1.33,reliable
BID-RFQ-0033-V010,RFQ-0033,V010,Adriatic Fastenings d.o.o.,2024-08-13,105.82,41058.16,20,30,-7.33,aggressive_bidder
BID-RFQ-0033-V017,RFQ-0033,V017,Türk Makina A.Ş.,2024-08-14,99.85,38741.8,39,30,-12.56,aggressive_bidder
BID-RFQ-0033-V024,RFQ-0033,V024,BalticTech UAB,2024-08-12,110.66,42936.08,19,30,-3.09,reliable
BID-RFQ-0033-V019,RFQ-0033,V019,Emerald Isle Castings Ltd,2024-08-14,115.08,44651.04,55,30,0.78,conservative
BID-RFQ-0034-V018,RFQ-0034,V018,Guangzhou Mech & Elec Co.,2025-02-04,379.97,139069.02,38,30,-5.49,aggressive_bidder
BID-RFQ-0034-V002,RFQ-0034,V002,Tanaka Electrical KK,2025-02-06,397.01,145305.66,22,30,-1.25,conservative
BID-RFQ-0034-V016,RFQ-0034,V016,Precision Arc Systems,2025-02-06,362.21,132568.86,16,30,-9.91,volatile
BID-RFQ-0034-V021,RFQ-0034,V021,Helios Micro Systems,2025-02-07,418.77,153269.82,10,30,4.16,conservative
BID-RFQ-0035-V006,RFQ-0035,V006,Bright Spark Electronics Ltd,2024-12-24,69.37,8671.25,24,30,-1.12,volatile
BID-RFQ-0035-V021,RFQ-0035,V021,Helios Micro Systems,2024-12-21,72.77,9096.25,24,30,3.72,conservative
BID-RFQ-0035-V013,RFQ-0035,V013,Vantage Sensors GmbH,2024-12-23,71.73,8966.25,52,30,2.24,conservative
BID-RFQ-0036-V018,RFQ-0036,V018,Guangzhou Mech & Elec Co.,2024-09-03,369.38,57623.28,54,30,-5.05,aggressive_bidder
BID-RFQ-0036-V011,RFQ-0036,V011,Solaris Power Components,2024-09-02,368.37,57465.72,46,30,-5.31,volatile
BID-RFQ-0036-V002,RFQ-0036,V002,Tanaka Electrical KK,2024-09-02,409.89,63942.84,18,30,5.37,conservative
BID-RFQ-0036-V016,RFQ-0036,V016,Precision Arc Systems,2024-09-04,337.36,52628.16,37,30,-13.28,volatile
BID-RFQ-0037-V006,RFQ-0037,V006,Bright Spark Electronics Ltd,2024-10-23,338.11,46659.18,17,30,-3.35,volatile
BID-RFQ-0037-V018,RFQ-0037,V018,Guangzhou Mech & Elec Co.,2024-10-22,322.26,44471.88,42,30,-7.88,aggressive_bidder
BID-RFQ-0037-V021,RFQ-0037,V021,Helios Micro Systems,2024-10-24,354.04,48857.52,45,30,1.2,conservative
BID-RFQ-0037-V016,RFQ-0037,V016,Precision Arc Systems,2024-10-25,309.34,42688.92,48,30,-11.57,volatile
BID-RFQ-0037-V013,RFQ-0037,V013,Vantage Sensors GmbH,2024-10-25,351.48,48504.24,27,30,0.47,conservative
BID-RFQ-0038-V001,RFQ-0038,V001,Kovacs Precision GmbH,2025-03-08,81.09,8190.09,16,30,-1.74,reliable
BID-RFQ-0038-V024,RFQ-0038,V024,BalticTech UAB,2025-03-10,84.25,8509.25,55,30,2.08,reliable
BID-RFQ-0038-V007,RFQ-0038,V007,Nakamura Tooling Co.,2025-03-09,84.19,8503.19,31,30,2.01,conservative
BID-RFQ-0038-V022,RFQ-0038,V022,Andean Precision SRL,2025-03-07,72.75,7347.75,41,30,-11.85,aggressive_bidder
BID-RFQ-0038-V019,RFQ-0038,V019,Emerald Isle Castings Ltd,2025-03-07,87.05,8792.05,15,30,5.47,conservative
BID-RFQ-0038-V017,RFQ-0038,V017,Türk Makina A.Ş.,2025-03-07,75.81,7656.81,28,30,-8.15,aggressive_bidder
BID-RFQ-0038-V004,RFQ-0038,V004,Strömberg Hydraulics AB,2025-03-07,82.91,8373.91,51,30,0.46,reliable
BID-RFQ-0038-V010,RFQ-0038,V010,Adriatic Fastenings d.o.o.,2025-03-09,75.21,7596.21,32,30,-8.87,aggressive_bidder
BID-RFQ-0039-V002,RFQ-0039,V002,Tanaka Electrical KK,2024-02-23,58.05,3773.25,12,30,-0.75,conservative
BID-RFQ-0039-V006,RFQ-0039,V006,Bright Spark Electronics Ltd,2024-02-23,48.41,3146.65,26,30,-17.24,volatile
BID-RFQ-0039-V021,RFQ-0039,V021,Helios Micro Systems,2024-02-23,60.46,3929.9,37,30,3.36,conservative
BID-RFQ-0039-V013,RFQ-0039,V013,Vantage Sensors GmbH,2024-02-25,59.37,3859.05,45,30,1.49,conservative
BID-RFQ-0039-V018,RFQ-0039,V018,Guangzhou Mech & Elec Co.,2024-02-23,55.22,3589.3,26,30,-5.6,aggressive_bidder
BID-RFQ-0039-V016,RFQ-0039,V016,Precision Arc Systems,2024-02-25,59.13,3843.45,22,30,1.09,volatile
BID-RFQ-0039-V011,RFQ-0039,V011,Solaris Power Components,2024-02-25,48.24,3135.6,29,30,-17.53,volatile
BID-RFQ-0040-V018,RFQ-0040,V018,Guangzhou Mech & Elec Co.,2024-09-30,130.56,37470.72,52,30,-10.14,aggressive_bidder
BID-RFQ-0040-V013,RFQ-0040,V013,Vantage Sensors GmbH,2024-10-03,142.58,40920.46,49,30,-1.87,conservative
BID-RFQ-0040-V021,RFQ-0040,V021,Helios Micro Systems,2024-09-30,151.42,43457.54,17,30,4.22,conservative
BID-RFQ-0040-V011,RFQ-0040,V011,Solaris Power Components,2024-10-01,133.88,38423.56,53,30,-7.86,volatile
BID-RFQ-0041-V007,RFQ-0041,V007,Nakamura Tooling Co.,2024-06-01,510.72,222673.92,43,30,3.09,conservative
