snapshot_id,vendor_id,vendor_name,month,price_index,on_time_delivery_rate,response_rate,quality_score,bids_won,bids_lost,disputes_raised,capacity_utilization,lead_time_days_avg,defect_rate_ppm
VP-V002-202505,V002,Tanaka Electrical KK,2025-05-01,1.053,0.76,0.59,9.7,1,1,1,65.5,14.3,354.0
VP-V002-202506,V002,Tanaka Electrical KK,2025-06-01,1.061,0.76,0.54,8.7,2,2,0,60.1,43.7,250.0
VP-V003-202401,V003,Patel Alloys Pvt Ltd,2024-01-01,0.97,0.93,0.65,6.8,2,2,0,56.7,22.2,523.0
VP-V003-202402,V003,Patel Alloys Pvt Ltd,2024-02-01,0.944,0.95,0.58,7.5,4,2,0,55.7,11.4,376.0
VP-V003-202403,V003,Patel Alloys Pvt Ltd,2024-03-01,0.944,0.96,0.73,7.5,2,1,0,50.5,44.4,372.0
VP-V003-202404,V003,Patel Alloys Pvt Ltd,2024-04-01,0.937,0.98,0.58,7.3,0,0,0,60.6,20.1,466.0
VP-V003-202405,V003,Patel Alloys Pvt Ltd,2024-05-01,0.931,0.96,0.6,7.1,2,3,0,65.7,26.4,423.0
VP-V003-202406,V003,Patel Alloys Pvt Ltd,2024-06-01,0.931,0.98,0.73,7.6,3,4,0,52.5,8.7,286.0
VP-V003-202407,V003,Patel Alloys Pvt Ltd,2024-07-01,0.963,0.95,0.64,7.5,3,0,0,54.9,37.6,343.0
VP-V003-202408,V003,Patel Alloys Pvt Ltd,2024-08-01,0.909,0.94,0.61,6.9,1,2,0,65.1,43.1,214.0
VP-V003-202409,V003,Patel Alloys Pvt Ltd,2024-09-01,0.944,0.97,0.69,6.9,2,4,0,63.3,39.2,387.0
VP-V003-202410,V003,Patel Alloys Pvt Ltd,2024-10-01,0.938,0.97,0.63,7.1,2,4,0,58.9,22.5,328.0
VP-V003-202411,V003,Patel Alloys Pvt Ltd,2024-11-01,0.952,0.97,0.7,6.9,3,5,0,67.1,11.8,152.0
VP-V003-202412,V003,Patel Alloys Pvt Ltd,2024-12-01,0.95,0.97,0.63,7.1,3,5,0,57.8,32.7,315.0
VP-V003-202501,V003,Patel Alloys Pvt Ltd,2025-01-01,0.946,0.98,0.64,7.1,1,4,0,62.2,22.4,411.0
VP-V003-202502,V003,Patel Alloys Pvt Ltd,2025-02-01,0.963,0.97,0.58,7.1,0,2,0,61.6,23.3,447.0
VP-V003-202503,V003,Patel Alloys Pvt Ltd,2025-03-01,0.954,0.96,0.68,7.1,4,4,0,60.8,24.7,350.0
VP-V003-202504,V003,Patel Alloys Pvt Ltd,2025-04-01,0.953,0.98,0.66,7.5,3,5,0,63.8,25.0,353.0
VP-V003-202505,V003,Patel Alloys Pvt Ltd,2025-05-01,0.964,0.95,0.64,7.3,1,5,0,59.0,26.6,433.0
VP-V003-202506,V003,Patel Alloys Pvt Ltd,2025-06-01,0.947,1.0,0.57,6.9,4,2,0,63.2,43.2,481.0
VP-V004-202401,V004,Strömberg Hydraulics AB,2024-01-01,0.865,0.71,0.94,6.9,1,5,0,91.7,37.6,368.0
VP-V004-202402,V004,Strömberg Hydraulics AB,2024-02-01,0.857,0.72,0.96,6.9,1,0,0,84.5,44.4,415.0
VP-V004-202403,V004,Strömberg Hydraulics AB,2024-03-01,0.872,0.71,0.92,7.2,4,6,0,82.0,24.3,199.0
VP-V004-202404,V004,Strömberg Hydraulics AB,2024-04-01,0.862,0.72,0.96,7.5,4,1,0,91.2,21.6,331.0
VP-V004-202405,V004,Strömberg Hydraulics AB,2024-05-01,0.873,0.71,0.94,7.0,3,1,0,89.1,33.1,281.0
VP-V004-202406,V004,Strömberg Hydraulics AB,2024-06-01,0.881,0.75,0.93,7.2,0,6,0,90.6,13.7,320.0
VP-V004-202407,V004,Strömberg Hydraulics AB,2024-07-01,0.879,0.72,0.94,6.9,4,3,0,87.9,16.5,446.0
VP-V004-202408,V004,Strömberg Hydraulics AB,2024-08-01,0.896,0.74,1.0,6.9,0,3,0,91.3,24.7,408.0
VP-V004-202409,V004,Strömberg Hydraulics AB,2024-09-01,0.907,0.71,0.9,6.9,4,4,0,79.3,43.1,323.0
VP-V004-202410,V004,Strömberg Hydraulics AB,2024-10-01,0.874,0.73,0.96,7.7,3,4,0,91.6,40.9,269.0
VP-V004-202411,V004,Strömberg Hydraulics AB,2024-11-01,0.874,0.73,0.87,7.6,3,6,0,92.5,23.9,288.0
VP-V004-202412,V004,Strömberg Hydraulics AB,2024-12-01,0.866,0.75,0.93,7.5,1,5,0,81.4,24.1,278.0
VP-V004-202501,V004,Strömberg Hydraulics AB,2025-01-01,0.889,0.73,0.92,7.3,1,6,0,83.5,36.1,345.0
VP-V004-202502,V004,Strömberg Hydraulics AB,2025-02-01,0.892,0.74,0.98,6.8,4,3,0,81.7,17.4,545.0
VP-V004-202503,V004,Strömberg Hydraulics AB,2025-03-01,0.896,0.72,1.0,7.1,0,5,0,92.5,17.3,382.0
VP-V004-202504,V004,Strömberg Hydraulics AB,2025-04-01,0.919,0.76,0.93,7.4,2,4,0,90.4,12.7,520.0
VP-V004-202505,V004,Strömberg Hydraulics AB,2025-05-01,0.885,0.74,0.99,6.6,3,5,0,83.1,15.1,159.0
VP-V004-202506,V004,Strömberg Hydraulics AB,2025-06-01,0.895,0.74,1.0,7.1,3,3,0,94.3,24.7,208.0
VP-V005-202401,V005,Cerro Negro Metals SA,2024-01-01,0.816,0.78,0.67,6.3,0,1,0,50.4,21.8,411.0
VP-V005-202402,V005,Cerro Negro Metals SA,2024-02-01,0.823,0.81,0.67,6.0,4,5,1,56.6,40.5,313.0
VP-V005-202403,V005,Cerro Negro Metals SA,2024-03-01,0.84,0.82,0.6,6.5,4,3,0,56.6,42.8,315.0
VP-V005-202404,V005,Cerro Negro Metals SA,2024-04-01,0.842,0.74,0.62,5.9,2,6,0,66.6,40.9,450.0
VP-V005-202405,V005,Cerro Negro Metals SA,2024-05-01,0.837,0.79,0.64,6.2,3,4,0,61.2,27.8,519.0
VP-V005-202406,V005,Cerro Negro Metals SA,2024-06-01,0.841,0.76,0.64,5.6,4,1,0,52.6,17.4,628.0
VP-V005-202407,V005,Cerro Negro Metals SA,2024-07-01,0.87,0.78,0.68,6.4,3,0,0,71.0,32.4,550.0
VP-V005-202408,V005,Cerro Negro Metals SA,2024-08-01,0.851,0.75,0.57,6.4,3,5,0,55.7,24.8,245.0
VP-V005-202409,V005,Cerro Negro Metals SA,2024-09-01,0.847,0.74,0.73,6.6,1,4,0,58.7,41.5,582.0
VP-V005-202410,V005,Cerro Negro Metals SA,2024-10-01,0.858,0.75,0.73,6.5,4,4,0,54.6,10.2,387.0
VP-V005-202411,V005,Cerro Negro Metals SA,2024-11-01,0.849,0.73,0.7,6.9,3,1,0,53.1,13.9,454.0
VP-V005-202412,V005,Cerro Negro Metals SA,2024-12-01,0.854,0.77,0.62,6.0,2,3,0,58.9,24.3,340.0
VP-V005-202501,V005,Cerro Negro Metals SA,2025-01-01,0.867,0.79,0.64,6.0,2,6,0,56.4,17.6,531.0
VP-V005-202502,V005,Cerro Negro Metals SA,2025-02-01,0.872,0.75,0.65,6.5,3,2,0,52.0,24.9,475.0
VP-V005-202503,V005,Cerro Negro Metals SA,2025-03-01,0.86,0.82,0.61,5.8,4,0,0,52.2,20.3,458.0
VP-V005-202504,V005,Cerro Negro Metals SA,2025-04-01,0.874,0.76,0.68,5.8,0,6,0,58.4,8.5,307.0
VP-V005-202505,V005,Cerro Negro Metals SA,2025-05-01,0.865,0.8,0.61,6.2,0,1,0,62.7,7.8,359.0
VP-V005-202506,V005,Cerro Negro Metals SA,2025-06-01,0.885,0.75,0.68,6.7,1,1,0,48.8,32.4,302.0
VP-V006-202401,V006,Bright Spark Electronics Ltd,2024-01-01,0.899,0.92,0.66,8.5,4,1,0,66.0,18.4,321.0
VP-V006-202402,V006,Bright Spark Electronics Ltd,2024-02-01,0.899,0.94,0.64,8.4,2,1,0,62.9,48.0,245.0
VP-V006-202403,V006,Bright Spark Electronics Ltd,2024-03-01,0.898,1.0,0.7,8.4,0,6,0,66.1,48.0,247.0
VP-V006-202404,V006,Bright Spark Electronics Ltd,2024-04-01,0.87,0.9,0.57,8.4,0,4,1,61.4,20.7,497.0
VP-V006-202405,V006,Bright Spark Electronics Ltd,2024-05-01,0.898,0.95,0.7,7.8,3,3,0,62.2,16.0,425.0
VP-V006-202406,V006,Bright Spark Electronics Ltd,2024-06-01,0.876,1.0,0.68,8.4,4,5,0,63.8,17.9,568.0
VP-V006-202407,V006,Bright Spark Electronics Ltd,2024-07-01,0.896,0.98,0.64,8.2,2,6,0,64.6,41.4,205.0
VP-V006-202408,V006,Bright Spark Electronics Ltd,2024-08-01,0.894,0.94,0.68,8.6,4,6,0,65.5,30.0,223.0
VP-V006-202409,V006,Bright Spark Electronics Ltd,2024-09-01,0.89,0.91,0.64,8.6,2,0,0,64.3,22.0,173.0
VP-V006-202410,V006,Bright Spark Electronics Ltd,2024-10-01,0.903,1.0,0.68,9.1,3,6,0,58.2,25.8,105.0
VP-V006-202411,V006,Bright Spark Electronics Ltd,2024-11-01,0.871,1.0,0.69,8.5,2,5,0,62.4,26.9,155.0
VP-V006-202412,V006,Bright Spark Electronics Ltd,2024-12-01,0.922,0.98,0.67,8.7,1,3,0,63.2,29.5,305.0
VP-V006-202501,V006,Bright Spark Electronics Ltd,2025-01-01,0.882,1.0,0.75,8.9,2,4,0,67.7,30.2,205.0
VP-V006-202502,V006,Bright Spark Electronics Ltd,2025-02-01,0.88,0.96,0.66,8.8,3,3,0,54.5,38.3,456.0
VP-V006-202503,V006,Bright Spark Electronics Ltd,2025-03-01,0.89,0.95,0.61,8.0,2,2,0,64.6,42.4,329.0
VP-V006-202504,V006,Bright Spark Electronics Ltd,2025-04-01,0.876,0.9,0.64,9.0,0,2,0,60.3,17.9,80.0
VP-V006-202505,V006,Bright Spark Electronics Ltd,2025-05-01,0.888,0.96,0.53,8.5,3,4,0,60.4,23.5,374.0
VP-V006-202506,V006,Bright Spark Electronics Ltd,2025-06-01,0.913,1.0,0.65,8.2,0,3,0,71.6,15.3,315.0
VP-V007-202401,V007,Nakamura Tooling Co.,2024-01-01,0.919,0.89,0.91,6.6,1,2,0,83.3,19.9,339.0
VP-V007-202402,V007,Nakamura Tooling Co.,2024-02-01,0.907,0.89,0.93,7.3,4,5,0,72.8,28.1,493.0
VP-V007-202403,V007,Nakamura Tooling Co.,2024-03-01,0.929,0.87,0.92,6.7,4,1,0,77.8,34.4,305.0
VP-V007-202404,V007,Nakamura Tooling Co.,2024-04-01,0.899,0.91,0.99,7.2,3,4,0,86.3,33.2,233.0
VP-V007-202405,V007,Nakamura Tooling Co.,2024-05-01,0.904,0.9,0.88,7.0,3,3,0,82.4,10.5,335.0
VP-V007-202406,V007,Nakamura Tooling Co.,2024-06-01,0.917,0.9,0.92,7.1,1,3,0,79.1,18.6,448.0
VP-V007-202407,V007,Nakamura Tooling Co.,2024-07-01,0.914,0.89,0.96,6.4,4,2,0,87.1,27.2,394.0
VP-V007-202408,V007,Nakamura Tooling Co.,2024-08-01,0.899,0.9,0.9,6.4,3,5,0,77.2,20.4,489.0
VP-V007-202409,V007,Nakamura Tooling Co.,2024-09-01,0.888,0.91,0.84,7.3,3,2,0,84.2,15.8,350.0
VP-V007-202410,V007,Nakamura Tooling Co.,2024-10-01,0.895,0.9,0.94,7.1,1,2,0,83.9,27.4,392.0
VP-V007-202411,V007,Nakamura Tooling Co.,2024-11-01,0.896,0.89,0.96,6.3,1,1,0,78.0,25.4,511.0
VP-V007-202412,V007,Nakamura Tooling Co.,2024-12-01,0.901,0.89,0.94,6.9,4,6,0,81.2,17.8,293.0
VP-V007-202501,V007,Nakamura Tooling Co.,2025-01-01,0.899,0.89,0.96,6.3,0,6,0,87.5,15.6,479.0
VP-V007-202502,V007,Nakamura Tooling Co.,2025-02-01,0.898,0.91,1.0,7.1,1,2,1,76.0,27.3,220.0
VP-V007-202503,V007,Nakamura Tooling Co.,2025-03-01,0.886,0.9,0.97,6.6,2,0,0,84.1,28.0,313.0
VP-V007-202504,V007,Nakamura Tooling Co.,2025-04-01,0.885,0.88,0.89,6.4,1,5,0,79.5,25.7,542.0
VP-V007-202505,V007,Nakamura Tooling Co.,2025-05-01,0.879,0.92,0.96,6.9,0,4,0,80.0,25.2,470.0
VP-V007-202506,V007,Nakamura Tooling Co.,2025-06-01,0.882,0.9,1.0,6.8,2,1,0,88.0,16.6,308.0
VP-V008-202401,V008,Delta Composites Inc.,2024-01-01,0.916,1.0,0.61,9.8,3,0,0,82.1,22.2,145.0
VP-V008-202402,V008,Delta Composites Inc.,2024-02-01,0.922,1.0,0.67,8.8,0,4,0,76.4,9.0,242.0
VP-V008-202403,V008,Delta Composites Inc.,2024-03-01,0.912,0.98,0.65,8.9,1,6,0,80.8,18.5,339.0
VP-V008-202404,V008,Delta Composites Inc.,2024-04-01,0.918,1.0,0.68,9.4,1,0,0,79.0,22.8,37.0
VP-V008-202405,V008,Delta Composites Inc.,2024-05-01,0.915,0.96,0.65,8.9,4,6,0,75.0,36.5,392.0
VP-V008-202406,V008,Delta Composites Inc.,2024-06-01,0.908,0.98,0.64,9.3,3,3,0,83.1,18.3,180.0
VP-V008-202407,V008,Delta Composites Inc.,2024-07-01,0.908,0.94,0.62,9.2,4,3,0,80.2,30.6,191.0
VP-V008-202408,V008,Delta Composites Inc.,2024-08-01,0.921,0.92,0.63,9.2,4,5,0,85.1,36.0,272.0
VP-V008-202409,V008,Delta Composites Inc.,2024-09-01,0.917,0.89,0.65,9.6,1,2,0,79.6,13.0,352.0
VP-V008-202410,V008,Delta Composites Inc.,2024-10-01,0.897,1.0,0.75,9.2,1,4,0,77.5,7.1,422.0
VP-V008-202411,V008,Delta Composites Inc.,2024-11-01,0.92,0.93,0.62,9.2,3,5,0,73.9,18.1,138.0
VP-V008-202412,V008,Delta Composites Inc.,2024-12-01,0.888,0.92,0.64,9.4,1,2,0,85.5,33.7,116.0
VP-V008-202501,V008,Delta Composites Inc.,2025-01-01,0.91,0.94,0.64,9.5,3,0,0,74.8,42.1,276.0
VP-V008-202502,V008,Delta Composites Inc.,2025-02-01,0.899,0.97,0.65,10.0,4,5,0,76.7,14.5,136.0
VP-V008-202503,V008,Delta Composites Inc.,2025-03-01,0.888,0.93,0.61,9.7,0,4,0,85.0,12.7,150.0
VP-V008-202504,V008,Delta Composites Inc.,2025-04-01,0.884,0.97,0.61,9.5,2,6,0,80.1,9.3,48.0
VP-V008-202505,V008,Delta Composites Inc.,2025-05-01,0.911,1.0,0.61,9.2,2,4,0,80.4,28.6,288.0
VP-V008-202506,V008,Delta Composites Inc.,2025-06-01,0.899,1.0,0.63,9.1,2,3,0,73.8,33.2,166.0
VP-V009-202401,V009,Fischer & Söhne KG,2024-01-01,0.903,0.77,0.79,8.6,3,2,0,79.9,25.8,220.0
VP-V009-202402,V009,Fischer & Söhne KG,2024-02-01,0.905,0.79,0.82,8.8,0,4,1,72.1,23.4,229.0
VP-V009-202403,V009,Fischer & Söhne KG,2024-03-01,0.919,0.79,0.83,8.4,2,4,0,74.1,10.5,436.0
VP-V009-202404,V009,Fischer & Söhne KG,2024-04-01,0.93,0.78,0.78,8.2,4,4,0,74.6,45.0,210.0
VP-V009-202405,V009,Fischer & Söhne KG,2024-05-01,0.92,0.76,0.79,8.6,2,4,0,70.6,35.7,290.0
VP-V009-202406,V009,Fischer & Söhne KG,2024-06-01,0.901,0.78,0.82,8.8,3,4,0,68.6,41.8,298.0
VP-V009-202407,V009,Fischer & Söhne KG,2024-07-01,0.922,0.8,0.79,8.3,1,4,0,72.2,37.9,324.0
VP-V009-202408,V009,Fischer & Söhne KG,2024-08-01,0.915,0.77,0.84,7.9,0,3,0,70.3,19.7,242.0
VP-V009-202409,V009,Fischer & Söhne KG,2024-09-01,0.936,0.74,0.76,8.3,0,6,0,76.1,22.6,294.0
VP-V009-202410,V009,Fischer & Söhne KG,2024-10-01,0.917,0.81,0.72,7.5,3,2,0,71.6,22.2,290.0
VP-V009-202411,V009,Fischer & Söhne KG,2024-11-01,0.913,0.78,0.8,8.0,4,0,0,64.7,19.0,425.0
VP-V009-202412,V009,Fischer & Söhne KG,2024-12-01,0.935,0.77,0.88,7.9,2,0,0,63.7,22.4,243.0
VP-V009-202501,V009,Fischer & Söhne KG,2025-01-01,0.928,0.77,0.78,8.3,4,6,0,64.8,32.0,475.0
VP-V009-202502,V009,Fischer & Söhne KG,2025-02-01,0.929,0.79,0.81,8.3,4,3,0,72.1,14.1,356.0
VP-V009-202503,V009,Fischer & Söhne KG,2025-03-01,0.939,0.8,0.8,8.4,2,4,0,69.4,30.8,469.0
VP-V009-202504,V009,Fischer & Söhne KG,2025-04-01,0.925,0.81,0.79,7.8,0,1,0,70.3,12.0,250.0
VP-V009-202505,V009,Fischer & Söhne KG,2025-05-01,0.945,0.76,0.77,7.6,2,3,0,68.0,25.4,53.0
VP-V009-202506,V009,Fischer & Söhne KG,2025-06-01,0.917,0.79,0.83,8.3,0,5,0,65.9,16.1,296.0
VP-V010-202401,V010,Adriatic Fastenings d.o.o.,2024-01-01,0.875,0.84,0.7,8.6,1,2,0,76.1,28.0,287.0
VP-V010-202402,V010,Adriatic Fastenings d.o.o.,2024-02-01,0.877,0.81,0.61,8.1,0,1,0,73.0,41.7,280.0
VP-V010-202403,V010,Adriatic Fastenings d.o.o.,2024-03-01,0.895,0.92,0.59,8.5,3,0,0,82.6,12.9,401.0
VP-V010-202404,V010,Adriatic Fastenings d.o.o.,2024-04-01,0.873,0.87,0.65,8.4,2,4,0,80.6,22.8,372.0
VP-V010-202405,V010,Adriatic Fastenings d.o.o.,2024-05-01,0.884,0.87,0.69,8.4,3,3,0,85.3,27.9,213.0
VP-V010-202406,V010,Adriatic Fastenings d.o.o.,2024-06-01,0.892,0.9,0.59,8.2,3,1,0,75.7,26.3,359.0
VP-V010-202407,V010,Adriatic Fastenings d.o.o.,2024-07-01,0.877,0.87,0.62,8.9,1,6,0,83.9,36.4,318.0
VP-V010-202408,V010,Adriatic Fastenings d.o.o.,2024-08-01,0.87,0.9,0.65,8.0,3,2,0,76.0,26.3,120.0
VP-V010-202409,V010,Adriatic Fastenings d.o.o.,2024-09-01,0.873,0.92,0.6,8.8,0,2,0,72.1,38.8,96.0
VP-V010-202410,V010,Adriatic Fastenings d.o.o.,2024-10-01,0.871,0.94,0.7,8.2,4,5,0,81.3,12.6,303.0
VP-V010-202411,V010,Adriatic Fastenings d.o.o.,2024-11-01,0.865,0.94,0.65,7.8,4,3,0,82.9,28.0,498.0
VP-V010-202412,V010,Adriatic Fastenings d.o.o.,2024-12-01,0.859,0.92,0.64,8.4,4,3,0,74.8,19.2,215.0
VP-V010-202501,V010,Adriatic Fastenings d.o.o.,2025-01-01,0.865,0.95,0.65,8.2,1,5,0,80.1,21.6,0.0
VP-V010-202502,V010,Adriatic Fastenings d.o.o.,2025-02-01,0.879,0.83,0.6,8.0,3,0,0,71.8,25.0,459.0
VP-V010-202503,V010,Adriatic Fastenings d.o.o.,2025-03-01,0.858,0.92,0.62,8.4,3,3,0,77.3,37.1,142.0
VP-V010-202504,V010,Adriatic Fastenings d.o.o.,2025-04-01,0.875,0.88,0.54,8.2,1,3,0,83.0,11.8,410.0
VP-V010-202505,V010,Adriatic Fastenings d.o.o.,2025-05-01,0.858,0.89,0.6,8.9,4,2,0,78.5,40.2,318.0
VP-V010-202506,V010,Adriatic Fastenings d.o.o.,2025-06-01,0.874,0.92,0.61,8.2,3,0,0,76.7,24.4,304.0
VP-V011-202401,V011,Solaris Power Components,2024-01-01,1.074,0.77,0.78,7.8,1,3,0,74.8,48.2,374.0
VP-V011-202402,V011,Solaris Power Components,2024-02-01,1.078,0.6,0.88,8.4,0,3,0,75.5,18.8,171.0
VP-V011-202403,V011,Solaris Power Components,2024-03-01,1.074,0.71,0.75,9.0,4,5,0,70.3,11.1,286.0
VP-V011-202404,V011,Solaris Power Components,2024-04-01,1.077,0.8,0.79,8.5,2,6,0,80.7,30.0,283.0
VP-V011-202405,V011,Solaris Power Components,2024-05-01,1.07,0.84,0.84,8.8,2,5,0,73.7,39.4,135.0
VP-V011-202406,V011,Solaris Power Components,2024-06-01,1.088,0.71,0.8,8.2,4,0,0,70.8,17.5,347.0
VP-V011-202407,V011,Solaris Power Components,2024-07-01,1.073,0.8,0.86,8.5,2,1,0,70.1,25.8,406.0
VP-V011-202408,V011,Solaris Power Components,2024-08-01,1.084,0.7,0.81,8.6,0,6,0,69.9,44.2,449.0
VP-V011-202409,V011,Solaris Power Components,2024-09-01,1.068,0.78,0.77,8.4,3,1,0,66.7,45.5,123.0
VP-V011-202410,V011,Solaris Power Components,2024-10-01,1.09,0.73,0.73,7.8,0,2,0,68.5,20.0,173.0
VP-V011-202411,V011,Solaris Power Components,2024-11-01,1.091,0.84,0.75,9.1,2,3,0,75.0,29.9,215.0
VP-V011-202412,V011,Solaris Power Components,2024-12-01,1.042,0.92,0.71,7.9,4,5,0,75.2,14.8,619.0
VP-V011-202501,V011,Solaris Power Components,2025-01-01,1.089,0.81,0.81,8.7,0,4,0,74.1,33.6,312.0
VP-V011-202502,V011,Solaris Power Components,2025-02-01,1.075,0.78,0.74,8.3,1,3,0,64.3,13.7,290.0
VP-V011-202503,V011,Solaris Power Components,2025-03-01,1.062,0.72,0.79,8.8,3,5,0,74.8,18.4,84.0
VP-V011-202504,V011,Solaris Power Components,2025-04-01,1.063,0.84,0.73,8.3,0,6,0,73.3,19.7,186.0
VP-V011-202505,V011,Solaris Power Components,2025-05-01,1.077,0.7,0.75,8.5,4,1,0,64.7,47.2,343.0
VP-V011-202506,V011,Solaris Power Components,2025-06-01,1.076,0.82,0.79,8.8,4,2,0,71.6,25.4,220.0
VP-V012-202401,V012,Indra Copper Works,2024-01-01,1.15,0.78,0.88,8.2,2,3,0,55.1,14.6,518.0
VP-V012-202402,V012,Indra Copper Works,2024-02-01,1.137,0.77,0.88,8.7,3,6,0,59.5,16.0,428.0
VP-V012-202403,V012,Indra Copper Works,2024-03-01,1.146,0.78,0.88,9.0,4,2,0,55.9,44.7,297.0
VP-V012-202404,V012,Indra Copper Works,2024-04-01,1.165,0.79,0.91,8.4,2,0,0,60.9,32.0,278.0
VP-V012-202405,V012,Indra Copper Works,2024-05-01,1.172,0.81,0.89,8.0,2,0,0,60.3,33.1,630.0
VP-V012-202406,V012,Indra Copper Works,2024-06-01,1.153,0.81,1.0,8.2,0,4,0,63.0,38.6,503.0
VP-V012-202407,V012,Indra Copper Works,2024-07-01,1.161,0.78,0.89,8.1,2,6,0,58.1,30.1,167.0
VP-V012-202408,V012,Indra Copper Works,2024-08-01,1.169,0.77,0.93,7.9,2,1,0,62.0,30.6,426.0
VP-V012-202409,V012,Indra Copper Works,2024-09-01,1.147,0.79,0.98,8.0,1,5,0,67.4,30.8,370.0
VP-V012-202410,V012,Indra Copper Works,2024-10-01,1.165,0.78,0.95,8.4,0,2,0,62.9,8.3,186.0
VP-V012-202411,V012,Indra Copper Works,2024-11-01,1.179,0.76,0.91,8.1,2,5,0,57.8,41.6,462.0
