eval_id,rfq_id,vendor_id,vendor_name,price_score,delivery_score,quality_score,relationship_score,composite_score,selected
EVAL-RFQ-0006-V021,RFQ-0006,V021,Helios Micro Systems,7.25,80.49,0.0,40.0,31.04,True
EVAL-RFQ-0007-V006,RFQ-0007,V006,Bright Spark Electronics Ltd,5.95,100.0,85.0,100.0,59.38,True
EVAL-RFQ-0007-V018,RFQ-0007,V018,Guangzhou Mech & Elec Co.,16.17,87.5,76.0,100.0,57.92,True
EVAL-RFQ-0007-V016,RFQ-0007,V016,Precision Arc Systems,3.57,56.0,82.0,100.0,44.63,True
EVAL-RFQ-0007-V011,RFQ-0007,V011,Solaris Power Components,8.87,26.42,84.0,100.0,38.27,True
EVAL-RFQ-0007-V002,RFQ-0007,V002,Tanaka Electrical KK,0.83,50.0,85.0,54.0,37.73,True
EVAL-RFQ-0007-V013,RFQ-0007,V013,Vantage Sensors GmbH,0.53,37.84,92.0,68.0,36.76,False
EVAL-RFQ-0007-V021,RFQ-0007,V021,Helios Micro Systems,0.0,27.45,0.0,40.0,12.24,False
EVAL-RFQ-0008-V018,RFQ-0008,V018,Guangzhou Mech & Elec Co.,13.19,100.0,76.0,100.0,60.48,True
EVAL-RFQ-0008-V006,RFQ-0008,V006,Bright Spark Electronics Ltd,2.4,90.0,85.0,100.0,54.96,True
EVAL-RFQ-0008-V013,RFQ-0008,V013,Vantage Sensors GmbH,0.0,69.23,92.0,68.0,45.97,True
EVAL-RFQ-0008-V002,RFQ-0008,V002,Tanaka Electrical KK,3.65,46.15,85.0,54.0,37.7,True
EVAL-RFQ-0009-V018,RFQ-0009,V018,Guangzhou Mech & Elec Co.,17.52,100.0,76.0,100.0,62.21,True
EVAL-RFQ-0009-V013,RFQ-0009,V013,Vantage Sensors GmbH,8.76,62.86,92.0,68.0,47.56,True
EVAL-RFQ-0009-V011,RFQ-0009,V011,Solaris Power Components,9.93,53.66,84.0,100.0,46.87,True
EVAL-RFQ-0009-V016,RFQ-0009,V016,Precision Arc Systems,0.0,43.14,82.0,100.0,39.34,True
EVAL-RFQ-0010-V018,RFQ-0010,V018,Guangzhou Mech & Elec Co.,18.98,100.0,76.0,100.0,62.79,True
EVAL-RFQ-0010-V002,RFQ-0010,V002,Tanaka Electrical KK,12.73,93.75,85.0,54.0,55.62,True
EVAL-RFQ-0010-V016,RFQ-0010,V016,Precision Arc Systems,18.88,45.45,82.0,100.0,47.59,True
EVAL-RFQ-0010-V011,RFQ-0010,V011,Solaris Power Components,0.17,33.33,84.0,100.0,36.87,True
EVAL-RFQ-0010-V006,RFQ-0010,V006,Bright Spark Electronics Ltd,0.0,28.3,85.0,100.0,35.49,True
EVAL-RFQ-0010-V021,RFQ-0010,V021,Helios Micro Systems,8.07,30.61,0.0,40.0,16.41,False
EVAL-RFQ-0011-V006,RFQ-0011,V006,Bright Spark Electronics Ltd,0.0,100.0,85.0,100.0,57.0,True
EVAL-RFQ-0011-V011,RFQ-0011,V011,Solaris Power Components,22.16,38.71,84.0,100.0,47.28,True
EVAL-RFQ-0011-V018,RFQ-0011,V018,Guangzhou Mech & Elec Co.,17.85,23.53,76.0,100.0,39.4,True
EVAL-RFQ-0011-V002,RFQ-0011,V002,Tanaka Electrical KK,9.58,37.5,85.0,54.0,37.48,True
EVAL-RFQ-0012-V011,RFQ-0012,V011,Solaris Power Components,18.62,100.0,84.0,100.0,64.25,True
EVAL-RFQ-0012-V018,RFQ-0012,V018,Guangzhou Mech & Elec Co.,15.8,100.0,76.0,100.0,61.52,True
EVAL-RFQ-0012-V016,RFQ-0012,V016,Precision Arc Systems,23.0,82.61,82.0,100.0,60.38,True
EVAL-RFQ-0012-V013,RFQ-0012,V013,Vantage Sensors GmbH,4.76,73.08,92.0,68.0,49.03,True
EVAL-RFQ-0012-V002,RFQ-0012,V002,Tanaka Electrical KK,8.81,44.19,85.0,54.0,39.18,True
EVAL-RFQ-0012-V006,RFQ-0012,V006,Bright Spark Electronics Ltd,0.0,38.0,85.0,100.0,38.4,False
EVAL-RFQ-0013-V018,RFQ-0013,V018,Guangzhou Mech & Elec Co.,0.0,100.0,76.0,100.0,55.2,True
EVAL-RFQ-0014-V013,RFQ-0014,V013,Vantage Sensors GmbH,8.03,100.0,92.0,68.0,58.41,True
EVAL-RFQ-0014-V016,RFQ-0014,V016,Precision Arc Systems,25.57,66.67,82.0,100.0,56.63,True
EVAL-RFQ-0014-V018,RFQ-0014,V018,Guangzhou Mech & Elec Co.,20.7,20.83,76.0,100.0,39.73,True
EVAL-RFQ-0014-V006,RFQ-0014,V006,Bright Spark Electronics Ltd,8.58,23.81,85.0,100.0,37.58,True
EVAL-RFQ-0014-V011,RFQ-0014,V011,Solaris Power Components,0.0,18.87,84.0,100.0,32.46,True
EVAL-RFQ-0014-V002,RFQ-0014,V002,Tanaka Electrical KK,7.02,18.18,85.0,54.0,30.66,False
EVAL-RFQ-0015-V007,RFQ-0015,V007,Nakamura Tooling Co.,4.73,100.0,68.0,75.0,52.99,True
EVAL-RFQ-0015-V001,RFQ-0015,V001,Kovacs Precision GmbH,9.22,37.04,88.0,100.0,42.4,True
EVAL-RFQ-0015-V009,RFQ-0015,V009,Fischer & Söhne KG,6.24,24.39,82.0,100.0,36.21,True
EVAL-RFQ-0015-V010,RFQ-0015,V010,Adriatic Fastenings d.o.o.,12.98,18.18,83.0,68.0,34.05,True
EVAL-RFQ-0015-V019,RFQ-0015,V019,Emerald Isle Castings Ltd,0.0,23.81,80.0,100.0,33.14,True
EVAL-RFQ-0015-V004,RFQ-0015,V004,Strömberg Hydraulics AB,4.76,18.87,71.0,89.0,30.67,False
EVAL-RFQ-0015-V024,RFQ-0015,V024,BalticTech UAB,8.21,33.33,0.0,40.0,17.28,False
EVAL-RFQ-0016-V018,RFQ-0016,V018,Guangzhou Mech & Elec Co.,8.07,100.0,76.0,100.0,58.43,True
EVAL-RFQ-0016-V006,RFQ-0016,V006,Bright Spark Electronics Ltd,12.17,34.21,85.0,100.0,42.13,True
EVAL-RFQ-0016-V013,RFQ-0016,V013,Vantage Sensors GmbH,1.59,35.14,92.0,68.0,36.38,True
EVAL-RFQ-0016-V002,RFQ-0016,V002,Tanaka Electrical KK,0.0,28.26,85.0,54.0,30.88,True
EVAL-RFQ-0017-V002,RFQ-0017,V002,Tanaka Electrical KK,5.55,100.0,85.0,54.0,54.62,True
EVAL-RFQ-0017-V018,RFQ-0017,V018,Guangzhou Mech & Elec Co.,18.71,70.59,76.0,100.0,53.86,True
EVAL-RFQ-0017-V006,RFQ-0017,V006,Bright Spark Electronics Ltd,22.67,50.0,85.0,100.0,51.07,True
EVAL-RFQ-0017-V016,RFQ-0017,V016,Precision Arc Systems,0.0,54.55,82.0,100.0,42.76,True
EVAL-RFQ-0017-V011,RFQ-0017,V011,Solaris Power Components,13.47,25.53,84.0,100.0,39.85,True
EVAL-RFQ-0017-V013,RFQ-0017,V013,Vantage Sensors GmbH,6.59,25.0,92.0,68.0,35.34,False
EVAL-RFQ-0017-V021,RFQ-0017,V021,Helios Micro Systems,2.55,57.14,0.0,40.0,22.16,False
EVAL-RFQ-0018-V017,RFQ-0018,V017,Türk Makina A.Ş.,10.9,100.0,68.0,75.0,55.46,True
EVAL-RFQ-0018-V001,RFQ-0018,V001,Kovacs Precision GmbH,5.29,81.48,88.0,100.0,54.16,True
EVAL-RFQ-0018-V004,RFQ-0018,V004,Strömberg Hydraulics AB,0.0,100.0,71.0,89.0,53.1,True
EVAL-RFQ-0018-V009,RFQ-0018,V009,Fischer & Söhne KG,7.12,43.14,82.0,100.0,42.19,True
EVAL-RFQ-0018-V019,RFQ-0018,V019,Emerald Isle Castings Ltd,1.26,51.16,80.0,100.0,41.85,True
EVAL-RFQ-0018-V024,RFQ-0018,V024,BalticTech UAB,4.92,91.67,0.0,40.0,33.47,False
EVAL-RFQ-0019-V018,RFQ-0019,V018,Guangzhou Mech & Elec Co.,7.85,89.74,76.0,100.0,55.27,True
EVAL-RFQ-0019-V011,RFQ-0019,V011,Solaris Power Components,14.1,67.31,84.0,100.0,52.63,True
EVAL-RFQ-0019-V002,RFQ-0019,V002,Tanaka Electrical KK,0.0,100.0,85.0,54.0,52.4,True
EVAL-RFQ-0020-V008,RFQ-0020,V008,Delta Composites Inc.,10.74,93.33,93.0,75.0,58.4,True
EVAL-RFQ-0020-V015,RFQ-0020,V015,Nordic Steel AS,4.71,100.0,75.0,82.0,55.09,True
EVAL-RFQ-0020-V012,RFQ-0020,V012,Indra Copper Works,3.49,60.87,84.0,54.0,41.86,True
EVAL-RFQ-0020-V003,RFQ-0020,V003,Patel Alloys Pvt Ltd,6.89,30.43,73.0,82.0,34.69,True
EVAL-RFQ-0020-V014,RFQ-0020,V014,Coastal Alloys Pty Ltd,2.17,35.9,65.0,100.0,34.64,True
EVAL-RFQ-0020-V020,RFQ-0020,V020,Rajasthan Rare Earths Ltd,0.0,28.0,61.0,75.0,28.1,False
EVAL-RFQ-0021-V006,RFQ-0021,V006,Bright Spark Electronics Ltd,18.74,100.0,85.0,100.0,64.49,True
EVAL-RFQ-0021-V016,RFQ-0021,V016,Precision Arc Systems,18.65,57.14,82.0,100.0,51.0,True
EVAL-RFQ-0021-V011,RFQ-0021,V011,Solaris Power Components,0.0,69.57,84.0,100.0,47.67,True
EVAL-RFQ-0021-V002,RFQ-0021,V002,Tanaka Electrical KK,6.22,72.73,85.0,54.0,46.71,True
EVAL-RFQ-0021-V018,RFQ-0021,V018,Guangzhou Mech & Elec Co.,13.02,53.33,76.0,100.0,46.41,True
EVAL-RFQ-0021-V013,RFQ-0021,V013,Vantage Sensors GmbH,8.77,32.0,92.0,68.0,38.31,False
EVAL-RFQ-0022-V005,RFQ-0022,V005,Cerro Negro Metals SA,9.83,78.95,63.0,100.0,50.22,True
EVAL-RFQ-0022-V008,RFQ-0022,V008,Delta Composites Inc.,13.73,53.57,93.0,75.0,47.66,True
EVAL-RFQ-0022-V015,RFQ-0022,V015,Nordic Steel AS,5.77,62.5,75.0,82.0,44.26,True
EVAL-RFQ-0022-V003,RFQ-0022,V003,Patel Alloys Pvt Ltd,5.18,62.5,73.0,82.0,43.62,True
EVAL-RFQ-0022-V014,RFQ-0022,V014,Coastal Alloys Pty Ltd,3.0,34.88,65.0,100.0,34.67,True
EVAL-RFQ-0022-V023,RFQ-0022,V023,Sahara Industrial FZE,0.0,100.0,0.0,40.0,34.0,False
EVAL-RFQ-0022-V020,RFQ-0022,V020,Rajasthan Rare Earths Ltd,1.91,41.67,61.0,75.0,32.96,False
EVAL-RFQ-0022-V012,RFQ-0022,V012,Indra Copper Works,2.8,27.78,84.0,54.0,31.66,False
EVAL-RFQ-0023-V013,RFQ-0023,V013,Vantage Sensors GmbH,2.43,100.0,92.0,68.0,56.17,True
EVAL-RFQ-0023-V006,RFQ-0023,V006,Bright Spark Electronics Ltd,16.12,59.38,85.0,100.0,51.26,True
EVAL-RFQ-0023-V018,RFQ-0023,V018,Guangzhou Mech & Elec Co.,16.35,35.19,76.0,100.0,42.3,True
EVAL-RFQ-0023-V002,RFQ-0023,V002,Tanaka Electrical KK,0.0,46.34,85.0,54.0,36.3,True
EVAL-RFQ-0023-V021,RFQ-0023,V021,Helios Micro Systems,4.13,39.58,0.0,40.0,17.53,True
EVAL-RFQ-0024-V011,RFQ-0024,V011,Solaris Power Components,0.36,100.0,84.0,100.0,56.94,True
EVAL-RFQ-0024-V013,RFQ-0024,V013,Vantage Sensors GmbH,7.58,80.0,92.0,68.0,52.23,True
EVAL-RFQ-0024-V018,RFQ-0024,V018,Guangzhou Mech & Elec Co.,19.74,48.0,76.0,100.0,47.5,True
EVAL-RFQ-0024-V006,RFQ-0024,V006,Bright Spark Electronics Ltd,16.5,29.27,85.0,100.0,42.38,True
EVAL-RFQ-0024-V016,RFQ-0024,V016,Precision Arc Systems,0.0,41.38,82.0,100.0,38.81,True
EVAL-RFQ-0024-V002,RFQ-0024,V002,Tanaka Electrical KK,9.04,31.58,85.0,54.0,35.49,False
EVAL-RFQ-0025-V016,RFQ-0025,V016,Precision Arc Systems,0.0,100.0,82.0,100.0,56.4,True
EVAL-RFQ-0025-V011,RFQ-0025,V011,Solaris Power Components,5.57,68.75,84.0,100.0,49.65,True
EVAL-RFQ-0026-V009,RFQ-0026,V009,Fischer & Söhne KG,0.93,100.0,82.0,100.0,56.77,True
EVAL-RFQ-0026-V001,RFQ-0026,V001,Kovacs Precision GmbH,0.0,67.86,88.0,100.0,47.96,True
EVAL-RFQ-0026-V010,RFQ-0026,V010,Adriatic Fastenings d.o.o.,11.24,57.58,83.0,68.0,45.17,True
EVAL-RFQ-0026-V004,RFQ-0026,V004,Strömberg Hydraulics AB,1.12,61.29,71.0,89.0,41.93,True
EVAL-RFQ-0026-V007,RFQ-0026,V007,Nakamura Tooling Co.,0.26,40.43,68.0,75.0,33.33,True
EVAL-RFQ-0026-V022,RFQ-0026,V022,Andean Precision SRL,5.1,70.37,0.0,40.0,27.15,False
EVAL-RFQ-0027-V002,RFQ-0027,V002,Tanaka Electrical KK,13.0,100.0,85.0,54.0,57.6,True
EVAL-RFQ-0027-V006,RFQ-0027,V006,Bright Spark Electronics Ltd,19.98,42.22,85.0,100.0,47.66,True
EVAL-RFQ-0027-V011,RFQ-0027,V011,Solaris Power Components,0.0,45.24,84.0,100.0,40.37,True
EVAL-RFQ-0028-V016,RFQ-0028,V016,Precision Arc Systems,0.0,100.0,82.0,100.0,56.4,True
EVAL-RFQ-0028-V002,RFQ-0028,V002,Tanaka Electrical KK,2.01,100.0,85.0,54.0,53.2,True
EVAL-RFQ-0028-V018,RFQ-0028,V018,Guangzhou Mech & Elec Co.,10.43,70.59,76.0,100.0,50.55,True
EVAL-RFQ-0028-V011,RFQ-0028,V011,Solaris Power Components,21.68,27.91,84.0,100.0,43.84,True
EVAL-RFQ-0028-V013,RFQ-0028,V013,Vantage Sensors GmbH,0.0,52.17,92.0,68.0,40.85,True
EVAL-RFQ-0028-V021,RFQ-0028,V021,Helios Micro Systems,5.02,26.09,0.0,40.0,13.83,False
EVAL-RFQ-0029-V018,RFQ-0029,V018,Guangzhou Mech & Elec Co.,20.57,20.83,76.0,100.0,39.68,True
EVAL-RFQ-0029-V021,RFQ-0029,V021,Helios Micro Systems,10.93,100.0,0.0,40.0,38.37,True
EVAL-RFQ-0029-V013,RFQ-0029,V013,Vantage Sensors GmbH,8.14,23.26,92.0,68.0,35.43,True
EVAL-RFQ-0029-V002,RFQ-0029,V002,Tanaka Electrical KK,10.54,22.73,85.0,54.0,33.43,True
EVAL-RFQ-0029-V016,RFQ-0029,V016,Precision Arc Systems,0.0,20.0,82.0,100.0,32.4,True
EVAL-RFQ-0030-V011,RFQ-0030,V011,Solaris Power Components,10.12,100.0,84.0,100.0,60.85,True
EVAL-RFQ-0030-V013,RFQ-0030,V013,Vantage Sensors GmbH,10.86,45.45,92.0,68.0,43.18,True
EVAL-RFQ-0030-V016,RFQ-0030,V016,Precision Arc Systems,0.0,55.56,82.0,100.0,43.07,True
EVAL-RFQ-0030-V002,RFQ-0030,V002,Tanaka Electrical KK,10.84,42.86,85.0,54.0,39.6,True
EVAL-RFQ-0030-V021,RFQ-0030,V021,Helios Micro Systems,9.28,34.88,0.0,40.0,18.18,True
EVAL-RFQ-0031-V019,RFQ-0031,V019,Emerald Isle Castings Ltd,0.0,68.18,80.0,100.0,46.45,True
EVAL-RFQ-0031-V001,RFQ-0031,V001,Kovacs Precision GmbH,2.12,44.12,88.0,100.0,41.68,True
EVAL-RFQ-0031-V010,RFQ-0031,V010,Adriatic Fastenings d.o.o.,6.66,38.46,83.0,68.0,37.6,True
EVAL-RFQ-0031-V022,RFQ-0031,V022,Andean Precision SRL,14.08,88.24,0.0,40.0,36.1,True
EVAL-RFQ-0031-V024,RFQ-0031,V024,BalticTech UAB,2.29,100.0,0.0,40.0,34.92,True
EVAL-RFQ-0031-V007,RFQ-0031,V007,Nakamura Tooling Co.,1.68,39.47,68.0,75.0,33.62,False
EVAL-RFQ-0032-V018,RFQ-0032,V018,Guangzhou Mech & Elec Co.,19.78,100.0,76.0,100.0,63.11,True
EVAL-RFQ-0032-V002,RFQ-0032,V002,Tanaka Electrical KK,11.54,89.19,85.0,54.0,53.77,True
EVAL-RFQ-0032-V016,RFQ-0032,V016,Precision Arc Systems,0.0,80.49,82.0,100.0,50.55,True
EVAL-RFQ-0032-V021,RFQ-0032,V021,Helios Micro Systems,8.28,70.21,0.0,40.0,28.37,True
EVAL-RFQ-0033-V010,RFQ-0033,V010,Adriatic Fastenings d.o.o.,8.55,95.0,83.0,68.0,55.32,True
EVAL-RFQ-0033-V001,RFQ-0033,V001,Kovacs Precision GmbH,0.0,70.37,88.0,100.0,48.71,True
EVAL-RFQ-0033-V017,RFQ-0033,V017,Türk Makina A.Ş.,13.71,48.72,68.0,75.0,41.2,True
EVAL-RFQ-0033-V004,RFQ-0033,V004,Strömberg Hydraulics AB,4.25,42.22,71.0,89.0,37.47,True
EVAL-RFQ-0033-V019,RFQ-0033,V019,Emerald Isle Castings Ltd,0.54,34.55,80.0,100.0,36.58,True
EVAL-RFQ-0033-V024,RFQ-0033,V024,BalticTech UAB,4.36,100.0,0.0,40.0,35.75,False
EVAL-RFQ-0034-V016,RFQ-0034,V016,Precision Arc Systems,13.51,62.5,82.0,100.0,50.55,True
EVAL-RFQ-0034-V002,RFQ-0034,V002,Tanaka Electrical KK,5.2,45.45,85.0,54.0,38.11,True
EVAL-RFQ-0034-V018,RFQ-0034,V018,Guangzhou Mech & Elec Co.,9.27,26.32,76.0,100.0,36.8,True
EVAL-RFQ-0034-V021,RFQ-0034,V021,Helios Micro Systems,0.0,100.0,0.0,40.0,34.0,True
EVAL-RFQ-0035-V006,RFQ-0035,V006,Bright Spark Electronics Ltd,4.67,100.0,85.0,100.0,58.87,True
EVAL-RFQ-0035-V013,RFQ-0035,V013,Vantage Sensors GmbH,1.43,46.15,92.0,68.0,39.62,True
EVAL-RFQ-0035-V021,RFQ-0035,V021,Helios Micro Systems,0.0,100.0,0.0,40.0,34.0,True
EVAL-RFQ-0036-V002,RFQ-0036,V002,Tanaka Electrical KK,0.0,100.0,85.0,54.0,52.4,True
EVAL-RFQ-0036-V016,RFQ-0036,V016,Precision Arc Systems,17.69,48.65,82.0,100.0,48.07,True
EVAL-RFQ-0036-V011,RFQ-0036,V011,Solaris Power Components,10.13,39.13,84.0,100.0,42.59,True
EVAL-RFQ-0036-V018,RFQ-0036,V018,Guangzhou Mech & Elec Co.,9.88,33.33,76.0,100.0,39.15,True
EVAL-RFQ-0037-V006,RFQ-0037,V006,Bright Spark Electronics Ltd,4.5,100.0,85.0,100.0,58.8,True
EVAL-RFQ-0037-V013,RFQ-0037,V013,Vantage Sensors GmbH,0.72,62.96,92.0,68.0,44.38,True
EVAL-RFQ-0037-V016,RFQ-0037,V016,Precision Arc Systems,12.63,35.42,82.0,100.0,42.08,True
EVAL-RFQ-0037-V018,RFQ-0037,V018,Guangzhou Mech & Elec Co.,8.98,40.48,76.0,100.0,40.93,True
EVAL-RFQ-0037-V021,RFQ-0037,V021,Helios Micro Systems,0.0,37.78,0.0,40.0,15.33,True
EVAL-RFQ-0038-V001,RFQ-0038,V001,Kovacs Precision GmbH,6.85,93.75,88.0,100.0,58.46,True
EVAL-RFQ-0038-V019,RFQ-0038,V019,Emerald Isle Castings Ltd,0.0,100.0,80.0,100.0,56.0,True
EVAL-RFQ-0038-V010,RFQ-0038,V010,Adriatic Fastenings d.o.o.,13.6,46.88,83.0,68.0,42.9,True
EVAL-RFQ-0038-V017,RFQ-0038,V017,Türk Makina A.Ş.,12.91,53.57,68.0,75.0,42.34,True
EVAL-RFQ-0038-V007,RFQ-0038,V007,Nakamura Tooling Co.,3.29,48.39,68.0,75.0,36.93,True
EVAL-RFQ-0038-V004,RFQ-0038,V004,Strömberg Hydraulics AB,4.76,29.41,71.0,89.0,33.83,False
EVAL-RFQ-0038-V022,RFQ-0038,V022,Andean Precision SRL,16.43,36.59,0.0,40.0,21.55,False
EVAL-RFQ-0038-V024,RFQ-0038,V024,BalticTech UAB,3.22,27.27,0.0,40.0,13.47,False
EVAL-RFQ-0039-V002,RFQ-0039,V002,Tanaka Electrical KK,3.99,100.0,85.0,54.0,53.99,True
EVAL-RFQ-0039-V006,RFQ-0039,V006,Bright Spark Electronics Ltd,19.93,46.15,85.0,100.0,48.82,True
EVAL-RFQ-0039-V011,RFQ-0039,V011,Solaris Power Components,20.21,41.38,84.0,100.0,47.3,True
EVAL-RFQ-0039-V016,RFQ-0039,V016,Precision Arc Systems,2.2,54.55,82.0,100.0,43.64,True
EVAL-RFQ-0039-V018,RFQ-0039,V018,Guangzhou Mech & Elec Co.,8.67,46.15,76.0,100.0,42.51,True
EVAL-RFQ-0039-V013,RFQ-0039,V013,Vantage Sensors GmbH,1.8,26.67,92.0,68.0,33.92,False
EVAL-RFQ-0039-V021,RFQ-0039,V021,Helios Micro Systems,0.0,32.43,0.0,40.0,13.73,False
EVAL-RFQ-0040-V011,RFQ-0040,V011,Solaris Power Components,11.58,32.08,84.0,100.0,41.06,True
EVAL-RFQ-0040-V018,RFQ-0040,V018,Guangzhou Mech & Elec Co.,13.78,32.69,76.0,100.0,40.52,True
EVAL-RFQ-0040-V013,RFQ-0040,V013,Vantage Sensors GmbH,5.84,34.69,92.0,68.0,37.94,True
EVAL-RFQ-0040-V021,RFQ-0040,V021,Helios Micro Systems,0.0,100.0,0.0,40.0,34.0,True
EVAL-RFQ-0041-V017,RFQ-0041,V017,Türk Makina A.Ş.,13.17,100.0,68.0,75.0,56.37,True
EVAL-RFQ-0041-V010,RFQ-0041,V010,Adriatic Fastenings d.o.o.,11.0,87.5,83.0,68.0,54.05,True
EVAL-RFQ-0041-V004,RFQ-0041,V004,Strömberg Hydraulics AB,3.14,45.16,71.0,89.0,37.9,True
EVAL-RFQ-0041-V019,RFQ-0041,V019,Emerald Isle Castings Ltd,3.36,29.79,80.0,100.0,36.28,True
EVAL-RFQ-0041-V007,RFQ-0041,V007,Nakamura Tooling Co.,0.0,32.56,68.0,75.0,30.87,True
EVAL-RFQ-0041-V022,RFQ-0041,V022,Andean Precision SRL,14.95,41.18,0.0,40.0,22.33,False
EVAL-RFQ-0042-V013,RFQ-0042,V013,Vantage Sensors GmbH,9.36,53.33,92.0,68.0,44.95,True
EVAL-RFQ-0042-V011,RFQ-0042,V011,Solaris Power Components,14.16,37.21,84.0,100.0,43.63,True
EVAL-RFQ-0042-V002,RFQ-0042,V002,Tanaka Electrical KK,8.47,57.14,85.0,54.0,42.93,True
EVAL-RFQ-0042-V018,RFQ-0042,V018,Guangzhou Mech & Elec Co.,18.95,33.33,76.0,100.0,42.78,True
EVAL-RFQ-0042-V021,RFQ-0042,V021,Helios Micro Systems,8.73,100.0,0.0,40.0,37.49,True
EVAL-RFQ-0042-V016,RFQ-0042,V016,Precision Arc Systems,0.0,34.04,82.0,100.0,36.61,False
EVAL-RFQ-0043-V001,RFQ-0043,V001,Kovacs Precision GmbH,0.62,100.0,88.0,100.0,57.85,True
EVAL-RFQ-0043-V017,RFQ-0043,V017,Türk Makina A.Ş.,12.14,92.31,68.0,75.0,53.65,True
EVAL-RFQ-0043-V010,RFQ-0043,V010,Adriatic Fastenings d.o.o.,13.8,38.71,83.0,68.0,40.53,True
EVAL-RFQ-0043-V004,RFQ-0043,V004,Strömberg Hydraulics AB,0.0,37.5,71.0,89.0,34.35,True
EVAL-RFQ-0043-V007,RFQ-0043,V007,Nakamura Tooling Co.,0.57,33.33,68.0,75.0,31.33,True
EVAL-RFQ-0043-V022,RFQ-0043,V022,Andean Precision SRL,14.7,22.22,0.0,40.0,16.55,False
EVAL-RFQ-0043-V024,RFQ-0043,V024,BalticTech UAB,3.48,26.09,0.0,40.0,13.22,False
EVAL-RFQ-0044-V017,RFQ-0044,V017,Türk Makina A.Ş.,12.47,100.0,68.0,75.0,56.09,True
EVAL-RFQ-0044-V004,RFQ-0044,V004,Strömberg Hydraulics AB,8.58,66.67,71.0,89.0,46.53,True
