sales_order_id,customer,customer_country,order_date,delivery_deadline,urgency_level,total_value_usd,order_status
SO-2024-0040,Mitsubishi Heavy,Japan,2024-12-08,2024-12-23,critical,12256.06,closed
SO-2024-0041,Hexagon AG,Germany,2024-08-21,2024-10-25,standard,60948.54,closed
SO-2024-0042,Hexagon AG,Germany,2024-10-09,2024-12-16,standard,51922.2,closed
SO-2024-0043,Bombardier Inc.,Canada,2025-02-16,2025-03-20,expedited,5762.09,closed
SO-2024-0044,Rolls-Royce PLC,UK,2024-05-16,2024-06-25,expedited,123473.9,closed
SO-2024-0045,Volkswagen AG,Germany,2024-02-11,2024-03-12,expedited,5644.6,closed
SO-2024-0046,Bombardier Inc.,Canada,2024-09-12,2024-11-19,standard,34456.6,closed
SO-2024-0047,Mitsubishi Heavy,Japan,2024-05-23,2024-07-04,expedited,202559.0,closed
SO-2024-0048,BHEL,India,2025-01-21,2025-03-24,standard,17057.3,closed
SO-2024-0049,Mitsubishi Heavy,Japan,2025-01-28,2025-04-04,standard,85908.12,closed
SO-2024-0050,Mitsubishi Heavy,Japan,2024-05-31,2024-07-05,expedited,4241.25,closed
SO-2024-0051,Bombardier Inc.,Canada,2024-07-03,2024-09-02,standard,24189.44,closed
SO-2024-0052,Mitsubishi Heavy,Japan,2024-08-17,2024-10-25,standard,289868.55,closed
SO-2024-0053,Embraer S.A.,Brazil,2024-03-27,2024-05-06,expedited,1576.61,closed
SO-2024-0054,GE Aviation,USA,2024-07-03,2024-08-08,expedited,44961.1,closed
SO-2024-0055,Siemens Energy,Germany,2024-11-13,2025-01-20,standard,125904.06,closed
SO-2024-0056,Siemens Energy,Germany,2024-05-29,2024-06-24,critical,155271.38,closed
SO-2024-0057,Rolls-Royce PLC,UK,2024-02-05,2024-03-14,expedited,67837.18,closed
SO-2024-0058,Bombardier Inc.,Canada,2024-01-19,2024-03-26,standard,139630.62,closed
SO-2024-0059,Mitsubishi Heavy,Japan,2024-09-18,2024-11-27,standard,35192.06,closed
SO-2024-0060,Bombardier Inc.,Canada,2024-06-08,2024-08-13,standard,72195.45,closed
SO-2024-0061,FANUC Corporation,Japan,2024-12-12,2025-01-15,expedited,12176.64,closed
SO-2024-0062,Volkswagen AG,Germany,2024-11-23,2025-01-29,standard,59072.85,closed
SO-2024-0063,BHEL,India,2024-06-15,2024-08-16,standard,100418.74,closed
SO-2024-0064,Volkswagen AG,Germany,2024-06-01,2024-07-03,expedited,99004.96,closed
SO-2024-0065,Airbus SE,France,2024-07-15,2024-09-19,standard,46292.3,closed
SO-2024-0066,Tata Advanced Systems,India,2024-08-18,2024-10-15,standard,62221.18,closed
SO-2024-0067,GE Aviation,USA,2024-02-12,2024-04-10,standard,12093.38,closed
SO-2024-0068,GE Aviation,USA,2024-02-27,2024-04-26,standard,170374.67,closed
SO-2024-0069,Volkswagen AG,Germany,2024-06-01,2024-07-02,expedited,76773.01,closed
SO-2024-0070,Airbus SE,France,2024-04-15,2024-06-17,standard,131790.55,closed
SO-2024-0071,Bombardier Inc.,Canada,2024-10-20,2024-12-23,standard,62771.0,closed
SO-2024-0072,Tata Advanced Systems,India,2024-05-17,2024-06-26,expedited,56776.47,closed
SO-2024-0073,Bombardier Inc.,Canada,2024-08-22,2024-10-28,standard,25039.11,closed
SO-2024-0074,GE Aviation,USA,2025-02-28,2025-05-05,standard,52250.71,closed
SO-2024-0075,GE Aviation,USA,2025-04-20,2025-06-19,standard,44346.61,closed
SO-2024-0076,Volkswagen AG,Germany,2024-07-21,2024-09-23,standard,35538.65,closed
SO-2024-0077,BHEL,India,2024-01-05,2024-02-06,expedited,16290.59,closed
SO-2024-0078,Rolls-Royce PLC,UK,2025-01-31,2025-04-03,standard,20692.24,closed
SO-2024-0079,Bombardier Inc.,Canada,2024-07-29,2024-10-04,standard,18393.31,closed
SO-2024-0080,Tata Advanced Systems,India,2024-11-26,2025-01-24,standard,51038.77,closed
SO-2024-0081,Volkswagen AG,Germany,2024-04-15,2024-05-10,critical,63314.29,closed
SO-2024-0082,FANUC Corporation,Japan,2025-03-16,2025-05-21,standard,92745.76,closed
SO-2024-0083,Siemens Energy,Germany,2024-11-17,2025-01-24,standard,31379.06,closed
SO-2024-0084,Siemens Energy,Germany,2025-01-25,2025-02-26,expedited,17509.39,closed
SO-2024-0085,Volkswagen AG,Germany,2024-03-02,2024-04-02,expedited,32894.57,closed
SO-2024-0086,Tata Advanced Systems,India,2025-01-18,2025-03-24,standard,16786.67,closed
SO-2024-0087,Rolls-Royce PLC,UK,2024-10-22,2024-11-22,expedited,225574.24,closed
SO-2024-0088,BHEL,India,2025-03-15,2025-05-13,standard,212396.43,closed
SO-2024-0089,Bombardier Inc.,Canada,2024-08-02,2024-09-06,expedited,36434.15,closed
SO-2024-0090,BHEL,India,2024-07-24,2024-08-09,critical,66156.12,closed
SO-2024-0091,Airbus SE,France,2025-01-30,2025-02-19,critical,71674.8,closed
SO-2024-0092,Mitsubishi Heavy,Japan,2024-05-01,2024-07-08,standard,24112.03,closed
SO-2024-0093,Mitsubishi Heavy,Japan,2024-11-22,2025-01-29,standard,1604.46,closed
SO-2024-0094,Rolls-Royce PLC,UK,2025-04-19,2025-05-13,critical,31702.45,closed
SO-2024-0095,GE Aviation,USA,2024-03-02,2024-05-10,standard,8159.3,closed
SO-2024-0096,Airbus SE,France,2025-03-03,2025-05-07,standard,17520.11,closed
SO-2024-0097,Tata Advanced Systems,India,2024-07-26,2024-10-03,standard,43129.92,closed
SO-2024-0098,Volkswagen AG,Germany,2024-10-27,2024-12-30,standard,23056.13,closed
SO-2024-0099,Mitsubishi Heavy,Japan,2025-02-28,2025-03-24,critical,5616.58,closed
SO-2024-0100,Bombardier Inc.,Canada,2024-01-16,2024-03-22,standard,62911.12,closed
SO-2024-0101,GE Aviation,USA,2024-05-23,2024-07-30,standard,100684.31,closed
SO-2024-0102,Hexagon AG,Germany,2025-02-04,2025-02-26,critical,53090.79,closed
SO-2024-0103,GE Aviation,USA,2025-01-27,2025-03-31,standard,101411.56,closed
SO-2024-0104,Embraer S.A.,Brazil,2025-02-12,2025-03-24,expedited,3271.52,closed
SO-2024-0105,FANUC Corporation,Japan,2024-10-15,2024-11-01,critical,28862.25,closed
SO-2024-0106,FANUC Corporation,Japan,2025-04-15,2025-05-22,expedited,33548.52,closed
SO-2024-0107,BHEL,India,2024-02-07,2024-02-29,critical,216456.7,closed
SO-2024-0108,BHEL,India,2025-04-20,2025-05-27,expedited,48858.56,closed
SO-2024-0109,Bombardier Inc.,Canada,2024-07-19,2024-08-05,critical,139282.14,closed
SO-2024-0110,Bombardier Inc.,Canada,2024-06-26,2024-08-30,standard,85792.14,closed
SO-2024-0111,Embraer S.A.,Brazil,2024-06-28,2024-08-05,expedited,38921.17,closed
SO-2024-0112,Tata Advanced Systems,India,2024-09-09,2024-10-02,critical,57761.19,closed
SO-2024-0113,Hexagon AG,Germany,2024-06-12,2024-08-15,standard,51318.08,closed
SO-2024-0114,BHEL,India,2024-02-17,2024-03-11,critical,33891.1,closed
SO-2024-0115,Volkswagen AG,Germany,2024-05-01,2024-07-01,standard,10626.84,closed
SO-2024-0116,Hexagon AG,Germany,2024-05-30,2024-08-07,standard,14617.92,closed
SO-2024-0117,Siemens Energy,Germany,2025-04-03,2025-06-06,standard,81879.92,closed
SO-2024-0118,Tata Advanced Systems,India,2024-05-14,2024-07-22,standard,69571.45,closed
SO-2024-0119,BHEL,India,2024-07-17,2024-09-25,standard,102839.33,closed
SO-2024-0120,Airbus SE,France,2025-05-01,2025-07-09,standard,15460.77,closed
SO-2024-0121,Volkswagen AG,Germany,2024-10-31,2025-01-03,standard,13877.52,closed
SO-2024-0122,Hexagon AG,Germany,2024-11-15,2024-12-27,expedited,29461.61,closed
SO-2024-0123,Siemens Energy,Germany,2024-12-01,2025-02-06,standard,19313.37,closed
SO-2024-0124,FANUC Corporation,Japan,2025-02-22,2025-04-28,standard,1935.49,closed
SO-2024-0125,FANUC Corporation,Japan,2024-08-01,2024-10-01,standard,29605.88,closed
SO-2024-0126,Tata Advanced Systems,India,2024-12-29,2025-03-07,standard,34239.33,closed
SO-2024-0127,Rolls-Royce PLC,UK,2024-08-25,2024-11-01,standard,85111.97,closed
SO-2024-0128,Rolls-Royce PLC,UK,2024-12-18,2025-01-20,expedited,51632.26,closed
SO-2024-0129,Siemens Energy,Germany,2025-03-18,2025-05-15,standard,43705.7,closed
SO-2024-0130,FANUC Corporation,Japan,2024-04-21,2024-06-27,standard,106581.13,closed
SO-2024-0131,Airbus SE,France,2024-12-16,2025-02-13,standard,203082.28,closed
SO-2024-0132,Hexagon AG,Germany,2025-02-14,2025-03-26,expedited,103936.01,closed
SO-2024-0133,Bombardier Inc.,Canada,2025-02-21,2025-03-13,critical,54841.58,closed
SO-2024-0134,Volkswagen AG,Germany,2024-04-02,2024-04-23,critical,5460.57,closed
SO-2024-0135,Tata Advanced Systems,India,2025-04-05,2025-04-28,critical,86308.09,closed
SO-2024-0136,FANUC Corporation,Japan,2024-10-26,2024-12-30,standard,61967.57,closed
SO-2024-0137,Siemens Energy,Germany,2025-03-13,2025-05-14,standard,138606.19,closed
SO-2024-0138,Mitsubishi Heavy,Japan,2024-11-19,2025-01-20,standard,71091.05,closed
SO-2024-0139,Mitsubishi Heavy,Japan,2024-08-10,2024-10-16,standard,54159.82,closed
SO-2024-0140,Volkswagen AG,Germany,2024-04-25,2024-06-03,expedited,34816.71,closed
SO-2024-0141,Airbus SE,France,2024-08-10,2024-10-10,standard,65340.74,closed
SO-2024-0142,Hexagon AG,Germany,2024-03-27,2024-04-29,expedited,34309.78,closed
SO-2024-0143,Volkswagen AG,Germany,2024-01-25,2024-02-27,expedited,40086.18,closed
SO-2024-0144,Airbus SE,France,2024-03-11,2024-04-18,expedited,29419.87,closed
SO-2024-0145,GE Aviation,USA,2024-04-12,2024-06-17,standard,64652.1,closed
SO-2024-0146,GE Aviation,USA,2024-02-16,2024-04-26,standard,1228.0,closed
SO-2024-0147,Rolls-Royce PLC,UK,2024-01-26,2024-03-27,standard,18169.13,closed
SO-2024-0148,Hexagon AG,Germany,2024-03-11,2024-05-10,standard,222884.56,closed
SO-2024-0149,Rolls-Royce PLC,UK,2024-12-19,2025-01-29,expedited,87361.2,closed
SO-2024-0150,Airbus SE,France,2024-07-02,2024-08-29,standard,15892.02,closed
SO-2024-0151,Bombardier Inc.,Canada,2024-09-25,2024-10-15,critical,32972.81,closed
SO-2024-0152,Tata Advanced Systems,India,2024-10-12,2024-11-12,expedited,56864.76,closed
SO-2024-0153,Tata Advanced Systems,India,2024-09-08,2024-11-12,standard,161235.96,closed
SO-2024-0154,GE Aviation,USA,2024-10-20,2024-12-26,standard,1614.58,closed
SO-2024-0155,Hexagon AG,Germany,2024-07-30,2024-09-26,standard,75632.3,closed
SO-2024-0156,Airbus SE,France,2025-01-01,2025-02-07,expedited,59915.3,closed
SO-2024-0157,Tata Advanced Systems,India,2025-02-24,2025-05-01,standard,12502.5,closed
SO-2024-0158,GE Aviation,USA,2024-04-07,2024-05-14,expedited,12142.9,closed
SO-2024-0159,Mitsubishi Heavy,Japan,2024-08-18,2024-09-26,expedited,48094.42,closed
SO-2024-0160,Volkswagen AG,Germany,2025-03-27,2025-05-05,expedited,39118.3,closed
SO-2024-0161,FANUC Corporation,Japan,2025-04-23,2025-06-04,expedited,25130.2,closed
SO-2024-0162,Volkswagen AG,Germany,2024-04-01,2024-04-26,critical,244806.07,closed
SO-2024-0163,Hexagon AG,Germany,2024-01-13,2024-03-20,standard,86350.9,closed
SO-2024-0164,Tata Advanced Systems,India,2024-12-19,2025-01-24,expedited,45504.5,closed
SO-2024-0165,Embraer S.A.,Brazil,2024-10-14,2024-11-21,expedited,44731.78,closed
SO-2024-0166,Volkswagen AG,Germany,2024-10-09,2024-12-06,standard,580.12,closed
SO-2024-0167,GE Aviation,USA,2025-04-11,2025-05-20,expedited,30442.0,closed
SO-2024-0168,Airbus SE,France,2024-01-03,2024-02-09,expedited,122306.68,closed
SO-2024-0169,Bombardier Inc.,Canada,2024-04-22,2024-06-21,standard,30721.12,closed
SO-2024-0170,BHEL,India,2024-11-28,2024-12-30,expedited,203688.63,closed
SO-2024-0171,Airbus SE,France,2024-01-21,2024-03-26,standard,28252.54,closed
SO-2024-0172,Rolls-Royce PLC,UK,2024-04-08,2024-04-30,critical,78356.4,closed
SO-2024-0173,Bombardier Inc.,Canada,2024-11-27,2024-12-30,expedited,18465.24,closed
SO-2024-0174,Mitsubishi Heavy,Japan,2024-04-26,2024-06-03,expedited,10462.72,closed
SO-2024-0175,Bombardier Inc.,Canada,2024-07-02,2024-08-13,expedited,662.56,closed
SO-2024-0176,GE Aviation,USA,2025-02-24,2025-04-23,standard,63122.14,closed
SO-2024-0177,Volkswagen AG,Germany,2025-05-01,2025-06-30,standard,128114.15,closed
SO-2024-0178,BHEL,India,2024-04-04,2024-06-06,standard,33797.3,closed
SO-2024-0179,Airbus SE,France,2024-06-18,2024-08-22,standard,22935.47,closed
SO-2024-0180,FANUC Corporation,Japan,2024-06-05,2024-07-09,expedited,187470.1,closed
SO-2024-0181,GE Aviation,USA,2025-01-31,2025-04-07,standard,67198.94,closed
SO-2024-0182,Mitsubishi Heavy,Japan,2025-03-10,2025-04-04,critical,8531.75,closed
SO-2024-0183,Hexagon AG,Germany,2024-10-05,2024-11-15,expedited,158377.11,closed
SO-2024-0184,Hexagon AG,Germany,2025-03-10,2025-04-11,expedited,39789.77,closed
SO-2024-0185,Hexagon AG,Germany,2024-09-22,2024-10-29,expedited,73534.57,closed
SO-2024-0186,Volkswagen AG,Germany,2024-10-27,2024-12-25,standard,90007.35,closed
SO-2024-0187,Rolls-Royce PLC,UK,2024-04-05,2024-06-06,standard,61811.13,closed
SO-2024-0188,Tata Advanced Systems,India,2024-07-29,2024-08-28,expedited,47594.87,closed
SO-2024-0189,Hexagon AG,Germany,2025-04-17,2025-06-18,standard,69384.42,closed
SO-2024-0190,Tata Advanced Systems,India,2024-09-18,2024-10-24,expedited,100697.2,closed
SO-2024-0191,Hexagon AG,Germany,2025-03-16,2025-05-23,standard,30665.37,closed
SO-2024-0192,Airbus SE,France,2024-01-01,2024-03-07,standard,192146.01,closed
SO-2024-0193,Tata Advanced Systems,India,2025-01-27,2025-03-31,standard,4236.13,closed
SO-2024-0194,Bombardier Inc.,Canada,2024-01-04,2024-02-15,expedited,59126.89,closed
SO-2024-0195,Siemens Energy,Germany,2024-03-20,2024-05-27,standard,163354.99,closed
SO-2024-0196,Rolls-Royce PLC,UK,2025-01-31,2025-03-12,expedited,18603.55,closed
SO-2024-0197,BHEL,India,2024-06-22,2024-08-30,standard,39376.44,closed
SO-2024-0198,Bombardier Inc.,Canada,2024-07-24,2024-10-02,standard,40305.07,closed
SO-2024-0199,Hexagon AG,Germany,2024-09-18,2024-10-30,expedited,20877.81,closed
SO-2024-0200,Rolls-Royce PLC,UK,2024-06-29,2024-08-07,expedited,112562.28,closed
SO-2024-0201,GE Aviation,USA,2024-10-21,2024-11-05,critical,20466.3,closed
SO-2024-0202,Airbus SE,France,2024-08-14,2024-10-21,standard,199193.35,closed
SO-2024-0203,Siemens Energy,Germany,2024-09-21,2024-10-17,critical,186.4,closed
SO-2024-0204,Bombardier Inc.,Canada,2024-02-08,2024-03-21,expedited,67620.56,closed
SO-2024-0205,Embraer S.A.,Brazil,2024-04-12,2024-06-14,standard,11190.12,closed
SO-2024-0206,Mitsubishi Heavy,Japan,2024-02-10,2024-04-18,standard,155536.7,closed
SO-2024-0207,Airbus SE,France,2024-09-26,2024-12-03,standard,166938.3,closed
SO-2024-0208,Embraer S.A.,Brazil,2024-02-21,2024-04-26,standard,9274.17,closed
SO-2024-0209,Embraer S.A.,Brazil,2025-01-20,2025-03-26,standard,9595.61,closed
SO-2024-0210,BHEL,India,2024-07-14,2024-09-13,standard,2600.49,closed
