health_score_id,vendor_id,vendor_name,month,month_index,relationship_arc,payment_reliability_score,win_rate_score,admin_burden_score,forecast_accuracy_score,composite_health_score,trend_3mo,thin_data_flag,alert_flag,alert_reason
HS-V003-202403,V003,Patel Alloys Pvt Ltd,2024-03-01,2,improving,100.0,100.0,100.0,100.0,100.0,stable,False,False,
HS-V004-202403,V004,Strömberg Hydraulics AB,2024-03-01,2,stable,18.4,100.0,86.1,100.0,68.0,declining,False,True,declining_trend
HS-V005-202403,V005,Cerro Negro Metals SA,2024-03-01,2,stable,100.0,100.0,100.0,,100.0,stable,False,False,
HS-V006-202403,V006,Bright Spark Electronics Ltd,2024-03-01,2,stable,93.4,100.0,64.2,,86.8,improving,False,False,
HS-V007-202403,V007,Nakamura Tooling Co.,2024-03-01,2,stable,83.8,100.0,92.1,100.0,92.4,declining,False,False,
HS-V008-202403,V008,Delta Composites Inc.,2024-03-01,2,stable,100.0,100.0,86.2,,96.0,improving,False,False,
HS-V009-202403,V009,Fischer & Söhne KG,2024-03-01,2,stable,65.8,100.0,95.0,100.0,86.8,declining,False,False,
HS-V010-202403,V010,Adriatic Fastenings d.o.o.,2024-03-01,2,stable,82.0,100.0,95.0,,91.1,improving,False,False,
HS-V011-202403,V011,Solaris Power Components,2024-03-01,2,stable,98.8,100.0,65.8,,89.5,stable,False,False,
HS-V012-202403,V012,Indra Copper Works,2024-03-01,2,improving,92.8,100.0,88.3,100.0,94.6,stable,False,False,
HS-V013-202403,V013,Vantage Sensors GmbH,2024-03-01,2,stable,100.0,100.0,83.1,100.0,95.8,stable,False,False,
HS-V014-202403,V014,Coastal Alloys Pty Ltd,2024-03-01,2,stable,100.0,62.5,45.0,,72.8,improving,False,False,
HS-V015-202403,V015,Nordic Steel AS,2024-03-01,2,stable,100.0,100.0,58.3,100.0,89.6,stable,False,False,
HS-V016-202403,V016,Precision Arc Systems,2024-03-01,2,stable,98.8,100.0,76.8,,92.7,stable,False,False,
HS-V017-202403,V017,Türk Makina A.Ş.,2024-03-01,2,stable,79.0,100.0,95.6,,90.1,improving,False,False,
HS-V018-202403,V018,Guangzhou Mech & Elec Co.,2024-03-01,2,collapse,78.4,100.0,81.9,,85.8,declining,False,False,
HS-V019-202403,V019,Emerald Isle Castings Ltd,2024-03-01,2,stable,96.4,100.0,77.5,100.0,93.1,declining,False,False,
HS-V020-202403,V020,Rajasthan Rare Earths Ltd,2024-03-01,2,improving,100.0,100.0,86.2,,96.0,improving,False,False,
HS-V001-202404,V001,Kovacs Precision GmbH,2024-04-01,3,declining,100.0,100.0,93.0,100.0,98.2,stable,False,False,
HS-V002-202404,V002,Tanaka Electrical KK,2024-04-01,3,stable,72.4,100.0,92.5,97.9,88.1,declining,False,False,
HS-V003-202404,V003,Patel Alloys Pvt Ltd,2024-04-01,3,improving,100.0,100.0,100.0,100.0,100.0,stable,False,False,
HS-V004-202404,V004,Strömberg Hydraulics AB,2024-04-01,3,stable,45.4,100.0,86.7,100.0,77.6,declining,False,False,
HS-V005-202404,V005,Cerro Negro Metals SA,2024-04-01,3,stable,100.0,100.0,100.0,,100.0,stable,False,False,
HS-V006-202404,V006,Bright Spark Electronics Ltd,2024-04-01,3,stable,100.0,100.0,65.0,,89.7,improving,False,False,
HS-V007-202404,V007,Nakamura Tooling Co.,2024-04-01,3,stable,77.2,100.0,93.9,100.0,90.5,declining,False,False,
HS-V008-202404,V008,Delta Composites Inc.,2024-04-01,3,stable,100.0,100.0,100.0,,100.0,improving,False,False,
HS-V009-202404,V009,Fischer & Söhne KG,2024-04-01,3,stable,72.4,100.0,96.5,100.0,89.5,declining,False,False,
HS-V010-202404,V010,Adriatic Fastenings d.o.o.,2024-04-01,3,stable,70.6,96.2,100.0,,86.8,improving,False,False,
HS-V011-202404,V011,Solaris Power Components,2024-04-01,3,stable,74.2,100.0,60.7,,77.8,declining,False,False,
HS-V012-202404,V012,Indra Copper Works,2024-04-01,3,improving,92.8,100.0,100.0,100.0,97.5,improving,False,False,
HS-V013-202404,V013,Vantage Sensors GmbH,2024-04-01,3,stable,74.8,100.0,81.8,94.1,85.7,declining,False,False,
HS-V014-202404,V014,Coastal Alloys Pty Ltd,2024-04-01,3,stable,100.0,62.5,45.0,,72.8,improving,False,False,
HS-V015-202404,V015,Nordic Steel AS,2024-04-01,3,stable,100.0,100.0,55.0,100.0,88.8,stable,False,False,
HS-V016-202404,V016,Precision Arc Systems,2024-04-01,3,stable,77.2,100.0,77.8,,84.1,declining,False,False,
HS-V017-202404,V017,Türk Makina A.Ş.,2024-04-01,3,stable,99.4,100.0,95.0,,98.3,improving,False,False,
HS-V018-202404,V018,Guangzhou Mech & Elec Co.,2024-04-01,3,collapse,97.0,100.0,83.2,,93.8,declining,False,False,
HS-V019-202404,V019,Emerald Isle Castings Ltd,2024-04-01,3,stable,98.2,100.0,78.5,88.5,92.3,declining,False,False,
HS-V020-202404,V020,Rajasthan Rare Earths Ltd,2024-04-01,3,improving,100.0,100.0,81.7,,94.6,improving,False,False,
HS-V001-202405,V001,Kovacs Precision GmbH,2024-05-01,4,declining,92.8,100.0,95.3,100.0,96.3,stable,False,False,
HS-V002-202405,V002,Tanaka Electrical KK,2024-05-01,4,stable,89.2,100.0,85.5,97.9,92.3,declining,False,False,
HS-V003-202405,V003,Patel Alloys Pvt Ltd,2024-05-01,4,improving,75.0,100.0,70.0,100.0,83.8,declining,False,False,
HS-V004-202405,V004,Strömberg Hydraulics AB,2024-05-01,4,stable,11.2,100.0,90.6,100.0,66.6,declining,False,True,declining_trend
HS-V005-202405,V005,Cerro Negro Metals SA,2024-05-01,4,stable,100.0,100.0,100.0,,100.0,stable,False,False,
HS-V006-202405,V006,Bright Spark Electronics Ltd,2024-05-01,4,stable,100.0,100.0,59.4,,88.1,improving,False,False,
HS-V007-202405,V007,Nakamura Tooling Co.,2024-05-01,4,stable,100.0,100.0,88.6,100.0,97.2,stable,False,False,
HS-V008-202405,V008,Delta Composites Inc.,2024-05-01,4,stable,100.0,100.0,100.0,,100.0,improving,False,False,
HS-V009-202405,V009,Fischer & Söhne KG,2024-05-01,4,stable,65.8,100.0,94.0,100.0,86.5,declining,False,False,
HS-V010-202405,V010,Adriatic Fastenings d.o.o.,2024-05-01,4,stable,97.6,100.0,90.4,,96.2,improving,False,False,
HS-V011-202405,V011,Solaris Power Components,2024-05-01,4,stable,85.6,100.0,67.5,,84.5,declining,False,False,
HS-V012-202405,V012,Indra Copper Works,2024-05-01,4,improving,75.0,100.0,70.0,100.0,83.8,stable,False,False,
HS-V013-202405,V013,Vantage Sensors GmbH,2024-05-01,4,stable,85.6,100.0,83.3,94.1,89.9,declining,False,False,
HS-V014-202405,V014,Coastal Alloys Pty Ltd,2024-05-01,4,stable,75.0,62.5,70.0,,69.9,improving,False,False,
HS-V015-202405,V015,Nordic Steel AS,2024-05-01,4,stable,100.0,100.0,45.0,100.0,86.2,declining,False,False,
HS-V016-202405,V016,Precision Arc Systems,2024-05-01,4,stable,81.4,100.0,73.3,,84.5,declining,False,False,
HS-V017-202405,V017,Türk Makina A.Ş.,2024-05-01,4,stable,100.0,100.0,93.5,,98.1,improving,False,False,
HS-V018-202405,V018,Guangzhou Mech & Elec Co.,2024-05-01,4,collapse,100.0,100.0,82.0,,94.7,stable,False,False,
HS-V019-202405,V019,Emerald Isle Castings Ltd,2024-05-01,4,stable,55.6,100.0,78.8,88.5,77.4,declining,False,False,
HS-V020-202405,V020,Rajasthan Rare Earths Ltd,2024-05-01,4,improving,100.0,100.0,100.0,,100.0,improving,False,False,
HS-V021-202405,V021,Helios Micro Systems,2024-05-01,4,new_proving,100.0,19.2,100.0,,76.2,unknown,True,False,
HS-V022-202405,V022,Andean Precision SRL,2024-05-01,4,new_proving,88.0,35.7,100.0,,76.2,unknown,True,False,
HS-V023-202405,V023,Sahara Industrial FZE,2024-05-01,4,new_proving,75.0,0.0,70.0,,51.5,unknown,True,True,score_below_55
HS-V024-202405,V024,BalticTech UAB,2024-05-01,4,new_proving,100.0,71.4,79.2,,85.5,unknown,True,False,
HS-V001-202406,V001,Kovacs Precision GmbH,2024-06-01,5,declining,100.0,100.0,92.5,100.0,98.1,improving,False,False,
HS-V002-202406,V002,Tanaka Electrical KK,2024-06-01,5,stable,70.6,100.0,94.5,97.9,88.0,stable,False,False,
HS-V003-202406,V003,Patel Alloys Pvt Ltd,2024-06-01,5,improving,100.0,100.0,100.0,100.0,100.0,declining,False,False,
HS-V004-202406,V004,Strömberg Hydraulics AB,2024-06-01,5,stable,85.6,100.0,92.5,100.0,93.1,declining,False,False,
HS-V005-202406,V005,Cerro Negro Metals SA,2024-06-01,5,stable,70.0,100.0,100.0,,87.6,declining,False,False,
HS-V006-202406,V006,Bright Spark Electronics Ltd,2024-06-01,5,stable,89.2,100.0,63.0,,84.7,improving,False,False,
HS-V007-202406,V007,Nakamura Tooling Co.,2024-06-01,5,stable,64.6,100.0,91.2,100.0,85.4,stable,False,False,
HS-V008-202406,V008,Delta Composites Inc.,2024-06-01,5,stable,100.0,100.0,100.0,,100.0,improving,False,False,
HS-V009-202406,V009,Fischer & Söhne KG,2024-06-01,5,stable,79.0,100.0,95.0,100.0,91.4,declining,False,False,
HS-V010-202406,V010,Adriatic Fastenings d.o.o.,2024-06-01,5,stable,100.0,100.0,80.0,,94.1,improving,False,False,
HS-V011-202406,V011,Solaris Power Components,2024-06-01,5,stable,79.6,100.0,66.2,,81.7,declining,False,False,
HS-V012-202406,V012,Indra Copper Works,2024-06-01,5,improving,100.0,100.0,100.0,100.0,100.0,stable,False,False,
HS-V013-202406,V013,Vantage Sensors GmbH,2024-06-01,5,stable,71.8,100.0,88.8,94.1,86.5,declining,False,False,
HS-V014-202406,V014,Coastal Alloys Pty Ltd,2024-06-01,5,stable,100.0,100.0,100.0,,100.0,improving,False,False,
HS-V015-202406,V015,Nordic Steel AS,2024-06-01,5,stable,100.0,100.0,100.0,100.0,100.0,stable,False,False,
HS-V016-202406,V016,Precision Arc Systems,2024-06-01,5,stable,95.8,100.0,73.1,,90.4,declining,False,False,
HS-V017-202406,V017,Türk Makina A.Ş.,2024-06-01,5,stable,100.0,100.0,92.1,,97.7,improving,False,False,
HS-V018-202406,V018,Guangzhou Mech & Elec Co.,2024-06-01,5,collapse,100.0,100.0,83.6,,95.2,improving,False,False,
HS-V019-202406,V019,Emerald Isle Castings Ltd,2024-06-01,5,stable,79.6,100.0,81.1,88.5,86.4,declining,False,False,
HS-V020-202406,V020,Rajasthan Rare Earths Ltd,2024-06-01,5,improving,75.0,100.0,100.0,,89.7,improving,False,False,
HS-V021-202406,V021,Helios Micro Systems,2024-06-01,5,new_proving,92.8,40.3,100.0,,79.5,improving,True,False,
HS-V022-202406,V022,Andean Precision SRL,2024-06-01,5,new_proving,92.8,31.2,92.1,,74.5,stable,True,False,
HS-V023-202406,V023,Sahara Industrial FZE,2024-06-01,5,new_proving,75.0,0.0,25.0,,38.2,declining,True,True,score_below_55
HS-V024-202406,V024,BalticTech UAB,2024-06-01,5,new_proving,100.0,78.1,82.1,,88.3,improving,True,False,
HS-V001-202407,V001,Kovacs Precision GmbH,2024-07-01,6,declining,82.6,100.0,91.2,100.0,91.7,stable,False,False,
HS-V002-202407,V002,Tanaka Electrical KK,2024-07-01,6,stable,71.2,100.0,93.9,100.0,88.4,improving,False,False,
HS-V003-202407,V003,Patel Alloys Pvt Ltd,2024-07-01,6,improving,100.0,100.0,100.0,100.0,100.0,declining,False,False,
HS-V004-202407,V004,Strömberg Hydraulics AB,2024-07-01,6,stable,73.6,100.0,94.2,100.0,89.3,stable,False,False,
HS-V005-202407,V005,Cerro Negro Metals SA,2024-07-01,6,stable,85.0,100.0,100.0,,93.8,declining,False,False,
HS-V006-202407,V006,Bright Spark Electronics Ltd,2024-07-01,6,stable,75.4,100.0,63.2,,79.0,declining,False,False,
HS-V007-202407,V007,Nakamura Tooling Co.,2024-07-01,6,stable,83.8,100.0,79.2,98.8,88.9,stable,False,False,
HS-V008-202407,V008,Delta Composites Inc.,2024-07-01,6,stable,100.0,100.0,100.0,,100.0,improving,False,False,
HS-V009-202407,V009,Fischer & Söhne KG,2024-07-01,6,stable,93.4,100.0,93.9,96.4,95.6,stable,False,False,
HS-V010-202407,V010,Adriatic Fastenings d.o.o.,2024-07-01,6,stable,100.0,100.0,70.6,,91.4,improving,False,False,
HS-V011-202407,V011,Solaris Power Components,2024-07-01,6,stable,82.0,100.0,67.0,,82.9,stable,False,False,
HS-V012-202407,V012,Indra Copper Works,2024-07-01,6,improving,100.0,100.0,100.0,100.0,100.0,stable,False,False,
HS-V013-202407,V013,Vantage Sensors GmbH,2024-07-01,6,stable,100.0,100.0,95.4,86.9,96.9,stable,False,False,
HS-V014-202407,V014,Coastal Alloys Pty Ltd,2024-07-01,6,stable,100.0,100.0,100.0,,100.0,improving,False,False,
HS-V015-202407,V015,Nordic Steel AS,2024-07-01,6,stable,100.0,100.0,100.0,100.0,100.0,improving,False,False,
HS-V016-202407,V016,Precision Arc Systems,2024-07-01,6,stable,77.2,100.0,71.0,,82.1,stable,False,False,
HS-V017-202407,V017,Türk Makina A.Ş.,2024-07-01,6,stable,100.0,100.0,95.0,,98.5,improving,False,False,
HS-V018-202407,V018,Guangzhou Mech & Elec Co.,2024-07-01,6,collapse,90.4,100.0,81.9,,90.7,improving,False,False,
HS-V019-202407,V019,Emerald Isle Castings Ltd,2024-07-01,6,stable,81.4,100.0,80.8,79.3,85.6,declining,False,False,
HS-V020-202407,V020,Rajasthan Rare Earths Ltd,2024-07-01,6,improving,75.0,100.0,100.0,78.7,88.1,stable,False,False,
HS-V021-202407,V021,Helios Micro Systems,2024-07-01,6,new_proving,100.0,86.2,83.2,,91.0,improving,True,False,
HS-V022-202407,V022,Andean Precision SRL,2024-07-01,6,new_proving,92.8,31.2,93.1,,74.8,stable,True,False,
HS-V023-202407,V023,Sahara Industrial FZE,2024-07-01,6,new_proving,75.0,0.0,52.5,,46.3,declining,True,True,score_below_55
HS-V024-202407,V024,BalticTech UAB,2024-07-01,6,new_proving,100.0,69.4,80.0,,85.1,stable,True,False,
HS-V001-202408,V001,Kovacs Precision GmbH,2024-08-01,7,declining,100.0,100.0,84.4,100.0,96.1,stable,False,False,
HS-V002-202408,V002,Tanaka Electrical KK,2024-08-01,7,stable,36.4,100.0,95.4,100.0,76.6,stable,False,False,
HS-V003-202408,V003,Patel Alloys Pvt Ltd,2024-08-01,7,improving,100.0,100.0,93.0,100.0,98.2,improving,False,False,
HS-V004-202408,V004,Strömberg Hydraulics AB,2024-08-01,7,stable,100.0,100.0,94.2,100.0,98.5,improving,False,False,
HS-V005-202408,V005,Cerro Negro Metals SA,2024-08-01,7,stable,89.8,100.0,89.0,,92.6,declining,False,False,
HS-V006-202408,V006,Bright Spark Electronics Ltd,2024-08-01,7,stable,79.0,100.0,68.9,,82.2,declining,False,False,
HS-V007-202408,V007,Nakamura Tooling Co.,2024-08-01,7,stable,88.0,100.0,82.0,98.8,91.1,declining,False,False,
HS-V008-202408,V008,Delta Composites Inc.,2024-08-01,7,stable,100.0,100.0,93.0,,97.9,stable,False,False,
HS-V009-202408,V009,Fischer & Söhne KG,2024-08-01,7,stable,100.0,100.0,100.0,96.4,99.5,improving,False,False,
HS-V010-202408,V010,Adriatic Fastenings d.o.o.,2024-08-01,7,stable,100.0,100.0,72.5,,91.9,stable,False,False,
HS-V011-202408,V011,Solaris Power Components,2024-08-01,7,stable,100.0,100.0,63.5,,89.3,stable,False,False,
HS-V012-202408,V012,Indra Copper Works,2024-08-01,7,improving,100.0,100.0,100.0,100.0,100.0,improving,False,False,
HS-V013-202408,V013,Vantage Sensors GmbH,2024-08-01,7,stable,83.8,100.0,97.7,86.9,91.8,stable,False,False,
HS-V014-202408,V014,Coastal Alloys Pty Ltd,2024-08-01,7,stable,100.0,100.0,100.0,,100.0,improving,False,False,
HS-V015-202408,V015,Nordic Steel AS,2024-08-01,7,stable,100.0,100.0,100.0,100.0,100.0,improving,False,False,
HS-V016-202408,V016,Precision Arc Systems,2024-08-01,7,stable,100.0,100.0,70.4,,91.3,stable,False,False,
HS-V017-202408,V017,Türk Makina A.Ş.,2024-08-01,7,stable,100.0,100.0,100.0,,100.0,improving,False,False,
HS-V018-202408,V018,Guangzhou Mech & Elec Co.,2024-08-01,7,collapse,100.0,100.0,85.5,,95.7,stable,False,False,
HS-V019-202408,V019,Emerald Isle Castings Ltd,2024-08-01,7,stable,88.6,100.0,88.3,79.3,90.0,stable,False,False,
HS-V020-202408,V020,Rajasthan Rare Earths Ltd,2024-08-01,7,improving,85.0,83.3,100.0,78.7,87.4,declining,False,False,
HS-V021-202408,V021,Helios Micro Systems,2024-08-01,7,new_proving,91.0,100.0,73.6,,88.5,improving,True,False,
HS-V022-202408,V022,Andean Precision SRL,2024-08-01,7,new_proving,75.0,29.4,86.2,,64.9,declining,True,True,declining_trend
HS-V023-202408,V023,Sahara Industrial FZE,2024-08-01,7,new_proving,75.0,0.0,51.2,,46.0,declining,True,True,score_below_55
HS-V024-202408,V024,BalticTech UAB,2024-08-01,7,new_proving,100.0,83.3,63.0,,84.2,stable,True,False,
HS-V001-202409,V001,Kovacs Precision GmbH,2024-09-01,8,declining,100.0,100.0,86.2,100.0,96.6,stable,False,False,
HS-V002-202409,V002,Tanaka Electrical KK,2024-09-01,8,stable,80.8,100.0,95.0,100.0,92.0,declining,False,False,
HS-V003-202409,V003,Patel Alloys Pvt Ltd,2024-09-01,8,improving,74.8,100.0,95.0,100.0,89.9,stable,False,False,
HS-V004-202409,V004,Strömberg Hydraulics AB,2024-09-01,8,stable,100.0,100.0,100.0,100.0,100.0,improving,False,False,
HS-V005-202409,V005,Cerro Negro Metals SA,2024-09-01,8,stable,81.4,100.0,88.8,,89.0,declining,False,False,
HS-V006-202409,V006,Bright Spark Electronics Ltd,2024-09-01,8,stable,91.6,100.0,67.5,,87.0,declining,False,False,
HS-V007-202409,V007,Nakamura Tooling Co.,2024-09-01,8,stable,100.0,100.0,75.8,98.8,93.8,stable,False,False,
HS-V008-202409,V008,Delta Composites Inc.,2024-09-01,8,stable,86.8,100.0,91.2,,92.0,declining,False,False,
HS-V009-202409,V009,Fischer & Söhne KG,2024-09-01,8,stable,100.0,100.0,95.0,96.4,98.2,improving,False,False,
HS-V010-202409,V010,Adriatic Fastenings d.o.o.,2024-09-01,8,stable,96.4,100.0,85.0,,94.1,stable,False,False,
HS-V011-202409,V011,Solaris Power Components,2024-09-01,8,stable,100.0,100.0,67.1,,90.3,improving,False,False,
HS-V012-202409,V012,Indra Copper Works,2024-09-01,8,improving,100.0,100.0,91.2,100.0,97.8,improving,False,False,
HS-V013-202409,V013,Vantage Sensors GmbH,2024-09-01,8,stable,98.2,100.0,97.1,86.9,96.7,improving,False,False,
HS-V014-202409,V014,Coastal Alloys Pty Ltd,2024-09-01,8,stable,100.0,100.0,100.0,,100.0,improving,False,False,
HS-V015-202409,V015,Nordic Steel AS,2024-09-01,8,stable,100.0,100.0,100.0,100.0,100.0,improving,False,False,
HS-V016-202409,V016,Precision Arc Systems,2024-09-01,8,stable,95.8,100.0,69.0,,89.2,stable,False,False,
HS-V017-202409,V017,Türk Makina A.Ş.,2024-09-01,8,stable,100.0,100.0,100.0,,100.0,stable,False,False,
HS-V018-202409,V018,Guangzhou Mech & Elec Co.,2024-09-01,8,collapse,100.0,100.0,88.8,,96.7,stable,False,False,
HS-V019-202409,V019,Emerald Isle Castings Ltd,2024-09-01,8,stable,77.8,100.0,82.0,79.3,84.6,stable,False,False,
HS-V020-202409,V020,Rajasthan Rare Earths Ltd,2024-09-01,8,improving,100.0,100.0,82.1,78.7,92.3,declining,False,False,
HS-V021-202409,V021,Helios Micro Systems,2024-09-01,8,new_proving,100.0,100.0,57.3,,87.4,improving,True,False,
HS-V022-202409,V022,Andean Precision SRL,2024-09-01,8,new_proving,75.0,29.4,91.2,,66.4,declining,True,True,declining_trend
HS-V023-202409,V023,Sahara Industrial FZE,2024-09-01,8,new_proving,85.0,25.0,65.0,,61.5,stable,True,False,
HS-V024-202409,V024,BalticTech UAB,2024-09-01,8,new_proving,100.0,100.0,68.6,,90.8,stable,True,False,
HS-V001-202410,V001,Kovacs Precision GmbH,2024-10-01,9,declining,70.0,100.0,85.5,100.0,85.9,stable,False,False,
HS-V002-202410,V002,Tanaka Electrical KK,2024-10-01,9,stable,86.8,100.0,94.5,100.0,94.0,stable,False,False,
HS-V003-202410,V003,Patel Alloys Pvt Ltd,2024-10-01,9,improving,44.8,100.0,93.0,98.0,78.6,declining,False,False,
HS-V004-202410,V004,Strömberg Hydraulics AB,2024-10-01,9,stable,100.0,100.0,100.0,97.4,99.6,improving,False,False,
HS-V005-202410,V005,Cerro Negro Metals SA,2024-10-01,9,stable,95.2,100.0,88.6,,94.7,stable,False,False,
HS-V006-202410,V006,Bright Spark Electronics Ltd,2024-10-01,9,stable,89.8,100.0,69.4,,86.8,stable,False,False,
HS-V007-202410,V007,Nakamura Tooling Co.,2024-10-01,9,stable,100.0,83.3,75.0,100.0,89.6,stable,False,False,
HS-V008-202410,V008,Delta Composites Inc.,2024-10-01,9,stable,80.8,100.0,93.0,,90.0,declining,False,False,
HS-V009-202410,V009,Fischer & Söhne KG,2024-10-01,9,stable,100.0,100.0,95.6,90.0,97.4,improving,False,False,
HS-V010-202410,V010,Adriatic Fastenings d.o.o.,2024-10-01,9,stable,87.4,100.0,91.2,,92.2,stable,False,False,
HS-V011-202410,V011,Solaris Power Components,2024-10-01,9,stable,100.0,100.0,67.5,,90.4,improving,False,False,
HS-V012-202410,V012,Indra Copper Works,2024-10-01,9,improving,95.2,100.0,88.8,100.0,95.5,improving,False,False,
HS-V013-202410,V013,Vantage Sensors GmbH,2024-10-01,9,stable,65.2,100.0,96.5,100.0,86.9,stable,False,False,
HS-V014-202410,V014,Coastal Alloys Pty Ltd,2024-10-01,9,stable,91.6,100.0,100.0,,96.5,improving,False,False,
HS-V015-202410,V015,Nordic Steel AS,2024-10-01,9,stable,89.8,100.0,91.0,97.6,93.8,stable,False,False,
