sales_order_id,customer,customer_country,order_date,delivery_deadline,urgency_level,total_value_usd,month_index
SO-2024-0028,Airbus SE,France,2024-03-18,2024-05-15,standard,31716.03,2
SO-2024-0029,Bombardier Inc.,Canada,2024-03-03,2024-05-06,standard,216647.35,2
SO-2024-0030,Airbus SE,France,2024-03-23,2024-05-29,standard,100857.6,2
SO-2024-0031,Hexagon AG,Germany,2024-03-30,2024-05-01,expedited,140312.35,2
SO-2024-0032,GE Aviation,USA,2024-03-24,2024-04-17,critical,80534.49,2
SO-2024-0033,BHEL,India,2024-03-05,2024-05-07,standard,33252.6,2
SO-2024-0034,Bombardier Inc.,Canada,2024-04-29,2024-07-04,standard,173545.71,3
SO-2024-0035,FANUC Corporation,Japan,2024-04-26,2024-06-05,expedited,3925.28,3
SO-2024-0036,Volkswagen AG,Germany,2024-04-28,2024-07-04,standard,29535.74,3
SO-2024-0037,Siemens Energy,Germany,2024-04-03,2024-06-11,standard,17580.86,3
SO-2024-0038,Mitsubishi Heavy,Japan,2024-04-21,2024-05-21,expedited,23956.56,3
SO-2024-0039,GE Aviation,USA,2024-04-19,2024-05-24,expedited,77626.02,3
SO-2024-0040,Airbus SE,France,2024-04-13,2024-05-22,expedited,20838.46,3
SO-2024-0041,Airbus SE,France,2024-04-26,2024-05-28,expedited,85540.22,3
SO-2024-0042,FANUC Corporation,Japan,2024-04-27,2024-06-06,expedited,9789.95,3
SO-2024-0043,GE Aviation,USA,2024-04-24,2024-06-27,standard,38192.71,3
SO-2024-0044,FANUC Corporation,Japan,2024-04-07,2024-06-11,standard,205930.33,3
SO-2024-0045,BHEL,India,2024-05-23,2024-07-03,expedited,45042.27,4
SO-2024-0046,BHEL,India,2024-05-23,2024-07-31,standard,30034.22,4
SO-2024-0047,GE Aviation,USA,2024-05-19,2024-07-26,standard,191017.77,4
SO-2024-0048,GE Aviation,USA,2024-05-01,2024-07-04,standard,60308.22,4
SO-2024-0049,Tata Advanced Systems,India,2024-05-31,2024-07-08,expedited,32465.24,4
SO-2024-0050,Airbus SE,France,2024-05-17,2024-07-24,standard,14713.58,4
SO-2024-0051,Mitsubishi Heavy,Japan,2024-05-06,2024-07-15,standard,34258.47,4
SO-2024-0052,Hexagon AG,Germany,2024-05-23,2024-07-26,standard,52217.96,4
SO-2024-0053,Hexagon AG,Germany,2024-05-10,2024-07-15,standard,15799.54,4
SO-2024-0054,Mitsubishi Heavy,Japan,2024-05-22,2024-07-19,standard,35711.28,4
SO-2024-0055,GE Aviation,USA,2024-05-16,2024-06-07,critical,138517.39,4
SO-2024-0056,FANUC Corporation,Japan,2024-06-25,2024-08-30,standard,111353.74,5
SO-2024-0057,Bombardier Inc.,Canada,2024-06-01,2024-08-02,standard,21699.03,5
SO-2024-0058,Mitsubishi Heavy,Japan,2024-06-05,2024-07-16,expedited,45758.46,5
SO-2024-0059,BHEL,India,2024-06-05,2024-07-08,expedited,158874.72,5
SO-2024-0060,Volkswagen AG,Germany,2024-06-05,2024-08-13,standard,224272.97,5
SO-2024-0061,Bombardier Inc.,Canada,2024-06-13,2024-07-08,critical,25614.09,5
SO-2024-0062,Mitsubishi Heavy,Japan,2024-06-15,2024-08-13,standard,38484.15,5
SO-2024-0063,Siemens Energy,Germany,2024-06-28,2024-08-06,expedited,136861.16,5
SO-2024-0064,GE Aviation,USA,2024-06-10,2024-08-07,standard,21971.52,5
SO-2024-0065,Embraer S.A.,Brazil,2024-06-19,2024-08-20,standard,25886.11,5
SO-2024-0066,GE Aviation,USA,2024-06-15,2024-07-22,expedited,3149.91,5
SO-2024-0067,Mitsubishi Heavy,Japan,2024-07-12,2024-09-16,standard,10650.06,6
SO-2024-0068,Volkswagen AG,Germany,2024-07-01,2024-08-28,standard,246780.84,6
SO-2024-0069,Hexagon AG,Germany,2024-07-15,2024-09-11,standard,189701.59,6
SO-2024-0070,GE Aviation,USA,2024-07-10,2024-08-01,critical,6238.99,6
SO-2024-0071,Bombardier Inc.,Canada,2024-07-13,2024-08-23,expedited,49382.45,6
SO-2024-0072,Volkswagen AG,Germany,2024-07-04,2024-07-24,critical,154370.73,6
SO-2024-0073,Rolls-Royce PLC,UK,2024-07-04,2024-07-22,critical,42106.94,6
SO-2024-0074,Siemens Energy,Germany,2024-07-24,2024-08-27,expedited,58255.7,6
SO-2024-0075,Volkswagen AG,Germany,2024-07-13,2024-09-16,standard,3183.5,6
SO-2024-0076,FANUC Corporation,Japan,2024-07-05,2024-09-06,standard,1086.25,6
SO-2024-0077,Embraer S.A.,Brazil,2024-07-05,2024-09-03,standard,21143.23,6
SO-2024-0078,Embraer S.A.,Brazil,2024-08-01,2024-09-04,expedited,35749.43,7
SO-2024-0079,BHEL,India,2024-08-20,2024-10-17,standard,81934.06,7
SO-2024-0080,Airbus SE,France,2024-08-18,2024-09-24,expedited,54318.56,7
SO-2024-0081,Siemens Energy,Germany,2024-08-08,2024-10-15,standard,5549.53,7
SO-2024-0082,GE Aviation,USA,2024-08-27,2024-10-25,standard,26946.4,7
SO-2024-0083,Hexagon AG,Germany,2024-08-18,2024-09-27,expedited,186831.63,7
SO-2024-0084,FANUC Corporation,Japan,2024-08-17,2024-10-18,standard,85869.94,7
SO-2024-0085,Airbus SE,France,2024-08-14,2024-10-23,standard,76555.89,7
SO-2024-0086,Volkswagen AG,Germany,2024-08-05,2024-10-02,standard,23241.69,7
SO-2024-0087,FANUC Corporation,Japan,2024-08-11,2024-10-09,standard,4838.24,7
SO-2024-0088,GE Aviation,USA,2024-08-16,2024-09-26,expedited,50003.81,7
SO-2024-0089,Airbus SE,France,2024-09-07,2024-11-11,standard,2772.04,8
SO-2024-0090,Tata Advanced Systems,India,2024-09-23,2024-11-25,standard,210715.52,8
SO-2024-0091,Siemens Energy,Germany,2024-09-11,2024-11-12,standard,221312.81,8
SO-2024-0092,BHEL,India,2024-09-17,2024-10-29,expedited,42906.32,8
SO-2024-0093,Tata Advanced Systems,India,2024-09-06,2024-11-07,standard,5241.71,8
SO-2024-0094,Airbus SE,France,2024-09-30,2024-12-04,standard,5910.24,8
SO-2024-0095,GE Aviation,USA,2024-09-12,2024-11-15,standard,79939.98,8
SO-2024-0096,GE Aviation,USA,2024-09-26,2024-10-28,expedited,99070.83,8
SO-2024-0097,Mitsubishi Heavy,Japan,2024-09-06,2024-11-05,standard,838.82,8
SO-2024-0098,FANUC Corporation,Japan,2024-09-02,2024-10-09,expedited,147173.38,8
SO-2024-0099,Volkswagen AG,Germany,2024-09-20,2024-10-09,critical,60644.64,8
SO-2024-0100,Rolls-Royce PLC,UK,2024-10-21,2024-11-27,expedited,71347.96,9
SO-2024-0101,Hexagon AG,Germany,2024-10-06,2024-12-06,standard,6555.4,9
SO-2024-0102,BHEL,India,2024-10-11,2024-12-12,standard,25792.76,9
SO-2024-0103,Embraer S.A.,Brazil,2024-10-26,2025-01-02,standard,148088.47,9
SO-2024-0104,Tata Advanced Systems,India,2024-10-26,2024-11-28,expedited,134730.33,9
SO-2024-0105,Rolls-Royce PLC,UK,2024-10-17,2024-12-18,standard,133562.09,9
SO-2024-0106,Bombardier Inc.,Canada,2024-10-26,2024-11-28,expedited,40459.26,9
SO-2024-0107,Mitsubishi Heavy,Japan,2024-10-07,2024-12-06,standard,61717.78,9
SO-2024-0108,Volkswagen AG,Germany,2024-10-08,2024-12-09,standard,101888.41,9
SO-2024-0109,BHEL,India,2024-10-26,2025-01-03,standard,36879.57,9
SO-2024-0110,Tata Advanced Systems,India,2024-10-18,2024-12-24,standard,77664.74,9
SO-2024-0111,Bombardier Inc.,Canada,2024-10-15,2024-11-14,expedited,45542.28,9
SO-2024-0112,Volkswagen AG,Germany,2024-10-12,2024-12-10,standard,67802.62,9
SO-2024-0113,GE Aviation,USA,2024-10-26,2025-01-03,standard,18553.53,9
SO-2024-0114,Rolls-Royce PLC,UK,2024-11-20,2025-01-27,standard,164456.27,10
SO-2024-0115,Rolls-Royce PLC,UK,2024-11-26,2024-12-26,expedited,42236.7,10
SO-2024-0116,Tata Advanced Systems,India,2024-11-05,2024-11-29,critical,9403.18,10
SO-2024-0117,Airbus SE,France,2024-11-05,2025-01-13,standard,137350.89,10
SO-2024-0118,Tata Advanced Systems,India,2024-11-13,2025-01-22,standard,995.58,10
SO-2024-0119,Rolls-Royce PLC,UK,2024-11-16,2024-12-20,expedited,1030.22,10
SO-2024-0120,Mitsubishi Heavy,Japan,2024-11-28,2025-01-06,expedited,58178.62,10
SO-2024-0121,FANUC Corporation,Japan,2024-11-04,2025-01-06,standard,5797.44,10
SO-2024-0122,Tata Advanced Systems,India,2024-11-03,2024-12-04,expedited,8258.42,10
SO-2024-0123,GE Aviation,USA,2024-11-17,2025-01-21,standard,1768.58,10
SO-2024-0124,Hexagon AG,Germany,2024-11-17,2024-12-19,expedited,191544.67,10
SO-2024-0125,BHEL,India,2024-11-21,2025-01-24,standard,132332.02,10
SO-2024-0126,Volkswagen AG,Germany,2024-11-09,2024-12-13,expedited,123201.63,10
SO-2024-0127,GE Aviation,USA,2024-11-11,2025-01-10,standard,94733.68,10
SO-2024-0128,GE Aviation,USA,2024-12-15,2025-02-14,standard,32613.04,11
SO-2024-0129,FANUC Corporation,Japan,2024-12-24,2025-01-15,critical,5405.58,11
SO-2024-0130,Siemens Energy,Germany,2024-12-31,2025-03-04,standard,192051.25,11
SO-2024-0131,Rolls-Royce PLC,UK,2024-12-28,2025-02-26,standard,77064.51,11
SO-2024-0132,BHEL,India,2024-12-20,2025-02-19,standard,198667.12,11
SO-2024-0133,Airbus SE,France,2024-12-17,2025-02-13,standard,40051.27,11
SO-2024-0134,Tata Advanced Systems,India,2024-12-17,2025-01-20,expedited,157284.55,11
SO-2024-0135,GE Aviation,USA,2024-12-10,2025-01-20,expedited,154041.08,11
SO-2024-0136,Bombardier Inc.,Canada,2024-12-21,2025-01-06,critical,86436.5,11
SO-2024-0137,Bombardier Inc.,Canada,2024-12-01,2025-02-06,standard,8345.77,11
SO-2024-0138,Bombardier Inc.,Canada,2024-12-07,2025-02-14,standard,64588.44,11
SO-2024-0139,Bombardier Inc.,Canada,2024-12-26,2025-01-31,expedited,36817.22,11
SO-2024-0140,Rolls-Royce PLC,UK,2024-12-22,2025-02-28,standard,125050.57,11
SO-2024-0141,Rolls-Royce PLC,UK,2024-12-23,2025-01-13,critical,13795.64,11
SO-2024-0142,Embraer S.A.,Brazil,2025-01-14,2025-03-20,standard,79260.08,12
SO-2024-0143,FANUC Corporation,Japan,2025-01-02,2025-03-04,standard,43746.49,12
SO-2024-0144,Hexagon AG,Germany,2025-01-19,2025-03-19,standard,84170.02,12
SO-2024-0145,Tata Advanced Systems,India,2025-01-21,2025-02-26,expedited,91355.41,12
SO-2024-0146,Volkswagen AG,Germany,2025-01-27,2025-02-19,critical,125580.44,12
SO-2024-0147,Rolls-Royce PLC,UK,2025-01-23,2025-02-27,expedited,55391.6,12
SO-2024-0148,Bombardier Inc.,Canada,2025-01-23,2025-02-25,expedited,67946.03,12
SO-2024-0149,GE Aviation,USA,2025-01-26,2025-02-28,expedited,100040.5,12
SO-2024-0150,Airbus SE,France,2025-01-27,2025-04-07,standard,173599.95,12
SO-2024-0151,Siemens Energy,Germany,2025-01-02,2025-03-13,standard,45002.47,12
SO-2024-0152,Hexagon AG,Germany,2025-01-03,2025-01-29,critical,10972.0,12
SO-2024-0153,Bombardier Inc.,Canada,2025-01-14,2025-02-20,expedited,24272.88,12
SO-2024-0154,Tata Advanced Systems,India,2025-01-08,2025-02-07,expedited,1473.19,12
SO-2024-0155,Embraer S.A.,Brazil,2025-01-12,2025-03-13,standard,10744.66,12
SO-2024-0156,Mitsubishi Heavy,Japan,2025-02-15,2025-03-18,expedited,22625.55,13
SO-2024-0157,BHEL,India,2025-02-08,2025-03-03,critical,96782.99,13
SO-2024-0158,Siemens Energy,Germany,2025-02-02,2025-03-11,expedited,163273.54,13
SO-2024-0159,GE Aviation,USA,2025-02-18,2025-03-13,critical,42744.28,13
SO-2024-0160,Rolls-Royce PLC,UK,2025-02-20,2025-04-21,standard,26439.06,13
SO-2024-0161,GE Aviation,USA,2025-02-11,2025-04-16,standard,22873.0,13
SO-2024-0162,Embraer S.A.,Brazil,2025-02-23,2025-03-28,expedited,245438.36,13
SO-2024-0163,Bombardier Inc.,Canada,2025-02-27,2025-05-05,standard,19395.73,13
SO-2024-0164,Airbus SE,France,2025-02-14,2025-03-24,expedited,78986.49,13
SO-2024-0165,FANUC Corporation,Japan,2025-02-27,2025-05-07,standard,171693.87,13
SO-2024-0166,Mitsubishi Heavy,Japan,2025-02-22,2025-03-10,critical,12256.06,13
SO-2024-0167,Hexagon AG,Germany,2025-02-15,2025-04-22,standard,60948.54,13
SO-2024-0168,Hexagon AG,Germany,2025-02-18,2025-04-25,standard,51922.2,13
SO-2024-0169,Bombardier Inc.,Canada,2025-02-26,2025-04-01,expedited,5762.09,13
SO-2024-0170,Rolls-Royce PLC,UK,2025-03-09,2025-04-16,expedited,123473.9,14
SO-2024-0171,Volkswagen AG,Germany,2025-03-03,2025-04-02,expedited,5644.6,14
SO-2024-0172,Bombardier Inc.,Canada,2025-03-16,2025-05-21,standard,34456.6,14
SO-2024-0173,Mitsubishi Heavy,Japan,2025-03-09,2025-04-18,expedited,202559.0,14
SO-2024-0174,BHEL,India,2025-03-25,2025-05-26,standard,17057.3,14
SO-2024-0175,Mitsubishi Heavy,Japan,2025-03-25,2025-05-30,standard,85908.12,14
SO-2024-0176,Mitsubishi Heavy,Japan,2025-03-10,2025-04-14,expedited,4241.25,14
SO-2024-0177,Bombardier Inc.,Canada,2025-03-12,2025-05-12,standard,24189.44,14
SO-2024-0178,Mitsubishi Heavy,Japan,2025-03-15,2025-05-23,standard,289868.55,14
SO-2024-0179,Embraer S.A.,Brazil,2025-03-06,2025-04-15,expedited,1576.61,14
SO-2024-0180,GE Aviation,USA,2025-03-12,2025-04-17,expedited,44961.1,14
SO-2024-0181,Siemens Energy,Germany,2025-03-20,2025-05-27,standard,125904.06,14
SO-2024-0182,Siemens Energy,Germany,2025-03-10,2025-04-03,critical,155271.38,14
SO-2024-0183,Rolls-Royce PLC,UK,2025-03-03,2025-04-10,expedited,67837.18,14
SO-2024-0184,Bombardier Inc.,Canada,2025-04-02,2025-06-06,standard,139630.62,15
SO-2024-0185,Mitsubishi Heavy,Japan,2025-04-17,2025-06-26,standard,35192.06,15
SO-2024-0186,Bombardier Inc.,Canada,2025-04-10,2025-06-16,standard,72195.45,15
SO-2024-0187,FANUC Corporation,Japan,2025-04-22,2025-05-26,expedited,12176.64,15
SO-2024-0188,Volkswagen AG,Germany,2025-04-21,2025-06-26,standard,59072.85,15
SO-2024-0189,BHEL,India,2025-04-11,2025-06-13,standard,100418.74,15
SO-2024-0190,Volkswagen AG,Germany,2025-04-10,2025-05-13,expedited,99004.96,15
SO-2024-0191,Airbus SE,France,2025-04-13,2025-06-18,standard,46292.3,15
SO-2024-0192,Tata Advanced Systems,India,2025-04-15,2025-06-12,standard,62221.18,15
SO-2024-0193,GE Aviation,USA,2025-04-03,2025-06-02,standard,12093.38,15
SO-2024-0194,GE Aviation,USA,2025-04-04,2025-06-04,standard,170374.67,15
SO-2024-0195,Volkswagen AG,Germany,2025-04-10,2025-05-12,expedited,76773.01,15
SO-2024-0196,Airbus SE,France,2025-04-07,2025-06-09,standard,131790.55,15
SO-2024-0197,Bombardier Inc.,Canada,2025-04-19,2025-06-23,standard,62771.0,15
SO-2024-0198,Tata Advanced Systems,India,2025-05-09,2025-06-18,expedited,56776.47,16
SO-2024-0199,Bombardier Inc.,Canada,2025-05-15,2025-07-21,standard,25039.11,16
SO-2024-0200,GE Aviation,USA,2025-05-27,2025-07-30,standard,52250.71,16
SO-2024-0201,GE Aviation,USA,2025-05-30,2025-07-31,standard,44346.61,16
SO-2024-0202,Volkswagen AG,Germany,2025-05-13,2025-07-16,standard,35538.65,16
SO-2024-0203,BHEL,India,2025-05-01,2025-06-02,expedited,16290.59,16
SO-2024-0204,Rolls-Royce PLC,UK,2025-05-25,2025-07-24,standard,20692.24,16
SO-2024-0205,Bombardier Inc.,Canada,2025-05-14,2025-07-22,standard,18393.31,16
SO-2024-0206,Tata Advanced Systems,India,2025-05-21,2025-07-21,standard,51038.77,16
SO-2024-0207,Volkswagen AG,Germany,2025-05-07,2025-06-03,critical,63314.29,16
SO-2024-0208,FANUC Corporation,Japan,2025-05-28,2025-08-04,standard,92745.76,16
SO-2024-0209,Siemens Energy,Germany,2025-05-21,2025-07-30,standard,31379.06,16
SO-2024-0210,Siemens Energy,Germany,2025-05-25,2025-06-25,expedited,17509.39,16
SO-2024-0211,Volkswagen AG,Germany,2025-05-04,2025-06-03,expedited,32894.57,16
SO-2024-0212,Tata Advanced Systems,India,2025-06-24,2025-08-27,standard,16786.67,17
SO-2024-0213,Rolls-Royce PLC,UK,2025-06-19,2025-07-22,expedited,225574.24,17
SO-2024-0214,BHEL,India,2025-06-28,2025-08-26,standard,212396.43,17
SO-2024-0215,Bombardier Inc.,Canada,2025-06-14,2025-07-18,expedited,36434.15,17
SO-2024-0216,BHEL,India,2025-06-13,2025-07-01,critical,66156.12,17
SO-2024-0217,Airbus SE,France,2025-06-25,2025-07-15,critical,71674.8,17
SO-2024-0218,Mitsubishi Heavy,Japan,2025-06-08,2025-08-13,standard,24112.03,17
SO-2024-0219,Mitsubishi Heavy,Japan,2025-06-21,2025-08-27,standard,1604.46,17
SO-2024-0220,Rolls-Royce PLC,UK,2025-06-30,2025-07-23,critical,31702.45,17
SO-2024-0221,GE Aviation,USA,2025-06-04,2025-08-13,standard,8159.3,17
SO-2024-0222,Airbus SE,France,2025-06-27,2025-09-02,standard,17520.11,17
SO-2024-0223,Tata Advanced Systems,India,2025-06-13,2025-08-21,standard,43129.92,17
SO-2024-0224,Volkswagen AG,Germany,2025-06-19,2025-08-22,standard,23056.13,17
SO-2024-0225,Mitsubishi Heavy,Japan,2025-06-27,2025-07-21,critical,5616.58,17
