eval_id,rfq_id,vendor_id,vendor_name,bid_total_usd,delivery_days,price_score,delivery_score,quality_score,relationship_score,composite_score,selected,month_index
EVAL-RFQ-0004-V006,RFQ-0004,V006,Bright Spark Electronics Ltd,107169.96,54,4.79,51.85,72.0,61.0,37.97,True,0
EVAL-RFQ-0005-V013,RFQ-0005,V013,Vantage Sensors GmbH,2388.52,13,7.36,100.0,88.0,89.0,59.45,True,0
EVAL-RFQ-0005-V002,RFQ-0005,V002,Tanaka Electrical KK,2308.34,17,10.47,76.47,90.0,89.0,54.03,True,0
EVAL-RFQ-0005-V011,RFQ-0005,V011,Solaris Power Components,2354.76,31,8.67,41.94,70.0,54.0,35.45,True,0
EVAL-RFQ-0005-V016,RFQ-0005,V016,Precision Arc Systems,2578.42,49,0.0,26.53,68.0,54.0,26.96,True,0
EVAL-RFQ-0005-V018,RFQ-0005,V018,Guangzhou Mech & Elec Co.,2496.13,54,3.19,24.07,65.0,54.0,26.9,True,0
EVAL-RFQ-0006-V002,RFQ-0006,V002,Tanaka Electrical KK,35721.56,12,3.89,100.0,90.0,89.0,58.45,True,0
EVAL-RFQ-0006-V016,RFQ-0006,V016,Precision Arc Systems,30010.54,14,19.25,85.71,68.0,54.0,52.42,True,0
EVAL-RFQ-0006-V011,RFQ-0006,V011,Solaris Power Components,24970.74,43,32.81,27.91,70.0,54.0,40.9,True,0
EVAL-RFQ-0006-V006,RFQ-0006,V006,Bright Spark Electronics Ltd,37165.7,21,0.0,57.14,72.0,61.0,37.64,True,0
EVAL-RFQ-0006-V018,RFQ-0006,V018,Guangzhou Mech & Elec Co.,37057.22,41,0.29,29.27,65.0,54.0,27.3,True,0
EVAL-RFQ-0007-V018,RFQ-0007,V018,Guangzhou Mech & Elec Co.,25019.84,12,0.0,100.0,65.0,54.0,48.4,True,0
EVAL-RFQ-0007-V002,RFQ-0007,V002,Tanaka Electrical KK,24604.92,19,1.66,63.16,90.0,89.0,46.51,True,0
EVAL-RFQ-0007-V013,RFQ-0007,V013,Vantage Sensors GmbH,24695.12,23,1.3,52.17,88.0,89.0,42.67,True,0
EVAL-RFQ-0007-V006,RFQ-0007,V006,Bright Spark Electronics Ltd,23110.88,30,7.63,40.0,72.0,61.0,35.55,True,0
EVAL-RFQ-0007-V016,RFQ-0007,V016,Precision Arc Systems,23460.2,29,6.23,41.38,68.0,54.0,33.91,True,0
EVAL-RFQ-0007-V011,RFQ-0007,V011,Solaris Power Components,23506.12,39,6.05,30.77,70.0,54.0,31.05,False,0
EVAL-RFQ-0008-V013,RFQ-0008,V013,Vantage Sensors GmbH,21660.48,19,7.45,100.0,88.0,89.0,59.48,True,0
EVAL-RFQ-0008-V002,RFQ-0008,V002,Tanaka Electrical KK,22255.2,35,4.91,54.29,90.0,89.0,45.15,True,0
EVAL-RFQ-0008-V006,RFQ-0008,V006,Bright Spark Electronics Ltd,20909.52,39,10.66,48.72,72.0,61.0,39.38,True,0
EVAL-RFQ-0008-V018,RFQ-0008,V018,Guangzhou Mech & Elec Co.,23405.04,31,0.0,61.29,65.0,54.0,36.79,True,0
EVAL-RFQ-0009-V006,RFQ-0009,V006,Bright Spark Electronics Ltd,3948.78,21,0.0,100.0,72.0,61.0,50.5,True,0
EVAL-RFQ-0009-V002,RFQ-0009,V002,Tanaka Electrical KK,3601.62,34,8.79,61.76,90.0,89.0,48.95,True,0
EVAL-RFQ-0009-V011,RFQ-0009,V011,Solaris Power Components,3497.34,28,11.43,75.0,70.0,54.0,46.47,True,0
EVAL-RFQ-0009-V018,RFQ-0009,V018,Guangzhou Mech & Elec Co.,3920.4,45,0.72,46.67,65.0,54.0,32.69,True,0
EVAL-RFQ-0010-V009,RFQ-0010,V009,Fischer & Söhne KG,23300.37,11,13.43,100.0,89.0,100.0,63.17,True,0
EVAL-RFQ-0010-V001,RFQ-0010,V001,Kovacs Precision GmbH,23719.41,15,11.87,73.33,91.0,100.0,54.95,True,0
EVAL-RFQ-0010-V019,RFQ-0010,V019,Emerald Isle Castings Ltd,26914.59,14,0.0,78.57,87.0,75.0,48.47,True,0
EVAL-RFQ-0010-V004,RFQ-0010,V004,Strömberg Hydraulics AB,24260.67,51,9.86,21.57,93.0,100.0,39.01,True,0
EVAL-RFQ-0010-V007,RFQ-0010,V007,Nakamura Tooling Co.,25561.44,53,5.03,20.75,92.0,96.0,36.24,True,0
EVAL-RFQ-0010-V010,RFQ-0010,V010,Adriatic Fastenings d.o.o.,22017.06,52,18.2,21.15,74.0,61.0,34.52,False,0
EVAL-RFQ-0010-V017,RFQ-0010,V017,Türk Makina A.Ş.,22811.49,45,15.24,24.44,73.0,61.0,34.13,False,0
EVAL-RFQ-0011-V012,RFQ-0011,V012,Indra Copper Works,2648.6,19,1.58,100.0,81.0,82.0,55.03,True,1
EVAL-RFQ-0011-V003,RFQ-0011,V003,Patel Alloys Pvt Ltd,2670.7,40,0.76,47.5,78.0,75.0,37.65,True,1
EVAL-RFQ-0011-V020,RFQ-0011,V020,Rajasthan Rare Earths Ltd,2691.1,39,0.0,48.72,76.0,61.0,35.92,True,1
EVAL-RFQ-0011-V008,RFQ-0011,V008,Delta Composites Inc.,2522.8,52,6.25,36.54,76.0,68.0,35.46,True,1
EVAL-RFQ-0011-V005,RFQ-0011,V005,Cerro Negro Metals SA,2641.8,46,1.83,41.3,75.0,68.0,34.92,True,1
EVAL-RFQ-0012-V018,RFQ-0012,V018,Guangzhou Mech & Elec Co.,37436.66,17,0.77,100.0,65.0,54.0,48.71,True,1
EVAL-RFQ-0012-V013,RFQ-0012,V013,Vantage Sensors GmbH,36160.02,43,4.15,39.53,88.0,89.0,40.02,True,1
EVAL-RFQ-0012-V016,RFQ-0012,V016,Precision Arc Systems,32091.74,49,14.94,34.69,68.0,54.0,35.38,True,1
EVAL-RFQ-0012-V011,RFQ-0012,V011,Solaris Power Components,37727.54,32,0.0,53.12,70.0,54.0,35.34,True,1
EVAL-RFQ-0013-V010,RFQ-0013,V010,Adriatic Fastenings d.o.o.,9045.55,13,17.34,100.0,74.0,61.0,57.84,True,1
EVAL-RFQ-0013-V001,RFQ-0013,V001,Kovacs Precision GmbH,9869.54,27,9.82,48.15,91.0,100.0,46.57,True,1
EVAL-RFQ-0013-V004,RFQ-0013,V004,Strömberg Hydraulics AB,10499.65,41,4.06,31.71,93.0,100.0,39.74,True,1
EVAL-RFQ-0013-V007,RFQ-0013,V007,Nakamura Tooling Co.,10339.83,48,5.52,27.08,92.0,96.0,38.33,True,1
EVAL-RFQ-0013-V019,RFQ-0013,V019,Emerald Isle Castings Ltd,10943.74,36,0.0,36.11,87.0,75.0,35.73,True,1
EVAL-RFQ-0013-V017,RFQ-0013,V017,Türk Makina A.Ş.,9320.65,52,14.83,25.0,73.0,61.0,34.13,False,1
EVAL-RFQ-0014-V018,RFQ-0014,V018,Guangzhou Mech & Elec Co.,53900.16,10,0.0,100.0,65.0,54.0,48.4,True,1
EVAL-RFQ-0014-V006,RFQ-0014,V006,Bright Spark Electronics Ltd,43677.3,26,18.97,38.46,72.0,61.0,39.62,True,1
EVAL-RFQ-0014-V013,RFQ-0014,V013,Vantage Sensors GmbH,50712.3,31,5.91,32.26,88.0,89.0,38.54,True,1
EVAL-RFQ-0014-V011,RFQ-0014,V011,Solaris Power Components,47118.42,22,12.58,45.45,70.0,54.0,38.07,True,1
EVAL-RFQ-0014-V002,RFQ-0014,V002,Tanaka Electrical KK,51588.66,43,4.29,23.26,90.0,89.0,35.59,True,1
EVAL-RFQ-0014-V016,RFQ-0014,V016,Precision Arc Systems,48380.7,43,10.24,23.26,68.0,54.0,30.07,False,1
EVAL-RFQ-0015-V013,RFQ-0015,V013,Vantage Sensors GmbH,36373.5,13,9.95,100.0,88.0,89.0,60.48,True,1
EVAL-RFQ-0015-V002,RFQ-0015,V002,Tanaka Electrical KK,36175.26,21,10.44,61.9,90.0,89.0,49.65,True,1
EVAL-RFQ-0015-V018,RFQ-0015,V018,Guangzhou Mech & Elec Co.,37467.36,17,7.24,76.47,65.0,54.0,44.24,True,1
EVAL-RFQ-0015-V006,RFQ-0015,V006,Bright Spark Electronics Ltd,40393.76,54,0.0,24.07,72.0,61.0,27.72,True,1
EVAL-RFQ-0016-V002,RFQ-0016,V002,Tanaka Electrical KK,97242.54,19,1.29,73.68,90.0,89.0,49.52,True,1
EVAL-RFQ-0016-V016,RFQ-0016,V016,Precision Arc Systems,98516.22,14,0.0,100.0,68.0,54.0,49.0,True,1
EVAL-RFQ-0016-V011,RFQ-0016,V011,Solaris Power Components,83546.82,37,15.19,37.84,70.0,54.0,36.83,True,1
EVAL-RFQ-0017-V012,RFQ-0017,V012,Indra Copper Works,49454.0,14,0.71,100.0,81.0,82.0,54.69,True,1
EVAL-RFQ-0017-V020,RFQ-0017,V020,Rajasthan Rare Earths Ltd,49810.0,18,0.0,77.78,76.0,61.0,44.63,True,1
EVAL-RFQ-0017-V015,RFQ-0017,V015,Nordic Steel AS,48038.0,31,3.56,45.16,90.0,100.0,42.97,True,1
EVAL-RFQ-0017-V008,RFQ-0017,V008,Delta Composites Inc.,41870.0,35,15.94,40.0,76.0,68.0,40.38,True,1
EVAL-RFQ-0017-V014,RFQ-0017,V014,Coastal Alloys Pty Ltd,48272.0,39,3.09,35.9,79.0,68.0,34.6,True,1
EVAL-RFQ-0017-V005,RFQ-0017,V005,Cerro Negro Metals SA,45668.0,54,8.32,25.93,75.0,68.0,32.9,False,1
EVAL-RFQ-0018-V001,RFQ-0018,V001,Kovacs Precision GmbH,32830.1,14,2.99,100.0,91.0,100.0,59.39,True,1
EVAL-RFQ-0018-V007,RFQ-0018,V007,Nakamura Tooling Co.,33840.9,30,0.0,46.67,92.0,96.0,42.0,True,1
EVAL-RFQ-0018-V004,RFQ-0018,V004,Strömberg Hydraulics AB,31251.2,54,7.65,25.93,93.0,100.0,39.44,True,1
EVAL-RFQ-0018-V019,RFQ-0018,V019,Emerald Isle Castings Ltd,33170.2,49,1.98,28.57,87.0,75.0,34.26,True,1
EVAL-RFQ-0019-V013,RFQ-0019,V013,Vantage Sensors GmbH,29305.44,21,10.86,76.19,88.0,89.0,53.7,True,1
EVAL-RFQ-0019-V006,RFQ-0019,V006,Bright Spark Electronics Ltd,32875.56,16,0.0,100.0,72.0,61.0,50.5,True,1
EVAL-RFQ-0019-V011,RFQ-0019,V011,Solaris Power Components,28466.96,19,13.41,84.21,70.0,54.0,50.03,True,1
EVAL-RFQ-0019-V002,RFQ-0019,V002,Tanaka Electrical KK,29145.64,48,11.35,33.33,90.0,89.0,41.44,True,1
EVAL-RFQ-0019-V018,RFQ-0019,V018,Guangzhou Mech & Elec Co.,30476.68,36,7.3,44.44,65.0,54.0,34.65,True,1
EVAL-RFQ-0020-V016,RFQ-0020,V016,Precision Arc Systems,58517.0,13,7.07,100.0,68.0,54.0,51.83,True,1
EVAL-RFQ-0020-V002,RFQ-0020,V002,Tanaka Electrical KK,57572.83,27,8.57,48.15,90.0,89.0,44.77,True,1
EVAL-RFQ-0020-V018,RFQ-0020,V018,Guangzhou Mech & Elec Co.,62968.6,16,0.0,81.25,65.0,54.0,42.78,True,1
EVAL-RFQ-0020-V013,RFQ-0020,V013,Vantage Sensors GmbH,56431.21,36,10.38,36.11,88.0,89.0,41.49,True,1
EVAL-RFQ-0020-V006,RFQ-0020,V006,Bright Spark Electronics Ltd,59561.69,43,5.41,30.23,72.0,61.0,31.73,True,1
EVAL-RFQ-0021-V004,RFQ-0021,V004,Strömberg Hydraulics AB,4295.5,21,5.96,100.0,93.0,100.0,60.98,True,2
EVAL-RFQ-0021-V009,RFQ-0021,V009,Fischer & Söhne KG,4441.25,25,2.77,84.0,89.0,100.0,54.11,True,2
EVAL-RFQ-0021-V017,RFQ-0021,V017,Türk Makina A.Ş.,4199.25,22,8.07,95.45,73.0,61.0,52.56,True,2
EVAL-RFQ-0021-V001,RFQ-0021,V001,Kovacs Precision GmbH,4246.0,39,7.04,53.85,91.0,100.0,47.17,True,2
EVAL-RFQ-0021-V019,RFQ-0021,V019,Emerald Isle Castings Ltd,4567.75,34,0.0,61.76,87.0,75.0,43.43,True,2
EVAL-RFQ-0021-V007,RFQ-0021,V007,Nakamura Tooling Co.,4556.75,46,0.24,45.65,92.0,96.0,41.79,False,2
EVAL-RFQ-0021-V010,RFQ-0021,V010,Adriatic Fastenings d.o.o.,4125.0,47,9.69,44.68,74.0,61.0,38.18,False,2
EVAL-RFQ-0022-V009,RFQ-0022,V009,Fischer & Söhne KG,106588.74,15,4.22,100.0,89.0,100.0,59.49,True,2
EVAL-RFQ-0022-V004,RFQ-0022,V004,Strömberg Hydraulics AB,104717.32,28,5.9,53.57,93.0,100.0,47.03,True,2
EVAL-RFQ-0022-V007,RFQ-0022,V007,Nakamura Tooling Co.,111282.36,37,0.0,40.54,92.0,96.0,40.16,True,2
EVAL-RFQ-0022-V017,RFQ-0022,V017,Türk Makina A.Ş.,99705.86,50,10.4,30.0,73.0,61.0,33.86,True,2
EVAL-RFQ-0022-V010,RFQ-0022,V010,Adriatic Fastenings d.o.o.,103193.88,46,7.27,32.61,74.0,61.0,33.59,True,2
EVAL-RFQ-0023-V007,RFQ-0023,V007,Nakamura Tooling Co.,44397.04,13,0.0,100.0,92.0,96.0,58.0,True,2
EVAL-RFQ-0023-V019,RFQ-0023,V019,Emerald Isle Castings Ltd,42425.68,24,4.44,54.17,87.0,75.0,42.93,True,2
EVAL-RFQ-0023-V009,RFQ-0023,V009,Fischer & Söhne KG,39986.64,39,9.93,33.33,89.0,100.0,41.77,True,2
EVAL-RFQ-0023-V004,RFQ-0023,V004,Strömberg Hydraulics AB,41303.84,38,6.97,34.21,93.0,100.0,41.65,True,2
EVAL-RFQ-0023-V001,RFQ-0023,V001,Kovacs Precision GmbH,41884.0,45,5.66,28.89,91.0,100.0,39.13,True,2
EVAL-RFQ-0023-V017,RFQ-0023,V017,Türk Makina A.Ş.,40975.28,33,7.71,39.39,73.0,61.0,35.6,False,2
EVAL-RFQ-0023-V010,RFQ-0023,V010,Adriatic Fastenings d.o.o.,37340.4,53,15.89,24.53,74.0,61.0,34.62,False,2
EVAL-RFQ-0024-V010,RFQ-0024,V010,Adriatic Fastenings d.o.o.,45021.12,19,20.59,100.0,74.0,61.0,59.14,True,2
EVAL-RFQ-0024-V009,RFQ-0024,V009,Fischer & Söhne KG,49407.68,38,12.85,50.0,89.0,100.0,47.94,True,2
EVAL-RFQ-0024-V004,RFQ-0024,V004,Strömberg Hydraulics AB,49231.04,47,13.16,40.43,93.0,100.0,45.99,True,2
EVAL-RFQ-0024-V019,RFQ-0024,V019,Emerald Isle Castings Ltd,56694.08,29,0.0,65.52,87.0,75.0,44.56,True,2
EVAL-RFQ-0024-V017,RFQ-0024,V017,Türk Makina A.Ş.,48568.64,43,14.33,44.19,73.0,61.0,39.69,True,2
EVAL-RFQ-0025-V018,RFQ-0025,V018,Guangzhou Mech & Elec Co.,32736.8,10,17.78,100.0,65.0,54.0,55.51,True,2
EVAL-RFQ-0025-V002,RFQ-0025,V002,Tanaka Electrical KK,34174.32,25,14.17,40.0,90.0,89.0,44.57,True,2
EVAL-RFQ-0025-V006,RFQ-0025,V006,Bright Spark Electronics Ltd,35279.64,17,11.39,58.82,72.0,61.0,42.7,True,2
EVAL-RFQ-0025-V013,RFQ-0025,V013,Vantage Sensors GmbH,34237.74,31,14.01,32.26,88.0,89.0,41.78,True,2
EVAL-RFQ-0025-V016,RFQ-0025,V016,Precision Arc Systems,39815.68,45,0.0,22.22,68.0,54.0,25.67,True,2
EVAL-RFQ-0026-V013,RFQ-0026,V013,Vantage Sensors GmbH,208359.6,15,11.24,100.0,88.0,89.0,61.0,True,2
EVAL-RFQ-0026-V006,RFQ-0026,V006,Bright Spark Electronics Ltd,234746.62,19,0.0,78.95,72.0,61.0,44.18,True,2
EVAL-RFQ-0026-V011,RFQ-0026,V011,Solaris Power Components,210251.81,23,10.43,65.22,70.0,54.0,43.14,True,2
EVAL-RFQ-0026-V002,RFQ-0026,V002,Tanaka Electrical KK,206623.27,41,11.98,36.59,90.0,89.0,42.67,True,2
EVAL-RFQ-0026-V018,RFQ-0026,V018,Guangzhou Mech & Elec Co.,232430.07,22,0.99,68.18,65.0,54.0,39.25,True,2
EVAL-RFQ-0027-V001,RFQ-0027,V001,Kovacs Precision GmbH,122545.05,15,5.59,100.0,91.0,100.0,60.43,True,2
EVAL-RFQ-0027-V010,RFQ-0027,V010,Adriatic Fastenings d.o.o.,119952.45,18,7.58,83.33,74.0,61.0,48.93,True,2
EVAL-RFQ-0027-V017,RFQ-0027,V017,Türk Makina A.Ş.,124297.29,22,4.24,68.18,73.0,61.0,42.85,True,2
EVAL-RFQ-0027-V009,RFQ-0027,V009,Fischer & Söhne KG,120645.3,50,7.05,30.0,89.0,100.0,39.62,True,2
EVAL-RFQ-0027-V007,RFQ-0027,V007,Nakamura Tooling Co.,128056.56,41,1.34,36.59,92.0,96.0,39.51,True,2
EVAL-RFQ-0027-V004,RFQ-0027,V004,Strömberg Hydraulics AB,126255.15,54,2.73,27.78,93.0,100.0,38.02,False,2
EVAL-RFQ-0027-V019,RFQ-0027,V019,Emerald Isle Castings Ltd,129795.39,47,0.0,31.91,87.0,75.0,34.47,False,2
EVAL-RFQ-0028-V013,RFQ-0028,V013,Vantage Sensors GmbH,112308.0,19,5.04,100.0,88.0,89.0,58.52,True,2
EVAL-RFQ-0028-V002,RFQ-0028,V002,Tanaka Electrical KK,116345.6,33,1.62,57.58,90.0,89.0,44.82,True,2
EVAL-RFQ-0028-V018,RFQ-0028,V018,Guangzhou Mech & Elec Co.,118266.4,27,0.0,70.37,65.0,54.0,39.51,True,2
EVAL-RFQ-0028-V016,RFQ-0028,V016,Precision Arc Systems,110475.4,48,6.59,39.58,68.0,54.0,33.51,True,2
EVAL-RFQ-0028-V011,RFQ-0028,V011,Solaris Power Components,114660.0,50,3.05,38.0,70.0,54.0,32.02,True,2
EVAL-RFQ-0029-V005,RFQ-0029,V005,Cerro Negro Metals SA,57894.45,14,8.53,100.0,75.0,68.0,55.21,True,2
EVAL-RFQ-0029-V015,RFQ-0029,V015,Nordic Steel AS,62075.85,29,1.92,48.28,90.0,100.0,43.25,True,2
EVAL-RFQ-0029-V020,RFQ-0029,V020,Rajasthan Rare Earths Ltd,63290.25,36,0.0,38.89,76.0,61.0,32.97,True,2
EVAL-RFQ-0029-V008,RFQ-0029,V008,Delta Composites Inc.,58267.05,54,7.94,25.93,76.0,68.0,32.95,True,2
EVAL-RFQ-0030-V017,RFQ-0030,V017,Türk Makina A.Ş.,24991.7,16,10.78,100.0,73.0,61.0,55.01,True,2
EVAL-RFQ-0030-V009,RFQ-0030,V009,Fischer & Söhne KG,25382.1,40,9.39,40.0,89.0,100.0,43.55,True,2
EVAL-RFQ-0030-V004,RFQ-0030,V004,Strömberg Hydraulics AB,25940.25,47,7.39,34.04,93.0,100.0,41.77,True,2
EVAL-RFQ-0030-V001,RFQ-0030,V001,Kovacs Precision GmbH,26266.6,47,6.23,34.04,91.0,100.0,40.9,True,2
EVAL-RFQ-0030-V019,RFQ-0030,V019,Emerald Isle Castings Ltd,28011.2,32,0.0,50.0,87.0,75.0,39.9,True,2
EVAL-RFQ-0031-V002,RFQ-0031,V002,Tanaka Electrical KK,3702.72,22,5.64,100.0,90.0,89.0,59.15,True,3
EVAL-RFQ-0031-V013,RFQ-0031,V013,Vantage Sensors GmbH,3791.64,42,3.37,52.38,88.0,89.0,43.56,True,3
EVAL-RFQ-0031-V018,RFQ-0031,V018,Guangzhou Mech & Elec Co.,3841.8,39,2.09,56.41,65.0,54.0,36.16,True,3
EVAL-RFQ-0031-V006,RFQ-0031,V006,Bright Spark Electronics Ltd,3923.88,55,0.0,40.0,72.0,61.0,32.5,True,3
EVAL-RFQ-0032-V004,RFQ-0032,V004,Strömberg Hydraulics AB,32907.05,14,5.35,100.0,93.0,100.0,60.74,True,3
EVAL-RFQ-0032-V010,RFQ-0032,V010,Adriatic Fastenings d.o.o.,31364.63,14,9.79,100.0,74.0,61.0,54.81,True,3
EVAL-RFQ-0032-V017,RFQ-0032,V017,Türk Makina A.Ş.,30689.56,17,11.73,82.35,73.0,61.0,50.1,True,3
EVAL-RFQ-0032-V009,RFQ-0032,V009,Fischer & Söhne KG,32146.29,32,7.54,43.75,89.0,100.0,43.94,True,3
EVAL-RFQ-0032-V001,RFQ-0032,V001,Kovacs Precision GmbH,31538.1,35,9.29,40.0,91.0,100.0,43.92,True,3
EVAL-RFQ-0032-V019,RFQ-0032,V019,Emerald Isle Castings Ltd,34767.15,39,0.0,35.9,87.0,75.0,35.67,False,3
EVAL-RFQ-0033-V013,RFQ-0033,V013,Vantage Sensors GmbH,9877.8,12,4.88,100.0,88.0,89.0,58.45,True,3
EVAL-RFQ-0033-V006,RFQ-0033,V006,Bright Spark Electronics Ltd,9819.0,13,5.44,92.31,72.0,61.0,50.37,True,3
EVAL-RFQ-0033-V002,RFQ-0033,V002,Tanaka Electrical KK,10081.8,55,2.91,21.82,90.0,89.0,34.61,True,3
EVAL-RFQ-0033-V016,RFQ-0033,V016,Precision Arc Systems,8713.8,52,16.09,23.08,68.0,54.0,32.36,True,3
EVAL-RFQ-0033-V018,RFQ-0033,V018,Guangzhou Mech & Elec Co.,10384.2,26,0.0,46.15,65.0,54.0,32.25,True,3
EVAL-RFQ-0034-V009,RFQ-0034,V009,Fischer & Söhne KG,14614.56,22,8.61,100.0,89.0,100.0,61.25,True,3
EVAL-RFQ-0034-V001,RFQ-0034,V001,Kovacs Precision GmbH,14532.96,32,9.12,68.75,91.0,100.0,52.47,True,3
EVAL-RFQ-0034-V004,RFQ-0034,V004,Strömberg Hydraulics AB,15272.8,34,4.5,64.71,93.0,100.0,49.81,True,3
EVAL-RFQ-0034-V017,RFQ-0034,V017,Türk Makina A.Ş.,14203.84,31,11.18,70.97,73.0,61.0,46.46,True,3
EVAL-RFQ-0034-V007,RFQ-0034,V007,Nakamura Tooling Co.,15992.24,47,0.0,46.81,92.0,96.0,42.04,True,3
EVAL-RFQ-0034-V010,RFQ-0034,V010,Adriatic Fastenings d.o.o.,12815.28,52,19.87,42.31,74.0,61.0,41.54,False,3
EVAL-RFQ-0035-V017,RFQ-0035,V017,Türk Makina A.Ş.,109373.42,11,5.09,100.0,73.0,61.0,52.74,True,3
EVAL-RFQ-0035-V009,RFQ-0035,V009,Fischer & Söhne KG,101876.58,24,11.6,45.83,89.0,100.0,46.19,True,3
EVAL-RFQ-0035-V007,RFQ-0035,V007,Nakamura Tooling Co.,114156.12,37,0.94,29.73,92.0,96.0,37.3,True,3
EVAL-RFQ-0035-V004,RFQ-0035,V004,Strömberg Hydraulics AB,111117.5,46,3.58,23.91,93.0,100.0,37.21,True,3
EVAL-RFQ-0035-V001,RFQ-0035,V001,Kovacs Precision GmbH,111026.24,51,3.66,21.57,91.0,100.0,36.13,True,3
EVAL-RFQ-0035-V010,RFQ-0035,V010,Adriatic Fastenings d.o.o.,100832.16,37,12.5,29.73,74.0,61.0,34.82,False,3
EVAL-RFQ-0035-V019,RFQ-0035,V019,Emerald Isle Castings Ltd,115241.1,37,0.0,29.73,87.0,75.0,33.82,False,3
EVAL-RFQ-0036-V006,RFQ-0036,V006,Bright Spark Electronics Ltd,15273.6,11,8.28,100.0,72.0,61.0,53.81,True,3
EVAL-RFQ-0036-V016,RFQ-0036,V016,Precision Arc Systems,12160.4,41,26.98,26.83,68.0,54.0,37.84,True,3
EVAL-RFQ-0036-V002,RFQ-0036,V002,Tanaka Electrical KK,15789.6,39,5.18,28.21,90.0,89.0,37.44,True,3
EVAL-RFQ-0036-V018,RFQ-0036,V018,Guangzhou Mech & Elec Co.,16653.04,18,0.0,61.11,65.0,54.0,36.73,True,3
EVAL-RFQ-0036-V013,RFQ-0036,V013,Vantage Sensors GmbH,15700.16,52,5.72,21.15,88.0,89.0,35.13,True,3
EVAL-RFQ-0037-V013,RFQ-0037,V013,Vantage Sensors GmbH,97812.52,23,4.44,100.0,88.0,89.0,58.28,True,3
EVAL-RFQ-0037-V002,RFQ-0037,V002,Tanaka Electrical KK,96526.09,47,5.7,48.94,90.0,89.0,43.86,True,3
EVAL-RFQ-0037-V016,RFQ-0037,V016,Precision Arc Systems,97741.28,53,4.51,43.4,68.0,54.0,33.82,True,3
EVAL-RFQ-0037-V018,RFQ-0037,V018,Guangzhou Mech & Elec Co.,102359.55,54,0.0,42.59,65.0,54.0,31.18,True,3
EVAL-RFQ-0038-V011,RFQ-0038,V011,Solaris Power Components,7733.58,12,14.83,100.0,70.0,54.0,55.33,True,3
EVAL-RFQ-0038-V013,RFQ-0038,V013,Vantage Sensors GmbH,8838.9,26,2.66,46.15,88.0,89.0,41.41,True,3
EVAL-RFQ-0038-V018,RFQ-0038,V018,Guangzhou Mech & Elec Co.,9080.46,54,0.0,22.22,65.0,54.0,25.07,True,3
