wo_item_id,work_order_id,material_code,description,category,quantity,unit,target_unit_price_usd,required_by_date,preferred_vendor_category
WO-2024-0008-I02,WO-2024-0008,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,32,pcs,224.79,2024-02-10,Mechanical Parts
WO-2024-0010-I01,WO-2024-0010,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,48,pcs,101.56,2024-01-11,Electrical Components
WO-2024-0010-I02,WO-2024-0010,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,18,kg,2.83,2024-01-02,Raw Materials
WO-2024-0011-I01,WO-2024-0011,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,116,kg,4.16,2024-03-01,Mechanical Parts
WO-2024-0011-I02,WO-2024-0011,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,61,pcs,19.69,2024-03-04,Electrical Components
WO-2024-0011-I03,WO-2024-0011,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,114,pcs,234.77,2024-03-04,Mechanical Parts
WO-2024-0012-I01,WO-2024-0012,RAW-4405,HDPE Rod 50mm dia,Raw Materials,113,m,12.55,2024-03-02,Raw Materials
WO-2024-0012-I02,WO-2024-0012,RAW-4403,Copper Busbar 40×4mm,Raw Materials,57,m,20.29,2024-03-11,Raw Materials
WO-2024-0013-I01,WO-2024-0013,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,38,pcs,109.73,2024-03-01,Electrical Components
WO-2024-0013-I02,WO-2024-0013,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,105,pcs,389.84,2024-03-06,Mechanical Parts
WO-2024-0013-I03,WO-2024-0013,RAW-4405,HDPE Rod 50mm dia,Raw Materials,59,m,15.81,2024-02-29,Raw Materials
WO-2024-0014-I01,WO-2024-0014,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,12,pcs,222.94,2024-03-04,Mechanical Parts
WO-2024-0014-I02,WO-2024-0014,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,74,kg,3.22,2024-02-24,Mechanical Parts
WO-2024-0014-I03,WO-2024-0014,RAW-4405,HDPE Rod 50mm dia,Raw Materials,45,m,11.17,2024-03-04,Raw Materials
WO-2024-0016-I01,WO-2024-0016,ELEC-3305,Power Supply 24VDC 20A DIN,Electrical Components,77,pcs,100.22,2024-02-21,Electrical Components
WO-2024-0016-I02,WO-2024-0016,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,38,pcs,358.88,2024-02-21,Mechanical Parts
WO-2024-0016-I03,WO-2024-0016,RAW-4405,HDPE Rod 50mm dia,Raw Materials,96,m,12.65,2024-02-21,Raw Materials
WO-2024-0016-I04,WO-2024-0016,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,38,pcs,142.1,2024-02-21,Mechanical Parts
WO-2024-0016-I05,WO-2024-0016,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,90,pcs,94.85,2024-02-23,Electrical Components
WO-2024-0016-I06,WO-2024-0016,RAW-4403,Copper Busbar 40×4mm,Raw Materials,63,m,18.29,2024-02-19,Raw Materials
WO-2024-0017-I01,WO-2024-0017,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,69,pcs,359.43,2024-04-11,Electrical Components
WO-2024-0017-I02,WO-2024-0017,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,49,pcs,246.29,2024-04-02,Mechanical Parts
WO-2024-0018-I01,WO-2024-0018,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,90,kg,3.56,2024-04-05,Raw Materials
WO-2024-0018-I02,WO-2024-0018,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,43,kg,4.3,2024-04-03,Mechanical Parts
WO-2024-0018-I03,WO-2024-0018,ELEC-3305,Power Supply 24VDC 20A DIN,Electrical Components,18,pcs,125.41,2024-04-07,Electrical Components
WO-2024-0018-I04,WO-2024-0018,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,22,MT,666.71,2024-04-08,Raw Materials
WO-2024-0018-I05,WO-2024-0018,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,118,pcs,327.21,2024-03-28,Electrical Components
WO-2024-0018-I06,WO-2024-0018,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,75,pcs,387.7,2024-04-06,Mechanical Parts
WO-2024-0019-I01,WO-2024-0019,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,69,MT,731.06,2024-03-25,Raw Materials
WO-2024-0019-I02,WO-2024-0019,RAW-4405,HDPE Rod 50mm dia,Raw Materials,120,m,16.95,2024-03-17,Raw Materials
WO-2024-0019-I03,WO-2024-0019,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,11,kg,3.05,2024-03-16,Mechanical Parts
WO-2024-0020-I01,WO-2024-0020,RAW-4403,Copper Busbar 40×4mm,Raw Materials,25,m,24.25,2024-02-23,Raw Materials
WO-2024-0020-I02,WO-2024-0020,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,75,pcs,35.15,2024-02-26,Mechanical Parts
WO-2024-0020-I03,WO-2024-0020,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,76,MT,623.53,2024-02-21,Raw Materials
WO-2024-0020-I04,WO-2024-0020,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,14,kg,4.51,2024-02-26,Mechanical Parts
WO-2024-0021-I01,WO-2024-0021,ELEC-3305,Power Supply 24VDC 20A DIN,Electrical Components,21,pcs,96.95,2024-02-17,Electrical Components
WO-2024-0021-I02,WO-2024-0021,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,51,pcs,364.28,2024-02-15,Electrical Components
WO-2024-0021-I03,WO-2024-0021,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,106,pcs,37.58,2024-02-16,Mechanical Parts
WO-2024-0021-I04,WO-2024-0021,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,10,pcs,101.27,2024-02-20,Electrical Components
WO-2024-0022-I01,WO-2024-0022,RAW-4403,Copper Busbar 40×4mm,Raw Materials,100,m,18.88,2024-03-11,Raw Materials
WO-2024-0022-I02,WO-2024-0022,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,35,pcs,391.01,2024-03-08,Electrical Components
WO-2024-0022-I03,WO-2024-0022,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,107,pcs,101.03,2024-03-09,Electrical Components
WO-2024-0022-I04,WO-2024-0022,ELEC-3305,Power Supply 24VDC 20A DIN,Electrical Components,117,pcs,97.77,2024-03-16,Electrical Components
WO-2024-0023-I01,WO-2024-0023,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,94,kg,2.97,2024-04-06,Mechanical Parts
WO-2024-0023-I02,WO-2024-0023,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,116,pcs,26.29,2024-04-10,Mechanical Parts
WO-2024-0023-I03,WO-2024-0023,RAW-4403,Copper Busbar 40×4mm,Raw Materials,65,m,19.14,2024-04-01,Raw Materials
WO-2024-0024-I01,WO-2024-0024,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,56,pcs,362.02,2024-05-12,Mechanical Parts
WO-2024-0024-I02,WO-2024-0024,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,115,MT,658.86,2024-05-21,Raw Materials
WO-2024-0024-I03,WO-2024-0024,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,103,pcs,206.75,2024-05-21,Mechanical Parts
WO-2024-0025-I01,WO-2024-0025,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,79,pcs,390.99,2024-05-16,Mechanical Parts
WO-2024-0025-I02,WO-2024-0025,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,38,pcs,146.92,2024-05-19,Mechanical Parts
WO-2024-0025-I03,WO-2024-0025,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,81,kg,3.53,2024-05-19,Mechanical Parts
WO-2024-0025-I04,WO-2024-0025,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,98,pcs,35.77,2024-05-24,Mechanical Parts
WO-2024-0026-I01,WO-2024-0026,RAW-4405,HDPE Rod 50mm dia,Raw Materials,95,m,14.41,2024-04-08,Raw Materials
WO-2024-0026-I02,WO-2024-0026,ELEC-3305,Power Supply 24VDC 20A DIN,Electrical Components,71,pcs,113.84,2024-03-31,Electrical Components
WO-2024-0026-I03,WO-2024-0026,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,73,pcs,226.78,2024-03-31,Mechanical Parts
WO-2024-0026-I04,WO-2024-0026,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,99,kg,4.11,2024-04-02,Mechanical Parts
WO-2024-0026-I05,WO-2024-0026,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,30,pcs,359.79,2024-04-01,Mechanical Parts
WO-2024-0028-I01,WO-2024-0028,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,82,kg,4.26,2024-04-28,Mechanical Parts
WO-2024-0028-I02,WO-2024-0028,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,64,pcs,222.85,2024-05-01,Mechanical Parts
WO-2024-0028-I03,WO-2024-0028,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,91,pcs,88.77,2024-05-05,Electrical Components
WO-2024-0028-I04,WO-2024-0028,ELEC-3305,Power Supply 24VDC 20A DIN,Electrical Components,65,pcs,114.83,2024-05-07,Electrical Components
WO-2024-0029-I01,WO-2024-0029,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,91,MT,712.24,2024-04-21,Raw Materials
WO-2024-0029-I02,WO-2024-0029,RAW-4405,HDPE Rod 50mm dia,Raw Materials,108,m,13.42,2024-04-19,Raw Materials
WO-2024-0029-I03,WO-2024-0029,ELEC-3305,Power Supply 24VDC 20A DIN,Electrical Components,8,pcs,86.65,2024-04-27,Electrical Components
WO-2024-0029-I04,WO-2024-0029,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,65,pcs,1657.75,2024-04-22,Electrical Components
WO-2024-0029-I05,WO-2024-0029,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,103,pcs,149.93,2024-04-27,Mechanical Parts
WO-2024-0029-I06,WO-2024-0029,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,58,pcs,228.29,2024-04-26,Mechanical Parts
WO-2024-0030-I01,WO-2024-0030,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,119,pcs,97.53,2024-05-12,Electrical Components
WO-2024-0030-I02,WO-2024-0030,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,103,pcs,232.94,2024-05-13,Mechanical Parts
WO-2024-0030-I03,WO-2024-0030,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,104,pcs,34.22,2024-05-11,Mechanical Parts
WO-2024-0030-I04,WO-2024-0030,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,27,MT,680.17,2024-05-21,Raw Materials
WO-2024-0030-I05,WO-2024-0030,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,94,pcs,374.93,2024-05-14,Mechanical Parts
WO-2024-0031-I01,WO-2024-0031,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,76,pcs,35.98,2024-04-24,Mechanical Parts
WO-2024-0031-I02,WO-2024-0031,RAW-4403,Copper Busbar 40×4mm,Raw Materials,101,m,24.18,2024-04-15,Raw Materials
WO-2024-0031-I03,WO-2024-0031,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,83,pcs,18.38,2024-04-18,Electrical Components
WO-2024-0031-I04,WO-2024-0031,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,119,MT,662.44,2024-04-22,Raw Materials
WO-2024-0031-I05,WO-2024-0031,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,111,pcs,396.7,2024-04-15,Electrical Components
WO-2024-0032-I01,WO-2024-0032,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,103,kg,4.4,2024-04-09,Mechanical Parts
WO-2024-0032-I02,WO-2024-0032,RAW-4403,Copper Busbar 40×4mm,Raw Materials,67,m,23.08,2024-04-02,Raw Materials
WO-2024-0032-I03,WO-2024-0032,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,40,pcs,212.73,2024-04-04,Mechanical Parts
WO-2024-0032-I04,WO-2024-0032,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,96,MT,678.49,2024-03-31,Raw Materials
WO-2024-0032-I05,WO-2024-0032,RAW-4405,HDPE Rod 50mm dia,Raw Materials,39,m,13.27,2024-04-01,Raw Materials
WO-2024-0033-I01,WO-2024-0033,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,58,kg,3.2,2024-04-20,Raw Materials
WO-2024-0033-I02,WO-2024-0033,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,74,pcs,32.29,2024-04-30,Mechanical Parts
WO-2024-0033-I03,WO-2024-0033,RAW-4405,HDPE Rod 50mm dia,Raw Materials,12,m,12.93,2024-04-25,Raw Materials
WO-2024-0033-I04,WO-2024-0033,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,58,pcs,225.89,2024-04-30,Mechanical Parts
WO-2024-0033-I05,WO-2024-0033,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,103,pcs,166.36,2024-04-26,Mechanical Parts
WO-2024-0035-I01,WO-2024-0035,RAW-4404,Stainless 316L Sheet 2mm,Raw Materials,84,kg,4.39,2024-05-22,Raw Materials
WO-2024-0035-I02,WO-2024-0035,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,55,pcs,16.75,2024-05-19,Electrical Components
WO-2024-0035-I03,WO-2024-0035,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,89,pcs,25.51,2024-05-26,Mechanical Parts
WO-2024-0036-I01,WO-2024-0036,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,46,pcs,374.76,2024-06-21,Mechanical Parts
WO-2024-0036-I02,WO-2024-0036,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,46,kg,3.39,2024-06-26,Mechanical Parts
WO-2024-0036-I03,WO-2024-0036,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,117,pcs,99.01,2024-06-24,Electrical Components
WO-2024-0037-I01,WO-2024-0037,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,11,kg,3.62,2024-06-04,Raw Materials
WO-2024-0037-I02,WO-2024-0037,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,49,pcs,318.28,2024-06-02,Electrical Components
WO-2024-0038-I01,WO-2024-0038,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,112,pcs,211.68,2024-05-06,Mechanical Parts
WO-2024-0038-I02,WO-2024-0038,RAW-4405,HDPE Rod 50mm dia,Raw Materials,24,m,12.15,2024-05-14,Raw Materials
WO-2024-0039-I01,WO-2024-0039,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,82,kg,3.06,2024-05-10,Raw Materials
WO-2024-0039-I02,WO-2024-0039,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,100,kg,4.26,2024-05-12,Mechanical Parts
WO-2024-0039-I03,WO-2024-0039,RAW-4403,Copper Busbar 40×4mm,Raw Materials,104,m,22.87,2024-05-13,Raw Materials
WO-2024-0039-I04,WO-2024-0039,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,44,pcs,1599.52,2024-05-10,Electrical Components
WO-2024-0039-I05,WO-2024-0039,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,8,pcs,41.38,2024-05-07,Mechanical Parts
WO-2024-0040-I01,WO-2024-0040,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,111,pcs,151.07,2024-05-08,Mechanical Parts
WO-2024-0040-I02,WO-2024-0040,ELEC-3305,Power Supply 24VDC 20A DIN,Electrical Components,18,pcs,114.88,2024-05-08,Electrical Components
WO-2024-0040-I03,WO-2024-0040,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,43,kg,3.41,2024-05-10,Raw Materials
WO-2024-0041-I01,WO-2024-0041,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,13,pcs,337.47,2024-05-15,Electrical Components
WO-2024-0041-I02,WO-2024-0041,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,48,pcs,87.38,2024-05-12,Electrical Components
WO-2024-0041-I03,WO-2024-0041,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,58,MT,764.01,2024-05-18,Raw Materials
WO-2024-0041-I04,WO-2024-0041,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,18,pcs,1622.55,2024-05-11,Electrical Components
WO-2024-0042-I01,WO-2024-0042,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,71,pcs,100.52,2024-05-20,Electrical Components
WO-2024-0042-I02,WO-2024-0042,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,39,pcs,35.54,2024-05-28,Mechanical Parts
WO-2024-0042-I03,WO-2024-0042,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,73,kg,3.57,2024-05-21,Raw Materials
WO-2024-0043-I01,WO-2024-0043,RAW-4404,Stainless 316L Sheet 2mm,Raw Materials,117,kg,4.17,2024-06-09,Raw Materials
WO-2024-0043-I02,WO-2024-0043,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,101,pcs,234.49,2024-06-14,Mechanical Parts
WO-2024-0043-I03,WO-2024-0043,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,83,pcs,159.0,2024-06-15,Mechanical Parts
WO-2024-0043-I04,WO-2024-0043,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,48,kg,3.07,2024-06-17,Mechanical Parts
WO-2024-0044-I01,WO-2024-0044,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,117,pcs,1649.03,2024-06-04,Electrical Components
WO-2024-0044-I02,WO-2024-0044,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,6,kg,4.09,2024-05-25,Mechanical Parts
WO-2024-0044-I03,WO-2024-0044,ELEC-3305,Power Supply 24VDC 20A DIN,Electrical Components,29,pcs,93.94,2024-05-30,Electrical Components
WO-2024-0044-I04,WO-2024-0044,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,97,kg,3.16,2024-05-26,Raw Materials
WO-2024-0045-I01,WO-2024-0045,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,33,pcs,16.72,2024-06-22,Electrical Components
WO-2024-0045-I02,WO-2024-0045,RAW-4403,Copper Busbar 40×4mm,Raw Materials,36,m,18.74,2024-06-22,Raw Materials
WO-2024-0045-I03,WO-2024-0045,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,79,pcs,400.01,2024-06-15,Mechanical Parts
WO-2024-0045-I04,WO-2024-0045,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,75,pcs,150.79,2024-06-16,Mechanical Parts
WO-2024-0045-I05,WO-2024-0045,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,59,kg,4.56,2024-06-24,Mechanical Parts
WO-2024-0046-I01,WO-2024-0046,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,97,kg,3.42,2024-07-19,Mechanical Parts
WO-2024-0046-I02,WO-2024-0046,RAW-4405,HDPE Rod 50mm dia,Raw Materials,20,m,14.54,2024-07-13,Raw Materials
WO-2024-0046-I03,WO-2024-0046,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,102,pcs,249.31,2024-07-17,Mechanical Parts
WO-2024-0046-I04,WO-2024-0046,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,29,pcs,153.63,2024-07-20,Mechanical Parts
WO-2024-0047-I01,WO-2024-0047,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,27,kg,3.66,2024-07-10,Mechanical Parts
WO-2024-0047-I02,WO-2024-0047,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,95,pcs,160.7,2024-07-14,Mechanical Parts
WO-2024-0047-I03,WO-2024-0047,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,40,pcs,207.2,2024-07-16,Mechanical Parts
WO-2024-0047-I04,WO-2024-0047,RAW-4405,HDPE Rod 50mm dia,Raw Materials,11,m,15.17,2024-07-09,Raw Materials
WO-2024-0047-I05,WO-2024-0047,RAW-4403,Copper Busbar 40×4mm,Raw Materials,94,m,23.77,2024-07-09,Raw Materials
WO-2024-0047-I06,WO-2024-0047,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,86,pcs,1907.4,2024-07-15,Electrical Components
WO-2024-0048-I01,WO-2024-0048,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,37,pcs,19.33,2024-06-20,Electrical Components
WO-2024-0048-I02,WO-2024-0048,RAW-4405,HDPE Rod 50mm dia,Raw Materials,66,m,12.45,2024-06-23,Raw Materials
WO-2024-0048-I03,WO-2024-0048,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,13,pcs,1746.86,2024-06-19,Electrical Components
WO-2024-0048-I04,WO-2024-0048,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,14,pcs,36.53,2024-06-25,Mechanical Parts
WO-2024-0048-I05,WO-2024-0048,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,92,pcs,371.3,2024-06-22,Mechanical Parts
WO-2024-0049-I01,WO-2024-0049,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,76,pcs,231.35,2024-06-26,Mechanical Parts
WO-2024-0049-I02,WO-2024-0049,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,82,pcs,152.78,2024-06-22,Mechanical Parts
WO-2024-0050-I01,WO-2024-0050,RAW-4405,HDPE Rod 50mm dia,Raw Materials,44,m,14.81,2024-07-08,Raw Materials
WO-2024-0050-I02,WO-2024-0050,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,12,pcs,16.8,2024-07-08,Electrical Components
WO-2024-0050-I03,WO-2024-0050,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,99,kg,3.19,2024-07-14,Mechanical Parts
WO-2024-0050-I04,WO-2024-0050,ELEC-3305,Power Supply 24VDC 20A DIN,Electrical Components,102,pcs,95.46,2024-07-07,Electrical Components
WO-2024-0050-I05,WO-2024-0050,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,32,pcs,89.24,2024-07-13,Electrical Components
WO-2024-0051-I01,WO-2024-0051,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,57,pcs,32.16,2024-07-03,Mechanical Parts
WO-2024-0051-I02,WO-2024-0051,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,81,pcs,400.79,2024-06-29,Mechanical Parts
WO-2024-0052-I01,WO-2024-0052,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,80,pcs,166.3,2024-07-17,Mechanical Parts
WO-2024-0052-I02,WO-2024-0052,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,30,MT,674.78,2024-07-12,Raw Materials
WO-2024-0052-I03,WO-2024-0052,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,74,pcs,204.4,2024-07-17,Mechanical Parts
WO-2024-0052-I04,WO-2024-0052,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,24,kg,4.1,2024-07-19,Mechanical Parts
WO-2024-0052-I05,WO-2024-0052,RAW-4404,Stainless 316L Sheet 2mm,Raw Materials,110,kg,3.6,2024-07-15,Raw Materials
WO-2024-0053-I01,WO-2024-0053,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,39,pcs,145.96,2024-07-07,Mechanical Parts
