bid_id,rfq_id,vendor_id,vendor_name,bid_date,bid_unit_price,bid_total_usd,delivery_days,validity_days,price_delta_pct,archetype,month_index
BID-RFQ-0006-V002,RFQ-0006,V002,Tanaka Electrical KK,2024-01-31,158.06,35721.56,12,30,3.52,conservative,0
BID-RFQ-0006-V011,RFQ-0006,V011,Solaris Power Components,2024-01-30,110.49,24970.74,43,30,-27.64,volatile,0
BID-RFQ-0007-V018,RFQ-0007,V018,Guangzhou Mech & Elec Co.,2024-02-08,152.56,25019.84,12,30,6.6,aggressive_bidder,0
BID-RFQ-0007-V011,RFQ-0007,V011,Solaris Power Components,2024-02-07,143.33,23506.12,39,30,0.15,volatile,0
BID-RFQ-0007-V006,RFQ-0007,V006,Bright Spark Electronics Ltd,2024-02-08,140.92,23110.88,30,30,-1.53,volatile,0
BID-RFQ-0007-V002,RFQ-0007,V002,Tanaka Electrical KK,2024-02-07,150.03,24604.92,19,30,4.83,conservative,0
BID-RFQ-0007-V013,RFQ-0007,V013,Vantage Sensors GmbH,2024-02-09,150.58,24695.12,23,30,5.22,conservative,0
BID-RFQ-0007-V016,RFQ-0007,V016,Precision Arc Systems,2024-02-09,143.05,23460.2,29,30,-0.04,volatile,0
BID-RFQ-0008-V002,RFQ-0008,V002,Tanaka Electrical KK,2024-02-03,309.1,22255.2,35,30,2.87,conservative,0
BID-RFQ-0008-V018,RFQ-0008,V018,Guangzhou Mech & Elec Co.,2024-02-04,325.07,23405.04,31,30,8.19,aggressive_bidder,0
BID-RFQ-0008-V006,RFQ-0008,V006,Bright Spark Electronics Ltd,2024-02-06,290.41,20909.52,39,30,-3.35,volatile,0
BID-RFQ-0008-V013,RFQ-0008,V013,Vantage Sensors GmbH,2024-02-05,300.84,21660.48,19,30,0.12,conservative,0
BID-RFQ-0009-V011,RFQ-0009,V011,Solaris Power Components,2024-01-11,52.99,3497.34,28,30,1.53,volatile,0
BID-RFQ-0009-V018,RFQ-0009,V018,Guangzhou Mech & Elec Co.,2024-01-10,59.4,3920.4,45,30,13.8,aggressive_bidder,0
BID-RFQ-0009-V002,RFQ-0009,V002,Tanaka Electrical KK,2024-01-09,54.57,3601.62,34,30,4.55,conservative,0
BID-RFQ-0009-V006,RFQ-0009,V006,Bright Spark Electronics Ltd,2024-01-11,59.83,3948.78,21,30,14.62,volatile,0
BID-RFQ-0010-V019,RFQ-0010,V019,Emerald Isle Castings Ltd,2024-01-21,92.49,26914.59,14,30,7.29,conservative,0
BID-RFQ-0010-V004,RFQ-0010,V004,Strömberg Hydraulics AB,2024-01-21,83.37,24260.67,51,30,-3.29,reliable,0
BID-RFQ-0010-V010,RFQ-0010,V010,Adriatic Fastenings d.o.o.,2024-01-23,75.66,22017.06,52,30,-12.23,aggressive_bidder,0
BID-RFQ-0010-V007,RFQ-0010,V007,Nakamura Tooling Co.,2024-01-23,87.84,25561.44,53,30,1.89,conservative,0
BID-RFQ-0010-V001,RFQ-0010,V001,Kovacs Precision GmbH,2024-01-22,81.51,23719.41,15,30,-5.45,reliable,0
BID-RFQ-0010-V017,RFQ-0010,V017,Türk Makina A.Ş.,2024-01-22,78.39,22811.49,45,30,-9.06,aggressive_bidder,0
BID-RFQ-0010-V009,RFQ-0010,V009,Fischer & Söhne KG,2024-01-22,80.07,23300.37,11,30,-7.12,relationship_focused,0
BID-RFQ-0011-V003,RFQ-0011,V003,Patel Alloys Pvt Ltd,2024-03-03,15.71,2670.7,40,30,-4.32,relationship_focused,1
BID-RFQ-0011-V012,RFQ-0011,V012,Indra Copper Works,2024-03-01,15.58,2648.6,19,30,-5.14,reliable,1
BID-RFQ-0011-V008,RFQ-0011,V008,Delta Composites Inc.,2024-03-01,14.84,2522.8,52,30,-9.65,aggressive_bidder,1
BID-RFQ-0011-V020,RFQ-0011,V020,Rajasthan Rare Earths Ltd,2024-03-03,15.83,2691.1,39,30,-3.61,relationship_focused,1
BID-RFQ-0011-V005,RFQ-0011,V005,Cerro Negro Metals SA,2024-03-04,15.54,2641.8,46,30,-5.33,aggressive_bidder,1
BID-RFQ-0012-V018,RFQ-0012,V018,Guangzhou Mech & Elec Co.,2024-03-06,185.33,37436.66,17,30,7.88,aggressive_bidder,1
BID-RFQ-0012-V013,RFQ-0012,V013,Vantage Sensors GmbH,2024-03-05,179.01,36160.02,43,30,4.2,conservative,1
BID-RFQ-0012-V016,RFQ-0012,V016,Precision Arc Systems,2024-03-06,158.87,32091.74,49,30,-7.52,volatile,1
BID-RFQ-0012-V011,RFQ-0012,V011,Solaris Power Components,2024-03-05,186.77,37727.54,32,30,8.72,volatile,1
BID-RFQ-0013-V017,RFQ-0013,V017,Türk Makina A.Ş.,2024-02-29,71.15,9320.65,52,30,-10.06,aggressive_bidder,1
BID-RFQ-0013-V001,RFQ-0013,V001,Kovacs Precision GmbH,2024-02-29,75.34,9869.54,27,30,-4.77,reliable,1
BID-RFQ-0013-V007,RFQ-0013,V007,Nakamura Tooling Co.,2024-02-29,78.93,10339.83,48,30,-0.23,conservative,1
BID-RFQ-0013-V004,RFQ-0013,V004,Strömberg Hydraulics AB,2024-02-28,80.15,10499.65,41,30,1.31,reliable,1
BID-RFQ-0013-V019,RFQ-0013,V019,Emerald Isle Castings Ltd,2024-02-26,83.54,10943.74,36,30,5.6,conservative,1
BID-RFQ-0013-V010,RFQ-0013,V010,Adriatic Fastenings d.o.o.,2024-02-27,69.05,9045.55,13,30,-12.71,aggressive_bidder,1
BID-RFQ-0014-V006,RFQ-0014,V006,Bright Spark Electronics Ltd,2024-02-27,108.65,43677.3,26,30,-10.33,volatile,1
BID-RFQ-0014-V002,RFQ-0014,V002,Tanaka Electrical KK,2024-02-28,128.33,51588.66,43,30,5.91,conservative,1
BID-RFQ-0014-V013,RFQ-0014,V013,Vantage Sensors GmbH,2024-02-28,126.15,50712.3,31,30,4.11,conservative,1
BID-RFQ-0014-V016,RFQ-0014,V016,Precision Arc Systems,2024-02-29,120.35,48380.7,43,30,-0.67,volatile,1
BID-RFQ-0014-V018,RFQ-0014,V018,Guangzhou Mech & Elec Co.,2024-03-01,134.08,53900.16,10,30,10.66,aggressive_bidder,1
BID-RFQ-0014-V011,RFQ-0014,V011,Solaris Power Components,2024-02-28,117.21,47118.42,22,30,-3.26,volatile,1
BID-RFQ-0015-V018,RFQ-0015,V018,Guangzhou Mech & Elec Co.,2024-03-07,317.52,37467.36,17,30,4.84,aggressive_bidder,1
BID-RFQ-0015-V006,RFQ-0015,V006,Bright Spark Electronics Ltd,2024-03-05,342.32,40393.76,54,30,13.03,volatile,1
BID-RFQ-0015-V013,RFQ-0015,V013,Vantage Sensors GmbH,2024-03-06,308.25,36373.5,13,30,1.78,conservative,1
BID-RFQ-0015-V002,RFQ-0015,V002,Tanaka Electrical KK,2024-03-05,306.57,36175.26,21,30,1.23,conservative,1
BID-RFQ-0016-V016,RFQ-0016,V016,Precision Arc Systems,2024-02-23,269.17,98516.22,14,30,6.61,volatile,1
BID-RFQ-0016-V002,RFQ-0016,V002,Tanaka Electrical KK,2024-02-20,265.69,97242.54,19,30,5.23,conservative,1
BID-RFQ-0016-V011,RFQ-0016,V011,Solaris Power Components,2024-02-20,228.27,83546.82,37,30,-9.59,volatile,1
BID-RFQ-0017-V008,RFQ-0017,V008,Delta Composites Inc.,2024-03-05,209.35,41870.0,35,30,-16.38,aggressive_bidder,1
BID-RFQ-0017-V014,RFQ-0017,V014,Coastal Alloys Pty Ltd,2024-03-07,241.36,48272.0,39,30,-3.59,relationship_focused,1
BID-RFQ-0017-V005,RFQ-0017,V005,Cerro Negro Metals SA,2024-03-05,228.34,45668.0,54,30,-8.79,aggressive_bidder,1
BID-RFQ-0017-V020,RFQ-0017,V020,Rajasthan Rare Earths Ltd,2024-03-06,249.05,49810.0,18,30,-0.52,relationship_focused,1
BID-RFQ-0017-V012,RFQ-0017,V012,Indra Copper Works,2024-03-04,247.27,49454.0,14,30,-1.23,reliable,1
BID-RFQ-0017-V015,RFQ-0017,V015,Nordic Steel AS,2024-03-07,240.19,48038.0,31,30,-4.06,reliable,1
BID-RFQ-0018-V001,RFQ-0018,V001,Kovacs Precision GmbH,2024-02-13,172.79,32830.1,14,30,0.54,reliable,1
BID-RFQ-0018-V004,RFQ-0018,V004,Strömberg Hydraulics AB,2024-02-13,164.48,31251.2,54,30,-4.29,reliable,1
BID-RFQ-0018-V019,RFQ-0018,V019,Emerald Isle Castings Ltd,2024-02-11,174.58,33170.2,49,30,1.58,conservative,1
BID-RFQ-0018-V007,RFQ-0018,V007,Nakamura Tooling Co.,2024-02-11,178.11,33840.9,30,30,3.63,conservative,1
BID-RFQ-0019-V018,RFQ-0019,V018,Guangzhou Mech & Elec Co.,2024-02-26,162.11,30476.68,36,30,8.06,aggressive_bidder,1
BID-RFQ-0019-V006,RFQ-0019,V006,Bright Spark Electronics Ltd,2024-02-26,174.87,32875.56,16,30,16.56,volatile,1
BID-RFQ-0019-V013,RFQ-0019,V013,Vantage Sensors GmbH,2024-02-27,155.88,29305.44,21,30,3.9,conservative,1
BID-RFQ-0019-V011,RFQ-0019,V011,Solaris Power Components,2024-02-26,151.42,28466.96,19,30,0.93,volatile,1
BID-RFQ-0019-V002,RFQ-0019,V002,Tanaka Electrical KK,2024-02-27,155.03,29145.64,48,30,3.34,conservative,1
BID-RFQ-0020-V006,RFQ-0020,V006,Bright Spark Electronics Ltd,2024-03-05,165.91,59561.69,43,30,9.03,volatile,1
BID-RFQ-0020-V002,RFQ-0020,V002,Tanaka Electrical KK,2024-03-04,160.37,57572.83,27,30,5.39,conservative,1
BID-RFQ-0020-V016,RFQ-0020,V016,Precision Arc Systems,2024-03-05,163.0,58517.0,13,30,7.11,volatile,1
BID-RFQ-0020-V018,RFQ-0020,V018,Guangzhou Mech & Elec Co.,2024-03-05,175.4,62968.6,16,30,15.27,aggressive_bidder,1
BID-RFQ-0020-V013,RFQ-0020,V013,Vantage Sensors GmbH,2024-03-03,157.19,56431.21,36,30,3.3,conservative,1
BID-RFQ-0021-V019,RFQ-0021,V019,Emerald Isle Castings Ltd,2024-03-25,16.61,4567.75,34,30,2.96,conservative,2
BID-RFQ-0021-V004,RFQ-0021,V004,Strömberg Hydraulics AB,2024-03-23,15.62,4295.5,21,30,-3.21,reliable,2
BID-RFQ-0021-V017,RFQ-0021,V017,Türk Makina A.Ş.,2024-03-24,15.27,4199.25,22,30,-5.35,aggressive_bidder,2
BID-RFQ-0021-V001,RFQ-0021,V001,Kovacs Precision GmbH,2024-03-23,15.44,4246.0,39,30,-4.31,reliable,2
BID-RFQ-0021-V007,RFQ-0021,V007,Nakamura Tooling Co.,2024-03-25,16.57,4556.75,46,30,2.73,conservative,2
BID-RFQ-0021-V010,RFQ-0021,V010,Adriatic Fastenings d.o.o.,2024-03-25,15.0,4125.0,47,30,-7.03,aggressive_bidder,2
BID-RFQ-0021-V009,RFQ-0021,V009,Fischer & Söhne KG,2024-03-25,16.15,4441.25,25,30,0.09,relationship_focused,2
BID-RFQ-0022-V007,RFQ-0022,V007,Nakamura Tooling Co.,2024-04-12,406.14,111282.36,37,30,-0.75,conservative,2
BID-RFQ-0022-V009,RFQ-0022,V009,Fischer & Söhne KG,2024-04-11,389.01,106588.74,15,30,-4.94,relationship_focused,2
BID-RFQ-0022-V004,RFQ-0022,V004,Strömberg Hydraulics AB,2024-04-10,382.18,104717.32,28,30,-6.61,reliable,2
BID-RFQ-0022-V010,RFQ-0022,V010,Adriatic Fastenings d.o.o.,2024-04-09,376.62,103193.88,46,30,-7.97,aggressive_bidder,2
BID-RFQ-0022-V017,RFQ-0022,V017,Türk Makina A.Ş.,2024-04-12,363.89,99705.86,50,30,-11.07,aggressive_bidder,2
BID-RFQ-0023-V010,RFQ-0023,V010,Adriatic Fastenings d.o.o.,2024-04-07,126.15,37340.4,53,30,-12.58,aggressive_bidder,2
BID-RFQ-0023-V007,RFQ-0023,V007,Nakamura Tooling Co.,2024-04-06,149.99,44397.04,13,30,3.94,conservative,2
BID-RFQ-0023-V001,RFQ-0023,V001,Kovacs Precision GmbH,2024-04-08,141.5,41884.0,45,30,-1.94,reliable,2
BID-RFQ-0023-V019,RFQ-0023,V019,Emerald Isle Castings Ltd,2024-04-07,143.33,42425.68,24,30,-0.67,conservative,2
BID-RFQ-0023-V017,RFQ-0023,V017,Türk Makina A.Ş.,2024-04-08,138.43,40975.28,33,30,-4.07,aggressive_bidder,2
BID-RFQ-0023-V004,RFQ-0023,V004,Strömberg Hydraulics AB,2024-04-06,139.54,41303.84,38,30,-3.3,reliable,2
BID-RFQ-0023-V009,RFQ-0023,V009,Fischer & Söhne KG,2024-04-07,135.09,39986.64,39,30,-6.39,relationship_focused,2
BID-RFQ-0024-V017,RFQ-0024,V017,Türk Makina A.Ş.,2024-03-28,131.98,48568.64,43,30,-8.21,aggressive_bidder,2
BID-RFQ-0024-V009,RFQ-0024,V009,Fischer & Söhne KG,2024-03-26,134.26,49407.68,38,30,-6.63,relationship_focused,2
BID-RFQ-0024-V004,RFQ-0024,V004,Strömberg Hydraulics AB,2024-03-26,133.78,49231.04,47,30,-6.96,reliable,2
BID-RFQ-0024-V019,RFQ-0024,V019,Emerald Isle Castings Ltd,2024-03-26,154.06,56694.08,29,30,7.15,conservative,2
BID-RFQ-0024-V010,RFQ-0024,V010,Adriatic Fastenings d.o.o.,2024-03-29,122.34,45021.12,19,30,-14.92,aggressive_bidder,2
BID-RFQ-0025-V002,RFQ-0025,V002,Tanaka Electrical KK,2024-04-04,113.16,34174.32,25,30,5.09,conservative,2
BID-RFQ-0025-V016,RFQ-0025,V016,Precision Arc Systems,2024-04-04,131.84,39815.68,45,30,22.44,volatile,2
BID-RFQ-0025-V006,RFQ-0025,V006,Bright Spark Electronics Ltd,2024-04-03,116.82,35279.64,17,30,8.49,volatile,2
BID-RFQ-0025-V018,RFQ-0025,V018,Guangzhou Mech & Elec Co.,2024-04-04,108.4,32736.8,10,30,0.67,aggressive_bidder,2
BID-RFQ-0025-V013,RFQ-0025,V013,Vantage Sensors GmbH,2024-04-02,113.37,34237.74,31,30,5.29,conservative,2
BID-RFQ-0026-V013,RFQ-0026,V013,Vantage Sensors GmbH,2024-03-18,481.2,208359.6,15,30,1.37,conservative,2
BID-RFQ-0026-V018,RFQ-0026,V018,Guangzhou Mech & Elec Co.,2024-03-18,536.79,232430.07,22,30,13.08,aggressive_bidder,2
BID-RFQ-0026-V002,RFQ-0026,V002,Tanaka Electrical KK,2024-03-19,477.19,206623.27,41,30,0.52,conservative,2
BID-RFQ-0026-V006,RFQ-0026,V006,Bright Spark Electronics Ltd,2024-03-17,542.14,234746.62,19,30,14.2,volatile,2
BID-RFQ-0026-V011,RFQ-0026,V011,Solaris Power Components,2024-03-20,485.57,210251.81,23,30,2.29,volatile,2
BID-RFQ-0027-V010,RFQ-0027,V010,Adriatic Fastenings d.o.o.,2024-04-08,268.35,119952.45,18,30,-5.5,aggressive_bidder,2
BID-RFQ-0027-V001,RFQ-0027,V001,Kovacs Precision GmbH,2024-04-08,274.15,122545.05,15,30,-3.45,reliable,2
BID-RFQ-0027-V017,RFQ-0027,V017,Türk Makina A.Ş.,2024-04-10,278.07,124297.29,22,30,-2.07,aggressive_bidder,2
BID-RFQ-0027-V007,RFQ-0027,V007,Nakamura Tooling Co.,2024-04-09,286.48,128056.56,41,30,0.89,conservative,2
BID-RFQ-0027-V009,RFQ-0027,V009,Fischer & Söhne KG,2024-04-09,269.9,120645.3,50,30,-4.95,relationship_focused,2
BID-RFQ-0027-V004,RFQ-0027,V004,Strömberg Hydraulics AB,2024-04-08,282.45,126255.15,54,30,-0.53,reliable,2
BID-RFQ-0027-V019,RFQ-0027,V019,Emerald Isle Castings Ltd,2024-04-09,290.37,129795.39,47,30,2.26,conservative,2
BID-RFQ-0028-V013,RFQ-0028,V013,Vantage Sensors GmbH,2024-04-12,229.2,112308.0,19,30,0.73,conservative,2
BID-RFQ-0028-V011,RFQ-0028,V011,Solaris Power Components,2024-04-09,234.0,114660.0,50,30,2.84,volatile,2
BID-RFQ-0028-V016,RFQ-0028,V016,Precision Arc Systems,2024-04-12,225.46,110475.4,48,30,-0.91,volatile,2
BID-RFQ-0028-V018,RFQ-0028,V018,Guangzhou Mech & Elec Co.,2024-04-10,241.36,118266.4,27,30,6.08,aggressive_bidder,2
BID-RFQ-0028-V002,RFQ-0028,V002,Tanaka Electrical KK,2024-04-10,237.44,116345.6,33,30,4.35,conservative,2
BID-RFQ-0029-V020,RFQ-0029,V020,Rajasthan Rare Earths Ltd,2024-04-02,183.45,63290.25,36,30,-1.58,relationship_focused,2
BID-RFQ-0029-V015,RFQ-0029,V015,Nordic Steel AS,2024-03-31,179.93,62075.85,29,30,-3.47,reliable,2
BID-RFQ-0029-V008,RFQ-0029,V008,Delta Composites Inc.,2024-04-01,168.89,58267.05,54,30,-9.39,aggressive_bidder,2
BID-RFQ-0029-V005,RFQ-0029,V005,Cerro Negro Metals SA,2024-04-02,167.81,57894.45,14,30,-9.97,aggressive_bidder,2
BID-RFQ-0030-V009,RFQ-0030,V009,Fischer & Söhne KG,2024-03-22,83.22,25382.1,40,30,-5.57,relationship_focused,2
BID-RFQ-0030-V001,RFQ-0030,V001,Kovacs Precision GmbH,2024-03-21,86.12,26266.6,47,30,-2.29,reliable,2
BID-RFQ-0030-V019,RFQ-0030,V019,Emerald Isle Castings Ltd,2024-03-20,91.84,28011.2,32,30,4.21,conservative,2
BID-RFQ-0030-V004,RFQ-0030,V004,Strömberg Hydraulics AB,2024-03-22,85.05,25940.25,47,30,-3.49,reliable,2
BID-RFQ-0030-V017,RFQ-0030,V017,Türk Makina A.Ş.,2024-03-22,81.94,24991.7,16,30,-7.02,aggressive_bidder,2
BID-RFQ-0031-V013,RFQ-0031,V013,Vantage Sensors GmbH,2024-05-07,16.63,3791.64,42,30,6.97,conservative,3
BID-RFQ-0031-V006,RFQ-0031,V006,Bright Spark Electronics Ltd,2024-05-06,17.21,3923.88,55,30,10.7,volatile,3
BID-RFQ-0031-V018,RFQ-0031,V018,Guangzhou Mech & Elec Co.,2024-05-06,16.85,3841.8,39,30,8.36,aggressive_bidder,3
BID-RFQ-0031-V002,RFQ-0031,V002,Tanaka Electrical KK,2024-05-05,16.24,3702.72,22,30,4.42,conservative,3
BID-RFQ-0032-V001,RFQ-0032,V001,Kovacs Precision GmbH,2024-05-12,150.9,31538.1,35,30,-5.12,reliable,3
BID-RFQ-0032-V017,RFQ-0032,V017,Türk Makina A.Ş.,2024-05-12,146.84,30689.56,17,30,-7.68,aggressive_bidder,3
BID-RFQ-0032-V009,RFQ-0032,V009,Fischer & Söhne KG,2024-05-12,153.81,32146.29,32,30,-3.29,relationship_focused,3
BID-RFQ-0032-V019,RFQ-0032,V019,Emerald Isle Castings Ltd,2024-05-14,166.35,34767.15,39,30,4.59,conservative,3
BID-RFQ-0032-V004,RFQ-0032,V004,Strömberg Hydraulics AB,2024-05-15,157.45,32907.05,14,30,-1.01,reliable,3
BID-RFQ-0032-V010,RFQ-0032,V010,Adriatic Fastenings d.o.o.,2024-05-15,150.07,31364.63,14,30,-5.65,aggressive_bidder,3
BID-RFQ-0033-V013,RFQ-0033,V013,Vantage Sensors GmbH,2024-04-19,164.63,9877.8,12,30,2.29,conservative,3
BID-RFQ-0033-V002,RFQ-0033,V002,Tanaka Electrical KK,2024-04-17,168.03,10081.8,55,30,4.4,conservative,3
BID-RFQ-0033-V016,RFQ-0033,V016,Precision Arc Systems,2024-04-16,145.23,8713.8,52,30,-9.76,volatile,3
BID-RFQ-0033-V018,RFQ-0033,V018,Guangzhou Mech & Elec Co.,2024-04-16,173.07,10384.2,26,30,7.53,aggressive_bidder,3
BID-RFQ-0033-V006,RFQ-0033,V006,Bright Spark Electronics Ltd,2024-04-17,163.65,9819.0,13,30,1.68,volatile,3
BID-RFQ-0034-V001,RFQ-0034,V001,Kovacs Precision GmbH,2024-05-03,106.86,14532.96,32,30,-4.52,reliable,3
BID-RFQ-0034-V007,RFQ-0034,V007,Nakamura Tooling Co.,2024-05-04,117.59,15992.24,47,30,5.07,conservative,3
BID-RFQ-0034-V010,RFQ-0034,V010,Adriatic Fastenings d.o.o.,2024-05-03,94.23,12815.28,52,30,-15.8,aggressive_bidder,3
BID-RFQ-0034-V004,RFQ-0034,V004,Strömberg Hydraulics AB,2024-05-04,112.3,15272.8,34,30,0.35,reliable,3
BID-RFQ-0034-V017,RFQ-0034,V017,Türk Makina A.Ş.,2024-05-05,104.44,14203.84,31,30,-6.68,aggressive_bidder,3
BID-RFQ-0034-V009,RFQ-0034,V009,Fischer & Söhne KG,2024-05-03,107.46,14614.56,22,30,-3.98,relationship_focused,3
BID-RFQ-0035-V009,RFQ-0035,V009,Fischer & Söhne KG,2024-04-27,301.41,101876.58,24,30,-9.82,relationship_focused,3
BID-RFQ-0035-V019,RFQ-0035,V019,Emerald Isle Castings Ltd,2024-04-27,340.95,115241.1,37,30,2.02,conservative,3
BID-RFQ-0035-V007,RFQ-0035,V007,Nakamura Tooling Co.,2024-04-28,337.74,114156.12,37,30,1.05,conservative,3
BID-RFQ-0035-V017,RFQ-0035,V017,Türk Makina A.Ş.,2024-04-29,323.59,109373.42,11,30,-3.18,aggressive_bidder,3
BID-RFQ-0035-V004,RFQ-0035,V004,Strömberg Hydraulics AB,2024-04-27,328.75,111117.5,46,30,-1.64,reliable,3
BID-RFQ-0035-V010,RFQ-0035,V010,Adriatic Fastenings d.o.o.,2024-04-28,298.32,100832.16,37,30,-10.74,aggressive_bidder,3
BID-RFQ-0035-V001,RFQ-0035,V001,Kovacs Precision GmbH,2024-04-28,328.48,111026.24,51,30,-1.72,reliable,3
BID-RFQ-0036-V002,RFQ-0036,V002,Tanaka Electrical KK,2024-04-23,91.8,15789.6,39,30,2.25,conservative,3
BID-RFQ-0036-V018,RFQ-0036,V018,Guangzhou Mech & Elec Co.,2024-04-23,96.82,16653.04,18,30,7.83,aggressive_bidder,3
BID-RFQ-0036-V006,RFQ-0036,V006,Bright Spark Electronics Ltd,2024-04-22,88.8,15273.6,11,30,-1.1,volatile,3
BID-RFQ-0036-V013,RFQ-0036,V013,Vantage Sensors GmbH,2024-04-23,91.28,15700.16,52,30,1.66,conservative,3
BID-RFQ-0036-V016,RFQ-0036,V016,Precision Arc Systems,2024-04-23,70.7,12160.4,41,30,-21.26,volatile,3
BID-RFQ-0037-V013,RFQ-0037,V013,Vantage Sensors GmbH,2024-05-06,713.96,97812.52,23,30,1.58,conservative,3
BID-RFQ-0037-V002,RFQ-0037,V002,Tanaka Electrical KK,2024-05-07,704.57,96526.09,47,30,0.24,conservative,3
BID-RFQ-0037-V016,RFQ-0037,V016,Precision Arc Systems,2024-05-06,713.44,97741.28,53,30,1.51,volatile,3
BID-RFQ-0037-V018,RFQ-0037,V018,Guangzhou Mech & Elec Co.,2024-05-09,747.15,102359.55,54,30,6.3,aggressive_bidder,3
BID-RFQ-0038-V013,RFQ-0038,V013,Vantage Sensors GmbH,2024-05-10,48.3,8838.9,26,30,3.78,conservative,3
BID-RFQ-0038-V011,RFQ-0038,V011,Solaris Power Components,2024-05-10,42.26,7733.58,12,30,-9.2,volatile,3
BID-RFQ-0038-V018,RFQ-0038,V018,Guangzhou Mech & Elec Co.,2024-05-12,49.62,9080.46,54,30,6.61,aggressive_bidder,3
BID-RFQ-0039-V007,RFQ-0039,V007,Nakamura Tooling Co.,2024-05-12,105.99,36990.51,50,30,5.79,conservative,3
BID-RFQ-0039-V009,RFQ-0039,V009,Fischer & Söhne KG,2024-05-11,96.76,33769.24,46,30,-3.41,relationship_focused,3
BID-RFQ-0039-V017,RFQ-0039,V017,Türk Makina A.Ş.,2024-05-11,89.69,31301.81,38,30,-10.47,aggressive_bidder,3
