delivery_id,po_id,vendor_id,promised_date,actual_date,days_late,on_time,condition,quality_issue,invoice_value_usd,month_index
DEL-PO-RFQ-0004-V011,PO-RFQ-0004-V011,V011,2024-02-22,2024-02-22,0,True,accepted,False,95091.58,0
DEL-PO-RFQ-0004-V018,PO-RFQ-0004-V018,V018,2024-02-11,2024-02-11,0,True,accepted,False,114803.98,0
DEL-PO-RFQ-0004-V006,PO-RFQ-0004-V006,V006,2024-03-02,2024-03-02,0,True,accepted,False,105273.57,0
DEL-PO-RFQ-0005-V013,PO-RFQ-0005-V013,V013,2024-01-24,2024-01-24,0,True,accepted,False,2346.85,0
DEL-PO-RFQ-0005-V002,PO-RFQ-0005-V002,V002,2024-01-26,2024-01-26,0,True,accepted,False,2327.86,0
DEL-PO-RFQ-0005-V011,PO-RFQ-0005-V011,V011,2024-02-10,2024-02-27,17,False,accepted,False,2379.03,0
DEL-PO-RFQ-0005-V016,PO-RFQ-0005-V016,V016,2024-02-27,2024-03-12,14,False,accepted,False,2552.46,0
DEL-PO-RFQ-0005-V018,PO-RFQ-0005-V018,V018,2024-02-27,2024-03-01,3,False,accepted,False,2426.57,0
DEL-PO-RFQ-0006-V002,PO-RFQ-0006-V002,V002,2024-01-20,2024-01-20,0,True,accepted,False,35304.05,0
DEL-PO-RFQ-0006-V016,PO-RFQ-0006-V016,V016,2024-01-20,2024-01-20,0,True,accepted,False,29272.55,0
DEL-PO-RFQ-0006-V011,PO-RFQ-0006-V011,V011,2024-02-23,2024-02-23,0,True,accepted,False,24856.33,0
DEL-PO-RFQ-0006-V006,PO-RFQ-0006-V006,V006,2024-01-30,2024-01-30,0,True,accepted,False,37374.98,0
DEL-PO-RFQ-0006-V018,PO-RFQ-0006-V018,V018,2024-02-16,2024-02-16,0,True,rejected,False,36478.62,0
DEL-PO-RFQ-0007-V018,PO-RFQ-0007-V018,V018,2024-01-22,2024-01-31,9,False,accepted,False,24770.41,0
DEL-PO-RFQ-0007-V002,PO-RFQ-0007-V002,V002,2024-01-25,2024-01-25,0,True,accepted,True,24402.05,0
DEL-PO-RFQ-0007-V013,PO-RFQ-0007-V013,V013,2024-01-29,2024-01-29,0,True,accepted_with_note,False,24505.98,0
DEL-PO-RFQ-0007-V006,PO-RFQ-0007-V006,V006,2024-02-09,2024-02-09,0,True,accepted,False,22653.93,0
DEL-PO-RFQ-0007-V016,PO-RFQ-0007-V016,V016,2024-02-09,2024-02-09,0,True,accepted,False,23699.09,0
DEL-PO-RFQ-0008-V013,PO-RFQ-0008-V013,V013,2024-01-25,2024-01-25,0,True,accepted,False,21887.77,0
DEL-PO-RFQ-0008-V002,PO-RFQ-0008-V002,V002,2024-02-10,2024-02-19,9,False,accepted_with_note,False,22073.61,0
DEL-PO-RFQ-0008-V006,PO-RFQ-0008-V006,V006,2024-02-19,2024-02-19,0,True,accepted,False,20533.72,0
DEL-PO-RFQ-0008-V018,PO-RFQ-0008-V018,V018,2024-02-07,2024-02-07,0,True,accepted_with_note,True,22770.27,0
DEL-PO-RFQ-0009-V006,PO-RFQ-0009-V006,V006,2024-01-31,2024-01-31,0,True,accepted,False,4020.86,0
DEL-PO-RFQ-0009-V002,PO-RFQ-0009-V002,V002,2024-02-07,2024-02-07,0,True,accepted,False,3514.55,0
DEL-PO-RFQ-0009-V011,PO-RFQ-0009-V011,V011,2024-02-06,2024-02-06,0,True,accepted,False,3552.24,0
DEL-PO-RFQ-0009-V018,PO-RFQ-0009-V018,V018,2024-02-23,2024-02-23,0,True,accepted,False,3849.04,0
DEL-PO-RFQ-0010-V009,PO-RFQ-0010-V009,V009,2024-01-15,2024-01-15,0,True,accepted,False,23257.17,0
DEL-PO-RFQ-0010-V001,PO-RFQ-0010-V001,V001,2024-01-26,2024-01-26,0,True,accepted,False,23688.78,0
DEL-PO-RFQ-0010-V019,PO-RFQ-0010-V019,V019,2024-01-21,2024-01-21,0,True,accepted,False,26533.3,0
DEL-PO-RFQ-0010-V004,PO-RFQ-0010-V004,V004,2024-02-26,2024-02-26,0,True,accepted,False,23578.82,0
DEL-PO-RFQ-0010-V007,PO-RFQ-0010-V007,V007,2024-03-01,2024-03-01,0,True,accepted,False,25429.68,0
DEL-PO-RFQ-0011-V012,PO-RFQ-0011-V012,V012,2024-02-28,2024-03-19,20,False,accepted,False,2598.76,1
DEL-PO-RFQ-0011-V003,PO-RFQ-0011-V003,V003,2024-03-17,2024-03-17,0,True,accepted,False,2606.64,1
DEL-PO-RFQ-0011-V020,PO-RFQ-0011-V020,V020,2024-03-13,2024-03-13,0,True,accepted,False,2624.1,1
DEL-PO-RFQ-0011-V008,PO-RFQ-0011-V008,V008,2024-03-30,2024-04-03,4,False,accepted,False,2567.27,1
DEL-PO-RFQ-0011-V005,PO-RFQ-0011-V005,V005,2024-03-27,2024-03-27,0,True,accepted,False,2672.3,1
DEL-PO-RFQ-0012-V018,PO-RFQ-0012-V018,V018,2024-02-24,2024-03-09,14,False,accepted,False,38123.7,1
DEL-PO-RFQ-0012-V013,PO-RFQ-0012-V013,V013,2024-03-17,2024-03-17,0,True,accepted,False,36724.06,1
DEL-PO-RFQ-0012-V016,PO-RFQ-0012-V016,V016,2024-03-24,2024-04-08,15,False,accepted,False,32448.83,1
DEL-PO-RFQ-0012-V011,PO-RFQ-0012-V011,V011,2024-03-12,2024-03-12,0,True,accepted_with_note,False,38398.63,1
DEL-PO-RFQ-0013-V010,PO-RFQ-0013-V010,V010,2024-02-19,2024-02-19,0,True,accepted,False,8982.57,1
DEL-PO-RFQ-0013-V001,PO-RFQ-0013-V001,V001,2024-03-04,2024-03-04,0,True,accepted_with_note,False,9776.15,1
DEL-PO-RFQ-0013-V004,PO-RFQ-0013-V004,V004,2024-03-19,2024-03-19,0,True,accepted,False,10515.83,1
DEL-PO-RFQ-0013-V007,PO-RFQ-0013-V007,V007,2024-03-22,2024-03-22,0,True,accepted,False,10495.93,1
DEL-PO-RFQ-0013-V019,PO-RFQ-0013-V019,V019,2024-03-14,2024-03-14,0,True,rejected,False,10817.55,1
DEL-PO-RFQ-0014-V018,PO-RFQ-0014-V018,V018,2024-02-17,2024-02-17,0,True,accepted,False,53642.67,1
DEL-PO-RFQ-0014-V006,PO-RFQ-0014-V006,V006,2024-03-03,2024-03-22,19,False,accepted,False,42611.48,1
DEL-PO-RFQ-0014-V013,PO-RFQ-0014-V013,V013,2024-03-08,2024-03-09,1,False,accepted,False,50778.13,1
DEL-PO-RFQ-0014-V011,PO-RFQ-0014-V011,V011,2024-02-28,2024-03-16,17,False,accepted,False,45871.22,1
DEL-PO-RFQ-0014-V002,PO-RFQ-0014-V002,V002,2024-03-17,2024-03-17,0,True,accepted,False,51421.26,1
DEL-PO-RFQ-0015-V013,PO-RFQ-0015-V013,V013,2024-02-16,2024-02-16,0,True,accepted,False,36888.99,1
DEL-PO-RFQ-0015-V002,PO-RFQ-0015-V002,V002,2024-02-28,2024-02-28,0,True,accepted,False,36867.76,1
DEL-PO-RFQ-0015-V018,PO-RFQ-0015-V018,V018,2024-02-26,2024-03-09,12,False,accepted,True,36666.64,1
DEL-PO-RFQ-0015-V006,PO-RFQ-0015-V006,V006,2024-04-01,2024-04-10,9,False,accepted,False,39828.65,1
DEL-PO-RFQ-0016-V002,PO-RFQ-0016-V002,V002,2024-02-22,2024-02-22,0,True,accepted,False,95243.79,1
DEL-PO-RFQ-0016-V016,PO-RFQ-0016-V016,V016,2024-02-20,2024-02-20,0,True,accepted,False,99327.06,1
DEL-PO-RFQ-0016-V011,PO-RFQ-0016-V011,V011,2024-03-15,2024-03-15,0,True,accepted_with_note,False,83127.77,1
DEL-PO-RFQ-0017-V012,PO-RFQ-0017-V012,V012,2024-02-20,2024-02-20,0,True,accepted,False,49628.11,1
DEL-PO-RFQ-0017-V020,PO-RFQ-0017-V020,V020,2024-02-26,2024-02-26,0,True,accepted,False,50188.95,1
DEL-PO-RFQ-0017-V015,PO-RFQ-0017-V015,V015,2024-03-08,2024-03-08,0,True,rejected,False,47742.89,1
DEL-PO-RFQ-0017-V008,PO-RFQ-0017-V008,V008,2024-03-15,2024-03-15,0,True,accepted,False,41094.02,1
DEL-PO-RFQ-0017-V014,PO-RFQ-0017-V014,V014,2024-03-18,2024-03-18,0,True,accepted_with_note,False,48226.08,1
DEL-PO-RFQ-0018-V001,PO-RFQ-0018-V001,V001,2024-02-24,2024-02-24,0,True,accepted,False,32751.06,1
DEL-PO-RFQ-0018-V007,PO-RFQ-0018-V007,V007,2024-03-05,2024-03-05,0,True,accepted,False,34193.66,1
DEL-PO-RFQ-0018-V004,PO-RFQ-0018-V004,V004,2024-04-01,2024-04-01,0,True,accepted,False,30866.88,1
DEL-PO-RFQ-0018-V019,PO-RFQ-0018-V019,V019,2024-03-27,2024-03-27,0,True,accepted,False,33509.88,1
DEL-PO-RFQ-0019-V013,PO-RFQ-0019-V013,V013,2024-03-01,2024-03-01,0,True,accepted,False,28492.46,1
DEL-PO-RFQ-0019-V006,PO-RFQ-0019-V006,V006,2024-02-25,2024-02-25,0,True,accepted,False,33261.99,1
DEL-PO-RFQ-0019-V011,PO-RFQ-0019-V011,V011,2024-02-24,2024-02-24,0,True,accepted,False,28944.57,1
DEL-PO-RFQ-0019-V002,PO-RFQ-0019-V002,V002,2024-03-23,2024-03-23,0,True,accepted,False,28492.33,1
DEL-PO-RFQ-0019-V018,PO-RFQ-0019-V018,V018,2024-03-14,2024-03-14,0,True,accepted,False,30150.48,1
DEL-PO-RFQ-0020-V016,PO-RFQ-0020-V016,V016,2024-02-17,2024-02-17,0,True,accepted_with_note,False,57472.93,1
DEL-PO-RFQ-0020-V002,PO-RFQ-0020-V002,V002,2024-03-03,2024-03-03,0,True,accepted,False,55846.63,1
DEL-PO-RFQ-0020-V018,PO-RFQ-0020-V018,V018,2024-02-19,2024-02-27,8,False,accepted,False,63273.01,1
DEL-PO-RFQ-0020-V013,PO-RFQ-0020-V013,V013,2024-03-11,2024-03-11,0,True,accepted,False,57517.55,1
DEL-PO-RFQ-0020-V006,PO-RFQ-0020-V006,V006,2024-03-19,2024-03-19,0,True,accepted,False,59344.91,1
DEL-PO-RFQ-0021-V004,PO-RFQ-0021-V004,V004,2024-04-01,2024-04-01,0,True,accepted,True,4345.55,2
DEL-PO-RFQ-0021-V009,PO-RFQ-0021-V009,V009,2024-03-30,2024-03-30,0,True,accepted,False,4333.09,2
DEL-PO-RFQ-0021-V017,PO-RFQ-0021-V017,V017,2024-04-02,2024-04-10,8,False,accepted,False,4199.18,2
DEL-PO-RFQ-0021-V001,PO-RFQ-0021-V001,V001,2024-04-13,2024-04-13,0,True,rejected,False,4270.36,2
DEL-PO-RFQ-0021-V019,PO-RFQ-0021-V019,V019,2024-04-11,2024-04-11,0,True,accepted,False,4635.0,2
DEL-PO-RFQ-0022-V009,PO-RFQ-0022-V009,V009,2024-03-24,2024-03-24,0,True,rejected,False,104747.49,2
DEL-PO-RFQ-0022-V004,PO-RFQ-0022-V004,V004,2024-04-06,2024-04-06,0,True,accepted,False,105921.88,2
DEL-PO-RFQ-0022-V007,PO-RFQ-0022-V007,V007,2024-04-16,2024-04-16,0,True,accepted,False,109493.03,2
DEL-PO-RFQ-0022-V017,PO-RFQ-0022-V017,V017,2024-04-27,2024-04-27,0,True,accepted,False,97200.06,2
DEL-PO-RFQ-0022-V010,PO-RFQ-0022-V010,V010,2024-04-20,2024-04-20,0,True,accepted,False,101590.0,2
DEL-PO-RFQ-0023-V007,PO-RFQ-0023-V007,V007,2024-03-19,2024-03-19,0,True,accepted,False,43205.38,2
DEL-PO-RFQ-0023-V019,PO-RFQ-0023-V019,V019,2024-04-02,2024-04-02,0,True,accepted,False,42738.62,2
DEL-PO-RFQ-0023-V009,PO-RFQ-0023-V009,V009,2024-04-15,2024-04-15,0,True,accepted,False,39863.16,2
DEL-PO-RFQ-0023-V004,PO-RFQ-0023-V004,V004,2024-04-16,2024-04-16,0,True,accepted,False,42039.93,2
DEL-PO-RFQ-0023-V001,PO-RFQ-0023-V001,V001,2024-04-23,2024-04-23,0,True,accepted_with_note,False,41781.7,2
DEL-PO-RFQ-0024-V010,PO-RFQ-0024-V010,V010,2024-03-29,2024-03-29,0,True,accepted,False,44834.22,2
DEL-PO-RFQ-0024-V009,PO-RFQ-0024-V009,V009,2024-04-17,2024-04-25,8,False,accepted_with_note,False,50196.02,2
DEL-PO-RFQ-0024-V004,PO-RFQ-0024-V004,V004,2024-04-22,2024-04-22,0,True,rejected,False,49271.58,2
DEL-PO-RFQ-0024-V019,PO-RFQ-0024-V019,V019,2024-04-09,2024-04-09,0,True,accepted,False,57757.82,2
DEL-PO-RFQ-0024-V017,PO-RFQ-0024-V017,V017,2024-04-17,2024-04-17,0,True,accepted,False,49370.77,2
DEL-PO-RFQ-0025-V018,PO-RFQ-0025-V018,V018,2024-03-21,2024-03-21,0,True,accepted,False,31902.5,2
DEL-PO-RFQ-0025-V002,PO-RFQ-0025-V002,V002,2024-04-05,2024-04-05,0,True,accepted,False,34276.68,2
DEL-PO-RFQ-0025-V006,PO-RFQ-0025-V006,V006,2024-03-26,2024-03-26,0,True,accepted,False,35419.92,2
DEL-PO-RFQ-0025-V013,PO-RFQ-0025-V013,V013,2024-04-07,2024-04-07,0,True,accepted,False,33829.14,2
DEL-PO-RFQ-0025-V016,PO-RFQ-0025-V016,V016,2024-04-18,2024-04-18,0,True,accepted,False,39320.49,2
DEL-PO-RFQ-0026-V013,PO-RFQ-0026-V013,V013,2024-03-22,2024-03-22,0,True,accepted,False,202753.34,2
DEL-PO-RFQ-0026-V006,PO-RFQ-0026-V006,V006,2024-03-28,2024-04-15,18,False,accepted,False,232339.13,2
DEL-PO-RFQ-0026-V011,PO-RFQ-0026-V011,V011,2024-04-01,2024-04-01,0,True,accepted,False,210752.4,2
DEL-PO-RFQ-0026-V002,PO-RFQ-0026-V002,V002,2024-04-20,2024-04-20,0,True,accepted,False,206618.04,2
DEL-PO-RFQ-0026-V018,PO-RFQ-0026-V018,V018,2024-03-31,2024-03-31,0,True,accepted,True,233081.62,2
DEL-PO-RFQ-0027-V001,PO-RFQ-0027-V001,V001,2024-03-20,2024-03-20,0,True,accepted,False,124819.94,2
DEL-PO-RFQ-0027-V010,PO-RFQ-0027-V010,V010,2024-03-23,2024-03-23,0,True,accepted,False,122343.34,2
DEL-PO-RFQ-0027-V017,PO-RFQ-0027-V017,V017,2024-03-27,2024-03-27,0,True,accepted,False,125922.88,2
DEL-PO-RFQ-0027-V009,PO-RFQ-0027-V009,V009,2024-04-25,2024-04-25,0,True,accepted,False,118997.73,2
DEL-PO-RFQ-0027-V007,PO-RFQ-0027-V007,V007,2024-04-21,2024-04-21,0,True,accepted,False,130178.41,2
DEL-PO-RFQ-0028-V013,PO-RFQ-0028-V013,V013,2024-03-28,2024-03-28,0,True,accepted_with_note,False,111426.92,2
DEL-PO-RFQ-0028-V002,PO-RFQ-0028-V002,V002,2024-04-06,2024-04-06,0,True,accepted,False,118399.05,2
DEL-PO-RFQ-0028-V018,PO-RFQ-0028-V018,V018,2024-04-03,2024-04-11,8,False,accepted,False,118317.32,2
DEL-PO-RFQ-0028-V016,PO-RFQ-0028-V016,V016,2024-04-27,2024-04-27,0,True,accepted,False,108586.76,2
DEL-PO-RFQ-0028-V011,PO-RFQ-0028-V011,V011,2024-04-23,2024-04-23,0,True,accepted,False,114852.25,2
DEL-PO-RFQ-0029-V005,PO-RFQ-0029-V005,V005,2024-03-18,2024-03-18,0,True,accepted,False,56471.4,2
DEL-PO-RFQ-0029-V015,PO-RFQ-0029-V015,V015,2024-04-04,2024-04-04,0,True,accepted,False,63085.68,2
DEL-PO-RFQ-0029-V020,PO-RFQ-0029-V020,V020,2024-04-15,2024-04-15,0,True,accepted_with_note,False,64099.02,2
DEL-PO-RFQ-0029-V008,PO-RFQ-0029-V008,V008,2024-05-01,2024-05-01,0,True,accepted,False,58739.12,2
DEL-PO-RFQ-0030-V017,PO-RFQ-0030-V017,V017,2024-03-26,2024-03-26,0,True,rejected,False,25062.48,2
DEL-PO-RFQ-0030-V009,PO-RFQ-0030-V009,V009,2024-04-18,2024-04-18,0,True,accepted,False,24706.09,2
DEL-PO-RFQ-0030-V004,PO-RFQ-0030-V004,V004,2024-04-27,2024-04-27,0,True,accepted,False,26437.65,2
DEL-PO-RFQ-0030-V001,PO-RFQ-0030-V001,V001,2024-04-24,2024-04-24,0,True,accepted_with_note,False,26549.34,2
DEL-PO-RFQ-0030-V019,PO-RFQ-0030-V019,V019,2024-04-05,2024-04-05,0,True,accepted,False,28562.14,2
DEL-PO-RFQ-0031-V002,PO-RFQ-0031-V002,V002,2024-04-29,2024-04-29,0,True,accepted_with_note,False,3611.7,3
DEL-PO-RFQ-0031-V013,PO-RFQ-0031-V013,V013,2024-05-17,2024-05-17,0,True,rejected,False,3771.65,3
DEL-PO-RFQ-0031-V018,PO-RFQ-0031-V018,V018,2024-05-14,2024-05-14,0,True,accepted,True,3837.54,3
DEL-PO-RFQ-0031-V006,PO-RFQ-0031-V006,V006,2024-05-29,2024-06-10,12,False,accepted,False,3808.84,3
DEL-PO-RFQ-0032-V004,PO-RFQ-0032-V004,V004,2024-04-18,2024-04-18,0,True,accepted,False,32592.05,3
DEL-PO-RFQ-0032-V010,PO-RFQ-0032-V010,V010,2024-04-21,2024-04-21,0,True,accepted,False,30543.1,3
DEL-PO-RFQ-0032-V017,PO-RFQ-0032-V017,V017,2024-04-25,2024-04-25,0,True,accepted_with_note,False,30580.25,3
DEL-PO-RFQ-0032-V009,PO-RFQ-0032-V009,V009,2024-05-07,2024-05-07,0,True,accepted,False,31548.33,3
DEL-PO-RFQ-0032-V001,PO-RFQ-0032-V001,V001,2024-05-11,2024-05-11,0,True,accepted,False,31778.67,3
DEL-PO-RFQ-0033-V013,PO-RFQ-0033-V013,V013,2024-04-16,2024-04-16,0,True,accepted,False,9895.36,3
DEL-PO-RFQ-0033-V006,PO-RFQ-0033-V006,V006,2024-04-16,2024-04-16,0,True,accepted,False,9676.51,3
DEL-PO-RFQ-0033-V002,PO-RFQ-0033-V002,V002,2024-06-01,2024-06-01,0,True,accepted,False,10033.14,3
DEL-PO-RFQ-0033-V016,PO-RFQ-0033-V016,V016,2024-05-26,2024-06-07,12,False,accepted,False,8569.31,3
DEL-PO-RFQ-0033-V018,PO-RFQ-0033-V018,V018,2024-05-03,2024-05-03,0,True,rejected,False,10411.63,3
DEL-PO-RFQ-0034-V009,PO-RFQ-0034-V009,V009,2024-04-29,2024-04-29,0,True,accepted,False,14811.76,3
DEL-PO-RFQ-0034-V001,PO-RFQ-0034-V001,V001,2024-05-11,2024-05-11,0,True,accepted,False,14237.61,3
DEL-PO-RFQ-0034-V004,PO-RFQ-0034-V004,V004,2024-05-11,2024-05-11,0,True,rejected,False,15224.89,3
DEL-PO-RFQ-0034-V017,PO-RFQ-0034-V017,V017,2024-05-05,2024-05-05,0,True,accepted,False,14445.37,3
DEL-PO-RFQ-0034-V007,PO-RFQ-0034-V007,V007,2024-05-24,2024-05-24,0,True,rejected,False,16233.06,3
DEL-PO-RFQ-0035-V017,PO-RFQ-0035-V017,V017,2024-04-16,2024-04-16,0,True,accepted,False,109619.87,3
DEL-PO-RFQ-0035-V009,PO-RFQ-0035-V009,V009,2024-04-28,2024-04-28,0,True,accepted,False,99796.4,3
DEL-PO-RFQ-0035-V007,PO-RFQ-0035-V007,V007,2024-05-10,2024-05-10,0,True,accepted,False,115409.83,3
DEL-PO-RFQ-0035-V004,PO-RFQ-0035-V004,V004,2024-05-26,2024-05-26,0,True,accepted,True,110800.27,3
DEL-PO-RFQ-0035-V001,PO-RFQ-0035-V001,V001,2024-05-31,2024-05-31,0,True,accepted,False,113037.57,3
DEL-PO-RFQ-0036-V006,PO-RFQ-0036-V006,V006,2024-04-20,2024-04-29,9,False,accepted,False,14840.75,3
DEL-PO-RFQ-0036-V016,PO-RFQ-0036-V016,V016,2024-05-15,2024-05-15,0,True,accepted,False,12232.87,3
DEL-PO-RFQ-0036-V002,PO-RFQ-0036-V002,V002,2024-05-14,2024-05-14,0,True,accepted,False,15497.05,3
DEL-PO-RFQ-0036-V018,PO-RFQ-0036-V018,V018,2024-04-24,2024-05-04,10,False,accepted,False,16872.21,3
DEL-PO-RFQ-0036-V013,PO-RFQ-0036-V013,V013,2024-05-30,2024-05-30,0,True,accepted,False,15790.56,3
DEL-PO-RFQ-0037-V013,PO-RFQ-0037-V013,V013,2024-04-28,2024-04-28,0,True,accepted,False,99304.18,3
DEL-PO-RFQ-0037-V002,PO-RFQ-0037-V002,V002,2024-05-21,2024-05-21,0,True,accepted,False,94856.68,3
DEL-PO-RFQ-0037-V016,PO-RFQ-0037-V016,V016,2024-06-02,2024-06-14,12,False,accepted,False,98845.03,3
DEL-PO-RFQ-0037-V018,PO-RFQ-0037-V018,V018,2024-05-29,2024-05-29,0,True,accepted,False,99626.33,3
DEL-PO-RFQ-0038-V011,PO-RFQ-0038-V011,V011,2024-04-18,2024-04-18,0,True,accepted,False,7715.2,3
DEL-PO-RFQ-0038-V013,PO-RFQ-0038-V013,V013,2024-04-29,2024-04-29,0,True,accepted,False,8927.49,3
DEL-PO-RFQ-0038-V018,PO-RFQ-0038-V018,V018,2024-05-31,2024-05-31,0,True,accepted,False,8874.83,3
DEL-PO-RFQ-0039-V004,PO-RFQ-0039-V004,V004,2024-04-17,2024-04-17,0,True,accepted,False,33892.47,3
DEL-PO-RFQ-0039-V001,PO-RFQ-0039-V001,V001,2024-04-21,2024-04-21,0,True,accepted,False,32775.91,3
DEL-PO-RFQ-0039-V009,PO-RFQ-0039-V009,V009,2024-05-25,2024-05-25,0,True,accepted,False,34253.36,3
DEL-PO-RFQ-0039-V017,PO-RFQ-0039-V017,V017,2024-05-17,2024-05-17,0,True,accepted,False,30854.98,3
DEL-PO-RFQ-0039-V007,PO-RFQ-0039-V007,V007,2024-05-27,2024-05-27,0,True,accepted,False,36388.01,3
DEL-PO-RFQ-0040-V006,PO-RFQ-0040-V006,V006,2024-04-23,2024-04-23,0,True,accepted,False,91992.46,3
DEL-PO-RFQ-0040-V013,PO-RFQ-0040-V013,V013,2024-05-18,2024-05-18,0,True,accepted,False,116198.59,3
DEL-PO-RFQ-0040-V018,PO-RFQ-0040-V018,V018,2024-05-02,2024-05-02,0,True,accepted,False,124800.76,3
DEL-PO-RFQ-0041-V022,PO-RFQ-0041-V022,V022,2024-05-19,2024-06-09,21,False,accepted,False,29086.43,4
DEL-PO-RFQ-0041-V004,PO-RFQ-0041-V004,V004,2024-05-24,2024-05-24,0,True,accepted,False,31232.7,4
DEL-PO-RFQ-0041-V009,PO-RFQ-0041-V009,V009,2024-06-09,2024-06-09,0,True,accepted,True,30994.79,4
DEL-PO-RFQ-0041-V010,PO-RFQ-0041-V010,V010,2024-06-05,2024-06-05,0,True,accepted_with_note,False,29355.02,4
DEL-PO-RFQ-0041-V001,PO-RFQ-0041-V001,V001,2024-06-28,2024-06-28,0,True,accepted_with_note,False,30857.7,4
DEL-PO-RFQ-0042-V001,PO-RFQ-0042-V001,V001,2024-05-18,2024-05-18,0,True,accepted,False,24464.84,4
DEL-PO-RFQ-0042-V024,PO-RFQ-0042-V024,V024,2024-05-18,2024-05-18,0,True,accepted,True,24542.03,4
DEL-PO-RFQ-0042-V017,PO-RFQ-0042-V017,V017,2024-05-22,2024-05-22,0,True,accepted,False,21804.65,4
DEL-PO-RFQ-0042-V007,PO-RFQ-0042-V007,V007,2024-06-03,2024-06-03,0,True,accepted_with_note,False,27652.87,4
DEL-PO-RFQ-0042-V004,PO-RFQ-0042-V004,V004,2024-06-24,2024-06-24,0,True,accepted,False,25543.13,4
DEL-PO-RFQ-0043-V009,PO-RFQ-0043-V009,V009,2024-05-21,2024-05-21,0,True,accepted,False,125768.58,4
DEL-PO-RFQ-0043-V019,PO-RFQ-0043-V019,V019,2024-05-26,2024-05-26,0,True,accepted,False,141059.37,4
DEL-PO-RFQ-0043-V004,PO-RFQ-0043-V004,V004,2024-06-15,2024-06-15,0,True,accepted,False,133911.84,4
DEL-PO-RFQ-0043-V017,PO-RFQ-0043-V017,V017,2024-06-13,2024-06-13,0,True,accepted,False,123342.74,4
DEL-PO-RFQ-0043-V010,PO-RFQ-0043-V010,V010,2024-06-22,2024-06-22,0,True,accepted,False,115173.06,4
DEL-PO-RFQ-0044-V002,PO-RFQ-0044-V002,V002,2024-06-07,2024-06-07,0,True,accepted,False,99260.3,4
DEL-PO-RFQ-0044-V021,PO-RFQ-0044-V021,V021,2024-06-02,2024-06-02,0,True,accepted,True,102159.42,4
DEL-PO-RFQ-0044-V013,PO-RFQ-0044-V013,V013,2024-06-27,2024-07-12,15,False,accepted_with_note,False,99174.69,4
DEL-PO-RFQ-0044-V006,PO-RFQ-0044-V006,V006,2024-06-24,2024-06-24,0,True,accepted,False,93114.44,4
DEL-PO-RFQ-0044-V011,PO-RFQ-0044-V011,V011,2024-06-21,2024-06-21,0,True,accepted,False,91991.08,4
DEL-PO-RFQ-0045-V004,PO-RFQ-0045-V004,V004,2024-05-18,2024-05-18,0,True,accepted,False,29020.87,4
DEL-PO-RFQ-0045-V019,PO-RFQ-0045-V019,V019,2024-05-26,2024-05-26,0,True,accepted,True,31803.02,4
DEL-PO-RFQ-0045-V010,PO-RFQ-0045-V010,V010,2024-06-07,2024-06-17,10,False,accepted_with_note,False,26807.6,4
DEL-PO-RFQ-0045-V001,PO-RFQ-0045-V001,V001,2024-06-27,2024-06-27,0,True,rejected,False,27903.26,4
