so_line_id,sales_order_id,line_no,material_code,description,category,quantity,unit,unit_price_usd,line_value_usd
SO-2024-0027-L04,SO-2024-0027,4,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,29,kg,3.28,95.12
SO-2024-0027-L05,SO-2024-0027,5,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,53,kg,4.28,226.84
SO-2024-0027-L06,SO-2024-0027,6,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,120,pcs,353.92,42470.4
SO-2024-0028-L01,SO-2024-0028,1,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,82,kg,4.25,348.5
SO-2024-0028-L02,SO-2024-0028,2,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,64,pcs,232.09,14853.76
SO-2024-0028-L03,SO-2024-0028,3,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,91,pcs,93.77,8533.07
SO-2024-0028-L04,SO-2024-0028,4,ELEC-3305,Power Supply 24VDC 20A DIN,Electrical Components,65,pcs,122.78,7980.7
SO-2024-0029-L01,SO-2024-0029,1,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,91,MT,717.94,65332.54
SO-2024-0029-L02,SO-2024-0029,2,RAW-4405,HDPE Rod 50mm dia,Raw Materials,108,m,13.19,1424.52
SO-2024-0029-L03,SO-2024-0029,3,ELEC-3305,Power Supply 24VDC 20A DIN,Electrical Components,8,pcs,96.62,772.96
SO-2024-0029-L04,SO-2024-0029,4,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,65,pcs,1833.38,119169.7
SO-2024-0029-L05,SO-2024-0029,5,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,103,pcs,147.55,15197.65
SO-2024-0029-L06,SO-2024-0029,6,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,58,pcs,254.31,14749.98
SO-2024-0030-L01,SO-2024-0030,1,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,119,pcs,108.28,12885.32
SO-2024-0030-L02,SO-2024-0030,2,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,103,pcs,254.27,26189.81
SO-2024-0030-L03,SO-2024-0030,3,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,104,pcs,33.95,3530.8
SO-2024-0030-L04,SO-2024-0030,4,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,27,MT,762.37,20583.99
SO-2024-0030-L05,SO-2024-0030,5,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,94,pcs,400.72,37667.68
SO-2024-0031-L01,SO-2024-0031,1,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,76,pcs,36.34,2761.84
SO-2024-0031-L02,SO-2024-0031,2,RAW-4403,Copper Busbar 40×4mm,Raw Materials,101,m,25.13,2538.13
SO-2024-0031-L03,SO-2024-0031,3,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,83,pcs,20.52,1703.16
SO-2024-0031-L04,SO-2024-0031,4,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,119,MT,735.43,87516.17
SO-2024-0031-L05,SO-2024-0031,5,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,111,pcs,412.55,45793.05
SO-2024-0032-L01,SO-2024-0032,1,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,103,kg,4.44,457.32
SO-2024-0032-L02,SO-2024-0032,2,RAW-4403,Copper Busbar 40×4mm,Raw Materials,67,m,23.01,1541.67
SO-2024-0032-L03,SO-2024-0032,3,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,40,pcs,231.99,9279.6
SO-2024-0032-L04,SO-2024-0032,4,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,96,MT,715.72,68709.12
SO-2024-0032-L05,SO-2024-0032,5,RAW-4405,HDPE Rod 50mm dia,Raw Materials,39,m,14.02,546.78
SO-2024-0033-L01,SO-2024-0033,1,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,58,kg,3.27,189.66
SO-2024-0033-L02,SO-2024-0033,2,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,74,pcs,34.52,2554.48
SO-2024-0033-L03,SO-2024-0033,3,RAW-4405,HDPE Rod 50mm dia,Raw Materials,12,m,13.24,158.88
SO-2024-0033-L04,SO-2024-0033,4,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,58,pcs,229.47,13309.26
SO-2024-0033-L05,SO-2024-0033,5,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,103,pcs,165.44,17040.32
SO-2024-0034-L01,SO-2024-0034,1,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,73,pcs,409.9,29922.7
SO-2024-0034-L02,SO-2024-0034,2,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,74,pcs,1889.96,139857.04
SO-2024-0034-L03,SO-2024-0034,3,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,119,kg,3.55,422.45
SO-2024-0034-L04,SO-2024-0034,4,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,33,pcs,95.37,3147.21
SO-2024-0034-L05,SO-2024-0034,5,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,67,kg,2.93,196.31
SO-2024-0035-L01,SO-2024-0035,1,RAW-4404,Stainless 316L Sheet 2mm,Raw Materials,84,kg,4.39,368.76
SO-2024-0035-L02,SO-2024-0035,2,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,55,pcs,18.74,1030.7
SO-2024-0035-L03,SO-2024-0035,3,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,89,pcs,28.38,2525.82
SO-2024-0036-L01,SO-2024-0036,1,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,46,pcs,388.47,17869.62
SO-2024-0036-L02,SO-2024-0036,2,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,46,kg,3.74,172.04
SO-2024-0036-L03,SO-2024-0036,3,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,117,pcs,98.24,11494.08
SO-2024-0037-L01,SO-2024-0037,1,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,11,kg,3.8,41.8
SO-2024-0037-L02,SO-2024-0037,2,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,49,pcs,357.94,17539.06
SO-2024-0038-L01,SO-2024-0038,1,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,112,pcs,211.02,23634.24
SO-2024-0038-L02,SO-2024-0038,2,RAW-4405,HDPE Rod 50mm dia,Raw Materials,24,m,13.43,322.32
SO-2024-0039-L01,SO-2024-0039,1,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,82,kg,3.45,282.9
SO-2024-0039-L02,SO-2024-0039,2,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,100,kg,4.35,435.0
SO-2024-0039-L03,SO-2024-0039,3,RAW-4403,Copper Busbar 40×4mm,Raw Materials,104,m,24.55,2553.2
SO-2024-0039-L04,SO-2024-0039,4,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,44,pcs,1682.43,74026.92
SO-2024-0039-L05,SO-2024-0039,5,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,8,pcs,41.0,328.0
SO-2024-0040-L01,SO-2024-0040,1,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,111,pcs,166.95,18531.45
SO-2024-0040-L02,SO-2024-0040,2,ELEC-3305,Power Supply 24VDC 20A DIN,Electrical Components,18,pcs,119.4,2149.2
SO-2024-0040-L03,SO-2024-0040,3,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,43,kg,3.67,157.81
SO-2024-0041-L01,SO-2024-0041,1,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,13,pcs,380.48,4946.24
SO-2024-0041-L02,SO-2024-0041,2,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,48,pcs,88.34,4240.32
SO-2024-0041-L03,SO-2024-0041,3,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,58,MT,764.01,44312.58
SO-2024-0041-L04,SO-2024-0041,4,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,18,pcs,1780.06,32041.08
SO-2024-0042-L01,SO-2024-0042,1,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,71,pcs,114.07,8098.97
SO-2024-0042-L02,SO-2024-0042,2,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,39,pcs,36.62,1428.18
SO-2024-0042-L03,SO-2024-0042,3,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,73,kg,3.6,262.8
SO-2024-0043-L01,SO-2024-0043,1,RAW-4404,Stainless 316L Sheet 2mm,Raw Materials,117,kg,4.3,503.1
SO-2024-0043-L02,SO-2024-0043,2,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,101,pcs,233.24,23557.24
SO-2024-0043-L03,SO-2024-0043,3,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,83,pcs,168.39,13976.37
SO-2024-0043-L04,SO-2024-0043,4,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,48,kg,3.25,156.0
SO-2024-0044-L01,SO-2024-0044,1,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,117,pcs,1732.88,202746.96
SO-2024-0044-L02,SO-2024-0044,2,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,6,kg,4.03,24.18
SO-2024-0044-L03,SO-2024-0044,3,ELEC-3305,Power Supply 24VDC 20A DIN,Electrical Components,29,pcs,98.0,2842.0
SO-2024-0044-L04,SO-2024-0044,4,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,97,kg,3.27,317.19
SO-2024-0045-L01,SO-2024-0045,1,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,33,pcs,17.24,568.92
SO-2024-0045-L02,SO-2024-0045,2,RAW-4403,Copper Busbar 40×4mm,Raw Materials,36,m,20.45,736.2
SO-2024-0045-L03,SO-2024-0045,3,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,79,pcs,394.76,31186.04
SO-2024-0045-L04,SO-2024-0045,4,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,75,pcs,163.58,12268.5
SO-2024-0045-L05,SO-2024-0045,5,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,59,kg,4.79,282.61
SO-2024-0046-L01,SO-2024-0046,1,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,97,kg,3.51,340.47
SO-2024-0046-L02,SO-2024-0046,2,RAW-4405,HDPE Rod 50mm dia,Raw Materials,20,m,16.46,329.2
SO-2024-0046-L03,SO-2024-0046,3,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,102,pcs,244.51,24940.02
SO-2024-0046-L04,SO-2024-0046,4,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,29,pcs,152.57,4424.53
SO-2024-0047-L01,SO-2024-0047,1,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,27,kg,3.68,99.36
SO-2024-0047-L02,SO-2024-0047,2,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,95,pcs,163.69,15550.55
SO-2024-0047-L03,SO-2024-0047,3,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,40,pcs,212.28,8491.2
SO-2024-0047-L04,SO-2024-0047,4,RAW-4405,HDPE Rod 50mm dia,Raw Materials,11,m,15.32,168.52
SO-2024-0047-L05,SO-2024-0047,5,RAW-4403,Copper Busbar 40×4mm,Raw Materials,94,m,25.55,2401.7
SO-2024-0047-L06,SO-2024-0047,6,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,86,pcs,1910.54,164306.44
SO-2024-0048-L01,SO-2024-0048,1,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,37,pcs,21.53,796.61
SO-2024-0048-L02,SO-2024-0048,2,RAW-4405,HDPE Rod 50mm dia,Raw Materials,66,m,12.68,836.88
SO-2024-0048-L03,SO-2024-0048,3,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,13,pcs,1770.21,23012.73
SO-2024-0048-L04,SO-2024-0048,4,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,14,pcs,36.08,505.12
SO-2024-0048-L05,SO-2024-0048,5,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,92,pcs,382.14,35156.88
SO-2024-0049-L01,SO-2024-0049,1,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,76,pcs,248.22,18864.72
SO-2024-0049-L02,SO-2024-0049,2,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,82,pcs,165.86,13600.52
SO-2024-0050-L01,SO-2024-0050,1,RAW-4405,HDPE Rod 50mm dia,Raw Materials,44,m,15.41,678.04
SO-2024-0050-L02,SO-2024-0050,2,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,12,pcs,18.88,226.56
SO-2024-0050-L03,SO-2024-0050,3,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,99,kg,3.36,332.64
SO-2024-0050-L04,SO-2024-0050,4,ELEC-3305,Power Supply 24VDC 20A DIN,Electrical Components,102,pcs,102.27,10431.54
SO-2024-0050-L05,SO-2024-0050,5,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,32,pcs,95.15,3044.8
SO-2024-0051-L01,SO-2024-0051,1,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,57,pcs,34.31,1955.67
SO-2024-0051-L02,SO-2024-0051,2,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,81,pcs,398.8,32302.8
SO-2024-0052-L01,SO-2024-0052,1,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,80,pcs,168.14,13451.2
SO-2024-0052-L02,SO-2024-0052,2,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,30,MT,728.26,21847.8
SO-2024-0052-L03,SO-2024-0052,3,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,74,pcs,221.24,16371.76
SO-2024-0052-L04,SO-2024-0052,4,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,24,kg,4.65,111.6
SO-2024-0052-L05,SO-2024-0052,5,RAW-4404,Stainless 316L Sheet 2mm,Raw Materials,110,kg,3.96,435.6
SO-2024-0053-L01,SO-2024-0053,1,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,39,pcs,162.52,6338.28
SO-2024-0053-L02,SO-2024-0053,2,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,68,pcs,17.5,1190.0
SO-2024-0053-L03,SO-2024-0053,3,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,81,kg,2.94,238.14
SO-2024-0053-L04,SO-2024-0053,4,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,60,kg,4.38,262.8
SO-2024-0053-L05,SO-2024-0053,5,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,82,pcs,94.76,7770.32
SO-2024-0054-L01,SO-2024-0054,1,ELEC-3305,Power Supply 24VDC 20A DIN,Electrical Components,65,pcs,113.16,7355.4
