week_start,commodity,unit,categories,price,base_price,shock_premium_pct,shock_flag
2024-11-18,Steel HR Coil,USD/MT,Mechanical Parts|Raw Materials,600.207,738.646,7.88,1
2024-11-25,Steel HR Coil,USD/MT,Mechanical Parts|Raw Materials,610.713,739.975,6.75,1
2024-12-02,Steel HR Coil,USD/MT,Mechanical Parts|Raw Materials,610.556,741.307,5.62,1
2024-12-09,Steel HR Coil,USD/MT,Mechanical Parts|Raw Materials,578.516,742.642,4.5,1
2024-12-16,Steel HR Coil,USD/MT,Mechanical Parts|Raw Materials,577.955,743.978,3.38,1
2024-12-23,Steel HR Coil,USD/MT,Mechanical Parts|Raw Materials,567.19,745.317,2.25,0
2024-12-30,Steel HR Coil,USD/MT,Mechanical Parts|Raw Materials,556.564,746.659,1.88,0
2025-01-06,Steel HR Coil,USD/MT,Mechanical Parts|Raw Materials,563.993,748.003,1.5,0
2025-01-13,Steel HR Coil,USD/MT,Mechanical Parts|Raw Materials,617.373,749.349,8.13,1
2025-01-20,Steel HR Coil,USD/MT,Mechanical Parts|Raw Materials,628.102,750.698,7.31,1
2025-01-27,Steel HR Coil,USD/MT,Mechanical Parts|Raw Materials,611.39,752.05,6.5,1
2025-02-03,Steel HR Coil,USD/MT,Mechanical Parts|Raw Materials,603.128,753.403,5.69,1
2025-02-10,Steel HR Coil,USD/MT,Mechanical Parts|Raw Materials,606.687,754.759,5.25,1
2025-02-17,Steel HR Coil,USD/MT,Mechanical Parts|Raw Materials,619.987,756.118,4.81,1
2025-02-24,Steel HR Coil,USD/MT,Mechanical Parts|Raw Materials,611.114,757.479,4.37,1
2025-03-03,Steel HR Coil,USD/MT,Mechanical Parts|Raw Materials,606.824,758.842,3.94,1
2025-03-10,Steel HR Coil,USD/MT,Mechanical Parts|Raw Materials,588.644,760.208,3.5,1
2025-03-17,Steel HR Coil,USD/MT,Mechanical Parts|Raw Materials,569.682,761.577,3.06,1
2025-03-24,Steel HR Coil,USD/MT,Mechanical Parts|Raw Materials,579.807,762.948,2.63,0
2025-03-31,Steel HR Coil,USD/MT,Mechanical Parts|Raw Materials,597.95,764.321,2.19,0
2025-04-07,Steel HR Coil,USD/MT,Mechanical Parts|Raw Materials,595.39,765.697,1.75,0
2025-04-14,Steel HR Coil,USD/MT,Mechanical Parts|Raw Materials,584.735,767.075,-2.69,0
2025-04-21,Steel HR Coil,USD/MT,Mechanical Parts|Raw Materials,589.935,768.456,-2.87,0
2025-04-28,Steel HR Coil,USD/MT,Mechanical Parts|Raw Materials,580.36,769.839,-3.06,0
2025-05-05,Steel HR Coil,USD/MT,Mechanical Parts|Raw Materials,567.358,771.225,-6.25,0
2025-05-12,Steel HR Coil,USD/MT,Mechanical Parts|Raw Materials,592.949,772.613,-5.81,0
2025-05-19,Steel HR Coil,USD/MT,Mechanical Parts|Raw Materials,596.242,774.003,-5.37,0
2025-05-26,Steel HR Coil,USD/MT,Mechanical Parts|Raw Materials,623.507,775.397,-4.94,0
2025-06-02,Steel HR Coil,USD/MT,Mechanical Parts|Raw Materials,586.48,776.792,-4.5,0
2025-06-09,Steel HR Coil,USD/MT,Mechanical Parts|Raw Materials,602.333,778.191,-4.06,0
2025-06-16,Steel HR Coil,USD/MT,Mechanical Parts|Raw Materials,575.969,779.591,-8.63,0
2025-06-23,Steel HR Coil,USD/MT,Mechanical Parts|Raw Materials,577.401,780.995,-7.87,0
2025-06-30,Steel HR Coil,USD/MT,Mechanical Parts|Raw Materials,584.485,782.4,-7.12,0
2024-01-01,Aluminium 6061,USD/MT,Mechanical Parts|Raw Materials,2355.549,2450.0,0.0,0
2024-01-08,Aluminium 6061,USD/MT,Mechanical Parts|Raw Materials,2348.027,2452.94,0.0,0
2024-01-15,Aluminium 6061,USD/MT,Mechanical Parts|Raw Materials,2367.615,2455.884,0.0,0
2024-01-22,Aluminium 6061,USD/MT,Mechanical Parts|Raw Materials,2440.437,2458.831,0.0,0
2024-01-29,Aluminium 6061,USD/MT,Mechanical Parts|Raw Materials,2418.07,2461.781,0.0,0
2024-02-05,Aluminium 6061,USD/MT,Mechanical Parts|Raw Materials,2381.872,2464.735,0.0,0
2024-02-12,Aluminium 6061,USD/MT,Mechanical Parts|Raw Materials,2360.827,2467.693,0.0,0
2024-02-19,Aluminium 6061,USD/MT,Mechanical Parts|Raw Materials,2406.883,2470.654,0.0,0
2024-02-26,Aluminium 6061,USD/MT,Mechanical Parts|Raw Materials,2425.596,2473.619,0.0,0
2024-03-04,Aluminium 6061,USD/MT,Mechanical Parts|Raw Materials,2402.807,2476.587,0.0,0
2024-03-11,Aluminium 6061,USD/MT,Mechanical Parts|Raw Materials,2430.356,2479.559,0.0,0
2024-03-18,Aluminium 6061,USD/MT,Mechanical Parts|Raw Materials,2437.991,2482.535,0.0,0
2024-03-25,Aluminium 6061,USD/MT,Mechanical Parts|Raw Materials,2488.148,2485.514,0.0,0
2024-04-01,Aluminium 6061,USD/MT,Mechanical Parts|Raw Materials,2456.197,2488.496,0.0,0
2024-04-08,Aluminium 6061,USD/MT,Mechanical Parts|Raw Materials,2443.049,2491.483,0.0,0
2024-04-15,Aluminium 6061,USD/MT,Mechanical Parts|Raw Materials,2426.822,2494.472,0.0,0
2024-04-22,Aluminium 6061,USD/MT,Mechanical Parts|Raw Materials,2358.7,2497.466,0.0,0
2024-04-29,Aluminium 6061,USD/MT,Mechanical Parts|Raw Materials,2375.5,2500.463,0.0,0
2024-05-06,Aluminium 6061,USD/MT,Mechanical Parts|Raw Materials,2390.753,2503.463,0.0,0
2024-05-13,Aluminium 6061,USD/MT,Mechanical Parts|Raw Materials,2561.437,2506.467,7.0,1
2024-05-20,Aluminium 6061,USD/MT,Mechanical Parts|Raw Materials,2542.057,2509.475,6.56,1
2024-05-27,Aluminium 6061,USD/MT,Mechanical Parts|Raw Materials,2462.994,2512.487,6.13,1
2024-06-03,Aluminium 6061,USD/MT,Mechanical Parts|Raw Materials,2435.149,2515.502,5.69,1
2024-06-10,Aluminium 6061,USD/MT,Mechanical Parts|Raw Materials,2411.356,2518.52,5.25,1
2024-06-17,Aluminium 6061,USD/MT,Mechanical Parts|Raw Materials,2365.683,2521.542,4.81,1
2024-06-24,Aluminium 6061,USD/MT,Mechanical Parts|Raw Materials,2351.037,2524.568,4.37,1
2024-07-01,Aluminium 6061,USD/MT,Mechanical Parts|Raw Materials,2362.911,2527.598,3.94,1
2024-07-08,Aluminium 6061,USD/MT,Mechanical Parts|Raw Materials,2562.645,2530.631,8.5,1
2024-07-15,Aluminium 6061,USD/MT,Mechanical Parts|Raw Materials,2556.87,2533.668,7.75,1
2024-07-22,Aluminium 6061,USD/MT,Mechanical Parts|Raw Materials,2555.199,2536.708,7.0,1
2024-07-29,Aluminium 6061,USD/MT,Mechanical Parts|Raw Materials,2536.555,2539.752,6.25,1
2024-08-05,Aluminium 6061,USD/MT,Mechanical Parts|Raw Materials,2425.018,2542.8,5.5,1
2024-08-12,Aluminium 6061,USD/MT,Mechanical Parts|Raw Materials,2409.392,2545.851,4.75,1
2024-08-19,Aluminium 6061,USD/MT,Mechanical Parts|Raw Materials,2397.893,2548.906,4.0,1
2024-08-26,Aluminium 6061,USD/MT,Mechanical Parts|Raw Materials,2500.737,2551.965,3.25,1
2024-09-02,Aluminium 6061,USD/MT,Mechanical Parts|Raw Materials,2765.873,2555.027,14.5,1
2024-09-09,Aluminium 6061,USD/MT,Mechanical Parts|Raw Materials,2760.021,2558.093,13.44,1
2024-09-16,Aluminium 6061,USD/MT,Mechanical Parts|Raw Materials,2735.553,2561.163,12.38,1
2024-09-23,Aluminium 6061,USD/MT,Mechanical Parts|Raw Materials,2649.605,2564.236,11.31,1
2024-09-30,Aluminium 6061,USD/MT,Mechanical Parts|Raw Materials,2687.445,2567.313,10.25,1
2024-10-07,Aluminium 6061,USD/MT,Mechanical Parts|Raw Materials,2704.766,2570.394,9.19,1
2024-10-14,Aluminium 6061,USD/MT,Mechanical Parts|Raw Materials,2875.195,2573.479,14.13,1
2024-10-21,Aluminium 6061,USD/MT,Mechanical Parts|Raw Materials,2790.752,2576.567,12.69,1
2024-10-28,Aluminium 6061,USD/MT,Mechanical Parts|Raw Materials,2835.756,2579.659,11.25,1
2024-11-04,Aluminium 6061,USD/MT,Mechanical Parts|Raw Materials,2731.746,2582.754,10.13,1
2024-11-11,Aluminium 6061,USD/MT,Mechanical Parts|Raw Materials,2738.819,2585.854,9.0,1
2024-11-18,Aluminium 6061,USD/MT,Mechanical Parts|Raw Materials,2832.551,2588.957,7.88,1
2024-11-25,Aluminium 6061,USD/MT,Mechanical Parts|Raw Materials,2750.845,2592.063,6.75,1
2024-12-02,Aluminium 6061,USD/MT,Mechanical Parts|Raw Materials,2694.294,2595.174,5.62,1
2024-12-09,Aluminium 6061,USD/MT,Mechanical Parts|Raw Materials,2674.108,2598.288,4.5,1
2024-12-16,Aluminium 6061,USD/MT,Mechanical Parts|Raw Materials,2621.858,2601.406,3.38,1
2024-12-23,Aluminium 6061,USD/MT,Mechanical Parts|Raw Materials,2516.009,2604.528,2.25,0
2024-12-30,Aluminium 6061,USD/MT,Mechanical Parts|Raw Materials,2513.227,2607.653,1.88,0
2025-01-06,Aluminium 6061,USD/MT,Mechanical Parts|Raw Materials,2453.781,2610.782,1.5,0
2025-01-13,Aluminium 6061,USD/MT,Mechanical Parts|Raw Materials,2641.837,2613.915,8.13,1
2025-01-20,Aluminium 6061,USD/MT,Mechanical Parts|Raw Materials,2576.918,2617.052,7.31,1
2025-01-27,Aluminium 6061,USD/MT,Mechanical Parts|Raw Materials,2639.752,2620.192,6.5,1
2025-02-03,Aluminium 6061,USD/MT,Mechanical Parts|Raw Materials,2581.72,2623.337,5.69,1
2025-02-10,Aluminium 6061,USD/MT,Mechanical Parts|Raw Materials,2557.558,2626.485,5.25,1
2025-02-17,Aluminium 6061,USD/MT,Mechanical Parts|Raw Materials,2591.422,2629.636,4.81,1
2025-02-24,Aluminium 6061,USD/MT,Mechanical Parts|Raw Materials,2520.174,2632.792,4.37,1
2025-03-03,Aluminium 6061,USD/MT,Mechanical Parts|Raw Materials,2524.039,2635.951,3.94,1
2025-03-10,Aluminium 6061,USD/MT,Mechanical Parts|Raw Materials,2582.139,2639.114,3.5,1
2025-03-17,Aluminium 6061,USD/MT,Mechanical Parts|Raw Materials,2491.645,2642.281,3.06,1
2025-03-24,Aluminium 6061,USD/MT,Mechanical Parts|Raw Materials,2493.207,2645.452,2.63,0
2025-03-31,Aluminium 6061,USD/MT,Mechanical Parts|Raw Materials,2498.461,2648.627,2.19,0
2025-04-07,Aluminium 6061,USD/MT,Mechanical Parts|Raw Materials,2529.65,2651.805,1.75,0
2025-04-14,Aluminium 6061,USD/MT,Mechanical Parts|Raw Materials,2362.378,2654.987,-2.69,0
2025-04-21,Aluminium 6061,USD/MT,Mechanical Parts|Raw Materials,2298.388,2658.173,-2.87,0
2025-04-28,Aluminium 6061,USD/MT,Mechanical Parts|Raw Materials,2320.65,2661.363,-3.06,0
2025-05-05,Aluminium 6061,USD/MT,Mechanical Parts|Raw Materials,2260.366,2664.557,-6.25,0
2025-05-12,Aluminium 6061,USD/MT,Mechanical Parts|Raw Materials,2285.016,2667.754,-5.81,0
2025-05-19,Aluminium 6061,USD/MT,Mechanical Parts|Raw Materials,2314.291,2670.955,-5.37,0
2025-05-26,Aluminium 6061,USD/MT,Mechanical Parts|Raw Materials,2296.161,2674.161,-4.94,0
2025-06-02,Aluminium 6061,USD/MT,Mechanical Parts|Raw Materials,2320.211,2677.37,-4.5,0
2025-06-09,Aluminium 6061,USD/MT,Mechanical Parts|Raw Materials,2347.299,2680.582,-4.06,0
2025-06-16,Aluminium 6061,USD/MT,Mechanical Parts|Raw Materials,2206.411,2683.799,-8.63,0
2025-06-23,Aluminium 6061,USD/MT,Mechanical Parts|Raw Materials,2310.199,2687.02,-7.87,0
2025-06-30,Aluminium 6061,USD/MT,Mechanical Parts|Raw Materials,2353.873,2690.244,-7.12,0
2024-01-01,Copper Wire Rod,USD/MT,Electrical Components|Raw Materials,8599.722,8900.0,0.0,0
2024-01-08,Copper Wire Rod,USD/MT,Electrical Components|Raw Materials,8786.307,8917.8,0.0,0
2024-01-15,Copper Wire Rod,USD/MT,Electrical Components|Raw Materials,8546.964,8935.636,0.0,0
2024-01-22,Copper Wire Rod,USD/MT,Electrical Components|Raw Materials,8765.873,8953.507,0.0,0
2024-01-29,Copper Wire Rod,USD/MT,Electrical Components|Raw Materials,9088.088,8971.414,0.0,0
2024-02-05,Copper Wire Rod,USD/MT,Electrical Components|Raw Materials,8882.511,8989.357,0.0,0
2024-02-12,Copper Wire Rod,USD/MT,Electrical Components|Raw Materials,9156.992,9007.335,0.0,0
2024-02-19,Copper Wire Rod,USD/MT,Electrical Components|Raw Materials,9288.701,9025.35,0.0,0
2024-02-26,Copper Wire Rod,USD/MT,Electrical Components|Raw Materials,9536.355,9043.401,0.0,0
2024-03-04,Copper Wire Rod,USD/MT,Electrical Components|Raw Materials,10098.082,9061.488,0.0,0
2024-03-11,Copper Wire Rod,USD/MT,Electrical Components|Raw Materials,10043.94,9079.611,0.0,0
2024-03-18,Copper Wire Rod,USD/MT,Electrical Components|Raw Materials,9836.913,9097.77,0.0,0
2024-03-25,Copper Wire Rod,USD/MT,Electrical Components|Raw Materials,9594.085,9115.965,0.0,0
2024-04-01,Copper Wire Rod,USD/MT,Electrical Components|Raw Materials,10222.526,9134.197,9.0,1
2024-04-08,Copper Wire Rod,USD/MT,Electrical Components|Raw Materials,10166.589,9152.466,8.44,1
2024-04-15,Copper Wire Rod,USD/MT,Electrical Components|Raw Materials,10237.59,9170.771,7.88,1
2024-04-22,Copper Wire Rod,USD/MT,Electrical Components|Raw Materials,10289.112,9189.112,7.31,1
2024-04-29,Copper Wire Rod,USD/MT,Electrical Components|Raw Materials,10509.641,9207.49,6.75,1
2024-05-06,Copper Wire Rod,USD/MT,Electrical Components|Raw Materials,10479.249,9225.905,6.19,1
2024-05-13,Copper Wire Rod,USD/MT,Electrical Components|Raw Materials,11621.431,9244.357,12.62,1
2024-05-20,Copper Wire Rod,USD/MT,Electrical Components|Raw Materials,11449.83,9262.846,11.62,1
2024-05-27,Copper Wire Rod,USD/MT,Electrical Components|Raw Materials,12295.944,9281.372,10.62,1
2024-06-03,Copper Wire Rod,USD/MT,Electrical Components|Raw Materials,12437.872,9299.934,9.62,1
2024-06-10,Copper Wire Rod,USD/MT,Electrical Components|Raw Materials,12032.144,9318.534,8.62,1
2024-06-17,Copper Wire Rod,USD/MT,Electrical Components|Raw Materials,11562.223,9337.171,7.62,1
2024-06-24,Copper Wire Rod,USD/MT,Electrical Components|Raw Materials,11643.501,9355.846,6.62,1
2024-07-01,Copper Wire Rod,USD/MT,Electrical Components|Raw Materials,11480.045,9374.557,5.62,1
2024-07-08,Copper Wire Rod,USD/MT,Electrical Components|Raw Materials,12193.836,9393.306,9.62,1
2024-07-15,Copper Wire Rod,USD/MT,Electrical Components|Raw Materials,12242.985,9412.093,8.31,1
2024-07-22,Copper Wire Rod,USD/MT,Electrical Components|Raw Materials,12092.392,9430.917,7.0,1
2024-07-29,Copper Wire Rod,USD/MT,Electrical Components|Raw Materials,11726.608,9449.779,6.25,1
2024-08-05,Copper Wire Rod,USD/MT,Electrical Components|Raw Materials,11137.96,9468.679,5.5,1
2024-08-12,Copper Wire Rod,USD/MT,Electrical Components|Raw Materials,10932.761,9487.616,4.75,1
2024-08-19,Copper Wire Rod,USD/MT,Electrical Components|Raw Materials,11155.065,9506.591,4.0,1
2024-08-26,Copper Wire Rod,USD/MT,Electrical Components|Raw Materials,11167.9,9525.604,3.25,1
2024-09-02,Copper Wire Rod,USD/MT,Electrical Components|Raw Materials,11946.666,9544.656,14.5,1
2024-09-09,Copper Wire Rod,USD/MT,Electrical Components|Raw Materials,11920.971,9563.745,13.44,1
2024-09-16,Copper Wire Rod,USD/MT,Electrical Components|Raw Materials,11969.443,9582.872,12.38,1
2024-09-23,Copper Wire Rod,USD/MT,Electrical Components|Raw Materials,11565.607,9602.038,11.31,1
2024-09-30,Copper Wire Rod,USD/MT,Electrical Components|Raw Materials,11530.95,9621.242,10.25,1
2024-10-07,Copper Wire Rod,USD/MT,Electrical Components|Raw Materials,11462.606,9640.485,9.19,1
2024-10-14,Copper Wire Rod,USD/MT,Electrical Components|Raw Materials,11594.095,9659.766,14.13,1
2024-10-21,Copper Wire Rod,USD/MT,Electrical Components|Raw Materials,11593.833,9679.085,12.69,1
2024-10-28,Copper Wire Rod,USD/MT,Electrical Components|Raw Materials,11661.389,9698.443,11.25,1
2024-11-04,Copper Wire Rod,USD/MT,Electrical Components|Raw Materials,11941.617,9717.84,10.13,1
2024-11-11,Copper Wire Rod,USD/MT,Electrical Components|Raw Materials,12216.931,9737.276,9.0,1
2024-11-18,Copper Wire Rod,USD/MT,Electrical Components|Raw Materials,11615.305,9756.75,7.88,1
2024-11-25,Copper Wire Rod,USD/MT,Electrical Components|Raw Materials,11193.775,9776.264,6.75,1
2024-12-02,Copper Wire Rod,USD/MT,Electrical Components|Raw Materials,11269.092,9795.816,5.62,1
2024-12-09,Copper Wire Rod,USD/MT,Electrical Components|Raw Materials,11343.211,9815.408,4.5,1
2024-12-16,Copper Wire Rod,USD/MT,Electrical Components|Raw Materials,11416.92,9835.039,3.38,1
2024-12-23,Copper Wire Rod,USD/MT,Electrical Components|Raw Materials,12620.487,9854.709,2.25,0
2024-12-30,Copper Wire Rod,USD/MT,Electrical Components|Raw Materials,12814.705,9874.418,1.88,0
2025-01-06,Copper Wire Rod,USD/MT,Electrical Components|Raw Materials,13228.02,9894.167,1.5,0
2025-01-13,Copper Wire Rod,USD/MT,Electrical Components|Raw Materials,14522.906,9913.956,8.13,1
2025-01-20,Copper Wire Rod,USD/MT,Electrical Components|Raw Materials,14724.272,9933.784,7.31,1
2025-01-27,Copper Wire Rod,USD/MT,Electrical Components|Raw Materials,14503.806,9953.651,6.5,1
2025-02-03,Copper Wire Rod,USD/MT,Electrical Components|Raw Materials,14749.66,9973.558,5.69,1
2025-02-10,Copper Wire Rod,USD/MT,Electrical Components|Raw Materials,14377.429,9993.505,5.25,1
2025-02-17,Copper Wire Rod,USD/MT,Electrical Components|Raw Materials,14244.58,10013.493,4.81,1
2025-02-24,Copper Wire Rod,USD/MT,Electrical Components|Raw Materials,14006.943,10033.519,4.37,1
2025-03-03,Copper Wire Rod,USD/MT,Electrical Components|Raw Materials,14010.388,10053.587,3.94,1
2025-03-10,Copper Wire Rod,USD/MT,Electrical Components|Raw Materials,17547.77,10073.694,21.5,1
2025-03-17,Copper Wire Rod,USD/MT,Electrical Components|Raw Materials,16386.399,10093.841,19.94,1
2025-03-24,Copper Wire Rod,USD/MT,Electrical Components|Raw Materials,16538.234,10114.029,18.38,1
2025-03-31,Copper Wire Rod,USD/MT,Electrical Components|Raw Materials,15562.994,10134.257,16.81,1
2025-04-07,Copper Wire Rod,USD/MT,Electrical Components|Raw Materials,15168.138,10154.525,15.25,1
2025-04-14,Copper Wire Rod,USD/MT,Electrical Components|Raw Materials,14936.53,10174.834,9.69,1
2025-04-21,Copper Wire Rod,USD/MT,Electrical Components|Raw Materials,14815.777,10195.184,8.38,1
2025-04-28,Copper Wire Rod,USD/MT,Electrical Components|Raw Materials,14192.392,10215.574,7.06,1
2025-05-05,Copper Wire Rod,USD/MT,Electrical Components|Raw Materials,13355.672,10236.006,2.75,0
2025-05-12,Copper Wire Rod,USD/MT,Electrical Components|Raw Materials,13563.315,10256.478,2.06,0
2025-05-19,Copper Wire Rod,USD/MT,Electrical Components|Raw Materials,13203.711,10276.991,1.37,0
2025-05-26,Copper Wire Rod,USD/MT,Electrical Components|Raw Materials,13225.556,10297.545,0.69,0
2025-06-02,Copper Wire Rod,USD/MT,Electrical Components|Raw Materials,13179.479,10318.14,0.0,0
2025-06-09,Copper Wire Rod,USD/MT,Electrical Components|Raw Materials,12859.187,10338.776,-0.69,0
2025-06-16,Copper Wire Rod,USD/MT,Electrical Components|Raw Materials,12926.718,10359.453,-6.38,0
2025-06-23,Copper Wire Rod,USD/MT,Electrical Components|Raw Materials,13145.543,10380.172,-6.75,0
2025-06-30,Copper Wire Rod,USD/MT,Electrical Components|Raw Materials,12323.428,10400.933,-7.12,0
2024-01-01,Neodymium Magnets,USD/KG,Electrical Components,68.775,68.0,0.0,0
2024-01-08,Neodymium Magnets,USD/KG,Electrical Components,66.933,68.204,0.0,0
2024-01-15,Neodymium Magnets,USD/KG,Electrical Components,69.701,68.409,0.0,0
2024-01-22,Neodymium Magnets,USD/KG,Electrical Components,67.424,68.614,0.0,0
2024-01-29,Neodymium Magnets,USD/KG,Electrical Components,67.279,68.82,0.0,0
2024-02-05,Neodymium Magnets,USD/KG,Electrical Components,69.009,69.026,0.0,0
2024-02-12,Neodymium Magnets,USD/KG,Electrical Components,71.905,69.233,0.0,0
2024-02-19,Neodymium Magnets,USD/KG,Electrical Components,68.237,69.441,0.0,0
2024-02-26,Neodymium Magnets,USD/KG,Electrical Components,67.414,69.649,0.0,0
2024-03-04,Neodymium Magnets,USD/KG,Electrical Components,66.176,69.858,0.0,0
2024-03-11,Neodymium Magnets,USD/KG,Electrical Components,64.429,70.068,0.0,0
2024-03-18,Neodymium Magnets,USD/KG,Electrical Components,69.741,70.278,0.0,0
2024-03-25,Neodymium Magnets,USD/KG,Electrical Components,71.221,70.489,0.0,0
2024-04-01,Neodymium Magnets,USD/KG,Electrical Components,73.459,70.7,9.0,1
2024-04-08,Neodymium Magnets,USD/KG,Electrical Components,76.317,70.912,8.44,1
2024-04-15,Neodymium Magnets,USD/KG,Electrical Components,83.399,71.125,7.88,1
2024-04-22,Neodymium Magnets,USD/KG,Electrical Components,87.068,71.338,7.31,1
2024-04-29,Neodymium Magnets,USD/KG,Electrical Components,80.95,71.552,6.75,1
2024-05-06,Neodymium Magnets,USD/KG,Electrical Components,79.01,71.767,6.19,1
2024-05-13,Neodymium Magnets,USD/KG,Electrical Components,83.308,71.982,5.62,1
2024-05-20,Neodymium Magnets,USD/KG,Electrical Components,80.474,72.198,5.06,1
2024-05-27,Neodymium Magnets,USD/KG,Electrical Components,81.882,72.415,4.5,1
2024-06-03,Neodymium Magnets,USD/KG,Electrical Components,84.524,72.632,3.94,1
2024-06-10,Neodymium Magnets,USD/KG,Electrical Components,80.813,72.85,3.37,1
2024-06-17,Neodymium Magnets,USD/KG,Electrical Components,80.399,73.069,2.81,0
2024-06-24,Neodymium Magnets,USD/KG,Electrical Components,68.536,73.288,2.25,0
2024-07-01,Neodymium Magnets,USD/KG,Electrical Components,65.222,73.508,1.69,0
2024-07-08,Neodymium Magnets,USD/KG,Electrical Components,64.318,73.728,1.12,0
2024-07-15,Neodymium Magnets,USD/KG,Electrical Components,60.561,73.949,0.56,0
2024-07-22,Neodymium Magnets,USD/KG,Electrical Components,64.827,74.171,0.0,0
