burden_id,rfq_id,vendor_id,responded,clarification_rounds,days_to_respond,spec_complete_flag,bid_submitted,month_index
BUR-RFQ-0005-V016,RFQ-0005,V016,True,1,13.0,True,True,0
BUR-RFQ-0005-V018,RFQ-0005,V018,True,0,13.0,True,True,0
BUR-RFQ-0005-V002,RFQ-0005,V002,True,0,14.0,True,True,0
BUR-RFQ-0005-V011,RFQ-0005,V011,True,1,12.0,False,True,0
BUR-RFQ-0005-V006,RFQ-0005,V006,False,0,,False,False,0
BUR-RFQ-0005-V021,RFQ-0005,V021,False,0,,True,False,0
BUR-RFQ-0005-V013,RFQ-0005,V013,True,0,11.0,True,True,0
BUR-RFQ-0006-V016,RFQ-0006,V016,True,2,12.0,True,True,0
BUR-RFQ-0006-V006,RFQ-0006,V006,True,1,11.0,True,True,0
BUR-RFQ-0006-V021,RFQ-0006,V021,False,0,,False,False,0
BUR-RFQ-0006-V018,RFQ-0006,V018,True,0,14.0,True,True,0
BUR-RFQ-0006-V002,RFQ-0006,V002,True,0,12.0,True,True,0
BUR-RFQ-0006-V013,RFQ-0006,V013,False,0,,True,False,0
BUR-RFQ-0006-V011,RFQ-0006,V011,True,2,11.0,True,True,0
BUR-RFQ-0007-V018,RFQ-0007,V018,True,1,13.0,False,True,0
BUR-RFQ-0007-V011,RFQ-0007,V011,True,1,12.0,False,True,0
BUR-RFQ-0007-V006,RFQ-0007,V006,True,2,13.0,True,True,0
BUR-RFQ-0007-V002,RFQ-0007,V002,True,0,12.0,True,True,0
BUR-RFQ-0007-V013,RFQ-0007,V013,True,0,14.0,True,True,0
BUR-RFQ-0007-V016,RFQ-0007,V016,True,1,14.0,True,True,0
BUR-RFQ-0007-V021,RFQ-0007,V021,False,0,,True,False,0
BUR-RFQ-0008-V002,RFQ-0008,V002,True,0,4.0,True,True,0
BUR-RFQ-0008-V018,RFQ-0008,V018,True,0,5.0,True,True,0
BUR-RFQ-0008-V016,RFQ-0008,V016,False,0,,True,False,0
BUR-RFQ-0008-V006,RFQ-0008,V006,True,2,7.0,False,True,0
BUR-RFQ-0008-V013,RFQ-0008,V013,True,0,6.0,True,True,0
BUR-RFQ-0008-V011,RFQ-0008,V011,False,0,,True,False,0
BUR-RFQ-0008-V021,RFQ-0008,V021,False,0,,True,False,0
BUR-RFQ-0009-V011,RFQ-0009,V011,True,2,6.0,True,True,0
BUR-RFQ-0009-V018,RFQ-0009,V018,True,1,5.0,False,True,0
BUR-RFQ-0009-V013,RFQ-0009,V013,False,0,,True,False,0
BUR-RFQ-0009-V002,RFQ-0009,V002,True,0,4.0,True,True,0
BUR-RFQ-0009-V006,RFQ-0009,V006,True,2,6.0,True,True,0
BUR-RFQ-0009-V016,RFQ-0009,V016,False,0,,True,False,0
BUR-RFQ-0009-V021,RFQ-0009,V021,False,0,,True,False,0
BUR-RFQ-0010-V019,RFQ-0010,V019,True,0,11.0,True,True,0
BUR-RFQ-0010-V004,RFQ-0010,V004,True,0,11.0,True,True,0
BUR-RFQ-0010-V010,RFQ-0010,V010,True,1,13.0,False,True,0
BUR-RFQ-0010-V007,RFQ-0010,V007,True,0,13.0,True,True,0
BUR-RFQ-0010-V001,RFQ-0010,V001,True,0,12.0,True,True,0
BUR-RFQ-0010-V017,RFQ-0010,V017,True,1,12.0,False,True,0
BUR-RFQ-0010-V009,RFQ-0010,V009,True,0,12.0,True,True,0
BUR-RFQ-0010-V022,RFQ-0010,V022,False,0,,True,False,0
BUR-RFQ-0011-V003,RFQ-0011,V003,True,0,10.0,True,True,1
BUR-RFQ-0011-V012,RFQ-0011,V012,True,0,8.0,True,True,1
BUR-RFQ-0011-V015,RFQ-0011,V015,False,0,,True,False,1
BUR-RFQ-0011-V008,RFQ-0011,V008,True,0,8.0,True,True,1
BUR-RFQ-0011-V014,RFQ-0011,V014,False,0,,True,False,1
BUR-RFQ-0011-V020,RFQ-0011,V020,True,2,10.0,False,True,1
BUR-RFQ-0011-V005,RFQ-0011,V005,True,0,11.0,True,True,1
BUR-RFQ-0011-V023,RFQ-0011,V023,False,0,,True,False,1
BUR-RFQ-0012-V018,RFQ-0012,V018,True,2,3.0,False,True,1
BUR-RFQ-0012-V002,RFQ-0012,V002,False,0,,True,False,1
BUR-RFQ-0012-V013,RFQ-0012,V013,True,2,2.0,False,True,1
BUR-RFQ-0012-V016,RFQ-0012,V016,True,1,3.0,True,True,1
BUR-RFQ-0012-V006,RFQ-0012,V006,False,0,,True,False,1
BUR-RFQ-0012-V011,RFQ-0012,V011,True,2,2.0,True,True,1
BUR-RFQ-0012-V021,RFQ-0012,V021,False,0,,True,False,1
BUR-RFQ-0013-V017,RFQ-0013,V017,True,0,7.0,True,True,1
BUR-RFQ-0013-V001,RFQ-0013,V001,True,0,7.0,True,True,1
BUR-RFQ-0013-V007,RFQ-0013,V007,True,0,7.0,True,True,1
BUR-RFQ-0013-V009,RFQ-0013,V009,False,0,,True,False,1
BUR-RFQ-0013-V004,RFQ-0013,V004,True,0,6.0,True,True,1
BUR-RFQ-0013-V019,RFQ-0013,V019,True,1,4.0,False,True,1
BUR-RFQ-0013-V010,RFQ-0013,V010,True,0,5.0,True,True,1
BUR-RFQ-0013-V022,RFQ-0013,V022,False,0,,True,False,1
BUR-RFQ-0014-V006,RFQ-0014,V006,True,2,4.0,True,True,1
BUR-RFQ-0014-V002,RFQ-0014,V002,True,0,5.0,True,True,1
BUR-RFQ-0014-V013,RFQ-0014,V013,True,0,5.0,True,True,1
BUR-RFQ-0014-V016,RFQ-0014,V016,True,1,6.0,True,True,1
BUR-RFQ-0014-V018,RFQ-0014,V018,True,0,7.0,True,True,1
BUR-RFQ-0014-V011,RFQ-0014,V011,True,2,5.0,True,True,1
BUR-RFQ-0014-V021,RFQ-0014,V021,False,0,,True,False,1
BUR-RFQ-0015-V016,RFQ-0015,V016,False,0,,True,False,1
BUR-RFQ-0015-V018,RFQ-0015,V018,True,0,13.0,True,True,1
BUR-RFQ-0015-V006,RFQ-0015,V006,True,2,11.0,True,True,1
BUR-RFQ-0015-V013,RFQ-0015,V013,True,0,12.0,True,True,1
BUR-RFQ-0015-V011,RFQ-0015,V011,False,0,,True,False,1
BUR-RFQ-0015-V002,RFQ-0015,V002,True,0,11.0,True,True,1
BUR-RFQ-0015-V021,RFQ-0015,V021,False,0,,True,False,1
BUR-RFQ-0016-V016,RFQ-0016,V016,True,1,13.0,True,True,1
BUR-RFQ-0016-V002,RFQ-0016,V002,True,0,10.0,True,True,1
BUR-RFQ-0016-V013,RFQ-0016,V013,False,0,,True,False,1
BUR-RFQ-0016-V011,RFQ-0016,V011,True,2,10.0,True,True,1
BUR-RFQ-0016-V018,RFQ-0016,V018,False,0,,False,False,1
BUR-RFQ-0016-V006,RFQ-0016,V006,False,0,,True,False,1
BUR-RFQ-0016-V021,RFQ-0016,V021,False,0,,False,False,1
BUR-RFQ-0017-V008,RFQ-0017,V008,True,0,7.0,True,True,1
BUR-RFQ-0017-V014,RFQ-0017,V014,True,2,9.0,False,True,1
BUR-RFQ-0017-V005,RFQ-0017,V005,True,0,7.0,True,True,1
BUR-RFQ-0017-V003,RFQ-0017,V003,False,0,,True,False,1
BUR-RFQ-0017-V020,RFQ-0017,V020,True,0,8.0,True,True,1
BUR-RFQ-0017-V012,RFQ-0017,V012,True,0,6.0,True,True,1
BUR-RFQ-0017-V015,RFQ-0017,V015,True,1,9.0,False,True,1
BUR-RFQ-0017-V023,RFQ-0017,V023,False,0,,True,False,1
BUR-RFQ-0018-V001,RFQ-0018,V001,True,1,8.0,False,True,1
BUR-RFQ-0018-V004,RFQ-0018,V004,True,1,8.0,False,True,1
BUR-RFQ-0018-V019,RFQ-0018,V019,True,1,6.0,False,True,1
BUR-RFQ-0018-V009,RFQ-0018,V009,False,0,,True,False,1
BUR-RFQ-0018-V017,RFQ-0018,V017,False,0,,True,False,1
BUR-RFQ-0018-V007,RFQ-0018,V007,True,0,6.0,True,True,1
BUR-RFQ-0018-V010,RFQ-0018,V010,False,0,,True,False,1
BUR-RFQ-0018-V022,RFQ-0018,V022,False,0,,False,False,1
BUR-RFQ-0019-V018,RFQ-0019,V018,True,0,6.0,True,True,1
BUR-RFQ-0019-V006,RFQ-0019,V006,True,1,6.0,False,True,1
BUR-RFQ-0019-V013,RFQ-0019,V013,True,0,7.0,True,True,1
BUR-RFQ-0019-V016,RFQ-0019,V016,False,0,,True,False,1
BUR-RFQ-0019-V011,RFQ-0019,V011,True,1,6.0,True,True,1
BUR-RFQ-0019-V002,RFQ-0019,V002,True,0,7.0,True,True,1
BUR-RFQ-0019-V021,RFQ-0019,V021,False,0,,True,False,1
BUR-RFQ-0020-V006,RFQ-0020,V006,True,1,10.0,True,True,1
BUR-RFQ-0020-V002,RFQ-0020,V002,True,0,9.0,True,True,1
BUR-RFQ-0020-V016,RFQ-0020,V016,True,1,10.0,True,True,1
BUR-RFQ-0020-V018,RFQ-0020,V018,True,2,10.0,False,True,1
BUR-RFQ-0020-V011,RFQ-0020,V011,False,0,,True,False,1
BUR-RFQ-0020-V013,RFQ-0020,V013,True,2,8.0,False,True,1
BUR-RFQ-0020-V021,RFQ-0020,V021,False,0,,False,False,1
BUR-RFQ-0021-V019,RFQ-0021,V019,True,0,10.0,True,True,2
BUR-RFQ-0021-V004,RFQ-0021,V004,True,0,8.0,True,True,2
BUR-RFQ-0021-V017,RFQ-0021,V017,True,0,9.0,True,True,2
BUR-RFQ-0021-V001,RFQ-0021,V001,True,0,8.0,True,True,2
BUR-RFQ-0021-V007,RFQ-0021,V007,True,0,10.0,True,True,2
BUR-RFQ-0021-V010,RFQ-0021,V010,True,0,10.0,True,True,2
BUR-RFQ-0021-V009,RFQ-0021,V009,True,0,10.0,True,True,2
BUR-RFQ-0021-V024,RFQ-0021,V024,False,0,,True,False,2
BUR-RFQ-0022-V019,RFQ-0022,V019,False,0,,False,False,2
BUR-RFQ-0022-V007,RFQ-0022,V007,True,0,14.0,True,True,2
BUR-RFQ-0022-V009,RFQ-0022,V009,True,0,13.0,True,True,2
BUR-RFQ-0022-V004,RFQ-0022,V004,True,1,12.0,False,True,2
BUR-RFQ-0022-V010,RFQ-0022,V010,True,0,11.0,True,True,2
BUR-RFQ-0022-V001,RFQ-0022,V001,False,0,,True,False,2
BUR-RFQ-0022-V017,RFQ-0022,V017,True,0,14.0,True,True,2
BUR-RFQ-0022-V022,RFQ-0022,V022,False,0,,True,False,2
BUR-RFQ-0023-V010,RFQ-0023,V010,True,0,13.0,True,True,2
BUR-RFQ-0023-V007,RFQ-0023,V007,True,0,12.0,True,True,2
BUR-RFQ-0023-V001,RFQ-0023,V001,True,0,14.0,True,True,2
BUR-RFQ-0023-V019,RFQ-0023,V019,True,0,13.0,True,True,2
BUR-RFQ-0023-V017,RFQ-0023,V017,True,0,14.0,True,True,2
BUR-RFQ-0023-V004,RFQ-0023,V004,True,0,12.0,True,True,2
BUR-RFQ-0023-V009,RFQ-0023,V009,True,1,13.0,False,True,2
BUR-RFQ-0023-V022,RFQ-0023,V022,False,0,,False,False,2
BUR-RFQ-0024-V001,RFQ-0024,V001,False,0,,True,False,2
BUR-RFQ-0024-V017,RFQ-0024,V017,True,0,8.0,True,True,2
BUR-RFQ-0024-V009,RFQ-0024,V009,True,0,6.0,True,True,2
BUR-RFQ-0024-V004,RFQ-0024,V004,True,2,6.0,False,True,2
BUR-RFQ-0024-V019,RFQ-0024,V019,True,2,6.0,False,True,2
BUR-RFQ-0024-V007,RFQ-0024,V007,False,0,,True,False,2
BUR-RFQ-0024-V010,RFQ-0024,V010,True,0,9.0,True,True,2
BUR-RFQ-0024-V024,RFQ-0024,V024,False,0,,False,False,2
BUR-RFQ-0025-V002,RFQ-0025,V002,True,1,13.0,False,True,2
BUR-RFQ-0025-V016,RFQ-0025,V016,True,1,13.0,True,True,2
BUR-RFQ-0025-V006,RFQ-0025,V006,True,1,12.0,True,True,2
BUR-RFQ-0025-V018,RFQ-0025,V018,True,2,13.0,False,True,2
BUR-RFQ-0025-V011,RFQ-0025,V011,False,0,,True,False,2
BUR-RFQ-0025-V021,RFQ-0025,V021,False,0,,True,False,2
BUR-RFQ-0025-V013,RFQ-0025,V013,True,0,11.0,True,True,2
BUR-RFQ-0026-V016,RFQ-0026,V016,False,0,,True,False,2
BUR-RFQ-0026-V013,RFQ-0026,V013,True,2,12.0,False,True,2
BUR-RFQ-0026-V018,RFQ-0026,V018,True,0,12.0,True,True,2
BUR-RFQ-0026-V002,RFQ-0026,V002,True,2,13.0,False,True,2
BUR-RFQ-0026-V006,RFQ-0026,V006,True,2,11.0,False,True,2
BUR-RFQ-0026-V011,RFQ-0026,V011,True,2,14.0,True,True,2
BUR-RFQ-0026-V021,RFQ-0026,V021,False,0,,True,False,2
BUR-RFQ-0027-V010,RFQ-0027,V010,True,0,11.0,True,True,2
BUR-RFQ-0027-V001,RFQ-0027,V001,True,1,11.0,False,True,2
BUR-RFQ-0027-V017,RFQ-0027,V017,True,0,13.0,True,True,2
BUR-RFQ-0027-V007,RFQ-0027,V007,True,2,12.0,False,True,2
BUR-RFQ-0027-V009,RFQ-0027,V009,True,0,12.0,True,True,2
BUR-RFQ-0027-V004,RFQ-0027,V004,True,0,11.0,True,True,2
BUR-RFQ-0027-V019,RFQ-0027,V019,True,0,12.0,True,True,2
BUR-RFQ-0027-V024,RFQ-0027,V024,False,0,,False,False,2
BUR-RFQ-0028-V006,RFQ-0028,V006,False,0,,False,False,2
BUR-RFQ-0028-V013,RFQ-0028,V013,True,0,9.0,True,True,2
BUR-RFQ-0028-V011,RFQ-0028,V011,True,2,6.0,True,True,2
BUR-RFQ-0028-V016,RFQ-0028,V016,True,1,9.0,True,True,2
BUR-RFQ-0028-V018,RFQ-0028,V018,True,0,7.0,True,True,2
BUR-RFQ-0028-V002,RFQ-0028,V002,True,0,7.0,True,True,2
BUR-RFQ-0028-V021,RFQ-0028,V021,False,0,,False,False,2
BUR-RFQ-0029-V020,RFQ-0029,V020,True,0,7.0,True,True,2
BUR-RFQ-0029-V015,RFQ-0029,V015,True,2,5.0,False,True,2
BUR-RFQ-0029-V023,RFQ-0029,V023,False,0,,True,False,2
BUR-RFQ-0029-V012,RFQ-0029,V012,False,0,,True,False,2
BUR-RFQ-0029-V003,RFQ-0029,V003,False,0,,True,False,2
BUR-RFQ-0029-V008,RFQ-0029,V008,True,0,6.0,True,True,2
BUR-RFQ-0029-V005,RFQ-0029,V005,True,0,7.0,True,True,2
BUR-RFQ-0029-V014,RFQ-0029,V014,False,0,,False,False,2
BUR-RFQ-0030-V009,RFQ-0030,V009,True,0,14.0,True,True,2
BUR-RFQ-0030-V010,RFQ-0030,V010,False,0,,True,False,2
BUR-RFQ-0030-V001,RFQ-0030,V001,True,0,13.0,True,True,2
BUR-RFQ-0030-V019,RFQ-0030,V019,True,2,12.0,False,True,2
BUR-RFQ-0030-V004,RFQ-0030,V004,True,0,14.0,True,True,2
BUR-RFQ-0030-V017,RFQ-0030,V017,True,0,14.0,True,True,2
BUR-RFQ-0030-V022,RFQ-0030,V022,False,0,,False,False,2
BUR-RFQ-0030-V024,RFQ-0030,V024,False,0,,True,False,2
BUR-RFQ-0031-V013,RFQ-0031,V013,True,2,8.0,False,True,3
BUR-RFQ-0031-V006,RFQ-0031,V006,True,2,7.0,True,True,3
BUR-RFQ-0031-V018,RFQ-0031,V018,True,0,7.0,True,True,3
BUR-RFQ-0031-V002,RFQ-0031,V002,True,0,6.0,True,True,3
BUR-RFQ-0031-V011,RFQ-0031,V011,False,0,,False,False,3
BUR-RFQ-0031-V016,RFQ-0031,V016,False,0,,True,False,3
BUR-RFQ-0031-V021,RFQ-0031,V021,False,0,,True,False,3
BUR-RFQ-0032-V001,RFQ-0032,V001,True,0,11.0,True,True,3
BUR-RFQ-0032-V017,RFQ-0032,V017,True,0,11.0,True,True,3
BUR-RFQ-0032-V007,RFQ-0032,V007,False,0,,True,False,3
BUR-RFQ-0032-V009,RFQ-0032,V009,True,0,11.0,True,True,3
BUR-RFQ-0032-V019,RFQ-0032,V019,True,0,13.0,True,True,3
BUR-RFQ-0032-V004,RFQ-0032,V004,True,0,14.0,True,True,3
BUR-RFQ-0032-V010,RFQ-0032,V010,True,0,14.0,True,True,3
BUR-RFQ-0032-V024,RFQ-0032,V024,False,0,,False,False,3
BUR-RFQ-0033-V013,RFQ-0033,V013,True,0,13.0,True,True,3
BUR-RFQ-0033-V011,RFQ-0033,V011,False,0,,True,False,3
BUR-RFQ-0033-V002,RFQ-0033,V002,True,0,11.0,True,True,3
BUR-RFQ-0033-V016,RFQ-0033,V016,True,1,10.0,True,True,3
BUR-RFQ-0033-V018,RFQ-0033,V018,True,1,10.0,False,True,3
BUR-RFQ-0033-V006,RFQ-0033,V006,True,2,11.0,True,True,3
BUR-RFQ-0033-V021,RFQ-0033,V021,False,0,,True,False,3
BUR-RFQ-0034-V001,RFQ-0034,V001,True,0,8.0,True,True,3
BUR-RFQ-0034-V007,RFQ-0034,V007,True,0,9.0,True,True,3
BUR-RFQ-0034-V019,RFQ-0034,V019,False,0,,True,False,3
BUR-RFQ-0034-V010,RFQ-0034,V010,True,0,8.0,True,True,3
BUR-RFQ-0034-V004,RFQ-0034,V004,True,0,9.0,True,True,3
BUR-RFQ-0034-V017,RFQ-0034,V017,True,0,10.0,True,True,3
BUR-RFQ-0034-V009,RFQ-0034,V009,True,0,8.0,True,True,3
BUR-RFQ-0034-V022,RFQ-0034,V022,False,0,,False,False,3
BUR-RFQ-0035-V009,RFQ-0035,V009,True,0,6.0,True,True,3
BUR-RFQ-0035-V019,RFQ-0035,V019,True,0,6.0,True,True,3
BUR-RFQ-0035-V007,RFQ-0035,V007,True,0,7.0,True,True,3
BUR-RFQ-0035-V017,RFQ-0035,V017,True,0,8.0,True,True,3
BUR-RFQ-0035-V004,RFQ-0035,V004,True,0,6.0,True,True,3
BUR-RFQ-0035-V010,RFQ-0035,V010,True,0,7.0,True,True,3
BUR-RFQ-0035-V001,RFQ-0035,V001,True,0,7.0,True,True,3
BUR-RFQ-0035-V022,RFQ-0035,V022,False,0,,True,False,3
BUR-RFQ-0036-V002,RFQ-0036,V002,True,0,7.0,True,True,3
BUR-RFQ-0036-V018,RFQ-0036,V018,True,0,7.0,True,True,3
BUR-RFQ-0036-V006,RFQ-0036,V006,True,1,6.0,True,True,3
BUR-RFQ-0036-V011,RFQ-0036,V011,False,0,,True,False,3
BUR-RFQ-0036-V013,RFQ-0036,V013,True,0,7.0,True,True,3
BUR-RFQ-0036-V016,RFQ-0036,V016,True,1,7.0,True,True,3
BUR-RFQ-0036-V021,RFQ-0036,V021,False,0,,True,False,3
BUR-RFQ-0037-V013,RFQ-0037,V013,True,1,6.0,False,True,3
BUR-RFQ-0037-V002,RFQ-0037,V002,True,0,7.0,True,True,3
BUR-RFQ-0037-V016,RFQ-0037,V016,True,2,6.0,True,True,3
BUR-RFQ-0037-V006,RFQ-0037,V006,False,0,,False,False,3
BUR-RFQ-0037-V011,RFQ-0037,V011,False,0,,True,False,3
BUR-RFQ-0037-V018,RFQ-0037,V018,True,0,9.0,True,True,3
BUR-RFQ-0037-V021,RFQ-0037,V021,False,0,,True,False,3
BUR-RFQ-0038-V006,RFQ-0038,V006,False,0,,True,False,3
BUR-RFQ-0038-V013,RFQ-0038,V013,True,0,8.0,True,True,3
BUR-RFQ-0038-V011,RFQ-0038,V011,True,2,8.0,False,True,3
BUR-RFQ-0038-V002,RFQ-0038,V002,False,0,,False,False,3
BUR-RFQ-0038-V016,RFQ-0038,V016,False,0,,True,False,3
BUR-RFQ-0038-V018,RFQ-0038,V018,True,1,10.0,False,True,3
BUR-RFQ-0038-V021,RFQ-0038,V021,False,0,,True,False,3
BUR-RFQ-0039-V007,RFQ-0039,V007,True,0,13.0,True,True,3
BUR-RFQ-0039-V009,RFQ-0039,V009,True,0,12.0,True,True,3
BUR-RFQ-0039-V017,RFQ-0039,V017,True,2,12.0,False,True,3
BUR-RFQ-0039-V010,RFQ-0039,V010,False,0,,True,False,3
BUR-RFQ-0039-V001,RFQ-0039,V001,True,0,13.0,True,True,3
BUR-RFQ-0039-V004,RFQ-0039,V004,True,1,14.0,False,True,3
BUR-RFQ-0039-V019,RFQ-0039,V019,True,1,12.0,False,True,3
BUR-RFQ-0039-V024,RFQ-0039,V024,False,0,,True,False,3
BUR-RFQ-0040-V013,RFQ-0040,V013,True,0,11.0,True,True,3
BUR-RFQ-0040-V006,RFQ-0040,V006,True,2,11.0,True,True,3
BUR-RFQ-0040-V016,RFQ-0040,V016,False,0,,True,False,3
BUR-RFQ-0040-V002,RFQ-0040,V002,False,0,,True,False,3
BUR-RFQ-0040-V018,RFQ-0040,V018,True,0,12.0,True,True,3
BUR-RFQ-0040-V011,RFQ-0040,V011,False,0,,True,False,3
BUR-RFQ-0040-V021,RFQ-0040,V021,False,0,,True,False,3
BUR-RFQ-0041-V001,RFQ-0041,V001,True,0,9.0,True,True,4
BUR-RFQ-0041-V022,RFQ-0041,V022,True,0,10.0,True,True,4
BUR-RFQ-0041-V017,RFQ-0041,V017,False,0,,True,False,4
BUR-RFQ-0041-V010,RFQ-0041,V010,True,1,10.0,False,True,4
BUR-RFQ-0041-V024,RFQ-0041,V024,True,1,10.0,False,True,4
BUR-RFQ-0041-V019,RFQ-0041,V019,True,1,10.0,False,True,4
BUR-RFQ-0041-V009,RFQ-0041,V009,True,2,8.0,False,True,4
BUR-RFQ-0041-V004,RFQ-0041,V004,True,0,7.0,True,True,4
BUR-RFQ-0042-V024,RFQ-0042,V024,True,0,11.0,True,True,4
BUR-RFQ-0042-V001,RFQ-0042,V001,True,0,9.0,True,True,4
BUR-RFQ-0042-V017,RFQ-0042,V017,True,0,11.0,True,True,4
BUR-RFQ-0042-V010,RFQ-0042,V010,True,0,10.0,True,True,4
BUR-RFQ-0042-V022,RFQ-0042,V022,True,0,12.0,True,True,4
BUR-RFQ-0042-V007,RFQ-0042,V007,True,0,12.0,True,True,4
BUR-RFQ-0042-V004,RFQ-0042,V004,True,0,9.0,True,True,4
BUR-RFQ-0042-V019,RFQ-0042,V019,True,0,9.0,True,True,4
BUR-RFQ-0043-V007,RFQ-0043,V007,False,0,,False,False,4
BUR-RFQ-0043-V009,RFQ-0043,V009,True,0,11.0,True,True,4
BUR-RFQ-0043-V019,RFQ-0043,V019,True,1,14.0,False,True,4
BUR-RFQ-0043-V004,RFQ-0043,V004,True,0,11.0,True,True,4
BUR-RFQ-0043-V024,RFQ-0043,V024,False,0,,True,False,4
BUR-RFQ-0043-V017,RFQ-0043,V017,True,0,11.0,True,True,4
BUR-RFQ-0043-V010,RFQ-0043,V010,True,0,12.0,True,True,4
BUR-RFQ-0043-V022,RFQ-0043,V022,True,0,11.0,True,True,4
BUR-RFQ-0044-V016,RFQ-0044,V016,False,0,,True,False,4
BUR-RFQ-0044-V021,RFQ-0044,V021,True,0,9.0,True,True,4
BUR-RFQ-0044-V018,RFQ-0044,V018,False,0,,True,False,4
BUR-RFQ-0044-V011,RFQ-0044,V011,True,1,12.0,True,True,4
BUR-RFQ-0044-V006,RFQ-0044,V006,True,2,10.0,False,True,4
BUR-RFQ-0044-V002,RFQ-0044,V002,True,0,11.0,True,True,4
BUR-RFQ-0044-V013,RFQ-0044,V013,True,0,9.0,True,True,4
BUR-RFQ-0045-V007,RFQ-0045,V007,False,0,,False,False,4
BUR-RFQ-0045-V022,RFQ-0045,V022,True,0,9.0,True,True,4
BUR-RFQ-0045-V024,RFQ-0045,V024,True,2,6.0,False,True,4
BUR-RFQ-0045-V019,RFQ-0045,V019,True,1,8.0,False,True,4
BUR-RFQ-0045-V001,RFQ-0045,V001,True,1,6.0,False,True,4
BUR-RFQ-0045-V010,RFQ-0045,V010,True,1,9.0,False,True,4
BUR-RFQ-0045-V017,RFQ-0045,V017,True,2,6.0,False,True,4
BUR-RFQ-0045-V004,RFQ-0045,V004,True,0,6.0,True,True,4
BUR-RFQ-0046-V002,RFQ-0046,V002,True,2,14.0,False,True,4
BUR-RFQ-0046-V018,RFQ-0046,V018,True,2,13.0,False,True,4
BUR-RFQ-0046-V013,RFQ-0046,V013,True,0,11.0,True,True,4
BUR-RFQ-0046-V021,RFQ-0046,V021,True,0,12.0,True,True,4
BUR-RFQ-0046-V006,RFQ-0046,V006,True,2,11.0,False,True,4
BUR-RFQ-0046-V016,RFQ-0046,V016,False,0,,True,False,4
BUR-RFQ-0046-V011,RFQ-0046,V011,True,1,13.0,True,True,4
BUR-RFQ-0047-V009,RFQ-0047,V009,True,0,11.0,True,True,4
BUR-RFQ-0047-V001,RFQ-0047,V001,True,0,12.0,True,True,4
BUR-RFQ-0047-V017,RFQ-0047,V017,True,0,14.0,True,True,4
BUR-RFQ-0047-V024,RFQ-0047,V024,True,1,12.0,False,True,4
BUR-RFQ-0047-V010,RFQ-0047,V010,True,2,11.0,False,True,4
BUR-RFQ-0047-V007,RFQ-0047,V007,True,1,14.0,False,True,4
BUR-RFQ-0047-V022,RFQ-0047,V022,False,0,,False,False,4
BUR-RFQ-0047-V019,RFQ-0047,V019,True,0,11.0,True,True,4
BUR-RFQ-0048-V024,RFQ-0048,V024,True,0,9.0,True,True,4
BUR-RFQ-0048-V001,RFQ-0048,V001,True,0,10.0,True,True,4
BUR-RFQ-0048-V017,RFQ-0048,V017,True,0,11.0,True,True,4
