rfq_id,work_order_ref,category,issue_date,bid_deadline,n_vendors_invited,urgency,estimated_value_usd,budget_ceiling_usd,month_index,status
RFQ-0025,WO-2024-0028,Electrical Components,2024-03-22,2024-04-05,7,standard,32518.6,36659.78,2,closed
RFQ-0026,WO-2024-0029,Electrical Components,2024-03-06,2024-03-20,7,standard,205550.87,240163.64,2,closed
RFQ-0027,WO-2024-0030,Mechanical Parts,2024-03-28,2024-04-11,8,standard,126929.23,107335.72,2,closed
RFQ-0028,WO-2024-0031,Electrical Components,2024-04-03,2024-04-12,7,expedited,111492.64,153639.06,2,closed
RFQ-0029,WO-2024-0032,Raw Materials,2024-03-26,2024-04-02,8,critical,64305.93,89193.72,2,closed
RFQ-0030,WO-2024-0033,Mechanical Parts,2024-03-08,2024-03-22,8,standard,26880.87,37049.69,2,closed
RFQ-0031,WO-2024-0035,Electrical Components,2024-04-29,2024-05-08,7,expedited,3545.4,4214.34,3,closed
RFQ-0032,WO-2024-0036,Mechanical Parts,2024-05-01,2024-05-15,8,standard,33242.15,31672.07,3,closed
RFQ-0033,WO-2024-0037,Electrical Components,2024-04-06,2024-04-19,7,standard,9657.0,20113.61,3,closed
RFQ-0034,WO-2024-0038,Mechanical Parts,2024-04-25,2024-05-06,8,expedited,15220.44,27158.64,3,closed
RFQ-0035,WO-2024-0039,Mechanical Parts,2024-04-21,2024-04-30,8,expedited,112965.68,83055.09,3,closed
RFQ-0036,WO-2024-0040,Electrical Components,2024-04-16,2024-04-25,7,expedited,15443.31,22894.27,3,closed
RFQ-0037,WO-2024-0041,Electrical Components,2024-04-30,2024-05-09,7,expedited,96290.79,91888.02,3,closed
RFQ-0038,WO-2024-0042,Electrical Components,2024-05-02,2024-05-13,7,expedited,8517.43,10784.55,3,closed
RFQ-0039,WO-2024-0043,Mechanical Parts,2024-04-29,2024-05-13,8,standard,34963.69,42987.0,3,closed
RFQ-0040,WO-2024-0044,Electrical Components,2024-04-12,2024-04-26,7,standard,108951.2,228611.18,3,closed
RFQ-0041,WO-2024-0045,Mechanical Parts,2024-05-25,2024-06-04,8,expedited,33322.25,47189.0,4,closed
RFQ-0042,WO-2024-0046,Mechanical Parts,2024-05-26,2024-06-07,8,standard,26095.8,32692.0,4,closed
RFQ-0043,WO-2024-0047,Mechanical Parts,2024-05-23,2024-06-06,8,standard,136369.78,212022.63,4,closed
RFQ-0044,WO-2024-0048,Electrical Components,2024-05-05,2024-05-17,7,standard,97079.27,64846.66,4,closed
RFQ-0045,WO-2024-0049,Mechanical Parts,2024-06-03,2024-06-12,8,expedited,30346.27,35401.94,4,closed
RFQ-0046,WO-2024-0050,Electrical Components,2024-05-20,2024-06-03,7,standard,12687.1,16831.85,4,closed
RFQ-0047,WO-2024-0051,Mechanical Parts,2024-05-09,2024-05-23,8,standard,29873.55,39708.37,4,closed
RFQ-0048,WO-2024-0052,Mechanical Parts,2024-05-26,2024-06-07,8,standard,66982.25,59710.57,4,closed
RFQ-0049,WO-2024-0053,Electrical Components,2024-05-15,2024-05-29,7,standard,17175.18,17359.73,4,closed
RFQ-0050,WO-2024-0054,Mechanical Parts,2024-05-24,2024-06-07,8,standard,28367.84,40383.09,4,closed
RFQ-0051,WO-2024-0055,Mechanical Parts,2024-05-18,2024-05-24,8,critical,131344.27,152424.59,4,closed
RFQ-0052,WO-2024-0056,Electrical Components,2024-06-28,2024-07-12,7,standard,76898.64,129118.74,5,closed
RFQ-0053,WO-2024-0057,Mechanical Parts,2024-06-04,2024-06-18,8,standard,34514.37,23543.95,5,closed
RFQ-0054,WO-2024-0058,Electrical Components,2024-06-09,2024-06-18,7,expedited,32473.0,47853.66,5,closed
RFQ-0055,WO-2024-0059,Electrical Components,2024-06-08,2024-06-18,7,expedited,181810.58,173253.61,5,closed
RFQ-0056,WO-2024-0060,Electrical Components,2024-06-08,2024-06-21,7,standard,171982.77,254363.95,5,closed
RFQ-0057,WO-2024-0061,Mechanical Parts,2024-06-17,2024-06-24,8,critical,36539.23,27359.45,5,closed
RFQ-0058,WO-2024-0062,Raw Materials,2024-06-20,2024-07-04,8,standard,45973.39,43365.0,5,closed
RFQ-0059,WO-2024-0064,Electrical Components,2024-06-12,2024-06-26,7,standard,51992.32,23800.12,5,closed
RFQ-0060,WO-2024-0065,Mechanical Parts,2024-06-22,2024-07-05,8,standard,26448.01,29568.15,5,closed
RFQ-0061,WO-2024-0066,Raw Materials,2024-06-19,2024-06-28,8,expedited,2845.02,3416.75,5,closed
RFQ-0062,WO-2024-0067,Mechanical Parts,2024-07-16,2024-07-30,8,standard,10663.38,12098.34,6,closed
RFQ-0063,WO-2024-0068,Electrical Components,2024-07-05,2024-07-19,7,standard,156472.76,274755.61,6,closed
RFQ-0064,WO-2024-0070,Electrical Components,2024-07-12,2024-07-19,7,critical,5536.16,7063.18,6,closed
RFQ-0065,WO-2024-0071,Mechanical Parts,2024-07-17,2024-07-26,8,expedited,46513.6,54457.6,6,closed
RFQ-0066,WO-2024-0072,Electrical Components,2024-07-08,2024-07-15,7,critical,143543.68,161556.37,6,closed
RFQ-0067,WO-2024-0073,Electrical Components,2024-07-06,2024-07-12,7,critical,33738.88,44916.52,6,closed
RFQ-0068,WO-2024-0074,Electrical Components,2024-07-27,2024-08-06,7,expedited,73915.95,62795.41,6,closed
RFQ-0069,WO-2024-0075,Electrical Components,2024-07-17,2024-07-31,7,standard,6253.13,3650.88,6,closed
RFQ-0070,WO-2024-0077,Raw Materials,2024-07-09,2024-07-23,8,standard,12838.4,23410.17,6,closed
RFQ-0071,WO-2024-0078,Mechanical Parts,2024-08-05,2024-08-14,8,expedited,32742.68,40739.55,7,closed
RFQ-0072,WO-2024-0079,Raw Materials,2024-08-24,2024-09-06,8,standard,70823.76,86263.08,7,closed
RFQ-0073,WO-2024-0080,Electrical Components,2024-08-23,2024-09-03,7,expedited,55069.58,61524.32,7,closed
RFQ-0074,WO-2024-0081,Electrical Components,2024-08-13,2024-08-27,7,standard,7108.44,6387.09,7,closed
RFQ-0075,WO-2024-0082,Electrical Components,2024-09-01,2024-09-13,7,standard,25601.68,29378.04,7,closed
RFQ-0076,WO-2024-0083,Electrical Components,2024-08-21,2024-08-30,7,expedited,239354.31,212348.28,7,closed
RFQ-0077,WO-2024-0084,Electrical Components,2024-08-22,2024-09-05,7,standard,73798.9,95823.12,7,closed
RFQ-0078,WO-2024-0085,Raw Materials,2024-08-19,2024-09-02,8,standard,95722.08,84247.25,7,closed
RFQ-0079,WO-2024-0086,Electrical Components,2024-08-08,2024-08-22,7,standard,15844.58,26425.72,7,closed
RFQ-0080,WO-2024-0087,Mechanical Parts,2024-08-13,2024-08-27,8,standard,4678.08,5467.32,7,closed
RFQ-0081,WO-2024-0088,Mechanical Parts,2024-08-21,2024-08-30,8,expedited,43969.92,53228.06,7,closed
RFQ-0082,WO-2024-0089,Raw Materials,2024-09-11,2024-09-25,8,standard,3159.36,3113.42,8,closed
RFQ-0083,WO-2024-0090,Electrical Components,2024-09-25,2024-10-09,7,standard,194908.17,224279.38,8,closed
RFQ-0084,WO-2024-0091,Electrical Components,2024-09-14,2024-09-27,7,standard,156069.14,235130.96,8,closed
RFQ-0085,WO-2024-0092,Raw Materials,2024-09-20,2024-10-01,8,expedited,98045.89,45413.95,8,closed
RFQ-0086,WO-2024-0093,Mechanical Parts,2024-09-10,2024-09-24,8,standard,5124.3,5497.22,8,closed
RFQ-0087,WO-2024-0094,Mechanical Parts,2024-10-05,2024-10-18,8,standard,9947.22,6441.64,8,closed
RFQ-0088,WO-2024-0095,Raw Materials,2024-09-16,2024-09-30,8,standard,68123.25,87692.79,8,closed
RFQ-0089,WO-2024-0096,Raw Materials,2024-09-30,2024-10-09,8,expedited,65980.88,113786.77,8,closed
RFQ-0090,WO-2024-0097,Raw Materials,2024-09-10,2024-09-24,8,standard,1060.3,964.11,8,closed
RFQ-0091,WO-2024-0098,Electrical Components,2024-09-06,2024-09-17,7,expedited,106550.14,154514.6,8,closed
RFQ-0092,WO-2024-0099,Mechanical Parts,2024-09-22,2024-09-27,8,critical,72745.89,69364.98,8,closed
RFQ-0093,WO-2024-0100,Raw Materials,2024-10-24,2024-11-04,8,expedited,40232.53,74405.25,9,closed
RFQ-0094,WO-2024-0101,Raw Materials,2024-10-11,2024-10-25,8,standard,10088.95,7534.24,9,closed
RFQ-0095,WO-2024-0103,Electrical Components,2024-10-28,2024-11-11,7,standard,139546.83,154820.87,9,closed
RFQ-0096,WO-2024-0105,Mechanical Parts,2024-10-21,2024-11-04,8,standard,129415.12,145237.23,9,closed
RFQ-0097,WO-2024-0106,Mechanical Parts,2024-10-31,2024-11-11,8,expedited,35795.78,46725.87,9,closed
RFQ-0098,WO-2024-0107,Electrical Components,2024-10-11,2024-10-25,7,standard,47010.08,71199.95,9,closed
RFQ-0099,WO-2024-0108,Electrical Components,2024-10-11,2024-10-25,7,standard,66882.63,114167.73,9,closed
RFQ-0100,WO-2024-0110,Raw Materials,2024-10-22,2024-11-05,8,standard,58095.8,84099.78,9,closed
RFQ-0101,WO-2024-0111,Mechanical Parts,2024-10-18,2024-10-29,8,expedited,48104.98,50732.33,9,closed
RFQ-0102,WO-2024-0112,Mechanical Parts,2024-10-14,2024-10-28,8,standard,118000.41,72765.88,9,closed
RFQ-0103,WO-2024-0113,Raw Materials,2024-10-29,2024-11-12,8,standard,11948.76,20732.94,9,closed
RFQ-0104,WO-2024-0116,Mechanical Parts,2024-11-08,2024-11-15,8,critical,8011.76,10432.53,10,closed
RFQ-0105,WO-2024-0117,Electrical Components,2024-11-10,2024-11-22,7,standard,102851.75,153622.71,10,closed
RFQ-0106,WO-2024-0118,Mechanical Parts,2024-11-15,2024-11-29,8,standard,1034.25,1078.87,10,closed
RFQ-0107,WO-2024-0119,Mechanical Parts,2024-11-19,2024-11-28,8,expedited,2637.12,1091.11,10,closed
RFQ-0108,WO-2024-0120,Raw Materials,2024-12-03,2024-12-12,8,expedited,45821.16,67062.56,10,closed
RFQ-0109,WO-2024-0121,Electrical Components,2024-11-08,2024-11-22,7,standard,17349.41,6356.09,10,closed
RFQ-0110,WO-2024-0122,Electrical Components,2024-11-07,2024-11-18,7,expedited,5677.13,9416.12,10,closed
RFQ-0111,WO-2024-0123,Raw Materials,2024-11-21,2024-12-05,8,standard,1654.99,1919.19,10,closed
RFQ-0112,WO-2024-0124,Raw Materials,2024-11-22,2024-12-03,8,expedited,98068.26,210741.36,10,closed
RFQ-0113,WO-2024-0125,Electrical Components,2024-11-25,2024-12-09,7,standard,96664.59,148123.62,10,closed
RFQ-0114,WO-2024-0126,Electrical Components,2024-11-14,2024-11-25,7,expedited,79124.64,130121.48,10,closed
RFQ-0115,WO-2024-0127,Raw Materials,2024-11-15,2024-11-29,8,standard,100240.34,109291.45,10,closed
RFQ-0116,WO-2024-0128,Mechanical Parts,2024-12-18,2025-01-01,8,standard,39698.52,36499.14,11,closed
RFQ-0117,WO-2024-0130,Electrical Components,2025-01-02,2025-01-16,7,standard,141951.0,200115.0,11,closed
RFQ-0118,WO-2024-0131,Electrical Components,2025-01-02,2025-01-16,7,standard,69632.43,80508.09,11,closed
RFQ-0119,WO-2024-0132,Electrical Components,2024-12-25,2025-01-08,7,standard,188731.76,219059.37,11,closed
RFQ-0120,WO-2024-0133,Mechanical Parts,2024-12-21,2025-01-03,8,standard,34614.2,44484.38,11,closed
RFQ-0121,WO-2024-0134,Electrical Components,2024-12-20,2024-12-31,7,expedited,147497.85,178030.86,11,closed
RFQ-0122,WO-2024-0135,Electrical Components,2024-12-13,2024-12-24,7,expedited,115017.57,160335.7,11,closed
RFQ-0123,WO-2024-0136,Electrical Components,2024-12-24,2024-12-31,7,critical,71659.91,92524.74,11,closed
RFQ-0124,WO-2024-0137,Raw Materials,2024-12-04,2024-12-18,8,standard,11068.23,9024.47,11,closed
RFQ-0125,WO-2024-0138,Electrical Components,2024-12-10,2024-12-24,7,standard,78193.41,68834.16,11,closed
RFQ-0126,WO-2024-0139,Electrical Components,2024-12-28,2025-01-07,7,expedited,44843.17,40373.77,11,closed
RFQ-0127,WO-2024-0140,Electrical Components,2024-12-25,2025-01-08,7,standard,109351.24,139660.85,11,closed
RFQ-0128,WO-2024-0141,Electrical Components,2024-12-25,2025-01-01,7,critical,13241.58,14943.01,11,closed
RFQ-0129,WO-2024-0142,Mechanical Parts,2025-01-17,2025-01-31,8,standard,96320.26,88004.81,12,closed
RFQ-0130,WO-2024-0143,Mechanical Parts,2025-01-05,2025-01-17,8,standard,53792.85,48679.5,12,closed
RFQ-0131,WO-2024-0144,Electrical Components,2025-01-23,2025-02-06,7,standard,69566.32,95749.94,12,closed
RFQ-0132,WO-2024-0145,Electrical Components,2025-01-25,2025-02-04,7,expedited,163528.21,104837.9,12,closed
RFQ-0133,WO-2024-0146,Electrical Components,2025-02-01,2025-02-07,7,critical,163257.29,142661.81,12,closed
RFQ-0134,WO-2024-0147,Mechanical Parts,2025-01-26,2025-02-04,8,expedited,49405.2,59957.23,12,closed
RFQ-0135,WO-2024-0148,Electrical Components,2025-01-27,2025-02-05,7,expedited,140684.87,72578.82,12,closed
RFQ-0136,WO-2024-0149,Raw Materials,2025-01-29,2025-02-07,8,expedited,84320.79,111411.03,12,closed
RFQ-0137,WO-2024-0150,Electrical Components,2025-02-01,2025-02-14,7,standard,141757.48,190768.4,12,closed
RFQ-0138,WO-2024-0151,Raw Materials,2025-01-04,2025-01-17,8,standard,45685.3,52076.0,12,closed
RFQ-0139,WO-2024-0152,Electrical Components,2025-01-06,2025-01-13,7,critical,6676.42,11756.96,12,closed
RFQ-0140,WO-2024-0153,Electrical Components,2025-01-17,2025-01-28,7,expedited,23785.02,26464.51,12,closed
RFQ-0141,WO-2024-0154,Electrical Components,2025-01-12,2025-01-21,7,expedited,1527.75,1683.5,12,closed
RFQ-0142,WO-2024-0155,Mechanical Parts,2025-01-14,2025-01-28,8,standard,22941.6,11818.61,12,closed
RFQ-0143,WO-2024-0158,Electrical Components,2025-02-05,2025-02-14,7,expedited,173500.52,179141.24,13,closed
RFQ-0144,WO-2024-0159,Electrical Components,2025-02-22,2025-02-28,7,critical,43736.74,45474.57,13,closed
RFQ-0145,WO-2024-0161,Mechanical Parts,2025-02-14,2025-02-28,8,standard,22834.0,26171.08,13,closed
RFQ-0146,WO-2024-0162,Electrical Components,2025-02-26,2025-03-07,7,expedited,141513.56,257585.95,13,closed
RFQ-0147,WO-2024-0163,Electrical Components,2025-03-03,2025-03-17,7,standard,30261.33,21384.03,13,closed
RFQ-0148,WO-2024-0164,Electrical Components,2025-02-18,2025-02-27,7,expedited,120954.13,84141.83,13,closed
RFQ-0149,WO-2024-0166,Electrical Components,2025-02-24,2025-03-03,7,critical,8041.25,13132.3,13,closed
RFQ-0150,WO-2024-0167,Electrical Components,2025-02-19,2025-03-05,7,standard,61167.6,67968.45,13,closed
RFQ-0151,WO-2024-0168,Electrical Components,2025-02-22,2025-03-07,7,standard,49466.79,56910.01,13,closed
RFQ-0152,WO-2024-0169,Mechanical Parts,2025-03-02,2025-03-11,8,expedited,8771.85,6114.99,13,closed
RFQ-0153,WO-2024-0170,Electrical Components,2025-03-13,2025-03-24,7,expedited,142654.91,133001.07,14,closed
RFQ-0154,WO-2024-0171,Electrical Components,2025-03-06,2025-03-17,7,expedited,3459.62,6046.36,14,closed
RFQ-0155,WO-2024-0172,Electrical Components,2025-03-20,2025-04-03,7,standard,42924.44,37774.9,14,closed
RFQ-0156,WO-2024-0173,Mechanical Parts,2025-03-12,2025-03-21,8,expedited,213261.41,219743.55,14,closed
RFQ-0157,WO-2024-0174,Electrical Components,2025-03-29,2025-04-11,7,standard,18068.93,18322.29,14,closed
RFQ-0158,WO-2024-0175,Mechanical Parts,2025-03-28,2025-04-11,8,standard,77193.51,92329.88,14,closed
RFQ-0159,WO-2024-0177,Mechanical Parts,2025-03-14,2025-03-28,8,standard,19476.0,25975.92,14,closed
RFQ-0160,WO-2024-0180,Raw Materials,2025-03-16,2025-03-25,8,expedited,43663.25,50998.79,14,closed
RFQ-0161,WO-2024-0181,Electrical Components,2025-03-22,2025-04-04,7,standard,158831.72,134966.69,14,closed
RFQ-0162,WO-2024-0182,Electrical Components,2025-03-12,2025-03-19,7,critical,166616.69,175852.14,14,closed
RFQ-0163,WO-2024-0183,Mechanical Parts,2025-03-05,2025-03-14,8,expedited,60402.19,76613.07,14,closed
RFQ-0164,WO-2024-0184,Electrical Components,2025-04-05,2025-04-18,7,standard,136479.2,145468.31,15,closed
RFQ-0165,WO-2024-0186,Electrical Components,2025-04-12,2025-04-25,7,standard,100720.08,78015.17,15,closed
RFQ-0166,WO-2024-0187,Electrical Components,2025-04-26,2025-05-06,7,expedited,16403.97,13840.74,15,closed
RFQ-0167,WO-2024-0188,Electrical Components,2025-04-23,2025-05-07,7,standard,31942.85,66444.85,15,closed
RFQ-0168,WO-2024-0189,Electrical Components,2025-04-16,2025-04-30,7,standard,78422.33,105265.47,15,closed
RFQ-0169,WO-2024-0191,Electrical Components,2025-04-17,2025-05-01,7,standard,68749.3,49925.47,15,closed
RFQ-0170,WO-2024-0192,Mechanical Parts,2025-04-19,2025-05-02,8,standard,51968.8,69287.31,15,closed
RFQ-0171,WO-2024-0193,Mechanical Parts,2025-04-06,2025-04-18,8,standard,18970.19,12732.47,15,closed
RFQ-0172,WO-2024-0194,Electrical Components,2025-04-09,2025-04-23,7,standard,176515.8,182422.31,15,closed
RFQ-0173,WO-2024-0195,Electrical Components,2025-04-13,2025-04-22,7,expedited,156000.16,86693.41,15,closed
RFQ-0174,WO-2024-0196,Electrical Components,2025-04-12,2025-04-25,7,standard,119901.77,138663.03,15,closed
RFQ-0175,WO-2024-0197,Mechanical Parts,2025-04-24,2025-05-08,8,standard,72975.32,69488.18,15,closed
RFQ-0176,WO-2024-0198,Electrical Components,2025-05-13,2025-05-22,7,expedited,58188.1,63527.41,16,closed
RFQ-0177,WO-2024-0199,Electrical Components,2025-05-19,2025-06-02,7,standard,23921.19,27868.77,16,closed
RFQ-0178,WO-2024-0200,Electrical Components,2025-05-31,2025-06-13,7,standard,37930.78,60370.38,16,closed
RFQ-0179,WO-2024-0201,Mechanical Parts,2025-06-02,2025-06-16,8,standard,56085.38,51359.02,16,closed
RFQ-0180,WO-2024-0202,Electrical Components,2025-05-16,2025-05-30,7,standard,45306.25,38476.94,16,closed
RFQ-0181,WO-2024-0204,Electrical Components,2025-05-28,2025-06-11,7,standard,26497.46,23316.63,16,closed
RFQ-0182,WO-2024-0205,Mechanical Parts,2025-05-19,2025-06-02,8,standard,16713.24,19971.19,16,closed
RFQ-0183,WO-2024-0206,Electrical Components,2025-05-24,2025-06-06,7,standard,34974.06,58768.0,16,closed
RFQ-0184,WO-2024-0207,Mechanical Parts,2025-05-09,2025-05-16,8,critical,60534.51,69663.97,16,closed
RFQ-0185,WO-2024-0208,Electrical Components,2025-05-31,2025-06-13,7,standard,57885.36,101751.61,16,closed
RFQ-0186,WO-2024-0209,Raw Materials,2025-05-26,2025-06-09,8,standard,37469.71,34471.26,16,closed
RFQ-0187,WO-2024-0210,Raw Materials,2025-05-27,2025-06-05,8,expedited,16033.43,19621.19,16,closed
RFQ-0188,WO-2024-0211,Mechanical Parts,2025-05-07,2025-05-16,8,expedited,33362.68,34785.95,16,closed
RFQ-0189,WO-2024-0212,Mechanical Parts,2025-06-26,2025-07-10,8,standard,18333.91,18947.95,17,closed
RFQ-0190,WO-2024-0213,Electrical Components,2025-06-21,2025-07-01,7,expedited,173097.5,253377.49,17,closed
RFQ-0191,WO-2024-0214,Electrical Components,2025-07-03,2025-07-17,7,standard,120959.8,238607.96,17,closed
RFQ-0192,WO-2024-0215,Electrical Components,2025-06-18,2025-06-27,7,expedited,93238.13,41341.93,17,closed
RFQ-0193,WO-2024-0216,Raw Materials,2025-06-18,2025-06-25,8,critical,49752.27,75663.67,17,closed
RFQ-0194,WO-2024-0217,Mechanical Parts,2025-06-27,2025-07-04,8,critical,51583.58,76252.31,17,closed
RFQ-0195,WO-2024-0218,Mechanical Parts,2025-06-12,2025-06-26,8,standard,38119.64,25759.96,17,closed
RFQ-0196,WO-2024-0219,Electrical Components,2025-06-24,2025-07-08,7,standard,1946.84,1685.54,17,closed
RFQ-0197,WO-2024-0220,Electrical Components,2025-07-02,2025-07-09,7,critical,67778.13,33884.95,17,closed
RFQ-0198,WO-2024-0221,Mechanical Parts,2025-06-08,2025-06-20,8,standard,19616.41,9330.25,17,closed
RFQ-0199,WO-2024-0222,Mechanical Parts,2025-06-30,2025-07-14,8,standard,13546.83,18363.49,17,closed
RFQ-0200,WO-2024-0223,Electrical Components,2025-06-16,2025-06-30,7,standard,58101.74,46425.12,17,closed
RFQ-0201,WO-2024-0224,Mechanical Parts,2025-06-24,2025-07-08,8,standard,25510.48,25628.35,17,closed
RFQ-0202,WO-2024-0225,Electrical Components,2025-06-30,2025-07-07,7,critical,17563.26,6411.53,17,closed
